ทวีปแอฟริกา	Afriko
เห็ดหูหนู	Judasorelo
ต้นพระศรีมหาโพธิ์	Pipalo
พระธรรมศาสตร์	Leĝoj de Manu
หอคอยชูเช	Ĝuĉe-turo
โลมาหัวบาตรหลังเรียบ	Nigra foceno
เอลโดเรต	Eldoret
นิวสวีเดน	Nova Svedio
ผ้าขาวม้า	Sarongo
มันฝรั่งบด	Terpomkaĉo
หวาย	Rotango
โทะกุงะวะ อิเอะชิเงะ	Tokugawa Ieshige
กลิ่นชะมด	Mosko
ด็อกเตอร์ชิวาโก (ภาพยนตร์)	Doctor Zhivago (filmo, 1965)
ซูซีแอนด์เดอะแบนชีส์	Siouxsie and the Banshees
ไฮแรกซ์หิน	Rokhirako
มารวิทยา	Demonologio
รายชื่อแหล่งมรดกโลกในทวีปอเมริกา	Listo de mondaj heredaĵoj en Ameriko
สามเหลี่ยมฤดูร้อน	Somera trilatero
ดาวไถ	Zono de Oriono
การทำหมัน	Steriligo
ชอคทอว์	Ĉoktaoj
กลศาสตร์แบบลากรางจ์	Lagranĝa mekaniko
โดโด้ (แก้ความกำกวม)	Dodo (apartigilo)
เข็มกลัดตรึง	Fibolo
รัฐบริวาร	Satelita ŝtato
รถไฟใต้ดินบิลบาโอ	Metroo de Bilbao
ชานชาลา (รถไฟ)	Kajo (fervojo)
มารียาน	Marianne
สรุปเหรียญโอลิมปิกฤดูร้อน 2000	Medaltabelo de la Somera Olimpiko 2000
ดัชชีเบราน์ชไวก์	Duklando Brunsvigo
สะพานข้ามอ่าวหางโจว	Ponto de golfo Hangzhou
ฝ่ายบริหารกลางทิเบต	Ekzilita tibeta registaro
กูอาราปูอาวา	Guarapuava
ภูมิศิลป์	Landarto
วันบัสตีย์	Nacia tago de Francio
อุจิ	Uĝi
กองทัพสเปน	Armeo de Hispanio
เรลเจต	Railjet
การระบาดของ E. coli O104:H4 พ.ศ. 2554	Hemoliza-uremia epidemio de 2011
วิศวกรรมชีวเวช	Biomedicina inĝenierio
แร้งเทาหลังขาว	Bengala gipo
อายุที่ยอมให้ร่วมประเวณีได้	Aĝo de konsento por seksumado
ยุคโชวะ	Ŝoŭa-erao
นักการเมืองอิสระ	Sendependa (politiko)
แฮนด์บิลภาพยนตร์	Flugfolio
เว็บเมล	Retkesto
วันสันติภาพสากล	Internacia Tago de la Paco
วงศ์ย่านตีเมีย	Santalacoj
การอาบน้ำ	Bano
ปริซึมห้าเหลี่ยมออกเมนต์	Pligrandigita kvinlatera prismo
ซูเปอร์เอิร์ธ	Super-Tero
ชมรมรัก คลับมหาสนุก	Vizita klubo de gimnazio Oran
พุทราอินเดีย	Ziziphus mauritiana
แทรมโพลีน	Trampolino
คบเพลิง	Torĉo
พระแม่มารีซิสติน (ราฟาเอล)	Siksta Madono
มัคท์แอร์ไกรฟุง	Nazia potencopreno en Germanio
ที-54/55	T-55
ฮิวสตัน ไดนาโม	Houston Dynamo
โรเบิร์ต สมิธสัน	Robert Smithson
อิโกะมะ	Ikoma
สัญญาต้องเป็นสัญญา	Pacta sunt servanda
เท็มปุระ	Tempuro
ฟัฎลุลลอหฺ	Mohammad Hussejn Fadlallah
ภาพยนตร์อินเดีย	Barata kinematografio
ยอห์นผู้นิพนธ์พระวรสาร	Sankta Johano la Evangeliisto
วิลเดอบีสต์เคราขาว	Blua gnuo
ราชอาณาจักรเคนต์	Kent (regno)
ระบบรับความรู้สึกทางกาย	Tuŝa sistemo
อะซิโตนเพอร์ออกไซด์	Acetona peroksido
มีนาคม พ.ศ. 2549	Marto de 2006
กุมภาพันธ์ พ.ศ. 2549	Februaro de 2006
โรงอุปรากรเบย์รึท	Festivalejo de Bayreuth
ลูอิส กุสตาวู	Luiz Gustavo
กันยายน พ.ศ. 2552	Septembro de 2009
การอภิปรายไม่ไว้วางใจ	Mocio de demisio
จักรวรรดิอาณานิคมเยอรมัน	Germanaj kolonioj
ลึมเมิน	Lummen
มาสเมเคอเลิน	Maasmechelen
แนต เทอร์เนอร์	Nat Turner
คนขายเนื้อสัตว์	Buĉisto
คิโยะเซะ	Kijose
คิชคุนฮอลอช	Kiskunhalas
พระราชวังลุกซ็องบูร์	Palaco Luksemburgo (Francio)
ฝ่ายสัมพันธมิตรในสงครามโลกครั้งที่สอง	Aliancanoj
พระราชวังหลวง	Reĝa Palaco (Parizo)
คุนิตะชิ	Kunitaĉi
ท่าอากาศยานนานาชาติเดนเวอร์	Flughaveno Denvero
การเดินทางของจักรพรรดิ	La Marche de l'empereur
มิสเตอร์บีน พักร้อนนี้มีฮา	Mr. Bean's Holiday (filmo)
กรกฎาคม พ.ศ. 2554	Julio de 2011
มิถุนายน พ.ศ. 2554	Junio de 2011
เครือจักรภพแห่งอังกฤษ	Komunumo de Anglio
ฤๅษีวยาส	Vjaso
กลุ่มสิบเจ็ดมณฑล	Deksep Provincoj
แม่น้ำแทดง	Taedong
ดอร่าดิเอกซ์พลอเรอร์	Doro la Esploristo
กริช	Kriso
ยานเสินโจว 6	Shenzhou 6
ซิมเพล็กซ์	Simplaĵo (geometrio)
โล่ (มุทราศาสตร์)	Blazonŝildo
โบซาโซ	Bosaso
อนุสัญญาว่าด้วยระเบิดลูกปราย	Konvencio pri Grapolbomboj
การปล้นธนาคารในติฟลิส ค.ศ. 1907	Atako je banko de Tbiliso
เอนโดเดิร์ม	Endodermo
ครีบยัน	Kontraŭforto
โอมาร์ ตอร์รีคอส	Omar Torrijos
รัฐบาลกลางเปลี่ยนผ่าน	Transira Federacia Registaro
นักบุญดันสตัน	Sankta Dunstan
เมเคเล	Mekele
ปาไนย์	Panajo
ลอร์ดออฟเดอะริงส์ ตอน หอคอยคู่พิฆาต	La Mastro de l' Ringoj: La Du Turoj (libro)
แกรฟโตไลต์	Graptolito
หมาหริ่งจีน	Melogalo
การลู่เข้าสัมบูรณ์	Absoluta konverĝo
ผู้นำสูงสุดแห่งอิหร่าน	Plej supera gvidanto de Irano
อักษรยูการิติก	Ugarita alfabeto
กรวยแห่งความอุดมสมบูรณ์	Korno de abundeco
เมทริกซ์ทแยงมุม	Diagonala matrico
ดับเบิลยูดับเบิลยูอี เวิลด์เฮฟวี่เวท แชมเปียนชิป	WWE Championship
การดูดซึม	Sorbo
มามโบ	Mambo
แคนแคน	Kankano
มูนดู	Moundou
ธนาคารแห่งประเทศญี่ปุ่น	Banko de Japanio
นกกระเรียนไทย	Ruĝkola gruo
กาโรลึส กลือซียึส	Charles de l'Écluse
เตอร์นาตี	Ternato
บอมบาร์ดิเอร์	Bombardier
องค์การอนุรักษ์สถานที่เพื่อประโยชน์ทางประวัติศาสตร์หรือความสวยงามแห่งชาติ	National Trust
รถไฟใต้ดินนิจนีนอฟโกรอด	Metroo de Niĵnij-Novgorodo
หน่วยความจำการแปล	Tradukmemoro
รีการ์โด กาเบรียล อัลบาเรซ	Ricardo Gabriel Álvarez
วีนีซีอุช จี โมไรช์	Vinicius de Moraes
พิพิธภัณฑ์คาปิโตลิเน	Kapitolaj Muzeoj
กองทัพแดงญี่ปุ่น	Japana Ruĝa Armeo
ทอมัส โคล	Thomas Cole
อิชิดะ มิสึนะริ	Ishida Mitsunari
มหาวิหารแซ็ง-เรมี	Baziliko Sankta-Remiĝo
เซนต์ออกัสตินส์แอบบีย์	Abatejo Sankta Aŭgusteno (Canterbury)
พระเจ้าเซโจ	Sejo de Joseon
พระเจ้าแทโจแห่งโครยอ	Wang Geon
มหาวิหารเซนต์อัลบัน	Abatejo de Sankta Albano
คราตอส	Krato (mitologio)
แคลมป์	CLAMP
แพ ย็อง จุน	Bae Yong Jun
ฟุตบอลหญิงทีมชาติสหรัฐอเมริกา	Usona virina nacia teamo de futbalo
กรกฎาคม พ.ศ. 2548	Julio de 2005
ตุลาคม พ.ศ. 2548	Oktobro de 2005
พลังงานเสรีของกิ๊บส์	Libera energio
สัญญาอนุญาตของสถาบันเทคโนโลยีแมสซาชูเซตส์	MIT-permesilo
ยุคมุโระมะชิ	Epoko de Muromaĉi
แขวงพงสาลี	Provinco Phongsali
เจ้าชายเรซา ปาห์ลาวี มกุฎราชกุมารแห่งอิหร่าน	Reza Pahlavi
แขวงบ่อแก้ว	Provinco Bokeo
แขวงจำปาศักดิ์	Provinco Ĉampasako
อะบูบักร์	Abu Bakr
บิล จอย	Bill Joy
ราชอาณาจักรซิลิเชีย	Armena reĝlando en Kilikio
กล้องถ่ายภาพยนตร์	Filmilo
ทอมัส บรูซ เอิร์ลแห่งเอลกินที่ 7	Thomas Bruce, 7a Grafo de Elgin
ไก่ฟ้าสีทอง	Ora fazano
Aspergillus	Aspergillus
คัปปะ	Kapao
ภาษาใกล้สูญ	Endanĝeraj lingvoj
ปงเนิฟ	Ponto Neuf
สำนักงานบริหารการบินแห่งชาติ	Federacia Aviada Administracio
ตัฟซีร	Tafsir
ทะกะสึกิ	Takacuki
ซัลโต (ประเทศอุรุกวัย)	Salto (urbo)
เบญจาคริสต์	Baldakeno
อักษรสระประกอบ	Abugido
นกกระเรียนมงกุฎเทา	Grizkrona gruo
อบันดันเชีย	Abundantia
โทะกุงะวะ อิเอะซะดะ	Tokugawa Iesada
รถไฟใต้ดินเอเธนส์	Metroo de Ateno
อุทยานแห่งชาติป่ากิร	Gir-arbara Nacia Parko
พีระมิดคู่สี่เหลี่ยมจัตุรัสไจโรอีลองเกต	Turnoplilongigita kvadrata dupiramido
เซร์ชีอู เมงจิส	Sérgio Mendes
นกขุนทอง	Komuna montominao
รัฐแอดามาวา	Adamawa
ซาไวอี	Savaii-Insulo
เอสปีรีตูซานโต	Espiritu Santo
อากาเดมีเดโบซาร์	Akademio de Belartoj de Francio
เมทริกซ์ศูนย์	Nula matrico
อักกาเดเมียดีซันลูกา	Akademio de Sankta Luko
AGP	AGP
โรสิด	Rozedoj (klado)
นกยูงคองโก	Konga pavo
เมทริกซ์สมมาตร	Simetria matrico
การเน่าเปื่อย	Malkomponiĝado
โมคา	Mokha
หนูจี๊ด	Kioreo
เฮกโซส	Heksozo
ฮิปปี้	Hipio
แกนแห่งความชั่วร้าย	Akso de la Malbono
88	88 (nombro)
อะโคนิทีน	Akonitino
TLS	TLS
พระราชบัญญัติสหภาพ ค.ศ. 1800	Act of Union 1800
คิม แท-ก็อน	Andreo Kim Taegon
เอเอสพี	Aktivaj Servilaj Paĝoj
อิสติกลาล มาร์ชี	İstiklâl Marşı
จอห์น เมลเลนแคมป์	John Mellencamp
อันเดรอา กริตติ	Andrea Gritti
วิลเลียมแห่งมาล์มสบรี	Vilhelmo de Malmesbury
Aiton	Aiton
นะโอะกิ อุระซะวะ	Urasaŭa Naoki
จอห์นแห่งแลงแคสเตอร์ ดยุกที่ 1 แห่งเบดฟอร์ด	Johano de Lankastro
จอร์จ เบนสัน	George Benson
กิล อีแวนส์	Gil Evans
ยุทธการโอะเกะฮะซะมะ	Batalo de Okehazama
PPA	PPA
อาดัม คราฟท์	Adam Kraft
รูต	Root
แก๊สปิโตรเลียมเหลว	LPG
ลูกกระเดือก	Tireoido
จุด	DOT
แคท	KAT
สัญญาณเรียกขาน	Flugkompania voksigno
วิลเลียม เซซิล บารอนแห่งเบอร์ลีย์ที่ 1	William Cecil, Lordo Burghley
พิกเซล	Rastrumero
อาลี โมฮัมเหม็ด เกดี	Ali Mohamed Gedi
จอร์จ แพลนแทเจเนต ดยุกที่ 1 แห่งแคลเรนซ์	Georgo Plantaĝeneto (duko de Clarence)
ขอเชิญท่านผู้วางใจ	Adeste Fideles
แอนดี โกลด์สเวิร์ทธี	Andy Goldsworthy
อัลเฟรโด เกราส์	Alfredo Kraus
พรรคโคโลราโด	Partido Colorado
แก๊สธรรมชาติเหลว	Likvigita natura gaso
ลิงโคโลบัส	Blank-nigraj stumposimioj
ปีแยร์ มีญาร์	Pierre Mignard
หวยหนาน	Hŭajnano
โยะชิโตะ อุซุอิ	Yoshito Usui
แบรดลีย์ โจเซฟ	Bradley Joseph
ควน เด เอร์เรรา	Juan de Herrera
เฟรเดอริก ลอว์ ออล์มสเตด	Frederick Law Olmsted
รถไฟใต้ดินแรน	Metroo de Rennes
ฟุตบอลโลกหญิง 2007	Virina Futbala Mondpokalo 2007
สมเด็จพระราชาธิบดีซัลมาน บิน อับดัลอะซิซ อาล สะอูด	Salman bin Abdul-Aziz Al Saud
วงศ์ลิงลม	Lorisedoj
เดทออร์อะไลฟ์ (วงดนตรี)	Dead or Alive
นิจพล	Idempotenteco
วาสคิวลาร์แคมเบียม	Kambiumo
พฤศจิกายน พ.ศ. 2548	Novembro de 2005
กีฬามวยปล้ำในโอลิมปิกฤดูร้อน 1896	Somera Olimpiko 1896/lukto
หลอดแสงจันทร์	Hidrargovapora lampo
ปลาฉลามกรีนแลนด์	Gronlanda ŝarko
จดหมายลูกโซ่	Ĉenletero
พรรคคอมมิวนิสต์คิวบา	Kuba Komunisma Partio
รีดเดอร์ส ไดเจสท์	Reader’s Digest
เนื้อทราย	Porkocervo
สภาตึกสูงและที่อยู่อาศัยในเมือง	Konsilantaro por Altaj Konstruaĵoj kaj Urbaj Loĝejoj
สตรีหิมะ	Juki-onao
สึงะรุ	Cugaru (urbo)
มะเร็งหลอดอาหาร	Ezofaga kancero
สีสัน	Koloronuanco
ฟอร์ชูน	Fortune
ปริมุขมณฑล	Sufragana diocezo
นกช้อนหอยขาว	Nigrakapa ibiso
วอเดฟิตเกซเกชิ วิดด์อินนาตอิทโยปิยา	Wodefit Gesgeshi, Widd Innat Ityopp'ya
ชาร์ตเพลง	Muzikaĵrangolistoj
นิมฟ์	Nimfoj
การเดินทางของพาย พาเทล	Life of Pi
เพชรคูลลิแนน	Cullinan
ญิดดะฮ์	Ĝido
เมดีอาช	Mediaș
อียิปต์แอร์	EgyptAir
วงศ์ตะพาบ	Molkarapacaj testudoj
ไชนาเรดิโออินเตอร์เนชันแนล	Ĉina Radio Internacia
ธงชาติเวสเทิร์นสะฮารา	Flago de Araba Demokratia Sahara Respubliko
นกแสก (สกุล)	Turstrigo (genro)
นกแคสโซแวรีใต้	Suda kazuaro
สแตนดาร์ดออยล์	Standard Oil
อเมริกันกราฟฟิติ	American Graffiti
สภาล่าง	Malalta ĉambro
สหภาพโทรคมนาคมระหว่างประเทศ	Internacia Telekomunika Unio
นิคมช่องแคบ	Markolaj kolonioj
สีที่ใช้ในเว็บ	Koloroj por TTT
วิทยาการบาดเจ็บ	Traŭmatologio
จิตตะกอง	Ĉitagongo
ประเทศอุตสาหกรรมใหม่	Sojlolando
เปิดโลกอัศจรรย์ Planet Earth	Planet Earth (televida serio)
เบิร์ดส์ออฟอเมริกา	The Birds of America
ทฤษฎีแม่เหล็กไฟฟ้า	Klasika elektromagnetismo
ซานนีโกลาสเดโลสอาร์โรโยส	San Nicolás de los Arroyos
อินคิวบัส	Inkubo
สหรัฐอเมริกาในโอลิมปิกฤดูหนาว 1994	Usono en la Vintra Olimpiko 1994
หมึกมหึมา	Kolosa kalmaro
ประเทศออสเตรียในโอลิมปิกฤดูหนาว 2002	Aŭstrio en la Vintra Olimpiko 2002
ราเมือก	Mukofungoj
ปลาแฟนซีคาร์ป	Koi (fiŝo)
ฟรานเชสโคที่ 2 สฟอร์ซา	Francisko la 2-a Sforza
เทศกาลไหว้พระจันทร์	Luna Festo
มะเขือเทศต้น	Solanum betaceum
สมเด็จพระเจ้าศรีสว่างวงศ์	Sisavang Vong
สมเด็จพระเจ้าศรีสว่างวัฒนา	Savang Vatthana
เฉิน กวานซี	Edison Chen
คำกริยาวิเศษณ์	Adverbo
กิจกรรมบำบัด	Okup-terapio
ต้นไม้แบบทวิภาค	Duuma arbo
อ็องบาซัก	Ambazac
ข้าวทริทิเคลี	Tritikalo
พลังอะเดลข้ามขอบฟ้าโค่น 5 อภิมหาภัย	Les Aventures extraordinaires d'Adèle Blanc-Sec (filmo)
ตราแผ่นดินของตองกา	Blazono de Tongo
การหาลำดับดีเอ็นเอ	DNA-vicrivelado
โฮะกุริกุ	Hokuriku
เรียลลิตี้ ขนหัวลุก	Paranormala Aktiveco (filmo)
สังยุค (จำนวนเชิงซ้อน)	Kompleksa konjugito
โมเสก (เว็บเบราว์เซอร์)	Mosaic
การลอกคราบ	Mudo
ธงชาติสหพันธ์สาธารณรัฐสังคมนิยมยูโกสลาเวีย	Flago de Socialisma federacia respubliko Jugoslavio
สัตว์เลี้ยงลูกด้วยน้ำนมทางทะเล	Mara mamulo
รอกามาดูร์	Rocamadour
การปฏิวัติ ค.ศ. 1989	Falo de komunismo
โอเอซิส (วงดนตรี)	Oasis
โกซุ่น	Gao Shun
ดาวพฤหัสบดีร้อน	Varma Jupitero
ชาวจาม	Ĉamoj (etno)
ทาฮีนี	Sezama pasto
ปากเซ	Pakse
ลาว (กลุ่มชาติพันธุ์)	Laŭoj
การรถไฟญี่ปุ่น	Japana Nacia Fervojo
ข้อความอาเรซีโบ	Arecibo-mesaĝo
รูดอล์ฟ อีมิว คาลมาน	Rudolf Emil Kálmán
เว็บแบนเนอร์	Reklambendo
การก่อสร้าง	Konstruado
ดอมีนิก สโทรส-กาน	Dominique Strauss-Kahn
ตลาดนัด	Pulbazaro
อัลกูเดีย	Alcúdia
อ็อกเทฟ	Okto
หมู่เกาะดีเอโกรามีเรซ	Insuloj Diego Ramírez
โทคิโอโฮเทล	Tokio Hotel
นิปปงบุโดกัง	Nippon Budokan
ธันวาคม พ.ศ. 2554	Decembro de 2011
กันยายน พ.ศ. 2554	Septembro de 2011
สิงหาคม พ.ศ. 2554	Aŭgusto de 2011
PUREX	Pureks-procedo
มาซีร์	Mazir
วงศ์ปลาเตตร้าแอฟริกัน	Alestedoj
ไดโต	Dajto
เหยี่ยวปลาเล็กหัวเทา	Fiŝagleto
สงครามทุ่งกุรุเกษตร	Milito de Kurukŝetro
นกอ้ายงั่วแอฟริกัน	Afrika sagobirdo
อัฟโฟร	Afrika hararanĝo
หมัด (สัตว์)	Pulo
ระบบการจ่ายไฟฟ้าแก่ทางรถไฟ	Fervoja elektra sistemo
ฟุตบอลหญิงทีมชาติญี่ปุ่น	Japana virina nacia teamo de futbalo
ทศนิยมซ้ำ	Pozicia frakcio
เนะยะงะวะ	Nejagaŭa
จักรวรรดิอะคีเมนิด	Aĥemenida Imperio
เทคโนราที	Technorati
รากที่สองของสอง	Kvadrata radiko de 2
พระราชวังอ็องบวซ	Kastelo de Amboise
อินดิเพนเดนซ์ฮอลล์	Independence Hall
มหาวิหารซอลส์บรี	Katedralo de Salisbury
มหาวิหารลิงคอล์น	Katedralo Lincoln
จัตุรัสชาร์ล เดอ โกล	Placo Charles-de-Gaulle
ไก่ต๊อกอีแร้ง	Vulturnumido
คุณหมาไฮโซ โกบ้านนอก	Beverly Hills Chihuahua
นครหลวงเวียงจันทน์	Prefektejo Vjentiano
ปงอาแล็กซ็องดร์-ทรัว	Ponto Aleksandro la 3-a
บูร์ริโต	Burrito
สถาบันปาสเตอร์	Institut Pasteur
เบซาเม มูโช	Bésame mucho
อุทยานแห่งชาติวุดบัฟฟาโล	Nacia Parko de la Arbara Bizono
อุทยานแห่งชาตินาแฮนนี	Nacia Park-Rezervejo Nahanni
โรเจอร์ วิลเลียมส์	Roger Williams
พระราชวังไวต์ฮอล	Palaco Whitehall
มาทิลดาแห่งแฟลนเดิร์ส สมเด็จพระราชินีแห่งอังกฤษ	Matilda de Flandrio
กติการะหว่างประเทศว่าด้วยสิทธิพลเมืองและสิทธิทางการเมือง	Internacia Pakto pri Civilaj kaj Politikaj Rajtoj
การล้อมออร์เลอ็อง	Sieĝo de Orléans
พระราชบัญญัติอำนาจสูงสุดทางศาสนา	Gvidpova akto
พระวรสารนักบุญมัทธิว	Evangelio laŭ Mateo
กลุ่มปฐมชาติ	Unuaj nacioj
รถไฟใต้ดินมอนทรีออล	Metroo de Montrealo
จอรี	Żory
เล็งกา (แก้ความกำกวม)	Lenka (apartigilo)
พระอัคนี	Agni
ไมเคิล เจ. ฟอกซ์	Michael J. Fox
อกอสติโน ชิจิ	Agostino Chigi
DOM	DOM
จักรวรรดิเม็กซิโก	Imperiestro de Meksiko
กิฟุ	Gifu (apartigilo)
คาลวิน	Calvin
ถั่งเช่า	Ophiocordyceps sinensis
โทไก	Tokaja regiono
กเวรู	Gweru
RER (แก้ความกำกวม)	RER
PS2	PS2
BAN	BAN
ราชอาณาจักรโปแลนด์	Regno de Pollando
นีงะตะ	Niigata
มีนาคม พ.ศ. 2556	Marto de 2013
นอร์ม็องดี	Normandio (apartigilo)
ข่า (พืช)	Galango
ฮูโต๋	Suĉang
ไอยคุปต์	Egipto (mitologio)
โพลีไซคลิกอะโรมาติกไฮโดรคาร์บอน	Policikla aromata hidrokarbono
ไกลโฟเสต	Glifozato
ออกซิโคโดน	Okzikodono
วงศ์นกกินแมลงและนกกะราง	Timaliedoj
จดหมายของนักบุญเปาโลถึงชาวเอเฟซัส	Epistolo al la efesanoj
NED	NED
มีลอกซิแคม	Meloksikamo
ไซโคลโพรพีน	Ciklopropeno
พระเจ้าโกจง	Goĝong
อะกิฮะบะระ	Akihabara
ดาวเนปจูนร้อน	Varma Neptuno
เฝอ	Phở
ละไม	Baccaurea motleyana
อินเทอร์มีเดียท ฟิลาเมนท์	Intermeza filamento
ฟีแนนทรีน	Fenantreno
แอนทราซีน	Antraceno
แม่น้ำเจมส์	Rivero James (Virginio)
โปรโพฟอล	Propofolo
คิวโพลาสี่เหลี่ยมจัตุรัสอีลองเกต	Plilongigita kvadrata kupolo
พันธะไดซัลไฟด์	Disulfidponto
ดิจิท็อกซิน	Digitoksino
ดินแดนในอาณัติของสันนิบาตชาติ	Mandato de la Ligo de Nacioj
ออร์กาโนคลอรีน	Klorkarbonhidrogeno
เป็ดหงส์	Krestobeka anaso
วัด	Ŭat
โอปิออยด์	Opioido
1 E3 m	1 E3 m
รูเมน	Rumeno
ตะกอนธารน้ำแข็งไม่แสดงชั้น	Tilito
85	85 (nombro)
สีไวโอเลต	Viola
ทาแมนดัว	Tamanduo
มหาวิทยาลัยติรานา	Universitato de Tirano
วิศวกรรมคอมพิวเตอร์	Komputada inĝenierarto
โลหะเบา	Malpezmetaloj
สถานีรถไฟชิบุยะ	Stacio Shibuya
คาร์นาร์วอน	Caernarfon
ตารางธาตุ (ขยาย)	Ampleksa perioda tabelo
โนะโบะริเบะสึ	Noboribecu
สมัยเฮลเลนิสติก	Helenisma Epoko
โรเบร์ตู การ์ลูส	Roberto Carlos da Silva
สีชมพู	Roza
เชลแล็ก	Ŝelako
แกมมา ซีฟิอัส เอบี	Gamma Cephei b
ใบปิด	Afiŝo
ศิลปะและสถาปัตยกรรมคริสเตียนเริ่มแรก	Prakristana arto
สีทอง (มุทราศาสตร์)	Oro (heraldiko)
หอศิลป์เทต	Tate
นาซาเรธ	Nazareto
นกเปล้า	Verdaj kolomboj
รายนามมรณสักขีประจำวัน	Martirologio
เหยี่ยวรุ้ง	Kresta serpentaglo
ดอกบุกยักษ์	Kadavrofloro
ตราสินค้า	Varomarko
เลียงผาใต้	Sumatra serovo
มาทิลดา เอ็มเค I	Matilda I
แทนกันยีกา	Tanganjikio
อิริโอะโมะเตะ	Iriomote
แอนดรูว์ โกรฟ	Andrew Grove
27	27 (nombro)
.eh	.eh
.sj	.sj
.yu	.yu
.bv	.bv
.gb	.gb
จอห์น รอล์ฟ	John Rolfe
.tp	.tp
.um	.um
.zr	.zr
35	35 (nombro)
สรุปเหรียญโอลิมปิกฤดูหนาว 2002	Medaltabelo de la Vintra Olimpiko 2002
ทเวนตีท์เซนจูรีฟอกซ์	20th Century Fox
รอย ซัลลิแวน	Roy Sullivan
.dd	.dd
64	64 (nombro)
99	99 (nombro)
อะพอสทรอฟี	Apostrofo
แฮ็นดริก คริสโตฟเฟิล ฟัน เดอฮึลสต์	Hendrik Christoffel van de Hulst
ปาโอโล โจวีโอ	Paolo Giovio
ริชาร์ด เนวิลล์ เอิร์ลที่ 16 แห่งวอริก	Rikardo Neville (16-a grafo de Warwick)
จิตรกรรมเนเธอร์แลนด์เริ่มแรก	Flandraj Primitivuloj
การรักษาความลับ	Konfidenceco
ราชอาณาจักรโรมาเนียเก่า	Malnova reĝlando de Rumanio
เจ้าชายชาลส์ เคานต์แห่งฟลานเดอร์	Karolo de Belgio
นากใหญ่	Lutra
ซีวิลลอว์	Civila kodekso
ศาสนาอียิปต์โบราณ	Religio de Antikva Egiptio
หมวดหมู่:ประวัติศาสตร์แบ่งตามหัวข้อ	Kategorio:Historio laŭ temoj
หมวดหมู่:ประวัติศาสตร์สถาปัตยกรรม	Kategorio:Historio de arkitekturo
หมวดหมู่:ประวัติศาสตร์การทหาร	Kategorio:Milita historio
หมวดหมู่:ประวัติอินเทอร์เน็ต	Kategorio:Historio de Interreto
สมเด็จพระสันตะปาปาฟรานซิส	Francisko (papo)
นกโมอา	Dinornito
อัลเฟรด เวล	Alfred Vail
ออดงแห่งกลูว์นี	Odo de Cluny
อะมะเตะระซุ	Amaterasu
อามาติ	Amati
ISO 3166-2:JP	ISO 3166-2:JP
นกบูบีตีนฟ้า	Blukrura naivulo
สิทธารถะ	Sidarto (romano)
กร็องปาแล	Granda Palaco (Parizo)
มองก์ตัน	Monktono (Nov-Brunsviko)
นกกระเรียนกู่	Amerika gruo
กระดานโต้คลื่น	Surfotabulo
กติการะหว่างประเทศว่าด้วยสิทธิทางเศรษฐกิจ สังคม และวัฒนธรรม	Internacia Pakto pri Ekonomiaj, Sociaj kaj Kulturaj Rajtoj
มหาวิทยาลัยเดอรัม	Universitato de Durham
กองทัพสาธารณรัฐจีน	Armeo de la Respubliko de Ĉinio
แชลเลนเจอร์ดีป	Challenger-profundo
หอดูดาวลาซียา	Observatorio La Silla
เฟร์นันดู ลุยซ์ โรซา	Fernando Luiz Roza
ฟุตบอลโลกหญิง 1991	Virina Futbala Mondpokalo 1991
เฟดเอกซ์	FedEx
เชตูมัล	Chetumal
หัสตินาปุระ	Hastinapuro
คอสไร	Kosrae
อเลสซานโดร มาลาสปินา	Alessandro Malaspina
กลุ่มราชรัฐของจักรวรรดิโรมันอันศักดิ์สิทธิ์	Imperia cirklo
วัดโทได	Tōdai-ji
วัน-ทู-โก แอร์ไลน์ เที่ยวบินที่ 269	Flugo 269 de One-Two-GO
ฟูเรน	Voeren
คลีเมนไทน์	Klementino (frukto)
คูดูกู	Kuduguo
โทมัส ไรท์	Thomas Wright (astronomo)
ฮะดะโนะ	Hadano
สมเด็จพระราชินีแม็กซิมาแห่งเนเธอร์แลนด์	Máxima Zorreguieta
คลังข้อความ	Korpuso
ฮาเลิน	Halen (Belgio)
โมดูลัสของแรงเฉือน	Tonda elasta modulo
การแปลงพันธุ์ (พันธุศาสตร์)	Transformo
แฟนฟิกชัน	Fanatikfikcio
ลูกโลกประดับกางเขน	Regnoglobo
อาร์แซน ลูแปง	Arsène Lupin
หอดูดาวลิก	Observatorio Lick
สรุปเหรียญโอลิมปิกฤดูร้อน 1960	Medaltabelo de la Somera Olimpiko 1960
โกเวร์นาโดร์วาละดารีส	Governador Valadares
วงศ์ปลาสอด	Peciliedoj
จินตนาการไม่รู้จบ	La senĉesa rakonto
ซูเซนต์มารี (รัฐออนแทรีโอ)	Sault Ste. Marie (Ontario)
เสียงรัว ปุ่มเหงือก	Alveolara trilo
งูหางกระดิ่ง (สกุล)	Krotalo
สรุปเหรียญโอลิมปิกฤดูร้อน 1936	Medaltabelo de la Somera Olimpiko 1936
229 Adelinda	229 Adelindo
GNU Debugger	GDB
รายชื่อธงในสหราชอาณาจักร	Listo de britaj flagoj
ประวัติศาสนาพุทธ	Historio de budhismo
สรุปเหรียญโอลิมปิกฤดูร้อน 1996	Medaltabelo de la Somera Olimpiko 1996
ธันวาคม พ.ศ. 2548	Decembro de 2005
ความตกลงฉันทไมตรี	Kora Entento
