افریقہ	Afriko
سانچہ:مزید دیکھیے	Ŝablono:Vidu ankaŭ
سانچہ:User de	Ŝablono:Vikipediisto de
سانچہ:User de-1	Ŝablono:Vikipediisto de-1
سانچہ:User eu-4	Ŝablono:Vikipediisto eu-4
سانچہ:User de-3	Ŝablono:Vikipediisto de-3
سانچہ:User en-3	Ŝablono:Vikipediisto en-3
سانچہ:User en-1	Ŝablono:Vikipediisto en-1
سانچہ:User en-2	Ŝablono:Vikipediisto en-2
زمرہ:اقتصادی اصطلاحیات	Kategorio:Ekonomika terminologio
سانچہ:User fa-1	Ŝablono:Vikipediisto fa-1
سانچہ:User en-4	Ŝablono:Vikipediisto en-4
سانچہ:User fi	Ŝablono:Vikipediisto fi-D
سانچہ:User en-0	Ŝablono:Vikipediisto en-0
سانچہ:User es-4	Ŝablono:Vikipediisto es-4
سانچہ:User en	Ŝablono:Vikipediisto en
سانچہ:User de-2	Ŝablono:Vikipediisto de-2
سانچہ:User es-1	Ŝablono:Vikipediisto es-1
زمرہ:اقتصادی نظام	Kategorio:Ekonomiaj sistemoj
سانچہ:User fa	Ŝablono:Vikipediisto fa
سانچہ:User fr-1	Ŝablono:Vikipediisto fr-1
زمرہ:امریکی ثقافت	Kategorio:Kulturo de Usono
زمرہ:ثقافت بلحاظ قومیت	Kategorio:Kulturo laŭ landoj
زمرہ:افغان ثقافت	Kategorio:Kulturo de Afganio
زمرہ:مادہ	Kategorio:Materio
زمرہ:تصورات	Kategorio:Ideoj
زمرہ:حیات	Kategorio:Vivo
زمرہ:کائنات	Kategorio:Universo
سانچہ:Location map Crimea	Ŝablono:Situo sur mapo Ukrainio Krimeo
زمرہ:آرمینیائی نسل کشی	Kategorio:Armena Genocido
سانچہ:Location map Spain Andalusia	Ŝablono:Situo sur mapo Hispanio Andaluzio
سانچہ:Location map Spain Catalonia	Ŝablono:Situo sur mapo Hispanio Katalunio
سانچہ:User ja	Ŝablono:Vikipediisto ja
سانچہ:User ja-1	Ŝablono:Vikipediisto ja-1
سانچہ:User it-1	Ŝablono:Vikipediisto it-1
سانچہ:User fr	Ŝablono:Vikipediisto fr
زمرہ:نسل کشی	Kategorio:Genocido
سانچہ:غیر دستخط شدہ	Ŝablono:Subskribo
کوزکو	Kusko
سانچہ:Pl icon	Ŝablono:Pl
زمرہ:نمیبیا کی ثقافت	Kategorio:Kulturo de Namibio
زمرہ:جنوبی افریقہ کی زبانیں	Kategorio:Lingvoj de Sud-Afriko
زمرہ:سیاحت	Kategorio:Turismo
زمرہ:بھارت میں سیاحت	Kategorio:Turismo en Barato
زمرہ:نمیبیا کی زبانیں	Kategorio:Lingvoj de Namibio
زمرہ:وبائیات	Kategorio:Epidemiologio
زمرہ:کاذب سائنس	Kategorio:Pseŭdoscienco
سانچہ:عرب لیگ	Ŝablono:Ligo de Arabaj Ŝtatoj
زمرہ:فروری	Kategorio:Februaro
زمرہ:1949ء	Kategorio:1949
زمرہ:1927ء	Kategorio:1927
زمرہ:1919ء	Kategorio:1919
سانچہ:Location map/info	Ŝablono:Situo sur mapo/informoj
زمرہ:خانہ جات تصفح	Kategorio:Ŝablono:Navigilo
زمرہ:حشرات الارض	Kategorio:Insektoj
زمرہ:مالدووا	Kategorio:Moldavio
زمرہ:آذربائیجان	Kategorio:Azerbajĝano
زمرہ:خاندانہائے حکمران	Kategorio:Dinastioj
زمرہ:ایشیاء	Kategorio:Azio
زمرہ:چلی	Kategorio:Ĉilio
زمرہ:جنوبی افریقہ کے صوبے	Kategorio:Provincoj de Sud-Afriko
زمرہ:اکیسویں صدی	Kategorio:21-a jarcento
زمرہ:لیسوتھو	Kategorio:Lesoto
زمرہ:ویکیپیڈیا اصلاحی سانچے	Kategorio:Ŝablono:Zorgilo
زمرہ:جنوبی امریکہ	Kategorio:Sudameriko
زمرہ:قشتالہ و لیون	Kategorio:Kastilio kaj Leono
زمرہ:1936ء	Kategorio:1936
زمرہ:1947ء	Kategorio:1947
سانچہ:مخفی	Ŝablono:Esotera
زمرہ:1937ء	Kategorio:1937
زمرہ:1940ء	Kategorio:1940
زمرہ:1934ء	Kategorio:1934
خام ریاستی پیداوار	Malneta Geografia Produkto
زمرہ:1960ء	Kategorio:1960
زمرہ:1943ء	Kategorio:1943
زمرہ:1951ء	Kategorio:1951
زمرہ:1942ء	Kategorio:1942
زمرہ:اطالیہ کے علاقے	Kategorio:Regionoj de Italio
زمرہ:1938ء	Kategorio:1938
زمرہ:1928ء	Kategorio:1928
زمرہ:1913ء	Kategorio:1913
زمرہ:1918ء	Kategorio:1918
زمرہ:ملائیشیا	Kategorio:Malajzio
زمرہ:1941ء	Kategorio:1941
زمرہ:1955ء	Kategorio:1955
زمرہ:1950ء	Kategorio:1950
زمرہ:خوراکیں	Kategorio:Manĝaĵoj
زمرہ:1921ء	Kategorio:1921
زمرہ:1977ء	Kategorio:1977
زمرہ:1946ء	Kategorio:1946
زمرہ:1948ء	Kategorio:1948
زمرہ:1932ء	Kategorio:1932
زمرہ:فٹ بال ایسوسی ایشن	Kategorio:Futbalo
زمرہ:1945ء	Kategorio:1945
سانچہ:Mod	Ŝablono:Mod
زمرہ:1923ء	Kategorio:1923
زمرہ:1935ء	Kategorio:1935
زمرہ:1910ء	Kategorio:1910
زمرہ:1917ء	Kategorio:1917
زمرہ:1904ء	Kategorio:1904
زمرہ:1926ء	Kategorio:1926
سانچہ:NowCommons	Ŝablono:Nun en Komunejo
زمرہ:1907ء	Kategorio:1907
زمرہ:1914ء	Kategorio:1914
سانچہ:Infobox language/codelist	Ŝablono:ISO639-3 ligilo
زمرہ:1929ء	Kategorio:1929
زمرہ:1920ء	Kategorio:1920
زمرہ:1925ء	Kategorio:1925
زمرہ:1905ء	Kategorio:1905
زمرہ:1915ء	Kategorio:1915
زمرہ:دائرۃ المعارف	Kategorio:Enciklopedioj
زمرہ:1908ء	Kategorio:1908
زمرہ:صارف انتباہی سانچے	Kategorio:Ŝablono:Averto por uzantoj
سانچہ:Infobox football club	Ŝablono:Informkesto futbalteamo
سانچہ:Newuser	Ŝablono:Bonvenon
زمرہ:1901ء	Kategorio:1901
زمرہ:1903ء	Kategorio:1903
زمرہ:1902ء	Kategorio:1902
زمرہ:1900ء	Kategorio:1900
سانچہ:روسی علامتیہ	Ŝablono:Ru
سانچہ:ویکیپیڈیا ساتھی منصوبے	Ŝablono:ĈefPaĝo/AliajProjektoj
زمرہ:1933ء	Kategorio:1933
زمرہ:سانچہ جات برائے بیرونی روابط	Kategorio:Ŝablono:Eksteraj ligiloj
زمرہ:ہفتہ کے دن	Kategorio:Tagoj de la semajno
زمرہ:1912ء	Kategorio:1912
سانچہ:جولیئن مہینے	Ŝablono:MonatEnkonduko
زمرہ:چاند	Kategorio:Luno
زمرہ:اسپین کی فٹ بال انجمنیں	Kategorio:Hispanaj futbalteamoj
زمرہ:ویکی	Kategorio:Vikio
زمرہ:انسانی ابلاغیات	Kategorio:Homa komunikado
زمرہ:آذربائیجان کے اضلاع	Kategorio:Distriktoj de Azerbajĝano
زمرہ:علم الادویہ	Kategorio:Farmakologio
زمرہ:تنظیمیں	Kategorio:Organizaĵoj
زمرہ:لسانیات	Kategorio:Lingvoscienco
سانچہ:Football kit	Ŝablono:Ĉemizo
زمرہ:1911ء	Kategorio:1911
زمرہ:1922ء	Kategorio:1922
زمرہ:1924ء	Kategorio:1924
سانچہ:طق	Ŝablono:Ligo el bildo
زمرہ:1906ء	Kategorio:1906
زمرہ:پراسرار	Kategorio:Okultismo
سانچہ:BOL	Ŝablono:BOL
زمرہ:سانچہ جات روابط	Kategorio:Ŝablono:Lighelpo
سانچہ:Userbox-2	Ŝablono:Uzantoskatolo-2
سانچہ:Infobox IPA	Ŝablono:Informkesto IFA
زمرہ:User fr-1	Kategorio:Vikipediisto fr-1
سانچہ:وکی اقتباسات	Ŝablono:Vikicitaro
زمرہ:یورپی سانچے	Kategorio:Ŝablono:Eŭropo
زمرہ:فلسطین کے شہر	Kategorio:Urboj de Palestino
سانچہ:سرکاری ویب سائٹ	Ŝablono:Oficiala retejo
زمرہ:قومی ترانے	Kategorio:Naciaj himnoj
زمرہ:حسی نظام	Kategorio:Sensa sistemo
سانچہ:Category tree	Ŝablono:Kategoriarbo
سانچہ:MAR	Ŝablono:MAR
سانچہ:Infobox Olympic games	Ŝablono:Informkesto olimpiko
زمرہ:بلیاں	Kategorio:Katoj
سانچہ:خانۂ معلومات مصنف	Ŝablono:Informkesto verkisto
سانچہ:نامکمل زمرہ	Ŝablono:Ĝermokategorio
سانچہ:خانہ معلومات ہوائی اڈا	Ŝablono:Informkesto flughaveno
سانچہ:Ja icon	Ŝablono:Ja
زمرہ:سابقہ ولندیزی مستعمرات	Kategorio:Iamaj kolonioj de Nederlando
سانچہ:Ahnentafel-compact5	Ŝablono:Ahnentafel-compact5
سانچہ:ویکیمیڈیا فاؤنڈیشن	Ŝablono:Vikimedia fondaĵo
سانچہ:جغرافیائی مقام	Ŝablono:Geografia ĉirkaŭaĵo
سانچہ:خانۂ شخصیت برائے فن موسیقی	Ŝablono:Informkesto muzika artisto
سانچہ:امریکی سیاسی تقسیم	Ŝablono:Usonaj ŝtatoj
سانچہ:List collapsed	Ŝablono:Kaŝebla listo
سانچہ:Sidebar	Ŝablono:Flanka kesto2
سانچہ:خانہ معلومات جزائر	Ŝablono:Informkesto insulo
سانچہ:زیر ترمیم	Ŝablono:Redaktas
سانچہ:Es icon	Ŝablono:Es
زمرہ:برقی العاب	Kategorio:Videoludo
سانچہ:ISBN	Ŝablono:ISBN
سانچہ:Ambox	Ŝablono:ArtikolaMesaĝokesto
زمرہ:آئینات	Kategorio:Konstitucioj
سانچہ:ویکیپیڈیا زمرہ	Ŝablono:Prizorga kategorio
سانچہ:TWN	Ŝablono:TWN
سانچہ:زلزلہ	Ŝablono:Informkesto tertremo
سانچہ:EGY	Ŝablono:EGY
سانچہ:خانہ معلومات قومی ترانہ	Ŝablono:Informkesto nacia himno
سانچہ:Navigational templates	Ŝablono:Navigilaro
زمرہ:خزافت	Kategorio:Ceramiko
زمرہ:تاریخ ریاستہائے متحدہ امریکہ	Kategorio:Historio de Usono
زمرہ:سائنسی انجمان	Kategorio:Sciencaj socioj
سانچہ:Sv icon	Ŝablono:Sv
زمرہ:اوکیناوا پریفیکچر	Kategorio:Gubernio Okinavo
سانچہ:زمرہ برائے سانچہ جات	Ŝablono:Ŝablonkategoriado
زمرہ:صوبے	Kategorio:Provincoj
سانچہ:Dunno	Ŝablono:Ĉu vi scias
سانچہ:Infobox Prefecture Japan	Ŝablono:Japana gubernio
زمرہ:آزاد مشمولہ	Kategorio:Liberaj verkoj
سانچہ:خانۂ معلومات ملک	Ŝablono:Informkesto lando
سانچہ:خانۂ معلومات مصنع لطیف	Ŝablono:Informkesto programaro
سانچہ:Column-count	Ŝablono:Kolumno-nombro
سانچہ:خانۂ معلومات طیرانیہ	Ŝablono:Informkesto flugkompanio
سانچہ:Fi icon	Ŝablono:Fi
سانچہ:Wide image	Ŝablono:Granda dosiero
سانچہ:خانۂ معلومات ہوائی حادثہ	Ŝablono:Informkesto aviadila akcidento
سانچہ:حرب	Ŝablono:Informkesto milito
سانچہ:خانہ معلومات خاندان زبان	Ŝablono:Informkesto lingva familio
سانچہ:Str left	Ŝablono:Lin mald
سانچہ:تکمیل	Ŝablono:Farita
سانچہ:Str sub	Ŝablono:Lin sub
زمرہ:کتب بلحاظ صنف	Kategorio:Libroj laŭ ĝenroj
سانچہ:آواز	Ŝablono:Aŭdio
سانچہ:Flatlist	Ŝablono:Listo de elementoj
سانچہ:سیاسی جماعت	Ŝablono:Informkesto politika partio
سانچہ:ROU	Ŝablono:ROU
سانچہ:BHR	Ŝablono:BHR
سانچہ:خانہ معلومات منفعت بخش	Ŝablono:Informkesto Asocio
سانچہ:Infobox Town AT	Ŝablono:Urbo at
سانچہ:خانہ معلومات خاندان	Ŝablono:Informkesto familio
سانچہ:خانہ معلومات پہاڑی درے	Ŝablono:Informkesto montpasejo
سانچہ:Tmbox	Ŝablono:DiskutaMesaĝokesto
سانچہ:Navbox with columns	Ŝablono:Navigilo kun kolumnoj
سانچہ:خانہ معلومات ویڈیو کھیل	Ŝablono:Informkesto komputila kaj videoludo
سانچہ:S-start	Ŝablono:Komencskatolo
سانچہ:IsLeapYear	Ŝablono:ISLEAPYEAR
سانچہ:عمر سالوں اور دنوں میں	Ŝablono:Aĝo en jaroj kaj tagoj
سانچہ:اداری	Ŝablono:Regulo
زمرہ:فرانس کی ذیلی تقسیم	Kategorio:Teritoria organizado de Francio
سانچہ:Nom	Ŝablono:Nomumita
زمرہ:روس کی جامعات	Kategorio:Universitatoj de Rusio
سانچہ:Sk icon	Ŝablono:Sk
سانچہ:Infobox U.S. county	Ŝablono:Informkesto usona kantono
زمرہ:برطانیہ کی ذیلی تقسیم	Kategorio:Teritoria organizado de Unuiĝinta Reĝlando
سانچہ:صفائی نو لکھائی	Ŝablono:Polurinda
سانچہ:DJI	Ŝablono:DJI
زمرہ:آباد مقامات	Kategorio:Loĝlokoj
سانچہ:Infobox Province or territory of Canada	Ŝablono:Informkesto kanada provinco-teritorio
سانچہ:خانہ معلومات جامعہ	Ŝablono:Informkesto universitato
سانچہ:حوالہ رسالہ	Ŝablono:Citaĵo el gazeto
سانچہ:معلوماتی خانہ کمپنی	Ŝablono:Informkesto firmao
سانچہ:BRN	Ŝablono:BRN
سانچہ:وکی کتب	Ŝablono:Vikilibroj
سانچہ:صارف فائر فاکس/دستاویز	Ŝablono:Uzanto Mozilo
سانچہ:Gl icon	Ŝablono:Gl
زمرہ:ہسپانیہ قومی فٹ بال ٹیم	Kategorio:Hispana nacia teamo de futbalo
سانچہ:Ar	Ŝablono:Lang-ar
سانچہ:Cite news	Ŝablono:Citaĵo el novaĵo
سانچہ:شجرہ نسب	Ŝablono:Genealogia arbo
سانچہ:Location map	Ŝablono:Situo sur mapo
زمرہ:حرکیاتی نظامات	Kategorio:Dinamikaj sistemoj
سانچہ:S-aft	Ŝablono:S-aft
سانچہ:منتخب مقالہ	Ŝablono:Elstara
سانچہ:Zh	Ŝablono:Zh-c
زمرہ:فلسفہ بلحاظ خطہ	Kategorio:Filozofio laŭ regiono
زمرہ:1875ء کی پیدائشیں	Kategorio:Naskiĝintoj en 1875
زمرہ:1856ء کی پیدائشیں	Kategorio:Naskiĝintoj en 1856
سانچہ:Infobox monarch	Ŝablono:Informkesto reganto
زمرہ:گھانا	Kategorio:Ganao
زمرہ:پیرس	Kategorio:Parizo
زمرہ:User en-4	Kategorio:Vikipediisto en-4
زمرہ:ٹوگو	Kategorio:Togolando
زمرہ:User en	Kategorio:Vikipediisto en
سانچہ:Ordinal	Ŝablono:Ordinara
زمرہ:User zh	Kategorio:Vikipediisto zh
سانچہ:خانہ معلومات اعزاز	Ŝablono:Informkesto Premio
زمرہ:کروشیا	Kategorio:Kroatio
زمرہ:User en-2	Kategorio:Vikipediisto en-2
سانچہ:خانہ معلومات	Ŝablono:Informkesto
سانچہ:خانہ معلومات آلہ	Ŝablono:Informkesto muzikilo
سانچہ:ایران کے صوبے	Ŝablono:Provincoj de Irano
سانچہ:دائیں فہرست	Ŝablono:TOC-dekstre
زمرہ:1902ء کی وفیات	Kategorio:Mortintoj en 1902
سانچہ:Main other	Ŝablono:Ĉu artikolo
سانچہ:RankedMedalTable	Ŝablono:TabeloDeMedalaKlasifiko
سانچہ:Infobox Italian comune	Ŝablono:Informkesto urbo de Italio
سانچہ:User zh	Ŝablono:Vikipediisto zh
زمرہ:بادشاہان فرانس	Kategorio:Francaj reĝoj
زمرہ:حروف تہجی	Kategorio:Alfabeto
سانچہ:Colorbox	Ŝablono:Kolorita kesto
زمرہ:تاریخ شمالی امریکہ	Kategorio:Historio de Nordameriko
زمرہ:تاریخ بلحاظ ملک	Kategorio:Historio laŭ landoj
زمرہ:اسرائیلی وزرائے اعظم	Kategorio:Ĉefministroj de Israelo
زمرہ:اطالوی وزرائے اعظم	Kategorio:Ĉefministroj de Italio
سانچہ:Template other	Ŝablono:Ĉu ŝablono
زمرہ:روس کے عجائب گھر	Kategorio:Muzeoj de Rusio
زمرہ:برطانوی مصنفین	Kategorio:Britaj verkistoj
زمرہ:ترک وزرائے اعظم	Kategorio:Ĉefministroj de Turkio
زمرہ:عبادت گاہیں بلحاظ ملک	Kategorio:Religiaj konstruaĵoj laŭ landoj
زمرہ:دفتری سازوسامان	Kategorio:Oficeja aparataro
سانچہ:حوالہ ویب	Ŝablono:Citaĵo el la reto
زمرہ:فعال نفسی ادویات	Kategorio:Psikostimulaj substancoj
سانچہ:یوٹیوب	Ŝablono:YouTube
زمرہ:عسکری سازوسامان	Kategorio:Milita tekniko
زمرہ:احتمال نظریہ	Kategorio:Teorio de probabloj
زمرہ:سوانح حیات	Kategorio:Biografio
زمرہ:درسی ادارے	Kategorio:Akademioj
سانچہ:خانہ معلومات نظام تحریر	Ŝablono:Informkesto skribo
سانچہ:آئی ایم ڈی بی عنوان	Ŝablono:IMDb titolo
زمرہ:طیران	Kategorio:Aviado
زمرہ:زمرہ جات بلحاظ ملک	Kategorio:Kategorioj laŭ landoj
سانچہ:Lx	Ŝablono:Lx
زمرہ:اسماء	Kategorio:Nomoj
سانچہ:Infobox ocean	Ŝablono:Informkesto maro
زمرہ:یوکرین کی جامعات	Kategorio:Universitatoj de Ukrainio
سانچہ:ارجنٹائن کے صوبے	Ŝablono:ArgentinoProvincoj
زمرہ:مرافقات شمارندی مصنع کثیف	Kategorio:Firmaoj pri aparataro
زمرہ:افریقہ کی بین الاقوامی تنظیمیں	Kategorio:Internaciaj organizaĵoj en Afriko
زمرہ:ترکی کے شہر	Kategorio:Urboj de Turkio
سانچہ:ارضی سانچہ	Ŝablono:GeoTemplate
زمرہ:خوراک و مشروب	Kategorio:Kuirarto
زمرہ:شکر	Kategorio:Sukero
زمرہ:جرائد	Kategorio:Gazetoj
زمرہ:نظریہ احصاء	Kategorio:Statistika teorio
سانچہ:اطلاع	Ŝablono:Bone!
زمرہ:ترجمہ	Kategorio:Traduko
زمرہ:تعمیرات	Kategorio:Konstruado
سانچہ:Pp-template	Ŝablono:Pp-ŝablono
سانچہ:Middot	Ŝablono:·
زمرہ:تاریخ نیدرلینڈز	Kategorio:Historio de Nederlando
سانچہ:User nl-1	Ŝablono:Vikipediisto nl-1
زمرہ:کولمبیا کے محکمہ جات	Kategorio:Departementoj de Kolombio
زمرہ:پولینڈ کی جامعات	Kategorio:Universitatoj de Pollando
زمرہ:علامتیت	Kategorio:Simboliko
زمرہ:گرنزی	Kategorio:Guernsey
زمرہ:تاریخی کتب	Kategorio:Historiaj libroj
سانچہ:Subon	Ŝablono:Eniris
سانچہ:BS	Ŝablono:FL
زمرہ:دیوتا	Kategorio:Gedioj
زمرہ:جرمنی کی عبادت گاہیں	Kategorio:Religiaj konstruaĵoj en Germanio
سانچہ:ویکی لغت	Ŝablono:Vikivortaro
زمرہ:انتساخ	Kategorio:Transliteruma sistemo
سانچہ:User nl-2	Ŝablono:Vikipediisto nl-2
سانچہ:BS3	Ŝablono:FL3
زمرہ:مذہبی قانون	Kategorio:Religia juro
زمرہ:وزرائے خارجہ	Kategorio:Ministroj pri eksteraj rilatoj
زمرہ:قدیم جرمن اقوام	Kategorio:Antikvaj ĝermanoj
زمرہ:مذہبی عمارات	Kategorio:Religiaj konstruaĵoj
زمرہ:ڈنمارک کے شہر	Kategorio:Urboj de Danio
زمرہ:دماغ	Kategorio:Cerbo
سانچہ:Language icon	Ŝablono:Ref-lang
زمرہ:شخصیات عبرانی کتاب مقدس	Kategorio:Roluloj de la Tanaĥo
سانچہ:Cartella	Ŝablono:Kvadrata kadro
زمرہ:زراعت	Kategorio:Agrikulturo
زمرہ:غیر افسانوی کتب	Kategorio:Nefikciaj libroj
زمرہ:مرگ انبوہ	Kategorio:Holokaŭsto
زمرہ:جغرافیہ قازقستان	Kategorio:Geografio de Kazaĥio
زمرہ:روسی کیمیادان	Kategorio:Kemiistoj de Rusio
زمرہ:آذربائیجان کی سیاست	Kategorio:Politiko de Azerbajĝano
زمرہ:قبرصی شخصیات	Kategorio:Kipranoj
زمرہ:آبی نقل و حمل	Kategorio:Akva transporto
زمرہ:قبرص کی سیاست	Kategorio:Politiko de Kipro
زمرہ:قبرصی سیاستدان	Kategorio:Kipraj politikistoj
زمرہ:تاتاری شخصیات	Kategorio:Tataroj
زمرہ:بھارتی فلمیں	Kategorio:Barataj filmoj
زمرہ:خرد حیاتیات	Kategorio:Mikrobiologio
زمرہ:قازقستان کے دریا	Kategorio:Riveroj en Kazaĥio
زمرہ:جرمنی کے عجائب گھر	Kategorio:Muzeoj en Germanio
زمرہ:برطانیہ کے عجائب گھر	Kategorio:Muzeoj de Britio
زمرہ:اطالیہ کے عجائب گھر	Kategorio:Muzeoj de Italio
زمرہ:سامان	Kategorio:Varoj
سانچہ:Pp-semi-template	Ŝablono:Pp-duone-ŝablono
زمرہ:فرانس میں تعلیم	Kategorio:Edukado en Francio
زمرہ:نیدرلینڈز کے عجائب گھر	Kategorio:Muzeoj de Nederlando
زمرہ:برکینا فاسو کے دریا	Kategorio:Riveroj en Burkino
زمرہ:سلووینیا کی جھیلیں	Kategorio:Lagoj de Slovenio
زمرہ:میساچوسٹس کے شہر	Kategorio:Urboj de Masaĉuseco
زمرہ:وثائق	Kategorio:Arkivoj
زمرہ:نیدرلینڈز کی زبانیں	Kategorio:Lingvoj de Nederlando
زمرہ:مقداریہ آلاتیات	Kategorio:Kvantummekaniko
زمرہ:عمومی ادارے	Kategorio:Publika administracio
زمرہ:صدور	Kategorio:Prezidantoj
زمرہ:پہاڑ	Kategorio:Montoj
زمرہ:کالج	Kategorio:Universitatoj kaj altlernejoj
زمرہ:برطانیہ عظمٰی	Kategorio:Britio
سانچہ:User ru	Ŝablono:Vikipediisto ru
سانچہ:منتظم	Ŝablono:Admininfo
زمرہ:موجودہ قومی حکمران	Kategorio:Nuntempaj ŝtatestroj
زمرہ:ادبی اصطلاحات	Kategorio:Literaturaj nocioj
زمرہ:بیسویں صدی	Kategorio:20-a jarcento
سانچہ:IPA	Ŝablono:IFA
سانچہ:ITIS	Ŝablono:ITIS
سانچہ:BS2	Ŝablono:FL2
زمرہ:سیاستدان	Kategorio:Politikistoj
سانچہ:یتیم	Ŝablono:Orfa
زمرہ:سرزمینی تنازعات	Kategorio:Disputeblaj teritorioj
زمرہ:امریکین	Kategorio:Ameriko
سانچہ:کتب عہد نامہ جدید	Ŝablono:Libroj de La Nova Testamento
سانچہ:دیگر استعمال	Ŝablono:Aliaj signifoj
زمرہ:مصالحہ جات	Kategorio:Spicoj
سانچہ:دیگر	Ŝablono:TemasPri
زمرہ:سلامتی	Kategorio:Protektado
سانچہ:GFDL	Ŝablono:GFDL
زمرہ:فلم اصناف	Kategorio:Filmĝenroj
زمرہ:نوبل امن انعام یافتہ شخصیات	Kategorio:Nobel-premiitoj pri paco
زمرہ:عسکری اکائیاں اور تشکیلات	Kategorio:Militaj unuoj
زمرہ:شخصیات بلحاظ قومیت	Kategorio:Homoj laŭ nacioj
زمرہ:بازنطینی سلطنت	Kategorio:Bizanca imperio
زمرہ:فلسطین	Kategorio:Palestino
زمرہ:مترجمین	Kategorio:Tradukistoj
سانچہ:امریکی صدور	Ŝablono:Prezidentoj de Usono
زمرہ:فرشتے	Kategorio:Anĝeloj
سانچہ:دیگر زبان میں	Ŝablono:LingvoKunNomo
زمرہ:ترکی کے علاقے	Kategorio:Regionoj de Turkio
زمرہ:ریاست واشنگٹن	Kategorio:Vaŝingtonio
زمرہ:مراکش کے شہر	Kategorio:Urboj de Maroko
سانچہ:Imbox	Ŝablono:BildaMesaĝokesto
زمرہ:یونانی معبود	Kategorio:Helenaj gedioj
سانچہ:خانہ معلومات پہاڑ	Ŝablono:Informkesto monto
سانچہ:Rellink	Ŝablono:RilataLigilo
سانچہ:Navbox subgroup	Ŝablono:Navigilo subgrupo
سانچہ:دلیل استعمال غیر آزاد	Ŝablono:Informkesto justa uzo
زمرہ:تاریخ بلحاظ دور	Kategorio:Historio laŭ periodoj
سانچہ:سال پیدائش اور عمر	Ŝablono:Naskiĝdato kaj aĝo
سانچہ:Did you know	Ŝablono:ĈefPaĝo/ĈuViSciasKe
سانچہ:فہرست افریقی دارالحکومت	Ŝablono:Afrikaj ĉefurboj
سانچہ:ٹی وی چینل	Ŝablono:Informkesto televida kanalo
سانچہ:خانہ معلومات نسلی گروہ	Ŝablono:Informkesto etnaj grupoj
سانچہ:خانہ وثق	Ŝablono:Arkivo
زمرہ:پیمائشی اکائیاں	Kategorio:Mezurunuoj
سانچہ:نام مہینہ	Ŝablono:Nomo de monato
سانچہ:زمرہ رجوع مکرر	Ŝablono:Kategoria alidirekto
سانچہ:اٹلی کے علاقے	Ŝablono:Regionoj de Italio
سانچہ:Infobox officeholder	Ŝablono:Informkesto politikisto
سانچہ:Commons category-inline	Ŝablono:Komunejokat
سانچہ:Sister project links	Ŝablono:Projektoj
زمرہ:انقلابات	Kategorio:Revoluciuloj
سانچہ:CPV	Ŝablono:CPV
سانچہ:Sortname	Ŝablono:Ordiginomo
سانچہ:خانہ معلومات محفوظ علاقہ	Ŝablono:Informkesto protektita tereno
زمرہ:لکڑکاری	Kategorio:Lignoprilaboro
سانچہ:کنارا	Ŝablono:Bordero
زمرہ:ترک زبان	Kategorio:Turka lingvo
زمرہ:خودمختار ہسپانوی اسماج	Kategorio:Aŭtonomaj Komunumoj de Hispanio
سانچہ:تاریخ وفات اور عمر	Ŝablono:Mortodato kaj aĝo
زمرہ:قذاقی	Kategorio:Pirato
زمرہ:1879ء کی پیدائشیں	Kategorio:Naskiĝintoj en 1879
سانچہ:URS	Ŝablono:Sovetio
سانچہ:عدد مہینہ	Ŝablono:Nombro de monato
زمرہ:افراد کے نامکمل مضامین	Kategorio:Ĝermoj pri biografio
زمرہ:1955ء کی پیدائشیں	Kategorio:Naskiĝintoj en 1955
زمرہ:سماجی جالکارات	Kategorio:Sociaj retejoj
سانچہ:Top icon	Ŝablono:Titola ikono
زمرہ:1823ء کی پیدائشیں	Kategorio:Naskiĝintoj en 1823
زمرہ:1963ء کی پیدائشیں	Kategorio:Naskiĝintoj en 1963
سانچہ:Namespace detect	Ŝablono:Determinas nomspacon
سانچہ:PD-USGov	Ŝablono:PD-Usono-registaro
زمرہ:1884ء کی وفیات	Kategorio:Mortintoj en 1884
زمرہ:1875ء کی وفیات	Kategorio:Mortintoj en 1875
زمرہ:1868ء کی پیدائشیں	Kategorio:Naskiĝintoj en 1868
زمرہ:عبرانی کتاب مقدس	Kategorio:Tanaĥo
زمرہ:1812ء کی پیدائشیں	Kategorio:Naskiĝintoj en 1812
زمرہ:1817ء کی پیدائشیں	Kategorio:Naskiĝintoj en 1817
زمرہ:1837ء کی پیدائشیں	Kategorio:Naskiĝintoj en 1837
زمرہ:نوبل انعام یافتہ طبیعیات دان	Kategorio:Nobel-premiitoj pri fiziko
زمرہ:1863ء کی وفیات	Kategorio:Mortintoj en 1863
زمرہ:1829ء کی پیدائشیں	Kategorio:Naskiĝintoj en 1829
زمرہ:نوبل انعام یافتہ کیمیا دان	Kategorio:Nobel-premiitoj pri kemio
زمرہ:1998ء کی پیدائشیں	Kategorio:Naskiĝintoj en 1998
زمرہ:1802ء کی وفیات	Kategorio:Mortintoj en 1802
زمرہ:یہود	Kategorio:Judoj
زمرہ:1801ء کی وفیات	Kategorio:Mortintoj en 1801
زمرہ:دنیائے عرب	Kategorio:Araba mondo
زمرہ:1492ء کی وفیات	Kategorio:Mortintoj en 1492
زمرہ:1834ء کی پیدائشیں	Kategorio:Naskiĝintoj en 1834
زمرہ:1498ء کی وفیات	Kategorio:Mortintoj en 1498
