Aphrika	Afriko
K'iché	Kiĉeoj
Puru-puru	Pantoflofloro
Kutu-kutu yura rikch'aq ayllu	Pteridacoj
Atakama kachi qucha	Salar de Atacama
Jorge Chávez antanka pampa	Flughaveno Jorge Chávez
Mariana Pineda	Mariana Pineda
Qallpa	Novalo
Tarnazsadány	Tarnazsadány
Thami	Placento
Warmi unquy hampikamayuq	Ginekologio
Rakiy	Divido
Misk'itanta mama llaqta parki	Nacia Parko Pan de Azúcar
Pachakamilla Kristu	Sinjoro de Mirakloj
Antanka panpa	Flughaveno
Católica de la Santísima Concepción Yachay Suntur	Universidad Católica de la Santísima Concepción
Suysuspa mikhuq	Filtromanĝanto
Huqin	Huĉino
Yuraqtupsa pawshi	Salvina mutuo
Chitkin	Strikukolo
Churuta	Nigraflugila grundokolombo
Manaqaraku	Punktortalo
Llut'u	Ornamtinamo
Doña Bárbara (kawsay rikch'a)	Doña Bárbara
Mati	Lagenario
Wichi	Viĉioj
60 watakuna	60-aj jaroj
50 watakuna	50-aj jaroj
40 watakuna	40-aj jaroj
30 watakuna	30-aj jaroj
Kullay	Palpado
Shuwar	Ŝuaroj
Antañiqiq llika	Komputila reto
Uywasqa	Listo de bredbestoj
Kamachiy	Regformo
K'ichkimat'i pawkar	Ruĝecdorsa psarokolio
Runtucha	Ovolo (bestoscienco)
Wayaqa	Sako
Pinsha	Tukano (birdo)
Moxos pruwinsya	Provinco Moxos (Beniio)
Vaca Díez pruwinsya	Provinco Vaca Díez (Beniio)
Pukaqucha	Laguna Colorada
Amasisa	Eritrino
Wayas mayu	Rivero Guajaso
Huchusuma mayu	Rivero Desaguadero (Bolivio)
Lagarfljót	Lagarfljót
Wituq	Genipa americana
Piruw suyup Rimana Wasin	Kongreso de la Respubliko Peruo
Tampu Mach'ay	Tambo Machay
Kuélap	Kuelap
Iray	Draŝado
Punku kirma	Lintelo
Qunqay	Forgeso
Katiguriya:Qhari	Kategorio:Viroj
Katiguriya:Warmi	Kategorio:Virinoj
Katiguriya:Alimanya	Kategorio:Germanio
Katiguriya:Italya	Kategorio:Italio
Katiguriya:Hukllachasqa Amirika Suyukuna	Kategorio:Usono
Katiguriya:Rusiya	Kategorio:Rusio
Katiguriya:Kanada	Kategorio:Kanado
Katiguriya:Hukllachasqa Qhapaq Suyu	Kategorio:Unuiĝinta Reĝlando
Katiguriya:Ispaña	Kategorio:Hispanio
Katiguriya:Chunwa	Kategorio:Ĉinio
Katiguriya:Nihun	Kategorio:Japanio
Katiguriya:Awstralya	Kategorio:Aŭstralio
Katiguriya:Mishiku	Kategorio:Meksiko
Katiguriya:Indya	Kategorio:Barato
Katiguriya:Israyil	Kategorio:Israelo
Katiguriya:Watikanu	Kategorio:Vatikano
Katiguriya:Turkiya	Kategorio:Turkio
Katiguriya:Urin Aphrika	Kategorio:Sud-Afriko
Katiguriya:Iqiptu	Kategorio:Egiptio
Katiguriya:Iran	Kategorio:Irano
Katiguriya:Musuq Silanda	Kategorio:Nov-Zelando
Katiguriya:Arhintina	Kategorio:Argentino
Kuskanachina tupu	Parametro
0 watakuna	0-aj jaroj
20 watakuna	20-aj jaroj
Skorradalsvatn	Skorradalsvatn
Phú Quốc antanka pampa	Internacia Flughaveno Phu Quoc
Newcastle upon Tyne	Newcastle-upon-Tyne
Awiwiti	Ahuehuete-arbo
Sara musk'uru	Maiza ustilago
K'aspi	Bastono
1120 watakuna	1120-aj jaroj
Katiguriya:Afganistan	Kategorio:Afganio
Katiguriya:Alhirya	Kategorio:Alĝerio
Katiguriya:Awstiriya	Kategorio:Aŭstrio
Katiguriya:Banladish	Kategorio:Bangladeŝo
Katiguriya:Kungu Runakamaq Ripuwlika	Kategorio:Demokratia Respubliko Kongo
Katiguriya:Kuba	Kategorio:Kubo
Katiguriya:Ithiyupya	Kategorio:Etiopio
Katiguriya:Indunisya	Kategorio:Indonezio
Katiguriya:Iraq	Kategorio:Irako
Katiguriya:Urasuyu	Kategorio:Nederlando
Katiguriya:Niqirya	Kategorio:Niĝerio
Katiguriya:Pakistan	Kategorio:Pakistano
Katiguriya:Pulunya	Kategorio:Pollando
Katiguriya:Purtugal	Kategorio:Portugalio
Katiguriya:Singapur	Kategorio:Singapuro
Katiguriya:Sudan	Kategorio:Sudano
Katiguriya:Suwisa	Kategorio:Svislando
Katiguriya:Tansanya	Kategorio:Tanzanio
Katiguriya:Taylandya	Kategorio:Tajlando
Katiguriya:Ukranya	Kategorio:Ukrainio
Katiguriya:Witnam	Kategorio:Vjetnamio
Katiguriya:Allpa yaku kawsaq	Kategorio:Amfibioj
Katiguriya:Pisqu	Kategorio:Birdoj
Katiguriya:K'allampa	Kategorio:Fungoj
Katiguriya:Añaki	Kategorio:Bakterioj
Katiguriya:Yura	Kategorio:Plantoj
Katiguriya:Pachaykamay	Kategorio:Fiziko
Katiguriya:Kawsay yachay	Kategorio:Biologio
Katiguriya:Chaqllisinchi	Kategorio:Kemio
Katiguriya:Wiñay kawsay	Kategorio:Historio
Katiguriya:Allpamanta yachaykuna	Kategorio:Geografio
Katiguriya:Rikch'a kapchiy	Kategorio:Vidaj artoj
Katiguriya:Iñiy	Kategorio:Religio
Tonanitla	Tonanitla
Katiguriya:Allwiya	Kategorio:Tekniko
Katiguriya:Yachay	Kategorio:Scienco
Katiguriya:Tukuy runakunap qhapaq kaynin	Kategorio:Mondaj heredaĵoj de UNESKO
Katiguriya:Rimay	Kategorio:Lingvo
Víktor Yanukóvich	Viktor Janukoviĉ
Víktor Yushchenko	Viktor Juŝĉenko
Piluta Hayt'ay Pachantin Kupa 1934	Futbala Mondpokalo 1934
Hueypoxtla (munisipyu)	Hueypoxtla
Arhintinapi amachasqa sallqa suyukuna	Naciaj parkoj de Argentino
Jisk'airumuqu	Jiskairumoko
Qhatqi	Amaro (gusto)
Hayaq	Gusta akreco
Phukpu	Sapvezikilo
Itagüí	Itagüí
Mutkiy	Flaro
Qumlik	Tobaoj
San Salwadur suyu	Departemento San-Salvadoro
Colonia	Colonia
Pasupakuy	Blankakola turdo
Taraqchi	Brila molotro
Sirk'a unquy	Trombo
Ch'anka	Flavaflugila agelajo
La Acebeda	La Acebeda
Asitunas	Olivo
Amboró mamallaqta parki	Nacia Parko Amboró
Wamachuku	Huamaĉuko
Irriru	Forĝisto
Uru Uru qucha	Lago Uru Uru
Yasuni mama llaqta parki	Nacia Parko Jasunio
Alameda del Valle	Alameda del Valle
Luqma	Pouteria lucuma
Isiboro Secure mamallaqta parki	Nacia Parko kaj Indiĝena Teritorio Isiboro Sécure
Carrasco mamallaqta parki	Nacia Parko Carrasco
Hatun Ninasuyu	Granda Insulo de Fajrolando
Jorge Isaacs	Jorge Isaacs
Katiguriya:Wañusqa 2012	Kategorio:Mortintoj en 2012
Ikwadurpa kitinkuna	Kantonoj de Ekvadoro
Qallu yura rikch'aq ayllu	Plantagacoj
Willay pukyu	Teksta fonto
T'utura	Totoro (planto)
Caridad del Cobre Pallan	Virgulino de la Karitato
Uruya llaqta	La Oroya
Intika	Taquile
Chamberí distritu	Ĉamberio (Madrido)
Centro distritu	Centro (Madrido)
Ciudad Lineal distritu	Linia Urbo (Madrido)
Chamartín distritu	Ĉamartino
Salamanca (Madrid)	Salamanko (Madrido)
Tetuán distritu	Tetuano (Madrido)
La Libertad	La Libertad
Tiwlli waqachina	Kordinstrumento
Qhapaq Walla (Ikwadur)	Reĝa Kordilero (Ekvadoro)
Sinru qillqa: Urqu (Iwrupa)	Listo de la montoj en Europo
Chikitanu simi	Ĉikita lingvo
Maki illapa	Pistolo
Hulkan pruwinsya	Provinco Julcan
Hatun Chimu pruwinsya	Provinco Gran Chimú
Chipin pruwinsya	Provinco Ĉepenio
Hortaleza distritu	Hortalezo
Santiago Chuku pruwinsya	Provinco Santiago de Chuco
Wamachuku pruwinsya	Provinco Sánchez Carrión
Pakasmayu pruwinsya	Pacasmayo
Villa de Vallecas distritu	Valjeko
Wiru pruwinsya	Provinco Viruo
Phirriñaphi pruwinsya	Provinco Ferreñafe
Patas pruwinsya	Provinco Patáz
Llunk'as	Limako
Sami	Bonŝanco
Katiguriya:Kawsay pacha yachay	Kategorio:Ekologio
Samuelpa huk ñiqin qillqasqan	1-a libro de Samuel
Katiguriya:Wikipidiya:Sut'ichana qillqa	Kategorio:Apartigiloj
Katiguriya:Ulimpiku pukllaykuna	Kategorio:Olimpikoj
Katiguriya:Llup'ina	Kategorio:Filozofio
Katiguriya:Nuna yachay	Kategorio:Psikologio
Katiguriya:Budismu	Kategorio:Budhismo
Katiguriya:Kristiyanu iñiy	Kategorio:Kristanismo
Katiguriya:Hinduwismu	Kategorio:Hinduismo
Katiguriya:Islam	Kategorio:Islamo
Arganzuela distritu	Arganzuelo
San Blas distritu	San-Blazo (Madrido)
Retiro distritu	Retiro (Madrido)
Puente de Vallecas distritu	Ponto de Valjeko
Moncloa-Aravaca distritu	Monkloo-Aravako
Qullasuyu	Kolasujo
Moratalaz distritu	Moratalazo
The Pebble and the Penguin	The Pebble and the Penguin
Kawsachikuy	Manĝado
Aksu	Jupo
Sinta	Bendo
Utulu	Virkoko
Willka Qhichwa	Urubamba Valo
Paraqas mama llaqta risirwa	Nacia Rezervejo Paracas
Atakama Puna	Punao (vegetaĵaro)
Atun challwa	Tinuso
Musk'uru	Ustilago
Puka Pukara	Puka Pukara
José de la Riva Agüero	José de la Riva Agüero
Ikwadurpi amachasqa sallqa suyukuna	Listo de naciaj parkoj de Ekvadoro
Benedicta Boccoli	Benedicta Boccoli
Asnaq qucha (Chinchay Lipis)	Laguna Hedionda
Tuqti	Juglando (genro)
Jonaspa qillqasqan	Jona (profeto)
Runa llaqta	Popolo
Thuta	Tineedoj
La Victoria distritu	Distrikto de La Victoria
Universidade do Estado de Minas Gerais	Universidade do Estado de Minas Gerais
Trujillo	Trujillo
Kallawaya walla	Karabaja montaro
El Brujo	El Brujo
La Polla Records	La Polla Records
Naska siq'ikuna	Nazka-linioj
Sunin	Hunino (Peruo)
Melchor Ocampo	Melchor Ocampo
Pawshi	Mitu (birdo)
Wahibo simi	Gvahiba lingvo
Allwiya	Tekniko
Waranqu	Prosopis pallida
Tipa	Tipao
Hayñiq kay	Tono
Suway	Ŝtelo
Tala	Talao
Conrad Bain	Conrad Bain
Ancón distritu	Distrikto de Ancón
Ballestas wat'akuna	Insuloj Ballestas
Chuni	Chone
's-Hertogenbosch	's-Hertogenbosch
Punku p'anqa: Simi kapchiy	Portalo:Literaturo
Camilo Torres	Camilo Torres Tenorio
Trucha	Bruna truto
Tuyur	Fulmotondro
K'allma	Branĉo
Katiguriya:Kultura	Kategorio:Kulturo
Katiguriya:Allpa pacha	Kategorio:Kontinentoj
Lima distritu	Distrikto de Lima
10 watakuna	10-aj jaroj
Inampari mayu	Inambari-Rivero
Paray mit'a	Pluvsezono
Piruwpi rimaykuna	Lingvoj de Peruo
Wikipidiya:Qillqa suti	Vikipedio:Titoloj de artikoloj
Chakra kamay	Terkultivado
Tumpis mayu	Tumbeso
Sichura	Seĉuro
Punku p'anqa: Quyllur yachay	Portalo:Astronomio
Punku p'anqa: Taki kapchiy	Portalo:Muziko
Rasa	Raso
Punku p'anqa: Allpa saywachi	Portalo:Geografio
Llut'ariy	Magnetismo
San Juan de Miraflores distritu	Distrikto de San Juan de Miraflores
Breña distritu	Distrikto de Breña
Nawta	Nauta
Markuna distritu	Distrikto Markona
Patiwillka distritu	Pativilka
Wayu	Manĝebla frukto
San Pablo distritu (Mariscal Ramón Castilla)	Distrikto de San Pablo (Mariscal Ramón Castilla)
Chuntu	Piramido (geometrio)
Llapa ruru kancha	Paradizo
Misk'i wiru	Sukerkano
Tapiete runa	Tapieteoj
Kuntur walla	Cordillera del Condor
Hump'i	Ŝvito
Cadyer	Cadyer
Katiguriya:Makiyasiy	Kategorio:Volejbalo
Katiguriya:Makiyasiq	Kategorio:Volejbalistoj
Anna Rita Del Piano	Anna Rita Del Piano
Wiruti	Ĵetlanco
Ate k'iti	Distrikto de Ate
Niwa	Kvilo
José Faustino Sánchez Carrión	José Faustino Sánchez Carrión
Iñuku wisnu	Atomomaso
Federico Villarreal	Frederiko Villareal
Chiquinquirá Pallan	Virgulino de Ĉikinkiro
Sarumilla mayu	Rivero Zarumilja
Kachiqucha (Ariqipa)	Lago Salinas
José Gil de Castro	José Gil de Castro
Plantilla:Cita	Ŝablono:Citaĵo
Katiguriya:Alimanyayuq	Kategorio:Germanoj
Katiguriya:Hukllachasqa Amirika Suyukunayuq	Kategorio:Usonanoj
Katiguriya:Ransiyayuq	Kategorio:Francoj
Plantilla:QhapaqChunkana	Ŝablono:Ŝakdiagramo
Katiguriya:Simi kapchiy (Alimanya)	Kategorio:Germanlingva literaturo
Katiguriya:Italyayuq	Kategorio:Italoj
Katiguriya:Mayu (Iwrupa)	Kategorio:Riveroj en Eŭropo
Katiguriya:Taripay amachaq (Hukllachasqa Amirika Suyukuna)	Kategorio:Usonaj advokatoj
Katiguriya:Urqu (Iwrupa)	Kategorio:Montoj en Eŭropo
Katiguriya:Piluta hayt'aq (Alimanya)	Kategorio:Germanaj futbalistoj
Katiguriya:Llimphiq (Alimanya)	Kategorio:Germanaj pentristoj
Yuraq ramran	Anda alno
Katiguriya:Mama llaqta	Kategorio:Landoj
Katiguriya:Musiku	Kategorio:Ekonomiko
Wikipidiya:Kamachiq	Vikipedio:Administrantoj
Katiguriya:Runa llaqta	Kategorio:Etnoj
Katiguriya:Pruphisyun	Kategorio:Profesioj
Katiguriya:Riqsisqa runa	Kategorio:Homoj laŭ profesioj
Katiguriya:Piruwpi runa llaqta	Kategorio:Etnoj en Peruo
Katiguriya:Butanika	Kategorio:Botaniko
Katiguriya:Kurku yachay	Kategorio:Anatomio
Katiguriya:Hampi yachay	Kategorio:Medicino
Katiguriya:Kawpay	Kategorio:Politiko
Katiguriya:Yachachiy	Kategorio:Edukado
Katiguriya:Kapchiy	Kategorio:Arto
Ihiptu	Egiptujo
Hatun chimpansi	Ĉimpanzo
Katiguriya:2013	Kategorio:2013
Katiguriya:Pulitiku (Unriya)	Kategorio:Hungaraj politikistoj
Plantilla:Bot	Ŝablono:Bot
Pinocchio (kuyuchisqa siq'isqa)	Pinokjo (filmo, 1940)
Kanatá	Kanado
Katiguriya:Unriya	Kategorio:Hungario
Katiguriya:Bilhika	Kategorio:Belgio
Katiguriya:Chiksuyu	Kategorio:Ĉeĥio
Katiguriya:Dansuyu	Kategorio:Danio
Katiguriya:Istunya	Kategorio:Estonio
Katiguriya:Phinsuyu	Kategorio:Finnlando
Katiguriya:Grisya	Kategorio:Grekio
Katiguriya:Litunya	Kategorio:Latvio
Katiguriya:Islandya	Kategorio:Islando
Katiguriya:Luksimbur	Kategorio:Luksemburgo
Katiguriya:Lituwa	Kategorio:Litovio
Katiguriya:Malta	Kategorio:Malto
Katiguriya:Suysya	Kategorio:Svedio
Katiguriya:Isluwakya	Kategorio:Slovakio
Wikipedia:Ruraqpa hayñin	Vikipedio:Aŭtorrajto
Katiguriya:Wikipidiya:Kusa qillqa	Kategorio:Elstaraj artikoloj
Katiguriya:Chaqllisinchi yachaq	Kategorio:Kemiistoj
Katiguriya:Mama llaqta (Iwrupa)	Kategorio:Eŭropaj landoj
Katiguriya:Iwrupa	Kategorio:Eŭropo
Chhulla	Prujno
Plantilla:Plantillata llamk'achiy	Ŝablono:Dok
Wikipidiya:Ayllupaq p'anqa	Portalo:Komunumo
Katiguriya:Wikipidiya:Ayllupaq p'anqa	Kategorio:Vikipedio:Komunumo
Katiguriya:Babel	Kategorio:Vikipediistoj laŭ lingvo
Wikipidiya:Pichqantin tiksi tunu	Vikipedio:Kvin principoj
Wikipidiya:Mana hukllap qhawariyninlla	Vikipedio:Neŭtrala vidpunkto
Sung Jae-ki	Sung Jae-gi
Alberto Moreno	Alberto Moreno
Kutakachi Kayapas kawsaykuska amachasqa allpa	Ekologia Rezervejo Kotakaĉi Kajapas
Ampay mamallaqta willkachasqa	Nacia Rezervejo Ampajo
Anti Walla (Piruw)	Cordillera Oriental (Peruo)
Instituto Federal da Bahia	Federacia Instituto de Bahio
Plantilla:Softredirect	Ŝablono:Intervikia plusendilo
Plantilla:Champay	Ŝablono:Forigu tuj
Wiksachaki	Gastropodoj
Llulla	Mensogo
Katiguriya:Hinitika	Kategorio:Genetiko
Katiguriya:Simi	Kategorio:Lingvoj
Yachay wayllukuq	Filozofo
Katiguriya:Wikipidiya	Kategorio:Vikipedio
Wikipedia:General disclaimer	Vikipedio:Malgarantio
Awqaq	Soldato
Katiguriya:Llaqta (Chiksuyu)	Kategorio:Urboj de Ĉeĥio
Katiguriya:Llaqta (Iwrupa)	Kategorio:Urboj de Eŭropo
Katiguriya:Llaqta (Mama llaqta)	Kategorio:Urboj laŭ landoj
Plantilla:Navbox	Ŝablono:Navigilo2
Kalawasa	Kukurbo
Sira ayllu llaqta risirwa	Komunuma Rezervejo El Sira
Plantilla:!	Ŝablono:!
Plantilla:Tnavbar	Ŝablono:Tnavbar
Hukllachasqa Amirika Suyukunapi mama llaqta parkikuna	Naciaj parkoj de Usono
Plantilla:Unicode	Ŝablono:Unicode
Plantilla:E	Ŝablono:X10
Katiguriya:Lima pruwinsya	Kategorio:Provinco de Limo
Wikipidiya:Lliw Wikipidiyapaq qillqanakuna	Vikipedio:Listo de havendaj artikoloj
Katiguriya:Aphrika	Kategorio:Afriko
Katiguriya:Anta situwa killa	Kategorio:Julio
Katiguriya:Inti raymi killa	Kategorio:Junio
Plantilla:Babel	Ŝablono:Babelejo
Plantilla:Commons	Ŝablono:Commons
Plantilla:AFG	Ŝablono:AFG
Plantilla:AGO	Ŝablono:AGO
Plantilla:Ikwadurpa markankuna	Ŝablono:Provincoj de Ekvadoro
Plantilla:Gnunote	Ŝablono:Gnunote
Plantilla:Stub	Ŝablono:Ĝermo
Plantilla:Ruwaq:eo-1	Ŝablono:Vikipediisto eo-1
Plantilla:Ruwaq:ca-1	Ŝablono:Vikipediisto ca-1
Plantilla:Ruwaq:de	Ŝablono:Vikipediisto de
Plantilla:Ruwaq:de-1	Ŝablono:Vikipediisto de-1
Plantilla:Ruwaq:es	Ŝablono:Vikipediisto es
Plantilla:Ruwaq:de-3	Ŝablono:Vikipediisto de-3
Plantilla:Ruwaq:en-3	Ŝablono:Vikipediisto en-3
Plantilla:Ruwaq:en-1	Ŝablono:Vikipediisto en-1
Plantilla:Ruwaq:en-2	Ŝablono:Vikipediisto en-2
Plantilla:Ruwaq:eo-2	Ŝablono:Vikipediisto eo-2
Plantilla:Ruwaq:en-4	Ŝablono:Vikipediisto en-4
Plantilla:Ruwaq:fi	Ŝablono:Vikipediisto fi-D
Plantilla:Ruwaq:en	Ŝablono:Vikipediisto en
Plantilla:Ruwaq:de-2	Ŝablono:Vikipediisto de-2
Plantilla:Ruwaq:es-1	Ŝablono:Vikipediisto es-1
Plantilla:Ruwaq:fi-1	Ŝablono:Vikipediisto fi-1
Plantilla:Ruwaq:fr-1	Ŝablono:Vikipediisto fr-1
Katiguriya:Kultura (Hukllachasqa Amirika Suyukuna)	Kategorio:Kulturo de Usono
Katiguriya:Kultura (Mama llaqta)	Kategorio:Kulturo laŭ landoj
Katiguriya:Kawsaq	Kategorio:Vivo
Plantilla:Ruwaq:it-3	Ŝablono:Vikipediisto it-3
Plantilla:Ruwaq:ja	Ŝablono:Vikipediisto ja
Plantilla:Ruwaq:ja-1	Ŝablono:Vikipediisto ja-1
Plantilla:User it-1	Ŝablono:Vikipediisto it-1
Plantilla:Ruwaq:fr	Ŝablono:Vikipediisto fr
Qusqu	Kusko
Katiguriya:Taytakura (Mama llaqta)	Kategorio:Romkatolikaj pastroj laŭ landoj
Katiguriya:Karu puriy	Kategorio:Turismo
Katiguriya:Hatun puquy killa	Kategorio:Februaro
Katiguriya:1957	Kategorio:1957
Katiguriya:1949	Kategorio:1949
Katiguriya:1927	Kategorio:1927
Katiguriya:1919	Kategorio:1919
Katiguriya:Palama	Kategorio:Insektoj
Plantilla:HRV	Ŝablono:HRV
Katiguriya:Asarsuyu	Kategorio:Azerbajĝano
Katiguriya:Asya	Kategorio:Azio
Katiguriya:Chili	Kategorio:Ĉilio
Katiguriya:21 ñiqin pachakwata	Kategorio:21-a jarcento
Katiguriya:Lisuthu	Kategorio:Lesoto
Katiguriya:Urin Awya Yala	Kategorio:Sudameriko
Katiguriya:1930	Kategorio:1930
Katiguriya:1936	Kategorio:1936
Katiguriya:1947	Kategorio:1947
Katiguriya:1937	Kategorio:1937
Katiguriya:1940	Kategorio:1940
Katiguriya:1934	Kategorio:1934
Katiguriya:1960	Kategorio:1960
Katiguriya:1943	Kategorio:1943
Katiguriya:1951	Kategorio:1951
Katiguriya:1942	Kategorio:1942
Katiguriya:Suyu (Italya)	Kategorio:Regionoj de Italio
Katiguriya:1959	Kategorio:1959
Katiguriya:1938	Kategorio:1938
Katiguriya:1928	Kategorio:1928
Katiguriya:1913	Kategorio:1913
Katiguriya:1918	Kategorio:1918
Katiguriya:1954	Kategorio:1954
Katiguriya:Malasya	Kategorio:Malajzio
Katiguriya:1941	Kategorio:1941
Katiguriya:1955	Kategorio:1955
Katiguriya:1950	Kategorio:1950
Katiguriya:Mikhuna	Kategorio:Manĝaĵoj
Katiguriya:1921	Kategorio:1921
Katiguriya:1977	Kategorio:1977
Katiguriya:1946	Kategorio:1946
Katiguriya:1948	Kategorio:1948
Katiguriya:1932	Kategorio:1932
Katiguriya:Piluta hayt'ay	Kategorio:Futbalo
Katiguriya:1945	Kategorio:1945
Plantilla:Mod	Ŝablono:Mod
Katiguriya:1923	Kategorio:1923
Katiguriya:1935	Kategorio:1935
Katiguriya:1910	Kategorio:1910
Katiguriya:1917	Kategorio:1917
Katiguriya:1904	Kategorio:1904
Katiguriya:1926	Kategorio:1926
Katiguriya:1907	Kategorio:1907
Katiguriya:1914	Kategorio:1914
Katiguriya:1929	Kategorio:1929
Katiguriya:1920	Kategorio:1920
Katiguriya:1925	Kategorio:1925
Katiguriya:1905	Kategorio:1905
Katiguriya:1915	Kategorio:1915
Plantilla:Ruwaq:es-2	Ŝablono:Vikipediisto es-2
Katiguriya:1908	Kategorio:1908
Katiguriya:1901	Kategorio:1901
Katiguriya:1903	Kategorio:1903
Katiguriya:1902	Kategorio:1902
Katiguriya:1900	Kategorio:1900
Katiguriya:1933	Kategorio:1933
Katiguriya:Simana	Kategorio:Tagoj de la semajno
Katiguriya:1912	Kategorio:1912
Plantilla:Killa uma siq'i	Ŝablono:MonatEnkonduko
Katiguriya:Piluta hayt'ay klubkuna (Inlatirra)	Kategorio:Anglaj futbalteamoj
Katiguriya:Piluta hayt'ay klubkuna (Ispaña)	Kategorio:Hispanaj futbalteamoj
Katiguriya:1952	Kategorio:1952
Katiguriya:Tantanakuy	Kategorio:Organizaĵoj
Katiguriya:Piluta hayt'ay klubkuna (Alimanya)	Kategorio:Germanaj futbalteamoj
Katiguriya:1911	Kategorio:1911
Katiguriya:1922	Kategorio:1922
Plantilla:ITA	Ŝablono:ITA
Katiguriya:1924	Kategorio:1924
Katiguriya:1906	Kategorio:1906
Katiguriya:Piluta hayt'ay klubkuna	Kategorio:Futbalteamoj
Plantilla:GEO	Ŝablono:GEO
Plantilla:BU	Ŝablono:BOL
Plantilla:MEX	Ŝablono:MEX
Katiguriya:Ruwaq:fr-1	Kategorio:Vikipediisto fr-1
Plantilla:Image label	Ŝablono:Marko sur bildo
Plantilla:MAR	Ŝablono:MAR
Plantilla:MDG	Ŝablono:MDG
Ispana ukhu	Latrino
Plantilla:PSE	Ŝablono:PSE
Plantilla:SVK	Ŝablono:SVK
Plantilla:TWN	Ŝablono:TWN
Plantilla:EGY	Ŝablono:EGY
Plantilla:KGZ	Ŝablono:KGZ
Plantilla:MYT	Ŝablono:MYT
Katiguriya:Wiñay kawsay (Hukllachasqa Amirika Suyukuna)	Kategorio:Historio de Usono
Plantilla:ISR	Ŝablono:ISR
Plantilla:STP	Ŝablono:STP
Plantilla:VEN	Ŝablono:VEN
Plantilla:UKR	Ŝablono:UKR
Plantilla:PHL	Ŝablono:PHL
Plantilla:ROU	Ŝablono:ROU
Plantilla:BHR	Ŝablono:BHR
Plantilla:TUR	Ŝablono:TUR
Katiguriya:Pulitika rakiy (Hukllachasqa Qhapaq Suyu)	Kategorio:Teritoria organizado de Unuiĝinta Reĝlando
Plantilla:DJI	Ŝablono:DJI
Plantilla:BRN	Ŝablono:BRN
Plantilla:PCN	Ŝablono:PCN
Plantilla:Kusa qillqa	Ŝablono:Elstara
Plantilla:Han simipi	Ŝablono:Zh-c
Katiguriya:Paqarisqa 1875	Kategorio:Naskiĝintoj en 1875
Katiguriya:Paqarisqa 1856	Kategorio:Naskiĝintoj en 1856
Katiguriya:Gana	Kategorio:Ganao
Katiguriya:Paris	Kategorio:Parizo
Katiguriya:Ruwaq:en-4	Kategorio:Vikipediisto en-4
Katiguriya:Tuqu	Kategorio:Togolando
Katiguriya:Ruwaq:en	Kategorio:Vikipediisto en
Katiguriya:Ruwaq:zh	Kategorio:Vikipediisto zh
Katiguriya:Hurwatsuyu	Kategorio:Kroatio
Katiguriya:Ruwaq:en-2	Kategorio:Vikipediisto en-2
Katiguriya:Wañusqa 1902	Kategorio:Mortintoj en 1902
Katiguriya:Qhapaq (Ransiya)	Kategorio:Francaj reĝoj
Katiguriya:Wiñay kawsay (Mama llaqta)	Kategorio:Historio laŭ landoj
Katiguriya:Uma kamayuq (Israyil)	Kategorio:Ĉefministroj de Israelo
Katiguriya:Uma kamayuq (Italya)	Kategorio:Ĉefministroj de Italio
Plantilla:Leyenda	Ŝablono:Priskribo
Katiguriya:Qillqaq (Hukllachasqa Qhapaq Suyu)	Kategorio:Britaj verkistoj
Katiguriya:Uma kamayuq (Grisya)	Kategorio:Ĉefministroj de Grekio
Katiguriya:Uma kamayuq (Turkiya)	Kategorio:Ĉefministroj de Turkio
Katiguriya:Uma kamayuq (Ispaña)	Kategorio:Ĉefministroj de Hispanio
Katiguriya:Uma kamayuq (Purtugal)	Kategorio:Ĉefministroj de Portugalio
Katiguriya:Uma kamayuq (Nurwiga)	Kategorio:Ĉefministroj de Norvegio
Plantilla:Cite web	Ŝablono:Citaĵo el la reto
Katiguriya:Katiguriya (Mama llaqta)	Kategorio:Kategorioj laŭ landoj
Katiguriya:Kathuliku santu	Kategorio:Katolikaj sanktuloj
Plantilla:Wamanikuna (Arhintina)	Ŝablono:ArgentinoProvincoj
Katiguriya:Llaqta (Turkiya)	Kategorio:Urboj de Turkio
Plantilla:Coor site	Ŝablono:KoordinatojURL
Katiguriya:Tayta Papa	Kategorio:Papoj
Plantilla:Pp-template	Ŝablono:Pp-ŝablono
Katiguriya:Harry Potter	Kategorio:Harry Potter
Katiguriya:Suyu (Kulumbya)	Kategorio:Departementoj de Kolombio
Plantilla:Min	Ŝablono:Minimumo
Plantilla:Wikispecies	Ŝablono:Vikispecoj
Katiguriya:Waysallpu yura rikch'aq ayllu	Kategorio:Rozacoj
Katiguriya:Hawa ministru	Kategorio:Ministroj pri eksteraj rilatoj
Katiguriya:Brasilpi runa llaqta	Kategorio:Indianaj etnoj en Brazilo
Katiguriya:Llaqta (Dansuyu)	Kategorio:Urboj de Danio
Katiguriya:Allpa llamk'ay	Kategorio:Agrikulturo
Katiguriya:Pulitiku (Kipru)	Kategorio:Kipraj politikistoj
Katiguriya:Umalliq (Kipru)	Kategorio:Prezidantoj de Kipro
Katiguriya:Umalliq	Kategorio:Prezidantoj
Katiguriya:Urqu	Kategorio:Montoj
Katiguriya:20 ñiqin pachakwata	Kategorio:20-a jarcento
Plantilla:IPA	Ŝablono:IFA
Katiguriya:Pulitiku	Kategorio:Politikistoj
Katiguriya:Awya Yala	Kategorio:Ameriko
Qurpachana wasi	Feridomo
