Yn Affrick	Afriko
Ronney:Ymmydeyr sl-1	Kategorio:Vikipediisto sl-1
Ronney:Ymmydeyr ga-1	Kategorio:Vikipediisto ga-1
Ronney:Ymmydeyr mk-1	Kategorio:Vikipediisto mk-1
Ronney:Ymmydeyr nl-1	Kategorio:Vikipediisto nl-1
Ronney:Ymmydeyr pl-1	Kategorio:Vikipediisto pl-1
Ronney:Ymmydeyr ro-1	Kategorio:Vikipediisto ro-1
Ronney:Ymmydeyr be-2	Kategorio:Vikipediisto be-2
Ronney:Ymmydeyr da-2	Kategorio:Vikipediisto da-2
Ronney:Ymmydeyr fr-2	Kategorio:Vikipediisto fr-2
Ronney:Ymmydeyr it-2	Kategorio:Vikipediisto it-2
Ronney:Ymmydeyr la-2	Kategorio:Vikipediisto la-2
Ronney:Ymmydeyr nl-2	Kategorio:Vikipediisto nl-2
Ronney:Ymmydeyr pl-2	Kategorio:Vikipediisto pl-2
Ronney:Ymmydeyr sv-2	Kategorio:Vikipediisto sv-2
Ronney:Ymmydeyr cs-N	Kategorio:Vikipediisto cs-D
Ronney:Ymmydeyr fr-N	Kategorio:Vikipediisto fr-D
Ronney:Ymmydeyr nl-N	Kategorio:Vikipediisto nl-D
Ronney:Ymmydeyr no-N	Kategorio:Vikipediisto no-D
Ronney:Ymmydeyr ru-N	Kategorio:Vikipediisto ru-D
Ronney:Eunysseyrys	Kategorio:Distrado
Ronney:Preeu-valjyn ny Faarkeylann	Kategorio:Ĉefurboj de Oceanio
Ronney:Dellal	Kategorio:Negoco
Ronney:Sleih ass Lunnin	Kategorio:Londonanoj
Ronney:Shennaghys ny Spaainey rere boayl	Kategorio:Historio de Hispanio laŭ Aŭtonoma Komunumo
Ronney:Phylo-ghien-oaylleeaght	Kategorio:Filogenetiko
Ronney:Coryssyn screeuee	Kategorio:Skribsistemoj
Ronney:Ny jean clou magh	Kategorio:Ekskludi de printado
Ronney:Soilshaghey fys	Kategorio:Prezento de scio
Ronney:Corpaneyn Harrish-Neptuneagh	Kategorio:Transneptunaj objektoj
Ronney:Caayryn ayns Ontario	Kategorio:Urboj en Ontario
Ronney:Ymmydeyr bg	Kategorio:Vikipediisto bg
Ronney:Ymmydeyr bg-1	Kategorio:Vikipediisto bg-1
Ronney:Ymmydeyr ca	Kategorio:Vikipediisto ca
Ronney:Sorçhyn dy phlanaidyn	Kategorio:Tipoj de planedoj
Ronney:Ymmydeyr ca-1	Kategorio:Vikipediisto ca-1
Ronney:Foawir ghas	Kategorio:Gasgigantoj
Ronney:Kiaulleyderyn Austeyragh	Kategorio:Aŭstraj muzikistoj
Ronney:Ymmydeyr ca-N	Kategorio:Vikipediisto ca-D
Ronney:Ymmydeyr cs	Kategorio:Vikipediisto cs
Ronney:Baljaghtyn ayns Queiggey Soria	Kategorio:Komunumoj de Sorio
Ronney:Ellanyn	Kategorio:Insuloj
Ronney:Ymmydeyr da	Kategorio:Vikipediisto da
Ronney:Yn Keayn Sheealtagh	Kategorio:Pacifika Oceano
Ronney:Queiggey Quang Binh	Kategorio:Provinco Quang Binh
Ronney:Ymmydeyr sk-N	Kategorio:Vikipediisto sk-D
Ronney:Ymmydeyr de	Kategorio:Vikipediisto de
Ronney:Ymmydeyr de-0	Kategorio:Vikipediisto de-0
Ronney:Ymmydeyr de-2	Kategorio:Vikipediisto de-2
Ronney:Ymmydeyr de-3	Kategorio:Vikipediisto de-3
Ronney:Ymmydeyr de-4	Kategorio:Vikipediisto de-4
Ronney:Ymmydeyr de-N	Kategorio:Vikipediisto de-D
Ronney:Ymmydeyr el	Kategorio:Vikipediisto el
Ronney:Ymmydeyr el-1	Kategorio:Vikipediisto el-1
Ronney:Ymmydeyr el-N	Kategorio:Vikipediisto el-D
Ronney:Ymmydeyr en-0	Kategorio:Vikipediisto en-0
Ronney:Ymmydeyr en-3	Kategorio:Vikipediisto en-3
Ronney:Ymmydeyr en-N	Kategorio:Vikipediisto en-D
Ronney:Sostyn Hiar Yiass	Kategorio:Sud-orienta Anglio
Ronney:Nasair	Kategorio:Nazareto
Ronney:Ymmydeyr eo-1	Kategorio:Vikipediisto eo-1
Ronney:Ymmydeyr eo-3	Kategorio:Vikipediisto eo-3
Ronney:Ymmydeyr es	Kategorio:Vikipediisto es
Ronney:Ymmydeyr es-1	Kategorio:Vikipediisto es-1
Clowan:Çheeraghyn yn Unnaneys Oarpagh	Ŝablono:Eŭropa Unio
Ronney:Ymmydeyr es-2	Kategorio:Vikipediisto es-2
Ronney:Ymmydeyr es-4	Kategorio:Vikipediisto es-4
Ronney:Ymmydeyr es-N	Kategorio:Vikipediisto es-D
Ronney:São Tomé as Príncipe	Kategorio:Sao-Tomeo kaj Principeo
Ronney:Ymmydeyr fa	Kategorio:Vikipediisto fa
Ronney:Ymmydeyr fa-1	Kategorio:Vikipediisto fa-1
Ronney:Ymmydeyr fi	Kategorio:Vikipediisto fi
Ronney:Ymmydeyr fi-N	Kategorio:Vikipediisto fi-D
Ronney:Ellanree 'sy Cheayn Sheealtagh	Kategorio:Insularoj en la Pacifika Oceano
Ronney:Ymmydeyr he	Kategorio:Vikipediisto he
Ronney:Ymmydeyr he-3	Kategorio:Vikipediisto he-3
Ronney:Ymmydeyr hr-1	Kategorio:Vikipediisto hr-1
Ronney:Ymmydeyr hsb	Kategorio:Vikipediisto hsb
Ronney:Ymmydeyr hsb-3	Kategorio:Vikipediisto hsb-3
Ronney:Baljyn 'sy Rhine Hwoaie-Westfalen	Kategorio:Urboj de Nordrejn-Vestfalio
Ronney:Caayryn 'sy Chanadey rere queiggey ny thalloo	Kategorio:Urboj de Kanado laŭ provincoj kaj teritorioj
Ronney:Sheshengoaylleeaght	Kategorio:Sociolingvistiko
Clowan:Ymmydeyr la-3	Ŝablono:Vikipediisto la-3
Ronney:Ewnish	Kategorio:Hebrea lingvo
Yn Anglicaanaght	Anglikanismo
Ronney:Screeudeyryn Bretnagh	Kategorio:Kimraj verkistoj
Ronney:Lettyraght Ghoaldagh	Kategorio:Brita literaturo
Ronney:Sleityn 'syn Antarctagh	Kategorio:Montoj en Antarkto
Ronney:Baaseyn 'sy vlein 1904	Kategorio:Mortintoj en 1904
Ronney:Politickaght rere çheer	Kategorio:Politiko laŭ landoj
Ronney:Ymmydeyr pl-N	Kategorio:Vikipediisto pl-D
Ronney:Ymmydeyr pt-1	Kategorio:Vikipediisto pt-1
Ronney:Çheer-oaylleeaght ny Livaan	Kategorio:Geografio de Libano
Ronney:Thieyn as strughtooryn ayns Nerin	Kategorio:Konstruaĵoj en Irlando
Ronney:Rollaghyn bentyn rish yn Oarpey	Kategorio:Listoj pri Eŭropo
Ronney:Baaseyn 'sy vlein 1852	Kategorio:Mortintoj en 1852
Ronney:Baaseyn 'sy vlein 1880	Kategorio:Mortintoj en 1880
Ronney:1812	Kategorio:1812
Ronney:Towse-oaylleeaght	Kategorio:Geometrio
Ronney:Baaseyn 'sy vlein 1942	Kategorio:Mortintoj en 1942
Ronney:Scannaneyn veih'n vlein 1977	Kategorio:Filmoj aperintaj en 1977
Ronney:Scannaneyn veih'n vlein 1942	Kategorio:Filmoj aperintaj en 1942
Ronney:Çheer-oaylleeaght ny Litaan	Kategorio:Geografio de Litovio
Ronney:Feeleeghyn Rooshagh	Kategorio:Poetoj de Rusio
Clowan:El jalloo	Ŝablono:Greke
Ronney:Asterales	Kategorio:Asteraloj
Clowan:Kishtey fys asslaynt	Ŝablono:Informkesto Malsano
Ronney:Ronnaghyn rere amm	Kategorio:Kategorioj laŭ periodoj
Ronney:Caayryn ayns Israel	Kategorio:Urboj de Israelo
Ronney:Cornales	Kategorio:Kornusaloj
Ronney:Thieyn as strughtooryn rere çheer	Kategorio:Fortikaĵoj laŭ landoj
Ronney:Ymmydeyr it	Kategorio:Vikipediisto it
Ronney:Ymmydeyr it-1	Kategorio:Vikipediisto it-1
Ronney:Malvaceae	Kategorio:Malvacoj
Ronney:Ymmydeyr ko	Kategorio:Vikipediisto ko
Ronney:Steatyn ny Steatyn Unnaneysit	Kategorio:Usonaj ŝtatoj
Ronney:Ymmydeyr ko-1	Kategorio:Vikipediisto ko-1
Ronney:Helsinki	Kategorio:Helsinko
Ronney:Ymmydeyr la-1	Kategorio:Vikipediisto la-1
Ronney:Ymmydeyr la-3	Kategorio:Vikipediisto la-3
Ronney:Çheer-oaylleeaght ny h-Austrail	Kategorio:Geografio de Aŭstralio
Clowan:Cite doi	Ŝablono:Cite doi
Clowan:Kishtey fys argid cadjin	Ŝablono:Informkesto valuto
Ronney:Volcaanyn	Kategorio:Vulkanoj
Ronney:Baaseyn 'sy vlein 1564	Kategorio:Mortintoj en 1564
Ronney:1521	Kategorio:1521
Ronney:Caayryn as baljyn 'sy Ghreag	Kategorio:Urboj de Grekio
Ronney:Fabales	Kategorio:Fabaloj
Ronney:1564	Kategorio:1564
Ronney:Derbyshire	Kategorio:Derbyshire
Ronney:Baaseyn 'sy 12oo eash	Kategorio:Mortintoj en la 12-a jarcento
Ronney:Queiggaghyn ny Vietnam	Kategorio:Provincoj de Vjetnamio
Ronney:Caayryn as baljyn ayns Lazio	Kategorio:Komunumoj de Latio
Ronney:Aarheynnyn reiragh	Kategorio:Teritoria administrado
Clowan:Aavestey	Ŝablono:Ne konfuzu
Ronney:Oaylleeyn sheshoil	Kategorio:Sociosciencistoj
Ronney:Eggoaylleeaght ushtee	Kategorio:Akva ekologio
Ronney:Deuterostomia	Kategorio:Novbuŝuloj
Ronney:Echinodermata	Kategorio:Ekinodermoj
Ronney:Mooir Azov	Kategorio:Azova Maro
Ronney:Çhengaghyn toanagh	Kategorio:Tonlingvoj
Ronney:Emshir	Kategorio:Vetero
Ronney:Slystyn Israel	Kategorio:Distriktoj de Israelo
Ronney:Cultoor ny Massadoan	Kategorio:Kulturo de Makedonio
Ronney:Archaea	Kategorio:Arĥioj
Ronney:Baaseyn 'sy vlein 1922	Kategorio:Mortintoj en 1922
Ronney:Caayryn 'sy Rank	Kategorio:Urboj de Francio
Ronney:Ymmydeyr nn-2	Kategorio:Vikipediisto nn-2
Ronney:Çheer-oaylleeaght Hessen	Kategorio:Geografio de Hesio
Ronney:Yn Pholaneesh	Kategorio:Polinezio
Ronney:Lettyraght phaitçhyn	Kategorio:Literaturo por infanoj
Ronney:Baaseyn 'sy vlein 1827	Kategorio:Mortintoj en 1827
Ronney:Ymmydeyr ru-1	Kategorio:Vikipediisto ru-1
Ronney:Baaseyn 'sy vlein 1826	Kategorio:Mortintoj en 1826
Ronney:Çhengaghyn Pama-Nyungagh	Kategorio:Pama-nungaa lingvaro
Clowan:Ymmydeyr sv-1	Ŝablono:Vikipediisto sv-1
Ronney:Coobee	Kategorio:Kubanoj
Ronney:Queiggey Samara	Kategorio:Samara provinco
Ronney:Geurey	Kategorio:Vintro
Ronney:Greieyn bwoallee	Kategorio:Frapinstrumentoj
Ronney:Far-skeealaght heanse	Kategorio:Sciencfikcio
Ronney:Coloinaghys	Kategorio:Koloniismo
Ronney:Peinteyryn Ollanagh	Kategorio:Nederlandaj pentristoj
Ronney:Ronnaghyn rere mean	Kategorio:Kategorioj laŭ rimedoj
Clowan:RA	Ŝablono:RA
Ronney:Feeleeghyn	Kategorio:Poetoj
Ronney:Polynnee	Kategorio:Poloj
Ronney:Sostynee	Kategorio:Angloj
Ronney:Baaseyn 'sy vlein 1994	Kategorio:Mortintoj en 1994
Ronney:Ruggyryn 'sy vlein 1906	Kategorio:Naskiĝintoj en 1906
Ronney:Çheer-oaylleeaght rere çheer	Kategorio:Geografio laŭ landoj
Ronney:Cummeyderyn kiaulldramey	Kategorio:Operkomponistoj
Ronney:Caayryn as baljyn 'sy Clovack	Kategorio:Urboj de Slovakio
Ronney:Faarkaghyn	Kategorio:Maroj
Ronney:Caayryn as baljyn 'sy Pholynn	Kategorio:Urboj de Pollando
Ronney:Çheer-oaylleeaght ny Sheen	Kategorio:Geografio de Ĉinio
Ronney:Cummeyderyn rere ashoonaght	Kategorio:Komponistoj laŭ landoj
Clowan:Abbyrlhit Greagagh	Ŝablono:Grekaj literoj
Ronney:Mee ny Nollick	Kategorio:Decembro
Ronney:Caayryn as baljyn ayns Finnlynn	Kategorio:Urboj de Finnlando
Ronney:Fabaceae	Kategorio:Fabacoj
Ronney:Screeudeyryn Bretnish	Kategorio:Valonlingvaj verkistoj
Ronney:Steatyn Conastit y Vynneeys	Kategorio:Federacio de Mikronezio
Ronney:Solanum	Kategorio:Solanum
Ronney:Sostyn	Kategorio:Anglio
Ronney:Aghteyryn rere ashoonaght	Kategorio:Aktoroj laŭ landoj
Ronney:Clougraafeeaght	Kategorio:Tipografio
Ronney:Saxifragales	Kategorio:Saksifragaloj
Ronney:Jeeghyn rere cultoor	Kategorio:Dioj laŭ kulturo
Clowan:User id	Ŝablono:Vikipediisto id
Ronney:Baaseyn 'sy vlein 2009	Kategorio:Mortintoj en 2009
Ronney:Niue	Kategorio:Niuo
Ronney:Rutaceae	Kategorio:Rutacoj
Ronney:Craueeaghtyn un-jeeagh	Kategorio:Monoteismaj religioj
Ronney:Milley bleeantyn	Kategorio:Jarmiloj
Ronney:Commyoonyn ayns Aodoù-an-Arvor	Kategorio:Komunumoj de Côtes-d'Armor
Ronney:Baljaghtyn	Kategorio:Municipoj
Ronney:Rang-oardraghey	Kategorio:Taksonomio
Clowan:Lang-ko	Ŝablono:Lang-ko
Ronney:Sheanse co-earrooagh	Kategorio:Komputiko
Ronney:Genreyn lettyraght	Kategorio:Literaturaj ĝenroj
Ronney:Blaaghyn	Kategorio:Floroj
Ronney:Ymmydeyr nds	Kategorio:Vikipediisto nds
Ronney:Ymmydeyr nds-1	Kategorio:Vikipediisto nds-1
Ronney:Corys ny Greiney	Kategorio:Sunsistemo
Ronney:Screeudeyryn Sostynagh	Kategorio:Anglaj verkistoj
Ronney:Volcaanyn 'syn Armeain	Kategorio:Vulkanoj en Armenio
Ronney:Guangdong	Kategorio:Gŭangdongo
Ronney:Shanxi	Kategorio:Ŝanŝio
Ronney:Sichuan	Kategorio:Siĉuano
Ronney:Liaoning	Kategorio:Ljaŭningo
Ronney:Shaanxi	Kategorio:Ŝenŝjio
Ronney:Anhui	Kategorio:Anhujo
Ronney:Jiangxi	Kategorio:Jianĝi
Ronney:Jiangsu	Kategorio:Ĝjangsuo
Ronney:Fujian	Kategorio:Fuĝjano
Ronney:Hebei	Kategorio:Hebejo
Ronney:Heilongjiang	Kategorio:Hejlongĝjango
Ronney:Tarmaynyssyn	Kategorio:Ekonomio
Ronney:Reagheydyssyn eddyr-ashoonagh	Kategorio:Internaciaj organizaĵoj
Ronney:Çheer-oaylleeaght fishigagh	Kategorio:Fizika geografio
Ronney:Carthan-oaylleeaght	Kategorio:Entomologio
Ronney:Arthropoda	Kategorio:Artropodoj
Ronney:Shirveishee reiltys	Kategorio:Ministroj
Ronney:Çhynskyl	Kategorio:Industrio
Ronney:Yn Phobblaght Ghominicagh	Kategorio:Domingo
Ronney:Scannaneyn paitçhyn	Kategorio:Infanaj filmoj
Ronney:Ushtey-oaylleeaght	Kategorio:Hidrologio
Ronney:Ushtey	Kategorio:Akvo
Ronney:Ushlee	Kategorio:Likvaĵoj
Ronney:Yn kione as y mwannal	Kategorio:Homaj kapo kaj kolo
Ronney:Sapindales	Kategorio:Sapindaloj
Ronney:Pian	Kategorio:Doloro
Ronney:Ardjyn ny Slovack	Kategorio:Regionoj de Slovakio
Ronney:Carnivora	Kategorio:Karnomanĝuloj
Ronney:Corp yn dooinney	Kategorio:Homa korpo
Ronney:Kialteenyn	Kategorio:Kirkoj
Ronney:Queiggaghyn ny Shillee	Kategorio:Provincoj de Ĉilio
Ronney:Politickaght ny Panamaa	Kategorio:Politiko de Panamo
Ronney:Joughinyn	Kategorio:Trinkaĵoj
Ronney:Baaseyn 'sy vlein 1321	Kategorio:Mortintoj en 1321
Ronney:Bree aa-noaghey	Kategorio:Renoviĝanta energio
Ronney:Baagh-oaylleeaght	Kategorio:Zoologio
Ronney:Obbraghyn rere ashoonaght	Kategorio:Verkoj laŭ landoj
Ronney:Baaseyn 'sy 11d eash	Kategorio:Mortintoj en la 11-a jarcento
Ronney:Baaseyn 'sy vlein 1652	Kategorio:Mortintoj en 1652
Ronney:Baaseyn 'sy vlein 2005	Kategorio:Mortintoj en 2005
Ronney:Ruggyryn 'sy vlein 1983	Kategorio:Naskiĝintoj en 1983
Ronney:Cantoonyn ny h-Elveeish	Kategorio:Kantonoj de Svislando
Ronney:Smooinaghtyn	Kategorio:Kogno
Ronney:Baaseyn 'sy vlein 1992	Kategorio:Mortintoj en 1992
Ronney:Ruggyryn 'sy vlein 1992	Kategorio:Naskiĝintoj en 1992
Ronney:Ruggyryn 'sy vlein 1970	Kategorio:Naskiĝintoj en 1970
Ronney:Baaseyn 'sy vlein 1980	Kategorio:Mortintoj en 1980
Ronney:Baaseyn 'sy vlein 2008	Kategorio:Mortintoj en 2008
Ronney:Baaseyn 'sy vlein 1986	Kategorio:Mortintoj en 1986
Ronney:Baaseyn 'sy vlein 1966	Kategorio:Mortintoj en 1966
Ronney:Ruggyryn 'sy vlein 1984	Kategorio:Naskiĝintoj en 1984
Ronney:Ruggyryn 'sy vlein 1990	Kategorio:Naskiĝintoj en 1990
Ronney:Baaseyn 'sy vlein 1949	Kategorio:Mortintoj en 1949
Ronney:Ruggyryn 'sy vlein 1974	Kategorio:Naskiĝintoj en 1974
Ronney:Baaseyn 'sy vlein 2007	Kategorio:Mortintoj en 2007
Ronney:Ruggyryn 'sy vlein 1965	Kategorio:Naskiĝintoj en 1965
Ronney:Ruggyryn 'sy vlein 1940	Kategorio:Naskiĝintoj en 1940
Ronney:Ruggyryn 'sy vlein 1898	Kategorio:Naskiĝintoj en 1898
Ronney:Ruggyryn 'sy vlein 1863	Kategorio:Naskiĝintoj en 1863
Ronney:Spoyrt rere çheer	Kategorio:Sporto laŭ landoj
Ronney:1845	Kategorio:1845
Ronney:Ruggyryn 'sy vlein 1899	Kategorio:Naskiĝintoj en 1899
Ronney:Oklahoma	Kategorio:Oklahomo
Ronney:Ruggyryn 'sy vlein 1915	Kategorio:Naskiĝintoj en 1915
Ronney:Ruggyryn 'sy vlein 1929	Kategorio:Naskiĝintoj en 1929
Ronney:Yn Abcaaish	Kategorio:Abĥazio
Clowan:Cy jalloo	Ŝablono:Cy
Clowan:Sl jalloo	Ŝablono:Sl
Ronney:Orchidaceae	Kategorio:Orkidacoj
Ronney:Asteraceae	Kategorio:Asteracoj
Ronney:Anacardiaceae	Kategorio:Anakardiacoj
Ronney:Asparagales	Kategorio:Asparagaloj
Ronney:Ard-vinishteryn	Kategorio:Ĉefministroj
Ronney:Queiggaghyn ny Bulgeyr	Kategorio:Provincoj de Bulgario
Ronney:Lauraceae	Kategorio:Laŭracoj
Ronney:Eaghtyraneyn rere çheer	Kategorio:Prezidantoj laŭ nacieco
Ronney:Salicaceae	Kategorio:Salikacoj
Ronney:Ruggyryn 'sy vlein 1954	Kategorio:Naskiĝintoj en 1954
Ronney:Ronnaghyn rere traa	Kategorio:Kategorioj laŭ tempo
Ronney:Ruggyryn ayns ny 1980yn	Kategorio:Naskiĝintoj en 1980-1989
Ronney:Banglaneyn çheer-oaylleeaght	Kategorio:Geografiaj studfakoj
Ronney:Çhengaghyn rere çheer	Kategorio:Lingvoj laŭ landoj
Ronney:Çhengaghyn ny Polynn	Kategorio:Lingvoj de Pollando
Ronney:Cultoor ny Polynn	Kategorio:Kulturo de Pollando
Ronney:Baaseyn ayns ny 2000yn	Kategorio:Mortintoj en 2000-2009
Ronney:Ruggyryn ayns ny 1890yn	Kategorio:Naskiĝintoj en 1890-1899
Ronney:Scannaneyn veih'n vlein 1955	Kategorio:Filmoj aperintaj en 1955
Ronney:Oaylleeaght sheshoil	Kategorio:Socia scienco
Ronney:Yn Velaroosh	Kategorio:Belorusio
Ronney:Alberta	Kategorio:Alberto
Ronney:Yn Cholombey Ghoaldagh	Kategorio:Brita Kolumbio
Ronney:Ontario	Kategorio:Ontario
Ronney:Nalbin Noa	Kategorio:Nov-Skotio
Ronney:New Brunswick	Kategorio:Nov-Brunsviko
Ronney:Yukon	Kategorio:Jukonio
Ronney:Ellan y Phrinse Edard	Kategorio:Insulo de Princo Eduardo
Ronney:Manitoba	Kategorio:Manitobo
Ronney:Massachusetts	Kategorio:Masaĉuseco
Ronney:Ruggyryn 'sy vlein 1960	Kategorio:Naskiĝintoj en 1960
Ronney:Ruggyryn 'sy vlein 961	Kategorio:Naskiĝintoj en 961
Ronney:Ruggyryn 'sy vlein 1022	Kategorio:Naskiĝintoj en 1022
Ronney:Ronnaghyn rere çhengey	Kategorio:Kategorioj laŭ lingvoj
Ronney:Coondaeghyn ayns Pobblaght Nerin	Kategorio:Graflandoj de Respubliko de Irlando
Ronney:Çhengaghyn ny Danvarg	Kategorio:Lingvoj de Danio
Ronney:Çhengaghyn ny h-Estaan	Kategorio:Lingvoj de Estonio
Ronney:Çhengaghyn ny Germaan	Kategorio:Lingvoj de Germanio
Ronney:Çhengaghyn ny h-Austeyr	Kategorio:Lingvoj de Aŭstrio
Ronney:Ynsagh 'sy Ghermaan	Kategorio:Edukado en Germanio
Ronney:1079	Kategorio:1079
Ronney:1095	Kategorio:1095
Ronney:Çhengaghyn ny h-Aishey	Kategorio:Lingvoj de Azio
Ronney:Baaseyn ayns ny 1990yn	Kategorio:Mortintoj en 1990-1999
Ronney:Çhengaghyn ny Belaroosh	Kategorio:Lingvoj de Belorusio
Ronney:Ardjyn	Kategorio:Regionoj
Ronney:Yn Oarpey Hiar	Kategorio:Orienta Eŭropo
Ronney:Baaseyn ayns ny 1980yn	Kategorio:Mortintoj en 1980-1989
Ronney:Thalloo yn Eeast as Labrador	Kategorio:Novlando kaj Labradoro
Ronney:Çheeraghyn ny h-Affrick	Kategorio:Afrikaj landoj
Ronney:Baaseyn 'sy vlein 1998	Kategorio:Mortintoj en 1998
Ronney:Ynsagh rere çheer	Kategorio:Edukado laŭ landoj
Ronney:Sleih rere traa	Kategorio:Homoj laŭ tempo
Ronney:Buill chummaltagh ayns Steat São Paulo	Kategorio:Municipoj de San-Paŭlo
Ronney:Baaseyn 'sy vlein 1186	Kategorio:Mortintoj en 1186
Clowan:Queiggaghyn as thallooyn ny Canadey	Ŝablono:Provincoj de Kanado
Ronney:Ruggyryn 'sy vlein 1951	Kategorio:Naskiĝintoj en 1951
Ronney:Cummaghyn thallooin	Kategorio:Terformoj
Ronney:Scannaneyn veih'n vlein 1941	Kategorio:Filmoj aperintaj en 1941
Ronney:Baaseyn 'sy vlein 1881	Kategorio:Mortintoj en 1881
Ronney:Baaseyn 'sy vlein 1882	Kategorio:Mortintoj en 1882
Ronney:Ruggyryn 'sy vlein 1265	Kategorio:Naskiĝintoj en 1265
Ronney:1266	Kategorio:1266
Ronney:Çheer-oaylleeaght ny Cashteel as León	Kategorio:Geografio de Kastilio kaj Leono
Ronney:1910yn	Kategorio:1910-1919
Ronney:1920yn	Kategorio:1920-1929
Ronney:1950yn	Kategorio:1950-1959
Ronney:1303	Kategorio:1303
Ronney:1990yn	Kategorio:1990-1999
Ronney:2000yn	Kategorio:2000-aj jaroj
Ronney:2010yn	Kategorio:2010-aj jaroj
Ronney:1311	Kategorio:1311
Ronney:1366	Kategorio:1366
Clowan:Ymmydeyr ko-1	Ŝablono:Vikipediisto ko-1
Ronney:1528	Kategorio:1528
Clowan:Ymmydeyr ru-2	Ŝablono:Vikipediisto ru-2
Clowan:Ymmydeyr es-3	Ŝablono:Vikipediisto es-3
Ronney:Mart (planaid)	Kategorio:Marso
Clowan:Ymmydeyr ja-3	Ŝablono:Vikipediisto ja-3
Ronney:Mooir-chaslyssaght	Kategorio:Hidrografio
Clowan:Lv jalloo	Ŝablono:Lv
Ronney:1504	Kategorio:1504
Ronney:Ruggyryn 'sy vlein 1451	Kategorio:Naskiĝintoj en 1451
Ronney:Kidrys	Kategorio:Citruso
Ronney:1471	Kategorio:1471
Ronney:Ruggyryn 'sy vlein 1471	Kategorio:Naskiĝintoj en 1471
Ronney:1473	Kategorio:1473
Ronney:1475	Kategorio:1475
Ronney:Ruggyryn 'sy vlein 1475	Kategorio:Naskiĝintoj en 1475
Ronney:Aghteyryn Yernagh	Kategorio:Irlandaj aktoroj
Ronney:Ymmydeyr pt-N	Kategorio:Vikipediisto pt-D
Ronney:1490	Kategorio:1490
Ronney:1491	Kategorio:1491
Ronney:Ymmydeyr ru	Kategorio:Vikipediisto ru
Ronney:Ymmydeyr ru-2	Kategorio:Vikipediisto ru-2
Ronney:Ymmydeyr ru-3	Kategorio:Vikipediisto ru-3
Ronney:Ymmydeyr ru-4	Kategorio:Vikipediisto ru-4
Ronney:Baaseyn 'sy vlein 1504	Kategorio:Mortintoj en 1504
Ronney:Ymmydeyr sk-1	Kategorio:Vikipediisto sk-1
Ronney:Ruggyryn 'sy vlein 1533	Kategorio:Naskiĝintoj en 1533
Ronney:Ymmydeyr sr	Kategorio:Vikipediisto sr
Ronney:Ymmydeyr sr-1	Kategorio:Vikipediisto sr-1
Ronney:1538	Kategorio:1538
Ronney:Ymmydeyr sv-1	Kategorio:Vikipediisto sv-1
Ronney:Ymmydeyr sv-3	Kategorio:Vikipediisto sv-3
Ronney:Ymmydeyr sv-N	Kategorio:Vikipediisto sv-D
Ronney:Queiggey ny Laplann	Kategorio:Laponia gubernio
Ronney:1557	Kategorio:1557
Ronney:Baaseyn 'sy vlein 1557	Kategorio:Mortintoj en 1557
Ronney:1593	Kategorio:1593
Ronney:1600	Kategorio:1600
Ronney:1603	Kategorio:1603
Ronney:Baaseyn 'sy vlein 1603	Kategorio:Mortintoj en 1603
Ronney:1608	Kategorio:1608
Ronney:1621	Kategorio:1621
Ronney:1632	Kategorio:1632
Ronney:Ymmydeyr uk-2	Kategorio:Vikipediisto uk-2
Ronney:Ymmydeyr uk-4	Kategorio:Vikipediisto uk-4
Ronney:1639	Kategorio:1639
Ronney:Baaseyn 'sy vlein 1639	Kategorio:Mortintoj en 1639
Clowan:Caslys-çheerey soiaghey Île de France	Ŝablono:Situo sur mapo Francio Francilio
Ronney:1675	Kategorio:1675
Ronney:Baaseyn 'sy vlein 1675	Kategorio:Mortintoj en 1675
Ronney:Ruggyryn 'sy vlein 1678	Kategorio:Naskiĝintoj en 1678
Ronney:1685	Kategorio:1685
Clowan:En jalloo	Ŝablono:En
Ronney:1695	Kategorio:1695
Ronney:Baaseyn 'sy vlein 1695	Kategorio:Mortintoj en 1695
Ronney:1697	Kategorio:1697
Ronney:Ruggyryn 'sy vlein 1701	Kategorio:Naskiĝintoj en 1701
Ronney:Mannin	Kategorio:Manksinsulo
Ronney:1723	Kategorio:1723
Ronney:Shandong	Kategorio:Ŝandongo
Ronney:Yunnan	Kategorio:Junano
Ronney:Qinghai	Kategorio:Ĉinghajo
Ronney:Henan	Kategorio:Henano
Ronney:Hunan	Kategorio:Hunano
Clowan:Barnaghyn	Ŝablono:Spacoj
Ronney:Scannaneyn veih'n vlein 1981	Kategorio:Filmoj aperintaj en 1981
Clowan:Lang	Ŝablono:Lang
Ronney:Baaseyn 'sy vlein 1969	Kategorio:Mortintoj en 1969
Ronney:Ellyneyryn rere ashoonaght	Kategorio:Artistoj laŭ landoj
Ronney:Ruggyryn 'sy vlein 1881	Kategorio:Naskiĝintoj en 1881
Ronney:Ellynyn rere çheer	Kategorio:Artoj laŭ landoj
Ronney:Madrid	Kategorio:Madrido
Ronney:Çhymmyltaght rere çheer	Kategorio:Mediprotektado laŭ landoj
Ronney:Screeudeyryn Sheenagh	Kategorio:Ĉinaj verkistoj
Clowan:Da jalloo	Ŝablono:Da
Ronney:München	Kategorio:Munkeno
Ronney:Arraneyderyn Yernagh	Kategorio:Irlandaj kantistoj
