Aprika	Afriko
Gloria Steinem	Gloria Steinem
Jaime Pressly	Jaime Pressly
Charlotte Church	Charlotte Church
San Francisco de Sales	Francisko el Sales
Manga na Shōnen	Porknabaj mangao kaj animeo
Johor Bahru	Johor Bahru
Lalawigan ng Oran	Provinco Oran
Anne Bonny	Anne Bonny
Scandentia	Tupajuloj
401 BC	-401
Sei Shōnagon	Sei Shōnagon
Setagaya, Tokyo	Kvartalo Setagaja
Tsaketang pamigil	Trudkitelo
402 BC	-402
Daan ng Krus	Via crucis
Mumtaz Mahal	Mumtaz Mahal
Basilika ni San Pablo Extramuros	Baziliko Sankta Paŭlo antaŭ la Muroj
403 BC	-403
Lalawigan ng Laghouat	Provinco Laghuat
Aphra Behn	Aphra Behn
Kondado ng Kukës	Provinco Kukës
Kondado ng Fier	Provinco Fier
Lalawigan ng Constantine	Provinco Konstantina
Elizabeth Perkins	Elizabeth Perkins
Ann-Margret	Ann-Margret
Asimilasyon	Asimilado
Montreal	Montréal
Unang Pagitang Panahon ng Ehipto	Unua Meza Periodo de Egiptio
Kelowna, British Columbia	Kelowna (Brita Kolumbio)
Cowboy Bebop	Cowboy Bebop
Choi Jin-sil	Choi Jin Sil
Milyang parisukat	Kvadrata mejlo
Hunyo 2007	Junio de 2007
Lee Hyo Ri	Lee Hyori
411 BC	-411
412 BC	-412
Departamento ng Cundinamarca	Kundinamarko
Marcello Malpighi	Marcello Malpighi
Partido Liberal Demokratiko ng Hapon	Liberal-Demokrata Partio (Japanio)
Arakawa, Tokyo	Kvartalo Arakaŭa
Katsushika, Tokyo	Kvartalo Kacuŝika
Itabashi, Tokyo	Kvartalo Itabaŝi
Prinsesa Akishino	Princino Akishino
Taitō, Tokyo	Kvartalo Taito
Consuelo Velázquez	Consuelo Velázquez
Paring Damian	Patro Damiano
Kondado ng Edessa	Graflando de Edessa
Katharine Ross	Katharine Ross
Kagawaran ng Putumayo	Putumajo
Elsa Lanchester	Elsa Lanchester
Nancy Travis	Nancy Travis
Kagawaran ng Norte de Santander	Norda Santandero
Peoria, Illinois	Peoria (Ilinojso)
Lalawigan ng Djelfa	Provinco Ĝelfa
421 BC	-421
Lalawigan ng Tiaret	Provinco Tiaret
422 BC	-422
Ileum	Ileo
423 BC	-423
424 BC	-424
425 BC	-425
Grid	Grid
426 BC	-426
Hulyo 2006	Julio de 2006
Lalawigan ng Tlemcen	Provinco Tlemecen
Lalawigan ng Blida	Provinco Blida
Lalawigan ng Saïda	Provinco Saida
Lalawigan ng Tizi Ouzou	Provinco Tizi Uzu
Lalawigan ng El Oued	Provinco El Ued
Lalawigan ng Bouïra	Provinco Buira
Lalawigan ng Illizi	Provinco Ilizi
Lalawigan ng Béjaïa	Provinco Beĵaja
Lalawigan ng Aïn Témouchent	Provinco Ajn Temuŝent
Lalawigan ng Naâma	Provinco Naama
428 BC	-428
Hulyo 2007	Julio de 2007
Pebrero 2007	Februaro de 2007
Marso 2009	Marto de 2009
Castelsardo	Castelsardo
Talihalat na pangtugtugin	Muzika notacio
Rockford, Illinois	Rockford (Ilinojo)
NASCAR	NASCAR
Aguas	Platkapa mugilo
Mani (paglilinaw)	Mani
Vancouver, Washington	Vancouver (Vaŝingtonio)
Erie, Pennsylvania	Erie (Pensilvanio)
Nakano, Tokyo	Kvartalo Nakano
Bael	Aegle marmelos
Bangor, Gwynedd	Bangor (Gwynedd)
Alice Liddell	Alice Liddell
Ay	AY
Malunggay	Moringa oleifera
Pangangalunya	Adulto
Lalawigan ng Skikda	Provinco Skikda
439 BC	-439
Hadith	Hadito
Hollywood, Florida	Hollywood (Florido)
BBB	BBB
Apo	APO
Island	Island
Tao (paglilinaw)	TAO
Kagawaran ng Tolima	Tolimo
Kagawaran ng Vaupés	Vaŭpeso
Panahong Heisei	Hejsej
Ryoko Hirosue	Hirosue Ryōko
Marso 2007	Marto de 2007
Betty Friedan	Betty Friedan
Agosto 2007	Aŭgusto de 2007
Monica ng Hipona	Sankta Monika
Oktubre 2008	Oktobro de 2008
Sarah Siddons	Sarah Siddons
Shirley Bassey	Shirley Bassey
Abril 2009	Aprilo de 2009
Christine de Pizan	Christine de Pizan
Silong	Kelo
Kagawaran ng Córdoba	Kordovo (Kolombio)
Hajj	Haĝo
Departamento ng Cesar	Cezaro (Kolombio)
Kagawaran ng Huila	Ujlao
Prinsipalidad ng Antioquia	Antioĥa princlando
Věra Chytilová	Věra Chytilová
Anghel	Anĝelo
Kita, Tokyo	Kvartalo Kita-ku (Tokio)
Sumida, Tokyo	Kvartalo Sumida
Cefalù	Cefalù
Kagawaran ng Santander	Santandero (Kolombio)
Miso	Misoo
Kagawaran ng Sucre	Sukreo
Manizales	Manizales
Nobyembre 2007	Novembro de 2007
Doraemon	Doraemon
Metro ng Beijing	Metroo de Pekino
458 BC	-458
Nobyembre 2006	Novembro de 2006
Mayo 2008	Majo de 2008
460 BC	-460
Younha	Junha
464 BC	-464
Lalawigan ng El Bayadh	Provinco El Bajdah
Lalawigan ng Oum El Bouaghi	Provinco Um el-Buaghi
Lalawigan ng Ouargla	Provinco Uargla
Lalawigan ng Sidi Bel Abbès	Provinco Sidi Bel Abbes
Lalawigan ng Jijel	Provinco Jijel
465 BC	-465
Lalawigan ng Mila	Provinco Mila
Lalawigan ng Guelma	Provinco Gelma
Hunyo 2009	Junio de 2009
Abril 2007	Aprilo de 2007
Kesennuma, Miyagi	Kesennuma
Nikkō, Tochigi	Nikko
Pangangamao	Pugnokoito
Lalawigan ng Tissemsilt	Provinco Tisemsilt
Lalawigan ng Médéa	Provinco Medea
Lalawigan ng Tipaza	Provinco Tipazo
Ahab	Ahabo
Mga Republika ng Unyong Sobyetika	Respublikoj de Sovetunio
Hino, Tokyo	Hino (Tokio)
Talaan ng mga Pokémon	Listo de Pokemonoj
La Vie en Rose (Pelikula)	La Môme (filmo)
Baywang	Talio (korpa parto)
Pebrero 2010	Februaro de 2010
Abril 2008	Aprilo de 2008
Columba	Sankta Kolumbao
476 BC	-476
Enero 2010	Januaro de 2010
477 BC	-477
Bayang Keltiko	Keltaj nacioj
Toshima, Tokyo	Kvartalo Toŝima
Dyan Cannon	Dyan Cannon
Kathleen Quinlan	Kathleen Quinlan
Ponyo	Gake no ue no Ponyo
Oktubre 2007	Oktobro de 2007
Hulyo 2009	Julio de 2009
Tunja	Tunja
Lalawigan ng Boumerdès	Provinco Bumerdes
Lalawigan ng Relizane	Provinco Relizan
Mayo 2009	Majo de 2009
Lalawigan ng Souk Ahras	Provinco Suk Ahras
Lalawigan ng Mascara	Provinco Muaskar
Nobyembre 2009	Novembro de 2009
Lalawigan ng El Taref	Provinco El Tarf
Nobyembre 2008	Novembro de 2008
Richmond, British Columbia	Richmond (Brita Kolumbio)
Ludovico Sforza	Ludoviko Sforza
483 BC	-483
485 BC	-485
Hunyo 2006	Junio de 2006
Platyrrhini	Platirinoj
Lalawigan ng Sétif	Provinco Setif
486 BC	-486
487 BC	-487
Enero 2009	Januaro de 2009
Kamias	Averrhoa bilimbi
Orasan ng pagkagunaw	Apokalipsa horloĝo
Hunyo 2010	Junio de 2010
493 BC	-493
Ōme, Tokyo	Ome (Japanio)
494 BC	-494
496 BC	-496
497 BC	-497
498 BC	-498
Bos	Bovo (genro)
499 BC	-499
Kaloob ni Constantino	Donaco de Konstanteno
Panitikang Kastila	Hispana literaturo
Kagawaran ng Meta	Metao
Kagawaran ng Guainía	Gvajnio
Barbuda	Barbudo
Papa Esteban VI	Stefano la 6-a
Francesca Javiera Cabrini	Francesca Saverio Cabrini
Mayo 2010	Majo de 2010
90 (bilang)	90 (nombro)
Columbus, Georgia	Columbus (Georgio)
Merida	Mérida
Akiruno, Tokyo	Akiruno
500 BC	-500
Deadache	Deadache
Lalawigan ng M'Sila	Provinco M'Sila
2110 Moore-Sitterly	2110 Moore-Sitterly
Antipapa Victor IV (1159–1164)	Viktoro la 4-a (kardinalo Montecelio)
511 BC	-511
Storo	Storo
Disyembre 2008	Decembro de 2008
Agosto 2008	Aŭgusto de 2008
Humus	Kikerkaĉo
Tankōbon	Tankobon
Kalkulong lambda	Lambda-kalkulo
Homininae	Homenoj
Pangyayari sa Mukden	Mukden-incidento
Punong pilohenetiko	Filogeneza arbo
Oktubre 2010	Oktobro de 2010
Agosto 2010	Aŭgusto de 2010
Setyembre 2010	Septembro de 2010
Akbar (paglilinaw)	Akbar
Marso 2010	Marto de 2010
520 BC	-520
Manga na Shōjo	Porknabinaj mangao kaj animeo
Oreamnos americanus	Oreamno
525 BC	-525
Roh Tae-woo	Roh Tae-wu
Hulyo 2010	Julio de 2010
Setyembre 2008	Septembro de 2008
Koganei, Tokyo	Koganei
Abril 2010	Aprilo de 2010
Seyssel, Ain	Seyssel (Ain)
Photios I ng Constantinople	Fotio la 1-a (patriarko de Konstantinopolo)
Oktubre 2009	Oktobro de 2009
Agosto 2009	Aŭgusto de 2009
Hulyo 2008	Julio de 2008
Enero 2011	Januaro de 2011
Adalberto ng Praga	Adalberto el Prago
546 BC	-546
547 BC	-547
548 BC	-548
Rodrigo	Rodrigo
549 BC	-549
Ala (TN)	Ala
Albiano	Albiano
Linden	Linden
Ikawalong Krusada	Oka krucmilito
550 BC	-550
Aldeno	Aldeno
Amblar	Amblar
Bucaramanga	Bucaramanga
551 BC	-551
553 BC	-553
Nishinomiya, Hyogo	Niŝinomija
Andalo	Andalo
Higashiōsaka, Osaka	Higaŝiosaka
Avio (TN)	Avio (Italio)
Pilipisan	Tempio
Baselga di Pinè	Baselga di Pinè
Albavilla	Albavilla
Burnaby	Burnaby
Albese con Cassano	Albese con Cassano
Albiolo	Albiolo
Alserio	Alserio
Bedollo	Bedollo
Alzate Brianza	Alzate Brianza
Anzano del Parco	Anzano del Parco
Appiano Gentile	Appiano Gentile
Argegno	Argegno
Arosio	Arosio (Como)
Bersone	Bersone
Asso	Asso
Besenello	Besenello
Barni	Barni
Bellagio	Bellagio
Bene Lario	Bene Lario
Beregazzo con Figliaro	Beregazzo con Figliaro
Binago	Binago
Bizzarone	Bizzarone
Blessagno	Blessagno
Blevio	Blevio
Bregnano	Bregnano
Brenna, Lombardy	Brenna
Bieno	Bieno (Italio)
Brienno	Brienno
Brunate	Brunate
Clearwater, Florida	Clearwater (Florido)
Bulgarograsso	Bulgarograsso
Republika ng Nagorno-Karabah	Respubliko Montara Karabaĥo
Cabiate	Cabiate
Cadorago	Cadorago
Caglio	Caglio
Cagno	Cagno (Lombardio)
Campione d'Italia	Campione d'Italia
Canzo	Canzo
Bleggio Superiore	Bleggio Superiore
Capiago Intimiano	Capiago Intimiano
Carate Urio	Carate Urio
Bocenago	Bocenago
Bolbeno	Bolbeno
Bondo (TN)	Bondo (Italio)
Amblonyx cinerea	Kurtunga lutro
Carbonate, Lombardy	Carbonate
Carimate	Carimate
Carlazzo	Carlazzo
Casasco d'Intelvi	Casasco d'Intelvi
Caslino d'Erba	Caslino d'Erba
Herodes Arquelao	Herodo Arĥelao
Casnate con Bernate	Casnate con Bernate
Cassina Rizzardi	Cassina Rizzardi
Castelmarte	Castelmarte
Castelnuovo Bozzente	Castelnuovo Bozzente
Castiglione d'Intelvi	Castiglione d'Intelvi
Cavallasca	Cavallasca
Cavargna	Cavargna
Bangko ng Israel	Banko de Israelo
Cerano d'Intelvi	Cerano d'Intelvi
Cermenate	Cermenate
Cernobbio	Cernobbio
Cirimido	Cirimido
Civenna	Civenna
Pete Seeger	Pete Seeger
Claino con Osteno	Claino con Osteno
Darwinius	Darwinius masillae
Colonno	Colonno
Corrido, Lombardy	Corrido
Laives	Laives (Italio)
Piso	Peso (monunuo)
580 BC	-580
581 BC	-581
582 BC	-582
Larsa	Larsa
New Taipei	Novtajpeo
587 BC	-587
Computus	Kalkulo de la dato de Pasko
Papa Esteban V	Stefano la 5-a (papo)
592 BC	-592
Silangang Kristiyanismo	Orienta Kristanismo
Marso 2011	Marto de 2011
Nobyembre 2010	Novembro de 2010
Pebrero 2011	Februaro de 2011
Lucy (Australopithecus)	Lucy
Theodotion	Teodociono
Borgo Valsugana	Borgo Valsugana
Bosentino	Bosentino
Breguzzo	Breguzzo
Brentonico	Brentonico
Bresimo	Bresimo
600 BC	-600
601 BC	-601
2111 Tselina	2111 Tselina
2672 Písek	2672 Písek
Sant'Elena Sannita	Sant'Elena Sannita
Lavarone	Lavarone
Zölkow	Zölkow
Montagnareale	Montagnareale
621 BC	-621
610 BC	-610
Kōshū, Yamanashi	Koŝu
2862 Vavilov	2862 Vavilov
Distrito ng Zangilan	Zangilan
Imperyong Gasnabida	Gaznavida Imperio
Yui	Yui (kantistino)
Disyembre 2012	Decembro de 2012
Taranis	Taranis
Elk (paglilinaw)	ELK
2908 Shimoyama	2908 Shimoyama
San Giovanni in Galdo	San Giovanni in Galdo
632 BC	-632
Simbahang Ortodoksong Griyego ng Alehandriya	Grek-Ortodoksa Eklezio de Aleksandrio
Hukbong Pula	Ruĝa Armeo
Gabi ng Pangangaluluwa	Halloween
Pambansang Awit ng Unyong Sobyet	Nacia himno de Sovetunio
Ao dai	Aŭzajo
Eppan an der Weinstraße	Eppan an der Weinstraße
2520 Novorossijsk	2520 Novorossijsk
FIFA	FIFA
Patente	Patento
Aoi Miyazaki	Mijazaki Aoj
Pachino	Pachino
Jessica Lynch	Jessica Lynch
Digmaan sa Crimea	Krimea milito
2902 Westerlund	2902 Westerlund
Buhong	Eksterleĝulo
Guno	Aterinoformaj
2270 Yazhi	2270 Yazhi
Paraprasis	Parafrazo
Pavlovsk	Pavlovsk
Urtijëi	Urtijëi
2179 Platzeck	2179 Platzeck
Roxelana	Roksolana
672 BC	-672
2282 Andrés Bello	2282 Andrés Bello
Sarntal	Sarntal
Sexten	Sexten
Brez	Brez
Bruneck	Bruneck
Caderzone Terme	Caderzone Terme
Cagnò	Cagnò
2439 Ulugbek	2439 Ulugbek
Calavino	Calavino
Calceranica al Lago	Calceranica al Lago
Panitikan ng daigdig	Tutmonda literaturo
Caldes	Caldes
Caldonazzo	Caldonazzo
Calliano (TN)	Calliano (TN)
Campitello di Fassa	Campitello di Fassa
Campodenno	Campodenno
Canal San Bovo	Canal San Bovo
Canazei	Canazei
Ju	Ju
Capriana	Capriana
Salorno	Salorno
2792 Ponomarev	2792 Ponomarev
Bandyo	Banĝo
Giardinello	Giardinello
Mousterian	Musterio
Buraidah	Burajda
Bon Jovi	Bon Jovi
2644 Victor Jara	2644 Victor Jara
Natz-Schabs	Natz-Schabs
Otrhánky	Otrhánky
Pangkukulam	Sorĉado
Tala ng mga bansa at teritoryo ayon sa lawak	Listo de landoj laŭ areo
Sai Baba ng Shirdi	Sai Baba de Shirdi
Carano	Carano
Carisolo	Carisolo
2979 Murmansk	2979 Murmansko
Yawata, Kyoto	Jaŭata
Juana Jugan	Jeanne Jugan
Villnöß	Villnöß
Monologo	Monologo
Promiskuwidad	Promiskueco
Pilipino	Teorio pri multoblaj inteligentoj
Attis	Atizo
Karapatang-ari	Aŭtorrajto kaj kopirajtaj monopoloj
George Westinghouse	George Westinghouse
Sulat ni Barnabas	Letero de Barnabaso
Antipapa Alejandro V	Aleksandro la 5-a (kontraŭpapo)
576 BC	-576
Sterzing	Sterzing
2837 Griboedov	2837 Griboedov
Colli a Volturno	Colli a Volturno
Joseph Anton Koch	Joseph Anton Koch
Naturns	Naturns
Chlorophyta	Chlorophyta
Kurtatsch an der Weinstraße	Kurtatsch an der Weinstraße
Carzano	Carzano
Castel Condino	Castel Condino
Edith González	Edith González
Castelfondo	Castelfondo
Frazzanò	Frazzanò
Castello Tesino	Castello Tesino
Prizzi	Prizzi
Castelnuovo (TN)	Castelnuovo
Cavareno	Cavareno
Cavedago	Cavedago
Cavalese	Cavalese
Sulat ni Pablo	Paŭlaj epistoloj
2015 Kachuevskaya	2015 Kachuevskaya
Cavedine	Cavedine
Tim Cook	Tim Cook
Buto (anatomiya)	Osto
2824 Franke	2824 Franke
Edith Márquez	Edith Márquez
Lalawigan ng Bordj Bou Arréridj	Provinco Borĝ Bu Areriĝ
Cavizzana	Cavizzana
Partschins	Partschins
Cembra	Cembra
Lalawigan ng Tébessa	Provinco Tebesa
Odawara, Kanagawa	Odaŭara
Siculiana	Siculiana
Centa San Nicolò	Centa San Nicolò
2975 Spahr	2975 Spahr
Cimego	Cimego
Cimone	Cimone
Mankala	Afrika semludo
Isparta Province	Provinco Isparta
Cinte Tesino	Cinte Tesino
Cis (TN)	Cis
Civezzano	Civezzano
Cles	Cles
Daiano	Daiano
Kubeta	Akvopelilo (necesejo)
Wendy Schaal	Wendy Schaal
Kagawaran ng Vichada	Viĉado
Sextus Martinianus	Martiniano
Cloz	Cloz
2796 Kron	2796 Kron
Commezzadura	Commezzadura
Plesiosauria	Pleziosaŭruloj
Sinaunang Malapit na Silangan	Antikva Oriento
Condino	Condino
2036 Sheragul	2036 Sheragul
Imamismo	Dekduimamismo
Coredo	Coredo
Croviana	Croviana
Newry	Newry
Distrito ng Lankaran	Distrikto Lenkoran
Cunevo	Cunevo
Marso 2008	Marto de 2008
Hunyo 2008	Junio de 2008
Disyembre 2007	Decembro de 2007
Daone	Daone
Darè	Darè
Hamura, Tokyo	Hamura
Al-Muharraq	Muharrako
Denno	Denno
Dimaro	Dimaro
Ruby Lin	Ruby Lin
Isyinomaki, Miyagi	Iŝinomaki
Don (TN)	Don (Italio)
Lethbridge, Alberta	Lethbridge
Hirakata, Osaka	Hirakata
Dorsino	Dorsino
Dortan	Dortan
Drena	Drena
Funabashi, Chiba	Funabaŝi
Astyages	Astjago
Emperador Itoku	Itoku
Ipoh	Ipoh
Anyong lupa	Landformo
Abbotsford, British Columbia	Abbotsford (Brita Kolumbio)
Luz María Aguilar	Luz María Aguilar
Green algae	Verda algo
Pambansang awit ng Mongolia	Nacia himno de Mongolio
Kusyiro, Hokkaido	Kuŝiro
Ekwasyong parsiyal diperensiyal	Parta diferenciala ekvacio
Ranma ½	Ranma 1/2
Xerxes II ng Persia	Kserkso la 2-a (Persio)
Monggolyanong bulati ng kamatayan	Olgoj ĥorĥoj
Scincidae	Skinkedoj
Mazdak	Mazdak
Abril 2006	Aprilo de 2006
Crocodylus mindorensis	Filipina krokodilo
Mozi	Mozio
Alerhiya sa ilong	Rinito
Ektoderm	Ektodermo
Beygel	Bagelo
Inanna	Inano
Çankırı Province	Provinco Çankırı
Kagawaran ng La Guajira	La Guajira
Monasteryo ng mga Heronimos	Monaĥejo de la hieronimanoj de Belém
Mephistopheles	Mefistofelo
Kagawaran ng Guaviare	Gŭavjaro
Alfonso IV ng Portugal	Alfonso la 4-a (Portugalio)
Cheryl Hines	Cheryl Hines
Chronos	Ĥrono
Joan Cusack	Joan Cusack
Çorum Province	Provinco Çorum
Nia Long	Nia Long
Tampico	Tampico
Pandaigdigang Araw ng Kabataan	Monda Junulara Tago
Keke Palmer	Keke Palmer
R. Kelly	R. Kelly
Cab Calloway	Cab Calloway
Paul Robeson	Paul Robeson
Luge	Sledado
San Alfonso	Alfonso Maria de Liguori
Paliparang Pandaigdig ng Vnukovo	Internacia flughaveno Vnukovo
Candidiasis	Kandidozo
Nabopolassar	Nabopolasaro
Ankylosauria	Ankilosaŭruloj
Rolyon	Rollo
Narita, Chiba	Narita
Niagara Falls, Ontario	Niagara Falls (Ontario)
Édouard Herriot	Édouard Herriot
Iwaki, Fukushima	Iŭaki
Kuru (sakit)	Kuruo
Beaurevoir	Beaurevoir
Punong Ministro ng Hapon	Ĉefministro de Japanio
Hipotensyon	Hipotensio
Kritisismong tekstuwal	Historio de la teksto
Atis	Sukerpomo
Saint Seiya	Saint Seiya
Disyembre 2010	Decembro de 2010
Abril 2011	Aprilo de 2011
Disyembre 2009	Decembro de 2009
Paltos	Haŭtveziko
Ambroise Paré	Ambroise Paré
Hukbong Imperyal ng Hapon	Japana imperia armeo
Toaru Majutsu no Index	Toaru Majutsu no Index
Acquaviva Collecroce	Acquaviva Collecroce
Baranello	Baranello
Bojano	Bojano
Bonefro	Bonefro
Busso	Busso
Campochiaro	Campochiaro
Campodipietra	Campodipietra
Campolieto	Campolieto
Campomarino	Campomarino
Casacalenda	Casacalenda
Casalciprano	Casalciprano
Castelbottaccio	Castelbottaccio
Castellino del Biferno	Castellino del Biferno
Castelmauro	Castelmauro
Castropignano	Castropignano
Cercemaggiore	Cercemaggiore
Cercepiccola	Cercepiccola
Civitacampomarano	Civitacampomarano
Colle d'Anchise	Colle d'Anchise
Colletorto	Colletorto
2648 Owa	2648 Owa
Duronia	Duronia
Ferrazzano	Ferrazzano
Fossalto	Fossalto
Gambatesa	Gambatesa
Gildone	Gildone
Guardialfiera	Guardialfiera
Guardiaregia	Guardiaregia
2000 Herschel	2000 Herschel
Guglionesi	Guglionesi
Jelsi	Jelsi
Larino	Larino
Limosano	Limosano
Macchia Valfortore	Macchia Valfortore
Mafalda, Molise	Mafalda (Italio)
Matrice	Matrice
Mirabello Sannitico	Mirabello Sannitico
Molise, Campobasso	Molise
Monacilioni	Monacilioni
Montagano	Montagano
Montecilfone	Montecilfone
Montefalcone nel Sannio	Montefalcone nel Sannio
Montelongo	Montelongo
Topol	Topol
Montemitro	Montemitro
Montenero di Bisaccia	Montenero di Bisaccia
Montorio nei Frentani	Montorio nei Frentani
Morrone del Sannio	Morrone del Sannio
Oratino	Oratino
Palata	Palata
Petacciato	Petacciato
Petrella Tifernina	Petrella Tifernina
Pietracupa	Pietracupa
Portocannone	Portocannone
Provvidenti	Provvidenti
Riccia, Molise	Riccia
Ripalimosani	Ripalimosani
Roccavivara	Roccavivara
Rotello	Rotello
Salcito	Salcito
San Biase	San Biase
San Felice del Molise	San Felice del Molise
San Giacomo degli Schiavoni	San Giacomo degli Schiavoni
San Giuliano del Sannio	San Giuliano del Sannio
San Giuliano di Puglia	San Giuliano di Puglia
San Martino in Pensilis	San Martino in Pensilis
San Massimo	San Massimo
San Polo Matese	San Polo Matese
Sant'Angelo Limosano	Sant'Angelo Limosano
Santa Croce di Magliano	Santa Croce di Magliano
Sepino	Sepino
Spinete	Spinete
Tavenna	Tavenna
Vinchiaturo	Vinchiaturo
Torella del Sannio	Torella del Sannio
2136 Jugta	2136 Jugta
Toro, Molise	Toro (Italio)
Trivento	Trivento
Tufara	Tufara
Ururi	Ururi
Hashtag	Kradvorto
2345 Fučik	2345 Fučik
2681 Ostrovskij	2681 Ostrovskij
Acquaviva d'Isernia	Acquaviva d'Isernia
Bagnoli del Trigno	Bagnoli del Trigno
Belmonte del Sannio	Belmonte del Sannio
Cantalupo nel Sannio	Cantalupo nel Sannio
Capracotta	Capracotta
Carovilli	Carovilli
Carpinone	Carpinone
Castel San Vincenzo	Castel San Vincenzo
Kaltern an der Weinstraße	Kaltern an der Weinstraße
Castel del Giudice	Castel del Giudice
Castelpetroso	Castelpetroso
Castelpizzuto	Castelpizzuto
Castelverrino	Castelverrino
Cerro al Volturno	Cerro al Volturno
Chiauci	Chiauci
Civitanova del Sannio	Civitanova del Sannio
Conca Casale	Conca Casale
Filignano	Filignano
Forlì del Sannio	Forlì del Sannio
Fornelli	Fornelli
Frosolone	Frosolone
Longano	Longano
Macchia d'Isernia	Macchia d'Isernia
Macchiagodena	Macchiagodena
Miranda, Molise	Miranda (Italio)
Montaquila	Montaquila
Montenero Val Cocchiara	Montenero Val Cocchiara
Pettoranello del Molise	Pettoranello del Molise
Pietrabbondante	Pietrabbondante
Rovereto	Rovereto
Pizzone, Molise	Pizzone
Roccamandolfi	Roccamandolfi
Roccasicura	Roccasicura
Rocchetta a Volturno	Rocchetta a Volturno
San Pietro Avellana	San Pietro Avellana
Sant'Agapito	Sant'Agapito
2261 Keeler	2261 Keeler
Santa Maria del Molise	Santa Maria del Molise
Scapoli	Scapoli
Sesto Campano	Sesto Campano
Vastogirardi	Vastogirardi
Venafro	Venafro
San Teodoro (OT)	San Teodoro (Sardio)
Brezolupy	Brezolupy
2302 Florya	2302 Florya
2245 Hekatostos	2245 Hekatostos
Osmaniye Province	Provinco Osmaniye
2721 Vsekhsvyatskij	2721 Vsekhsvyatskij
2777 Shukshin	2777 Shukshin
Karera	Kariero
Vintl	Vintl
Butong orakulo	Orakola osto
Bonnanaro	Bonnanaro
Allioli	Ajlolea saŭco
Armungia	Armungia
Tukulti-Ninurta II	Tukulti-Ninurta la 2-a
Assemini	Assemini
Ballao	Ballao
Burcei	Burcei
Castiadas	Castiadas
2691 Sersic	2691 Sersic
Decimomannu	Decimomannu
Decimoputzu	Decimoputzu
Dolianova	Dolianova
Domus de Maria	Domus de Maria
Donori	Donòri
Elmas	Elmas
Escolca	Escolca
Esterzili	Esterzili
Gergei	Gergei
Gesico	Gesico
Goni	Goni
Guamaggiore	Guamaggiore
Guasila	Guasila
Isili	Isili
Mandas	Mandas
Maracalagonis	Maracalagonis
Monastir, Sardinia	Monastir (Italio)
Monserrato	Monserrato
Muravera	Muravera
Nuragus	Nuragus
Nurallao	Nurallao
Nuraminis	Nuraminis
Nurri	Nurri
Ortacesus	Ortacesus
Pimentel, Sardinia	Pimentel
Quartucciu	Quartucciu
Quartu Sant'Elena	Quartu Sant'Elena
Pula, Sardinia	Pula (Italio)
Jason Bateman	Jason Bateman
Yolanda Saldívar	Yolanda Saldívar
Sadali, Sardinia	Sadali
Samatzai	Samatzai
Lafayette, California	Lafayette (Kalifornio)
San Nicolò Gerrei	San Nicolò Gerrei
San Sperate	San Sperate
Sant'Andrea Frius	Sant'Andrea Frius
Sarroch	Sarroch
Selegas	Selegas
Senorbì	Senorbì
Serdiana	Serdiana
Serri	Serri
Sestu	Sestu
Publikano	Publikano
Seulo	Seulo (Italio)
Siliqua, Sardinia	Siliqua
Silius	Silius
Sinnai	Sinnai
Siurgus Donigala	Siurgus Donigala
Soleminis	Soleminis
Suelli	Suelli
Teulada, Sardinia	Teulada
Ussana	Ussana
Uta, Sardinia	Uta
Vallermosa	Vallermosa
San Pier Niceto	San Pier Niceto
Villanova Tulo	Villanova Tulo
Villaputzu	Villaputzu
Imelda Marcos	Imelda Marcos
Villasalto	Villasalto
Villa San Pietro	Villa San Pietro
Kasaysayan ng Anime	Historio de animeo
Villasimius	Villasimius
Villasor	Villasor
Villaspeciosa	Villaspeciosa
Hosius ng Corduba	Ozio de Kordovo
2705 Wu	2705 Wu
Kokia	Kokia
Buggerru	Buggerru
Calasetta	Calasetta
Domusnovas	Domusnovas
Fluminimaggiore	Fluminimaggiore
Giba, Sardinia	Giba
Gonnesa	Gonnesa
Masainas	Masainas
Musei	Musei
Narcao	Narcao
Nuxis	Nuxis
Dro (TN)	Dro
Faedo	Faedo
Rehistro (sosyolingguwistika)	Lingvotavolo
Fai della Paganella	Fai della Paganella
Perdaxius	Perdaxius
Piscinas	Piscinas
San Giovanni Suergiu	San Giovanni Suergiu
Santadi	Santadi
Sant'Anna Arresi	Sant'Anna Arresi
Sant'Antioco	Sant'Antioco
Tratalias	Tratalias
Villamassargia	Villamassargia
Faver	Faver
Fiavè	Fiavè
Villaperuccio	Villaperuccio
ABC	ABC
Fiera di Primiero	Fiera di Primiero
Fierozzo	Fierozzo
Ghost Fighter	Yu Yu Hakusho
Flavon	Flavon
Folgaria	Folgaria
Arbus (Sardinia)	Arbus (Italio)
Barumini	Barumini
Collinas	Collinas
Furtei	Furtei
Genuri	Genuri
Gesturi	Gesturi
Gonnosfanadiga	Gonnosfanadiga
Guspini	Guspini
Las Plassas	Las Plassas
Pauli Arbarei	Pauli Arbarei
Samassi	Samassi
San Gavino Monreale	San Gavino Monreale
2682 Soromundi	2682 Soromundi
Fondo	Fondo (Italio)
Fornace	Fornace
Sardara	Sardara
Serramanna	Serramanna
Garniga Terme	Garniga Terme
Serrenti	Serrenti
William Thomas Stead	William Thomas Stead
Setzu	Setzu
Frassilongo	Frassilongo
Siddi (Sardinia)	Siddi
