Afrig	Afriko
Royuwaay:Coord/display/inline,title	Ŝablono:Koord/montru/entekste,titolo/dokumentado
Royuwaay:Coord/dec2dms/dms1	Ŝablono:Koord/dekalgms/gms1
Royuwaay:Coord/input/d	Ŝablono:Koord/enigu/g
Royuwaay:Coord/input/dm	Ŝablono:Koord/enigu/gm
Royuwaay:Coord/input/dms	Ŝablono:Koord/enigu/gms
Trojany	Trojany
Wàll:Njiiti Senegaal	Kategorio:Prezidantoj de Senegalo
Royuwaay:Jëfandikukat it-4	Ŝablono:Vikipediisto it-4
Royuwaay:Jëfandikukat io-1	Ŝablono:Vikipediisto io-1
Royuwaay:RUW	Ŝablono:RWA
Royuwaay:MLT	Ŝablono:MLT
Royuwaay:Kña	Ŝablono:KEN
Royuwaay:JAM	Ŝablono:JAM
Wàll:Wallis ak Futuna	Kategorio:Valiso kaj Futuno
Wàll:Aakimoo jawwu ji	Kategorio:Kosmoesploro
Wàll:Jëfandikukat it-0	Kategorio:Vikipediisto it-0
Wàll:Bés	Kategorio:Tagoj
Wàll:Mbëjbijjaakon	Kategorio:Elektromagnetismo
Wàll:Kàttan	Kategorio:Energio
Wàll:Taariixu Isipt	Kategorio:Historio de la egipta civilizo
Royuwaay:MNG	Ŝablono:MNG
Royuwaay:BEL	Ŝablono:BEL
Wàll:Melo	Kategorio:Koloroj
Wàll:Jamono	Kategorio:Mezurunuoj de tempo
Wàll:Nit ñi ci Téere Linjiil	Kategorio:Homoj de la Nova Testamento
Wàll:Làkki Niseer-Cóngoo	Kategorio:Niĝerkonga lingvaro
Wàll:Njëkk-taariix	Kategorio:Prahistorio
Wàll:Jëfandikukat nl-0	Kategorio:Vikipediisto nl-0
Royuwaay:HUN	Ŝablono:HUN
Wàll:Jëfandikukat ru-0	Kategorio:Vikipediisto ru-0
Wàll:Jëfandikukat es-0	Kategorio:Vikipediisto es-0
Nguri	Vespo
Royuwaay:Coord/display/title	Ŝablono:Koord/montru/titolo
Royuwaay:Coord/input/ERROR	Ŝablono:Koord/enigu/ERARO
Wàll:Jëfandikukat en-1	Kategorio:Vikipediisto en-1
Wàll:Jëfandikukat de-1	Kategorio:Vikipediisto de-1
Wàll:Jëfandikukat da-N	Kategorio:Vikipediisto da-D
Wàll:Taariixu Afrig	Kategorio:Historio de Afriko
Royuwaay:Coord/dec2dms/dm1	Ŝablono:Koord/dekalgms/gm1
Royuwaay:Style/IPA	Ŝablono:Style/IPA
Royuwaay:Style/yid	Ŝablono:Style/yid
Coreca	Coreca
Jagleel:Coppite yu mujj	Specialaĵo:Lastaj ŝanĝoj
Wàll:Jëfandikukat ja-4	Kategorio:Vikipediisto ja-4
