Afrik	Afriko
Huéscar (Grenad)	Huéscar
Quincy, Ilinwa	Quincy (Ilinojo)
Nauvoo, Ilinwa	Nauvoo (Ilinojso)
Waverly, Ilinwa	Waverly (Ilinojso)
Highland Park, Ilinwa	Highland Park (Ilinojo)
Trévago	Trévago
Molvízar (Grenad)	Molvízar
Nwazèt	Avelo
Thornton, Kolorado	Thornton (Koloradio)
Marchal (Grenad)	Marchal (Granada)
Lentejí (Grenad)	Lentegí
Alhama de Almería (Almería)	Alhama de Almería
La Malahá (Grenad)	La Malahá
Maracena (Grenad)	Maracena
Leyogàn (komin)	Léogâne
71 (nonm)	71 (nombro)
28 (nonm)	28 (nombro)
Baños de la Encina (Jaén)	Baños de la Encina
Arvada, Kolorado	Arvada (Koloradio)
59 (nonm)	59 (nombro)
Olathe, Kansas	Olathe (Kansaso)
Montejícar (Grenad)	Montejícar
Montefrío (Grenad)	Montefrio
Morelábor (Grenad)	Morelábor
62 (nonm)	62 (nombro)
Moraga, Kalifòni	Moraga (Kalifornio)
95 (nonm)	95 (nombro)
El Monte, Kalifòni	El Monte
Muskego, Wisconsin	Muskego (Viskonsino)
Alcudia de Monteagud (Almería)	Alcudia de Monteagud
Dévanos	Dévanos
38 (nonm)	38 (nombro)
Negòs	Komerco
Chautauqua, New York	Chautauqua
75 (nonm)	75 (nombro)
Pampaneira (Grenad)	Pampaneira
Nevada (Grenad)	Nevada (Granada)
Otívar (Grenad)	Otívar
Orce (Grenad)	Orce
Otura (Grenad)	Villa de Otura
Morro Bay, Kalifòni	Morro Bay (Kalifornio)
Nigüelas (Grenad)	Nigüelas
Shelbyville, Indiana	Shelbyville
Nòdwès	Nord-Ouest (Haitio)
Morón de la Frontera (Seville)	Morón de la Frontera
Elma, Washington	Elma (Vaŝingtonio)
Pedro-Martínez (Grenad)	Pedro Martínez
Polícar (Grenad)	Polícar
Santa Cruz del Comercio (Grenad)	Santa Cruz del Comercio
Sorvilán (Grenad)	Sorvilán
Soportújar (Grenad)	Soportújar
Salar (Grenad)	Salar (Granada)
Puebla de Don Fadrique (Grenad)	Puebla de Don Fadrique
Skagway (Alaska)	Skagway
Valle del Zalabí (Grenad)	Valle del Zalabí
Torvizcón (Grenad)	Torvizcón
Vegas del Genil (Grenad)	Vegas del Genil
Trevélez (Grenad)	Trevélez
La Tahá (Grenad)	La Taha
Válor (Grenad)	Válor
Torre-Cardela (Grenad)	Torre-Cardela
Villanueva de las Torres (Grenad)	Villanueva de las Torres
Villanueva Mesía (Grenad)	Villanueva Mesía
Vélez de Benaudalla (Grenad)	Vélez de Benaudalla
Inglewood, Kalifòni	Inglewood (Kalifornio)
Palos de la Frontera (Huelva)	Palos de la Frontera
Ólvega	Ólvega
Anprent	Stampado (psikologio)
Aracena (Huelva)	Aracena
45 (nonm)	45 (nombro)
Manzanilla (Huelva)	Manzanilla
Lubrín (Almería)	Lubrín
Lè (jewoloji)	Erao (tempo)
Ominide	Homedoj
Alcalá la Real (Jaén)	Alcalá la Real
Byoloji konsèvasyon	Konserva biologio
Depatman	Departemento
65 (nonm)	65 (nombro)
Tarpon Springs, Florid	Tarpon Springs (Florido)
Bloomfield, New Jersey	Bloomfield (New Jersey)
Ѵ	Iĵica
Magaña	Magaña
Espèk	Spektro
Bonney Lake, Washington	Bonney Lake (Vaŝingtonio)
Auburn, Washington	Auburn (Vaŝingtonio)
68 (nonm)	68 (nombro)
Karayib	Karibio
Tupelo, Mississippi	Tupelo (Misisipio)
Port Saint Lucie, Florid	Port St. Lucie
Fines (Almería)	Fines
Nivo enèjetik	Energinivelo
Elk Grove, Kalifòni	Elk Grove (Kalifornio)
Pompano Beach, Florid	Pompano Beach
Centenera de Andaluz (Soria)	Centenera de Andaluz
97 (nonm)	97 (nombro)
Espejo (Cordoue)	Espejo
Puebla de Guzmán (Huelva)	Puebla de Guzmán
Martin Gardner	Martin Gardner
Renton, Washington	Renton (Vaŝingtonio)
94 (nonm)	94 (nombro)
55 (nonm)	55 (nombro)
Hawthorne, Kalifòni	Hawthorne (Kalifornio)
91 (nonm)	91 (nombro)
Nextlalpan	Nextlalpan
Onn transvèsal	Transversa ondo
Richland, Washington	Richland (Vaŝingtonio)
Bowling Green, Kentucky	Bowling Green (Kentukio)
Martos (Jaén)	Martos
Bailén (Jaén)	Bailén
Laujar de Andarax (Almería)	Laujar de Andarax
Huécija (Almería)	Huécija
Bryan, Texas	Bryan (Teksaso)
Protoyistwa	Protohistorio
Culcha Candela	Culcha Candela
Felix Savart	Félix Savart
Glann sirenal	Surrena glando
Ògàn	Organo
80 (nonm)	80 (nombro)
21 (nonm)	21 (nombro)
22 (nonm)	22 (nombro)
70 (nonm)	70 (nombro)
50 (nonm)	50 (nombro)
41 (nonm)	41 (nombro)
34 (nonm)	34 (nombro)
33 (nonm)	33 (nombro)
47 (nonm)	47 (nombro)
31 (nonm)	31 (nombro)
32 (nonm)	32 (nombro)
44 (nonm)	44 (nombro)
46 (nonm)	46 (nombro)
49 (nonm)	49 (nombro)
48 (nonm)	48 (nombro)
37 (nonm)	37 (nombro)
39 (nonm)	39 (nombro)
36 (nonm)	36 (nombro)
53 (nonm)	53 (nombro)
81 (nonm)	81 (nombro)
66 (nonm)	66 (nombro)
63 (nonm)	63 (nombro)
52 (nonm)	52 (nombro)
69 (nonm)	69 (nombro)
73 (nonm)	73 (nombro)
57 (nonm)	57 (nombro)
74 (nonm)	74 (nombro)
79 (nonm)	79 (nombro)
67 (nonm)	67 (nombro)
77 (nonm)	77 (nombro)
83 (nonm)	83 (nombro)
82 (nonm)	82 (nombro)
86 (nonm)	86 (nombro)
78 (nonm)	78 (nombro)
98 (nonm)	98 (nombro)
200 (nonm)	200 (nombro)
Teide Nasyonal Park	Nacia Parko de Teide
Lenfosit	Limfocito
Ekilib	Mekanika ekvilibro
Koton	Kotonujo
Miami Gardens, Florid	Miami Gardens
Ñuble (provens)	Provinco Ñuble
Cabra del Santo Cristo (Jaén)	Cabra del Santo Cristo
Punxsutawney, Pennsilvani	Punxsutawney
Pèdri	Perdix
Colquitt, Georgie	Colquitt (Georgio)
Ayamonte (Huelva)	Ayamonte
Punta Umbría (Huelva)	Punta Umbría
Almonte (Huelva)	Almonte
Isla Cristina (Huelva)	Isla Cristina
Almócita (Almería)	Almócita
UNICEF	UNICEF
Tolox (Málaga)	Tolox
Saint Joseph, Missouri	Sankta Jozefo (Misurio)
Miramar, Florid	Miramar (Florido)
Wilkes-Barre, Pennsilvani	Wilkes-Barre
East Rutherford, New Jersey	East Rutherford (Nov-Ĵerzejo)
Gentleman	Ĝentlemano
Atchison, Kansas	Atchison (Kansaso)
Lantiy	Lenso (optiko)
Earlham, Iowa	Earlham (Iovao)
Aewopò Da Nang	Flughaveno Da Nang
61 (nonm)	61 (nombro)
Patinay	Glitkurado
Campillo de Arenas (Jaén)	Campillo de Arenas
Moguer (Huelva)	Moguer
Titusville, Pennsilvani	Titusville (Pensilvanio)
Bainbridge Island, Washington	Bainbridge Island (Vaŝingtonio)
42 (nonm)	42 (nombro)
Benaojan (Málaga)	Benaoján
Palm Bay, Florid	Palm Bay
Min	Minejo
Federal Way, Washington	Federal Way (Vaŝingtonio)
Almarza	Almarza
Niebla (Huelva)	Niebla
Sausalito, Kalifòni	Sausalito (Kalifornio)
Andospò	Endosporo
Aldealices	Aldealices
Aldealafuente	Aldealafuente
Alentisque	Alentisque
Adradas	Adradas
Alconaba	Alconaba
Abejar	Abejar
Almajano	Almajano
Arenillas	Arenillas
Aldealpozo	Aldealpozo
Alcubilla de las Peñas	Alcubilla de las Peñas
Aldealseñor	Aldealseñor
Alcubilla de Avellaneda	Alcubilla de Avellaneda
Covaleda	Covaleda
Casarejos	Casarejos
Cerbón	Cerbón
Calatañazor (Soria)	Calatañazor
Almazul	Almazul
Cidones (Soria)	Cidones
Alpanseque	Alpanseque
Arcos de Jalón	Arcos de Jalón
Aldehuela de Periáñez	Aldehuela de Periáñez
Beratón	Beratón
Almenar de Soria	Almenar de Soria
Maján (Soria)	Maján
Coscurita (Soria)	Coscurita
Barcones	Barcones
Castilfrío de la Sierra	Castilfrío de la Sierra
Castilruiz	Castilruiz
Miño de Medinaceli	Miño de Medinaceli
Vinuesa	Vinuesa
Cigudosa	Cigudosa
Candilichera	Candilichera
Ausejo de la Sierra	Ausejo de la Sierra
Carabantes	Carabantes
Soliedra (Soria)	Soliedra
Taroda (Soria)	Taroda
Nepas (Soria)	Nepas
Valtajeros	Valtajeros
Arévalo de la Sierra	Arévalo de la Sierra
Pozalmuro	Pozalmuro
Cabrejas del Pinar	Cabrejas del Pinar
Villasayas	Villasayas
Ondlèt	Ondosimilaĵo
Cubilla	Cubilla
Castillejo de Robledo	Castillejo de Robledo
Escobosa de Almazán (Soria)	Escobosa de Almazán
Estepa de San Juan	Estepa de San Juan
Carrascosa de la Sierra	Carrascosa de la Sierra
Las Aldehuelas	Las Aldehuelas
Bayubas de Arriba	Bayubas de Arriba
Borobia	Borobia
Bliecos	Bliecos
Buberos	Buberos
Muriel Viejo	Muriel Viejo
Oncala	Oncala
Fuentecambrón	Fuentecambrón
Cabrejas del Campo	Cabrejas del Campo
Frechilla de Almazán (Soria)	Frechilla de Almazán
Valdelagua del Cerro	Valdelagua del Cerro
Ciria	Ciria
Buitrago	Buitrago
Talveila	Talveila
Salduero	Salduero
Fuentes de Magaña	Fuentes de Magaña
Viana de Duero (Soria)	Viana de Duero
Tardelcuende (Soria)	Tardelcuende
Duruelo de la Sierra	Duruelo de la Sierra
Bayubas de Abajo (Soria)	Bayubas de Abajo
Fuentearmegil	Fuentearmegil
Fuentelmonge	Fuentelmonge
Rollamienta	Rollamienta
Villar del Ala	Villar del Ala
Velilla de los Ajos (Soria)	Velilla de los Ajos
Momblona (Soria)	Momblona
Fresno de Caracena	Fresno de Caracena
Valdegeña	Valdegeña
Velamazán (Soria)	Velamazán
Torlengua	Torlengua
Fuentecantos	Fuentecantos
Carrascosa de Abajo	Carrascosa de Abajo
Pinilla del Campo	Pinilla del Campo
Serón de Nágima	Serón de Nágima
Blacos (Soria)	Blacos
Valdeavellano de Tera	Valdeavellano de Tera
Narros	Narros
Valdeprado	Valdeprado
Borjabad (Soria)	Borjabad
Fuentelsaz de Soria	Fuentelsaz de Soria
San Leonardo de Yagüe	San Leonardo de Yagüe
Muriel de la Fuente	Muriel de la Fuente
Villar del Río	Villar del Río
Valderrodilla (Soria)	Valderrodilla
Espejón	Espejón
Matalebreras	Matalebreras
Quintana Redonda (Soria)	Quintana Redonda
Nafría de Ucero	Nafría de Ucero
Sotillo del Rincón	Sotillo del Rincón
Torrubia de Soria	Torrubia de Soria
Noviercas	Noviercas
Tajueco (Soria)	Tajueco
Valdenebro (Soria)	Valdenebro
Villaciervos (Soria)	Villaciervos
Yelo	Yelo
Montenegro de Cameros	Montenegro de Cameros
Poetik	Poetiko
Langa de Duero	Langa de Duero
Quiñonería	Quiñonería
Villar del Campo	Villar del Campo
Portillo de Soria	Portillo de Soria
Gormaz (Soria)	Gormaz
Santa Cruz de Yanguas	Santa Cruz de Yanguas
Villaseca de Arciel	Villaseca de Arciel
Reznos	Reznos
Cueva de Ágreda	Cueva de Ágreda
Nolay (Soria)	Nolay
Cirujales del Río	Cirujales del Río
Caracena	Caracena
Cubo de la Solana	Cubo de la Solana
Miño de San Esteban	Miño de San Esteban
Fuentestrún	Fuentestrún
Espeja de San Marcelino	Espeja de San Marcelino
Matamala de Almazán (Soria)	Matamala de Almazán
La Póveda de Soria	La Póveda de Soria
Los Rábanos (Soria)	Los Rábanos
Quintanas de Gormaz	Quintanas de Gormaz
Santa María de Huerta	Santa María de Huerta
San Pedro Manrique	San Pedro Manrique
Velilla de la Sierra (Soria)	Velilla de la Sierra
San Felices (Soria)	San Felices
Renieblas	Renieblas
Morón de Almazán (Soria)	Morón de Almazán
Los Villares de Soria	Los Villares de Soria
Torreblacos (Soria)	Torreblacos
Vizmanos	Vizmanos
Tejado	Tejado
Monteagudo de las Vicarías	Monteagudo de las Vicarías
La Riba de Escalote (Soria)	La Riba de Escalote
Montejo de Tiermes	Montejo de Tiermes
La Losilla	La Losilla
Recuerda	Recuerda
Tajahuerce	Tajahuerce
Fuentepinilla	Fuentepinilla
Golmayo	Golmayo
Rioseco de Soria	Rioseco de Soria
South Gate, Kalifòni	South Gate (Kalifornio)
Temecula, Kalifòni	Temecula
Murrieta, Kalifòni	Murrieta
Pens	Tenajlo
Cihuela	Cihuela
Montejaque (Málaga)	Montejaque
Sistèm vijezimal	Dudekuma sistemo
Lagonav (gòf)	Golfo de Gonavo
Pasco, Washington	Pasco (Vaŝingtonio)
Latibonit (depatman)	Artibonite
Kennewick, Washington	Kennewick (Vaŝingtonio)
Valverde del Camino (Huelva)	Valverde del Camino
Santiago Tequixquiac	Santiago Tequixquiac
Sant	Centre (Haitio)
Boujònman	Burĝonado
Zwazo palmis	Duledoj
Forè tanpere imid	Mezvarma pluvarbaro
Bollullos Par del Condado (Huelva)	Bollullos Par del Condado
Cartaya (Huelva)	Cartaya
Istwa Ayiti	Historio de Haitio
Vacaville, Kalifòni	Vacaville
Alegrete	Alegrete (Suda Rio-Grando)
Negritid	Négritude
Gonayiv (komin)	Les Gonaïves
Port Angeles, Washington	Port Angeles (Vaŝingtonio)
VietJet Air	VietJet Air
Mangliye	Manglo
Manhattan, Kansas	Manhattan (Kansaso)
Estimilis	Stimulo
Kapasite pòtez	Eltena kapacito
Agrega	Volumenaĵo
Kelso, Washington	Kelso (Vaŝingtonio)
Hershey, Pennsilvani	Hershey
Ellensburg, Washington	Ellensburg (Vaŝingtonio)
Centralia, Washington	Centralia (Vaŝingtonio)
Orizon sòl	Grundhorizonto
Blythe, Kalifòni	Blythe
Bonita Springs, Florid	Bonita Springs (Florido)
51 (nonm)	51 (nombro)
Reny	Regno
Brattleboro, Vermont	Brattleboro (Vermonto)
Aewopò Ca Mau	Flughaveno Ca Mau
Villalba del Alcor (Huelva)	Villalba del Alcor
La Palma del Condado (Huelva)	La Palma del Condado
Ekilib dinamik	Dinamika ekvilibro
Texas City, Texas	Teksasurbo (Teksaso)
Gibraleón (Huelva)	Gibraleón
Cala (Huelva)	Cala
Grandans	Grand'Anse
Calañas (Huelva)	Calañas
Aljaraque (Huelva)	Aljaraque
Aceguá	Aceguá (Brazilo)
Coos Bay, Oregon	Coos Bay (Oregono)
Hidden Hills, Kalifòni	Hidden Hills
Casares (Málaga)	Casares
Jabugo (Huelva)	Jabugo
Minas de Riotinto (Huelva)	Minas de Río Tinto
Vista, Kalifòni	Vista (Kalifornio)
Nòdès	Nord-Est (Haitio)
Lexington, Massachusetts	Lexington (Masaĉuseco)
Alexander Wilson	Alexander Wilson
Kirtland, Ohio	Kirtland (Ohio)
Elmira, New York	Elmira (Nov-Jorkio)
Aleksandr Danilovich Aleksandrov	Aleksandr Aleksandrov
Port Orchard, Washington	Port Orchard (Vaŝingtonio)
Disonans	Dissonaĵo
Oregon, Wisconsin	Oregono (Viskonsino)
Sid (rejyon jewografik)	Sud (Haitio)
Sidès	Sud-Est (Haitio)
Kirkland, Washington	Kirkland (Vaŝingtonio)
Villanueva de los Castillejos (Huelva)	Villanueva de los Castillejos
Corsicana, Texas	Corsicana
Gádor (Almería)	Gádor
Nò (rejyon jewografik)	Nord (Haitio)
Campillos (Málaga)	Campillos
Chim	Ĉimo
Enix (Almería)	Enix
Westminster, Kolorado	Westminster (Koloradio)
Divè	Lanugo
Kouve	Kovado
Ferguson, Missouri	Ferguson (Misurio)
Pierre Vernier	Pierre Vernier
Cortelazor (Huelva)	Cortelazor
Almirante Tamandaré do Sul	Almirante Tamandaré do Sul
Wenatchee, Washington	Wenatchee (Vaŝingtonio)
Klowofliyokabòn	Fluorklorkarbonhidrogenaĵoj
Hannibal, Missouri	Hannibal (Misurio)
Beires (Almería)	Beires
Inez, Texas	Inez
Escacena del Campo (Huelva)	Escacena del Campo
Warrenton, Vijini	Warrenton (Virginio)
Fredericksburg, Texas	Fredericksburg (Teksaso)
Chimyoterapi	Kemiterapio
Clarkston, Washington	Clarkston (Vaŝingtonio)
Katy, Texas	Katy
West, Texas	West (Teksaso)
San Marcos, Texas	San Marcos
Quintana, Texas	Quintana (Teksaso)
Sherman, Texas	Sherman (Teksaso)
Ennio de Giorgi	Ennio de Giorgi
Robert Daniel Carmichael	Daniel Robert Carmichaël
Sylvestre François Lacroix	Sylvestre François Lacroix
Cañaveral de León (Huelva)	Cañaveral de León
Winterset, Iowa	Winterset (Iovao)
Longview, Washington	Longview (Vaŝingtonio)
Enid, Oklahoma	Enid (Oklahomo)
Paradise, Nevada	Paradise (Nevado)
Tiburon, Kalifòni	Tiburon
Conyers, Georgie	Kanjerso
Molinos de Duero	Molinos de Duero
Vozmediano	Vozmediano (Soria)
Hinojosa del Campo	Hinojosa del Campo
Toppenish, Washington	Toppenish (Vaŝingtonio)
Kafou (komin)	Carrefour (Haitio)
Jeremi (komin)	Jérémie (Haitio)
Woodinville, Washington	Woodinville (Vaŝingtonio)
Plainfield, Indiana	Plainfield
Lathrop, Kalifòni	Lathrop
Montesano, Washington	Montesano (Vaŝingtonio)
Virginia City, Nevada	Virginiurbo
East Wenatchee, Washington	East Wenatchee (Vaŝingtonio)
Greensburg, Kansas	Greensburg (Kansaso)
Endiksyon elektwomayetik	Elektromagneta indukto
Hoquiam, Washington	Hoquiam (Vaŝingtonio)
Sunrise Manor, Nevada	Sunrise Manor
Lakehurst, New Jersey	Lakehurst (Nov-Ĵerzejo)
Pagosa Springs, Kolorado	Pagosa Springs
Seleksyon atifisyèl	Selekta bredado
Dèlma (komin)	Delmas (Haitio)
Goldendale, Washington	Goldendale (Vaŝingtonio)
Orange City, Iowa	Orange City (Iovao)
Neosho, Missouri	Neosho (Misurio)
Port Townsend, Washington	Port Townsend (Vaŝingtonio)
New Harmony, Indiana	New Harmony
Lusk, Wyoming	Lusk (Vajomingo)
Glen Ridge Borough, New Jersey	Glen Ridge
Tanperati pou bouyi	Bolpunkto
Newton, Kansas	Newton (Kansaso)
Republic, Washington	Republic (Vaŝingtonio)
Westport, Washington	Westport (Vaŝingtonio)
Hammond, Lwizyana	Hammond (Luiziano)
Lebanon, Pennsilvani	Lebanono (Pensilvanio)
Fairmount, Indiana	Fairmount
Vrahovice	Vrahovice
Lestomak	Stomako
Oma	Omaro
Sunnyside, Washington	Sunnyside (Vaŝingtonio)
Rello (Soria)	Rello
Misk eskeletik	Stria muskolo
Cuevas del Almanzora (Almería)	Cuevas del Almanzora
Chirivel (Almería)	Chirivel
Rebollar (Soria)	Rebollar (Kastilio kaj Leono)
Achal Prabhala	Achal Prabhala
Monroe, Washington	Monroe (Vaŝingtonio)
Sistèm trinè	Triuma sistemo
Bardstown, Kentucky	Bardstown (Kentukio)
Espès egzotik	Enmetitaj specioj
Cheney, Washington	Cheney (Vaŝingtonio)
Charles de Bovelles	Charles de Bovelles
Palmye wayal	Reĝa palmo
Hendrick Motorsports	Hendrick Motorsports
Jaden	Ĝardeno
Carboneras (Almería)	Carboneras
Níjar (Almería)	Níjar
Zurgena (Almería)	Zurgena
Dalías (Almería)	Dalías
Vícar (Almería)	Vícar
Abrucena (Almería)	Abrucena
Coín (Málaga)	Coín
Zumpango (komin)	Zumpango (Meksikŝtato)
Enfiltrasyon	Enfiltreblo
Plant ki gen fèy kadik	Falfolia planto
Pomeroy, Washington	Pomeroy (Vaŝingtonio)
Amoni	Harmono
Pulpí (Almería)	Pulpí
Fiñana (Almería)	Fiñana
Benahadux (Almería)	Benahadux
Vera (Almería)	Vera (Almería)
Canjáyar (Almería)	Canjáyar
Bacares (Almería)	Bacares
María (Almería)	María
Illar (Almería)	Íllar
Arboleas (Almería)	Arboleas
Reyaksyon an chenn	Ĉena reakcio
Macael (Almería)	Macael
Benitagla (Almería)	Benitagla
Sik wòch	Cirkulado de la rokaĵoj
Dany Laferrière	Dany Laferrière
Phoenixville, Pennsilvani	Phoenixville (Pensilvanio)
Swarthmore, Pennsilvani	Swarthmore (Pensilvanio)
Nanticoke, Pennsilvani	Nanticoke
Black Diamond, Washington	Black Diamond (Vaŝingtonio)
Carnation, Washington	Carnation (Vaŝingtonio)
Woodland, Washington	Woodland (Vaŝingtonio)
Wikipedya:Anbasad	Vikipedio:Ambasadorejo
Bokal	Bokalo
Ekrevis	Kankro (besto)
Plasenta	Placento
Ayeropò	Flughaveno
Eskalè	Skalaro (matematiko)
Beas de Segura (Jaén)	Beas de Segura
Arjona (Jaén)	Arjona
James David Forbes	James David Forbes
Hubert Reeves	Hubert Reeves
Lucainena de las Torres (Almería)	Lucainena de las Torres
Bentarique (Almería)	Bentarique
Bayarque (Almería)	Bayarque
Laroya (Almería)	Laroya
Bayárcal (Almería)	Bayárcal
Instinción (Almería)	Instinción
Cóbdar (Almería)	Cóbdar
Armuña de Almanzora (Almería)	Armuña de Almanzora
Gérgal (Almería)	Gérgal
Albanchez (Almería)	Albanchez
Olula del Río (Almería)	Olula del Río
Felix (Almería)	Felix
Lúcar (Almería)	Lúcar
Alicún (Almería)	Alicún
Cantoria (Almería)	Cantoria
Chercos (Almería)	Chercos
Turre (Almería)	Turre
Líjar (Almería)	Líjar
Fondón (Almería)	Fondón
Laurent Voulzy	Laurent Voulzy
Buckley, Washington	Buckley (Vaŝingtonio)
Souprefekti	Subprefektujo
Alcóntar (Almería)	Alcóntar
Թ	T'o (armena litero)
Ի	Ini (armena litero)
Է	Eh (armena litero)
Ժ	Ĵe (armena litero)
Ը	Et' (armena litero)
Խ	Ĥeh (armena litero)
300 (nonm)	300 (nombro)
Kitikil	Kutiklo
Albox (Almería)	Albox
Turrillas (Almería)	Turrillas
Castro de Filabres (Almería)	Castro de Filabres
Garrucha (Almería)	Garrucha
Kategori:Almay	Kategorio:Germanio
Kategori:Etazini	Kategorio:Usono
Kategori:Risi	Kategorio:Rusio
Kategori:Kanada	Kategorio:Kanado
Kategori:Wayòm Ini	Kategorio:Unuiĝinta Reĝlando
Kategori:Espay	Kategorio:Hispanio
Kategori:Nouvèl Zelann	Kategorio:Nov-Zelando
Siwèl	Spondias purpurea
Կ	Ken (armena litero)
Ծ	Tza (armena litero)
Yerachi dominan	Dominhierarkio
Alhabia (Almería)	Alhabia
Rioja (Almería)	Rioja (Almería)
Alcolea (Almería)	Alcolea
Oria (Almería)	Oria (Almería)
Alboloduy (Almería)	Alboloduy
San Juan del Puerto (Huelva)	San Juan del Puerto
Benizalón (Almería)	Benizalón
Alsodux (Almería)	Alsodux
Ohanes (Almería)	Ohanes
Olula de Castro (Almería)	Olula de Castro
Purchena (Almería)	Purchena
Encinasola (Huelva)	Encinasola
El Cerro de Andévalo (Huelva)	El Cerro de Andévalo
Pechina (Almería)	Pechina
Padules (Almería)	Padules
Paterna del Río (Almería)	Paterna del Río
Partaloa (Almería)	Partaloa
Kategori:Kiba	Kategorio:Kubo
Kategori:Polòy	Kategorio:Pollando
Kategori:Kore disid	Kategorio:Sud-Koreio
Kategori:Swis	Kategorio:Svislando
Kategori:Vyetnam	Kategorio:Vjetnamio
Kategori:Fizik	Kategorio:Fiziko
Kategori:Syans natirèl	Kategorio:Naturscienco
Kategori:Biyoloji	Kategorio:Biologio
Kategori:Chimi	Kategorio:Kemio
Kategori:Istwa	Kategorio:Historio
Kategori:Jewografi	Kategorio:Geografio
Kategori:Sosyete	Kategorio:Socio
Kategori:La vizyèl	Kategorio:Vidaj artoj
Kategori:Relijyon	Kategorio:Religio
Kategori:Espò	Kategorio:Sporto
Tonanitla	Tonanitla
Kategori:Syans	Kategorio:Scienco
Kategori:Sinema	Kategorio:Kino
Kategori:Latè	Kategorio:Tero
Albaida del Aljarafe (Seville)	Albaida del Aljarafe
Hueypoxtla (komin)	Hueypoxtla
Airway Heights, Washington	Airway Heights (Vaŝingtonio)
Tumwater, Washington	Tumwater
Darrington, Washington	Darrington (Vaŝingtonio)
Ephrata, Washington	Ephrata (Vaŝingtonio)
Ruston, Washington	Ruston (Vaŝingtonio)
Steilacoom, Washington	Steilacoom (Vaŝingtonio)
Beaux Arts Village, Washington	Beaux Arts Village (Vaŝingtonio)
Edgewood, Washington	Edgewood (Vaŝingtonio)
Kettle Falls, Washington	Kettle Falls (Vaŝingtonio)
Fife, Washington	Fife (Vaŝingtonio)
Othello, Washington	Othello (Vaŝingtonio)
Ritzville, Washington	Ritzville (Vaŝingtonio)
Enumclaw, Washington	Enumclaw
Coupeville, Washington	Coupeville (Vaŝingtonio)
University Place, Washington	University Place (Vaŝingtonio)
Quincy, Washington	Quincy (Vaŝingtonio)
Eatonville, Washington	Eatonville (Vaŝingtonio)
Spanaway, Washington	Spanaway (Vaŝingtonio)
Roy, Washington	Roy (Vaŝingtonio)
Orting, Washington	Orting (Vaŝingtonio)
Cosmopolis, Washington	Cosmopolis (Vaŝingtonio)
Carbonado, Washington	Carbonado (Vaŝingtonio)
Ketchum, Idaho	Ketchum (Idaho)
Ճ	Ĉeh (armena litero)
Մ	Men (armena litero)
Ձ	Dza (armena litero)
Չ	Ĉa (armena litero)
Պ	Peh (armena litero)
Ջ	Tĵeh (armena litero)
Ր	Reh (armena litero)
Վ	Vev (armena litero)
Ն	Nu (armena litero)
Յ	Ji (armena litero)
Շ	Ŝa (armena litero)
Ռ	Rra (armena litero)
Ո	Vo (armena litero)
Փ	Pjur (armena litero)
Ց	Co (armena litero)
Menasha, Wisconsin	Menasha
Տ	Tjun (armena litero)
Ւ	Jiun (armena litero)
Ք	Qeh (armena litero)
Ս	Seh (armena litero)
Rágol (Almería)	Rágol
Castellar de la Frontera (Cadix)	Castellar de la Frontera
Castillo de Locubín (Jaén)	Castillo de Locubín
Albanchez de Mágina (Jaén)	Albanchez de Mágina
Paymogo (Huelva)	Paymogo
Alameda (Málaga)	Alameda (Málaga, Hispanio)
Zalamea la Real (Huelva)	Zalamea la Real
Cambil (Jaén)	Cambil
Arquillos (Jaén)	Arquillos
Canena (Jaén)	Canena
Alcaudete (Jaén)	Alcaudete
Arjonilla (Jaén)	Arjonilla
Rociana del Condado (Huelva)	Rociana del Condado
Trigueros (Huelva)	Trigueros
San Bartolomé de la Torre (Huelva)	San Bartolomé de la Torre
Lucena del Puerto (Huelva)	Lucena del Puerto
Santa Olalla del Cala (Huelva)	Santa Olalla del Cala
Hinojos (Huelva)	Hinojos
Alosno (Huelva)	Alosno
Cortegana (Huelva)	Cortegana
Campofrío (Huelva)	Campofrío
Cumbres Mayores (Huelva)	Cumbres Mayores
Galaroza (Huelva)	Galaroza
Paterna del Campo (Huelva)	Paterna del Campo
Chucena (Huelva)	Chucena
Higuera de la Sierra (Huelva)	Higuera de la Sierra
Bonares (Huelva)	Bonares
Cumbres de Enmedio (Huelva)	Cumbres de Enmedio
Aroche (Huelva)	Aroche
Sòsyè	Sorĉistino
Villarrasa (Huelva)	Villarrasa
Santa Bárbara de Casa (Huelva)	Santa Bárbara de Casa
Oki	Hokeo
Alfarnatejo (Málaga)	Alfarnatejo
El Burgo (Málaga)	El Burgo
Ardales (Málaga)	Ardales
Pujerra (Málaga)	Pujerra
Arriate (Málaga)	Arriate (Malago)
Alpandeire (Málaga)	Alpandeire
Villanueva de las Cruces (Huelva)	Villanueva de las Cruces
Benadalid (Málaga)	Benadalid
Cartajima (Málaga)	Cartajima
Santa Ana la Real (Huelva)	Santa Ana la Real
San Silvestre de Guzmán (Huelva)	San Silvestre de Guzmán
Parauta (Málaga)	Parauta
Sanlúcar de Guadiana (Huelva)	Sanlúcar de Guadiana
Alozaina (Málaga)	Alozaina
Teba (Málaga)	Teba
Puerto Moral (Huelva)	Puerto Moral
Almargen (Málaga)	Almargen
Algatocín (Málaga)	Algatocín
Arroyomolinos de León (Huelva)	Arroyomolinos de León
Benatae (Jaén)	Benatae
