An Afraic	Afriko
Charlotte Brontë	Charlotte Brontë
The Lord of the Rings: The Fellowship of the Ring	La Mastro de l' Ringoj: La Kunularo de l' Ringo (filmo)
Maimonides	Maimonido
Dúch	Inko
Allianz Arena	Allianz Arena
Konstantin Chernenko	Konstantin Ĉernenko
Cúcamar mara	Markukumo
Ashley Tisdale	Ashley Tisdale
Saifír	Safiro
Perciform	Perkoformaj
Friochtán	Pato
Fionn	Katarakto
Cogadh na Rósanna	Militoj de rozoj
Teile (crann)	Tilio
Seirbiaigh	Serboj
Lachtós	Laktozo
Tinte ealaíne	Artfajraĵo
Arthur Holly Compton	Arthur Holly Compton
Isiméireacht	Izomero
Micreathonnán	Mikroondilo
Saill	Graso
Fuinneamh geoiteirmeach	Geoterma energio
Micreathonnta	Mikroondoj
Taipir	Tapiro
Gaineamhchearc Pallas	Stepkoko
Crúb	Hufo
Gilitín	Gilotino
Pápa Pius VI	Pio la 6-a
Dinimic	Dinamiko
Syracuse, Nua-Eabhrac	Sirakuso
Ríomhleabhar	Bitlibro
Yonkers, Nua-Eabhrac	Yonkers
Mick Jagger	Mick Jagger
Kingston upon Hull	Kingston upon Hull
Géarchéim na nDiúracán i gCúba	Kariba krizo
Frith-Reifeirméisean	Kontraŭreformacio
Agaiméamnón	Agamemno
Cephalopoda	Kapopieduloj
Naomh Iósaf	Sankta Jozefo
Foireann drumaí	Drumo
Cógaseolaíocht	Farmakologio
Cioclóp	Ciklopo
Futebol Clube do Porto	FC Porto
Bratach Iosrael	Flago de Israelo
Paul Martin	Paul Martin
Naomh Lúcás Soiscéalaí	Sankta Luko
Céadar (crann)	Cedro
Brian Mulroney	Brian Mulroney
Ailse chíche	Mama kancero
John Diefenbaker	John Diefenbaker
Slaodacht	Viskozeco
Stanislao Cannizzaro	Stanislao Cannizzaro
Muirmhíle	Knoto
Nagano	Nagano
Fuinseog	Frakseno
An Suipéar Déanach (Leonardo da Vinci)	La Lasta Vespermanĝo (Leonardo)
Harold Wilson	Harold Wilson
Harold Macmillan	Harold Macmillan
Clement Attlee	Clement Attlee
Draighean	Prunelo
Opisthokonta	Opisthokonta
Capall coille	Urogalo
Antrasc	Antrakso
Ruslana	Ruslana
Cearnóg Trafalgar	Placo Trafalgar
Nikolai Lobachevsky	Nikolaj Ivanoviĉ Lobaĉevskij
Haitseapsút	Hatŝepsut
Éadbhard III Shasana	Eduardo la 3-a (Anglio)
Larbha	Larvo
Dinnireacht	Disenterio
Réimeas Briotanach	Brita Hindio
Eoin Shasana	Johano (Anglio)
Vivien Leigh	Vivien Leigh
Tōhoku	Tohoku
Dugang	Dugongo
Hugh Jackman	Hugh Jackman
Gaillimh	Galivo
Yeti	Jetio
Xenophon	Ksenofono
Míonótár	Minotaŭro
Liam III Shasana	Vilhelmo la 3-a (Anglio)
Norwich	Norwich
Cailleach dhearg	Papaveto
Droichead Londan	Ponto de Londono
Ianasóir	Janiĉaroj
Macbeth (dráma)	Makbeto
George Michael	George Michael
Feanól	Fenolo
Cruthaíochtachas	Kreismo
Ribeaflaivin	Riboflavino
Lucsar	Luksoro
Seoirse IV na Ríochta Aontaithe	Georgo la 4-a (Britio)
Poirceallán	Porcelano
Nioclás I na Rúise	Nikolao la 1-a (Rusio)
Siabhránacht	Halucino
Alanis Morissette	Alanis Morissette
Éilís na Rúise	Elizabeto (Rusio)
Christoph Gluck	Christoph Willibald von Gluck
Tuirbín	Turbino
Toit	Fumo
Ciocáid	Cikadedoj
Conradh Ribbentrop-Molotov	Pakto Ribbentrop-Molotov
Pape'ete	Papeeto
Seoirse I na Breataine Móire	Georgo la 1-a (Britio)
Atlas (miotaseolaíocht)	Atlaso (mitologio)
Liam IV na Ríochta Aontaithe	Vilhelmo la 4-a (Britio)
Luasaire cáithnín	Partikla akcelilo
Peirséas	Perseo
Cath Verdun	Batalo apud Verdun
Junichiro Koizumi	Koizumi Ĝuniĉiro
Guma coganta	Maĉgumo
Sruth na Murascaille	Golfa Marfluo
Speal	Falĉilo
Actinomycetes	Aktinobakterioj
Dáilia	Dalio
Kalevala	Kalevala
Marcha Real	Marcha Real
Plasmóidiam	Plasmodio
Sciáil	Skiado
An Sfioncs Mór	Granda sfinkso en Gizo
Calra	Kalorio
Robert Millikan	Robert Andrews Millikan
Ceirbrín	Cerbeto
Nuafhriotal	Neologismo
François Rabelais	François Rabelais
Eoleolaíocht	Scientologio
Eala dhubh	Nigra cigno
The Lord of the Rings: The Return of the King	La Mastro de l' Ringoj: La Reveno de l' Reĝo (filmo)
An tSeachtain Mhór	Sankta Semajno
Draoi	Druido
Geodasaíocht	Geodezio
Tuiseal ainmneach	Nominativo
Paul Krugman	Paul Krugman
Ailm	Ulmo
Ainéistéise	Anestezo
Dreige	Meteoro
COBOL	COBOL
Bratach na Síne	Flago de Ĉinio
Útóipe	Utopio
An Mhainicéasaíocht	Manikeismo
Tiúba	Tubjo
Própán	Propano
Innéacs corpmhaise	Korpomasa indico
Smideadh	Kosmetiko
Tím	Timiano
Lintile	Lento
Anna Politkovskaya	Anna Politkovskaja
Eiscimigh	Eskimoj
IMMAGINE&POESIA	Immagine & Poesia
Coimpléasc Éideapúis	Edipa konflikto
Tadhlaí	Tanĝanto
Farad	Farado (mezurunuo)
Ollscoil Bhologna	Universitato de Bolonjo
Sonáid	Sonato
Anamcheol	Soulo
ISSN	ISSN
Alþingi	Althing
Vicipéid:BookSources	Vikipedio:Libroservoj
John Williams (cumadóir)	John Williams (komponisto)
Áirc an Chonartha	Kesto de Interligo
Misrata	Misrata
Janet Jackson	Janet Jackson
Pálás Schönbrunn	Palaco Schönbrunn
George Eliot	George Eliot
Seamaí	Ĉamo
Pónaire leathan	Fabo
Nishapur	Nejŝaburo
Maoracht Shiga	Gubernio Ŝiga
Kim Basinger	Kim Basinger
Ceratopsia	Ceratopoj
Màiri I, Banríon na nAlbanach	Maria Stuart
Ispín	Kolbaso
Orgánach uatrófach	Aŭtotrofo
Shania Twain	Shania Twain
Cúige Mumhan	Munster (Irlando)
Trom (crann)	Sambuko
Króna	Islanda krono
Sport Lisboa e Benfica	SL Benfica
Feirmeoir	Terkultivisto
Tolg	Sofo
Ariane	Ariane
Búmaraing	Bumerango
Capabára	Kapibaro
Harry Houdini	Harry Houdini
Na hOileáin Dhóideacanacha	Dodekanesoj
Sciath	Ŝildo
Marmat	Marmoto
Anraí V Shasana	Henriko la 5-a (Anglio)
Pápa Clemeint XIV	Klemento la 14-a
Prionsabal eisiaimh Pauli	Principo de ekskludo
Feirm	Bieno
Loch Starnberg	Starnberger See
Natal, Rio Grande do Norte	Natalo (Brazilo)
Smithsonian Institution	Smithsonian Institution
Pálás Nymphenburg	Palaco Nymphenburg
Hallstatt	Hallstatt (urbo)
Bonn (píosa miotail)	Medalo
Lotnaidicíd	Pesticido
Dominique de Villepin	Dominique de Villepin
Lola Pagnani	Lola Pagnani
Acrapolas	Akropolo
Taiscumar	Baraĵlago
Sutheolaíocht	Embriologio
Héileastad	Heliosfero
Arthur Wellesley, an chéad Diúc Wellington	Duko de Wellington
Kattegat	Kategato
An Prionsa	La Princo
Johannes Diderik van der Waals	Johannes Diderik van der Waals
Bitcoin	Bitmono
Joan Baez	Joan Baez
Henry Cavendish	Henry Cavendish
Galar tógálach	Infekta malsano
Tiachóg	Monujo
Heipitíteas	Hepatito
Anoireicse néarógach	Anoreksio
Síocóis mháindúlagrach	Dupolusa obstrukco
Humphry Davy	Humphry Davy
Ilmheáin	Plurmedio
Ógántacht	Adolesko
Corandam	Korundo
Greamachán	Gluo
Néalú	Sublimado
Tina Turner	Tina Turner
Idé	Ideo
Rubar	Gumo
Filidéandran	Filodendro
Bobchat	Rufa linko
Meirliún	Kolombfalko
Seoirse II na Breataine Móire	Georgo la 2-a (Britio)
Xbox	Xbox
An Labhráise	Laŭrazio
Eochair	Ŝlosilo
Gobharnóir	Guberniestro
Míol mór bán	Belugo
Universidade Federal de Minas Gerais	Universidade Federal de Minas Gerais
Naomh Aodhán Lindisfarne	Sankta Aidan
Shinzō Abe	Abe Shinzo
Teoirim dheireanach Fermat	Lasta teoremo de Fermat
Gliocról	Glicerino
Na Briogáidí Idirnáisiúnta	Internaciaj Brigadoj
Robert Oppenheimer	Robert Oppenheimer
An Choróin Mhuire	Rozario
Ardchoimisinéir na Náisiún Aontaithe um Dhídeanaithe	Alta Komisaro de la Unuiĝintaj Nacioj pri Rifuĝintoj
Cath na Somme	Batalo ĉe la Somme
Iompála	Impalo
Athchúrsáil	Recikligo
Madra fiáin na hÁise	Montara kuono
Aifreann	Meso (diservo)
Naomi Watts	Naomi Watts
Aidréanailín	Adrenalino
Cuimín	Kumino
Ciorcad leictreach	Elektra cirkvito
Modest Petrovich Mussorgsky	Modest Petroviĉ Musorgskij
Frans Eemil Sillanpää	Frans Eemil Sillanpää
Facs	Faksilo
Céasadh	Torturo
Biarritz	Biarritz
Thomas Hardy	Thomas Hardy
Galú	Vaporado
Dúnmharú	Murdo
Cónaiféar	Pinofitoj
Finding Nemo	Finding Nemo
LISP	Lisp (programlingvo)
Olympique de Marseille	Olympique de Marseille
Míol mór dronnach	Ĝiba baleno
Adam Sandler	Adam Sandler
Disléicse	Disleksio
Eilifint na hÁise	Azia elefanto
Clóireile	Klorelo
Risteard III Shasana	Rikardo la 3-a (Anglio)
Shmuel Yosef Agnon	Samuel Josef Agnon
Susan Sarandon	Susan Sarandon
Sylvia Plath	Sylvia Plath
Mám	Montpasejo
Willem Barents	Willem Barentsz
Pápa Greagóir VII	Gregorio la 7-a
Mósáic	Mozaiko
Dunedin	Dunedin
Maidhm seicne	Hernio
Gúta	Podagro
Cos	Kruro
Lucy Lawless	Lucy Lawless
Hamilton, Ontario	Hamiltono (Ontario)
Pápa Clemeint XIII	Klemento la 13-a
Speictream leictreamaighnéadach	Elektromagneta spektro
Aicéitilín	Etino
Cnaguirlisí	Frapinstrumento
Sonóir	Sonaro
Clinton Joseph Davisson	Clinton Joseph Davisson
Miotóis	Mitozo
Dó (imoibriú)	Brulo
Buíochán	Iktero
Seicheamh	Vico
Bulgáraigh	Bulgaroj
Lev Davidovich Landau	Lev Landau
An Chreimil	Moskva Kremlo
Raifia	Rafio
Mohamed ElBaradei	Mohamed ElBaradei
Luimneach	Limerick
Spás-am	Spactempo
An Chéad Comhdháil Nicea	Unua koncilio de Niceo
Jan Peter Balkenende	Jan Peter Balkenende
Bee Gees	Bee Gees
Gleann na Ríthe	Valo de la Reĝoj
Cathairstáit	Urboŝtato
Teilifís ardghéire	Altdifina televido
Monaisiúicríd	Monosakarido
John Logie Baird	John Logie Baird
Aerlong	Aerŝipo
George Stephenson	George Stephenson
Thor Heyerdahl	Thor Heyerdahl
Ré na Fionnachtana	Epoko de Malkovroj
Guairne	Spino (fiziko)
Howard Carter	Howard Carter
Gimnispeirmeacha	Nudsemplantoj
Carbónmhar	Karbonio
William Henry Bragg	William Henry Bragg
Cruinneog	Globuso
Eipidéimeolaíocht	Epidemiologio
Gairbhéal	Gruzo
George Paget Thomson	George Paget Thomson
Díraonadh	Difrakto
Maoracht Tottori	Gubernio Tottori
Frithocsaídeoirí	Antioksidanto
Garchabhair	Sukuro
Haemaifilia	Hemofilio
Míorchat	Surikato
Jean Baptiste Perrin	Jean Baptiste Perrin
Cath Austerlitz	Batalo ĉe Slavkov
Cnút Mór	Knuto la Granda
Abu Simbel	Temploj de Abu Simbel
Pop-ealaín	Poparto
Lus na hoíche	Solanacoj
Truman Capote	Truman Capote
Bútán	Butano (kemio)
Freascó	Fresko
Polaishiúicrídí	Polisakarido
Gas	Tigo
Roger Moore	Roger Moore
Snow White and the Seven Dwarfs (scannán 1937)	Snow White and the Seven Dwarfs
Topagrafaíocht	Topografio
Port Said	Port Said
Suais	Suezo
Black Eyed Peas	The Black Eyed Peas
Crios	Zono (vestaĵo)
Caidéal	Pumpilo
Talc	Talko
Bliosán cruinn	Artiŝoko
Pailniú	Polenado
An Diftéire	Difterio
Aigéad nicitíneach	Nikotina acido
George Boole	George Boole
Exeter	Exeter
Baiona	Bajono
Camille Pissarro	Camille Pissarro
Seiriceán	Silkraŭpo
Strataghrafaíocht	Stratigrafio (geologio)
Geoiméadracht anailíseach	Analitika geometrio
Murakami Haruki	Murakami Haruki
Conradh Verdun	Traktato de Verdun
Lá na nAithreacha	Tago de patro
Aigéad carbocsaileach	Karboksilata acido
Triuch	Kokluŝo
Seaimpéin	Ĉampano
Stoke-on-Trent	Stoke-on-Trent
Típí	Tipio
Na Ceatsuaigh	Keĉuoj
Cogadh an Gheimhridh	Vintra milito
Dúidéineam	Duodeno
Diabhal Tasmánach	Tasmana diablo
R.E.M.	R.E.M. (muzikgrupo)
David Lloyd George	David Lloyd George
Tópás	Topazo
Mionn Hipeacraitéis	Hipokrata ĵuro
Fioscaireacht	Rettrompado
Camelidae	Kameledoj
Ferdinand Petrovich von Wrangel	Ferdinand von Wrangel
Na hOilmicigh	Olmekoj
Algancach	Algonkenoj
Gallfheochadán	Mola akanto
Ailtireacht Normannach	Normana arĥitektura stilo
Trasnaíocht	Interfero
Creimeadh	Korodo
Howard Walter Florey	Howard Walter Florey
Béar spéaclach	Okulvitra urso
Séamas V, Rí na nAlbanach	Jakobo la 5-a (Skotlando)
Monatóir (cabhlach)	Monitoro (batalŝipo)
Séamas IV, Rí na nAlbanach	Jakobo la 4-a (Skotlando)
Íosóip	Oficina hisopo
Elizabeth, New Jersey	Elizabeth (Nov-Ĵerzejo)
Paterson, New Jersey	Paterson (Nov-Ĵerzejo)
Princeton, New Jersey	Princeton (Nov-Ĵerzejo)
Hoboken	Hoboken (Nov-Ĵerzejo)
Capóc	Kapok-arbo
Logagram	Vorterosigno
Curáire	Kuraro
Saguenay, Québec	Saguenay
Feadóg (éan)	Pluvio
Sherbrooke, Québec	Sherbrooke (Kebekio)
Atlantic City, New Jersey	Atlantic city
Arastarcas as Samas	Aristarko el Samoso
Messerschmitt Me 262	Messerschmitt Me 262
Gloster Meteor	Gloster-Meteor
John Donne	John Donne
John Kay	John Kay
Gatineau	Gatineau
Kimchi	Kimĉio
Gearg bhabaight	Virginia koturno
Pearl Jam	Pearl Jam
Malaeich	Malajoj
Cluiche cártaí	Kartludo
Hicearaí	Hikorio
Allentown, Pennsylvania	Allentown (Pensilvanio)
Sreabhadh géinte	Genfluo
Teangacha Malae-Pholainéiseacha	Malajopolinezia lingvaro
Polaiteitreafluaireitiléin	Polikvarfluoretileno
Céir bheach	Abelvakso
Cyprinodontiformes	Dentokarpedoj
Giar	Dentrado
Histéire	Histerio
Míol mór fiaclach	Dentocetacoj
Bran (iasc)	Bramo (fiŝo)
Ceadharlach	Genciano
Breac beadaí	Lojto
Béar gréine	Malaja urso
Apalló	1862 Apolono
Roisín	Rezino
Toipeolaíocht líonra	Reta topologio
Manchúraigh	Manĉuroj
Coigeal na mban sí	Tifao
Ialus	Konvolvulacoj
Fearbán	Ranunkolacoj
Coll	Avelujo
Glasra pischineálach	Guŝo
Ór Muire	Kalendulo
Feirdhris	Hundorozo
Sailchuach	Violo
Crobh préacháin	Ranunkolo
Polaprópailéin	Polipropileno
Naomh John Bosco	Don Bosco
Meispeal	Mespilujo
Bliosán gréine	Terpiro
Miriam Makeba	Miriam Makeba
Polúireatáin	Poliuretano
Polaiviniolclóiríd	Polivinil-klorido
Sileacón	Silikono
Fearann (bitheolaíocht)	Domajno (biologio)
Tuaslagóir	Solvaĵo
Krzeszowice	Krzeszowice
Sorbaigh	Soraboj
Herne Hill	Herne Hill
Spuirse	Eŭforbio
Cuirín dubh	Nigra ribo
Ceallalóid	Celuloido
Mórchiorcal	Ĉefcirklo
Cuirín dearg	Ruĝa ribo
Brixton	Brixton
Bexleyheath	Bexleyheath
Coptaigh	Koptoj
Aomori	Aomori (urbo)
Lingua Franca Nova	Nova Lingvafrankao
Pluma silíneach	Prunus cerasifera
Giúis gheal	Blanka abio
Smaointurgnamh	Pensa eksperimento
Poibleog Lombardach	Populus nigra
Borráiste gorm	Oficina borago
Piaine	Peonio
Lus míonla	Neforgesumino
Beallaí	Orpluvo
Cálráib	Tigobrasiko
Arbor vitae	Tujo
Bundún leice	Maranemono
Apasam Virginia	Norda didelfo
Eileabar	Heleboro
Peasair	Vicio
Céadras Seapánach	Sugio
Stua	Arko (geometrio)
Eolaíocht chognaíoch	Kognoscienco
Colaimbín	Akvilegio
Im piseanna talún	Arakida butero
Giovanni da Verrazzano	Giovanni da Verrazano
Capsúl (luibheolaíocht)	Kapsulo (frukto)
Scaibeas	Skabiozo
An Chiorróis	Cirozo
Cúfróg bhréige	Kamecipariso
Subramanayan Chandresekhar	Subrahmanyan Chandrasekhar
Edgar Rice Burroughs	Edgar Rice Burroughs
Pláinéadlann	Planetario
Lus cigilteach	Sensitivo
Claí	Barilo
Panacal	Grapolaro
Scéal Éideapús Rí	Reĝo Edipo
Bruno Schulz	Bruno Schulz
Ginceo	Ginko
Hendon	Hendon
Calcalas	Kalkulo
Calcalas difreálach	Diferenciala kalkulo
Calcalas suimeálach	Integrala kalkulo
Ciotrón	Cedrato
Peantán	Pentano
Heacsán	Heksano
Biolar uisce	Akvokreso
Bachlóg Bhruiséile	Burĝonbrasiko
Leopold I, An tImpire Naofa Rómhánach	Leopoldo la 1-a (Sankta Romia Imperio)
Santiago Ramon y Cajal	Santiago Ramón y Cajal
Alexander Dubček	Alexander Dubček
Anraí Foghlaera	Henriko la Birdisto
Heaptán	Heptano
Porfirio Díaz	Porfirio Díaz
Séarlas Ramhar	Karlo la 3-a la Dika
Benjamin Britten	Benjamin Britten
Cainneon	Kanjono
Frankenstein	Frankenŝtejno
Salmonella	Salmonella
Colin Powell	Colin Powell
Gene Hackman	Gene Hackman
Jean Frédéric Joliot-Curie	Frédéric Joliot-Curie
Cath Leipzig	Batalo de Leipzig
Henry Spencer Moore	Henry Moore
Westlife	Westlife
Eitiléin	Eteno
Sans Souci	Sanssouci
Ollscoil Heidelberg	Universitato de Hajdelbergo
Paul Signac	Paul Signac
Nis	Ness (Lewis)
Sula Sgeir	Sula Sgeir
Boraraigh	Borerajo
Vicipéid:Conas alt a chur in eagar	Helpo:Redakti
Nicolaus Steno	Nikolao Stenono
Karl Friedrich Schinkel	Karl Friedrich Schinkel
Ivan VI na Rúise	Ivano la 6-a
Peadar III na Rúise	Petro la 3-a (Rusio)
Piet Mondrian	Piet Mondriaan
Louis-Ferdinand Céline	Louis-Ferdinand Céline
Mark van Bommel	Mark van Bommel
Jöns Jakob Berzelius	Jöns Jacob Berzelius
Masúrca	Mazurko
Leonel Fernández	Leonel Fernández
Filleadh beag	Kilto
Venus de Milo	Melosa Venuso
Lidl	Lidl
Naomh Blaise	Sankta Blazio
Richard Burton	Richard Burton
Réadlann Eorpach an Deiscirt	Eŭropa suda observatorio
Ollscoil Humboldt Bheirlín	Humboldt-Universitato en Berlino
Sceallóga	Terpomfingroj
Folcadán	Banujo
C. G. E. Mannerheim	Carl Gustaf Emil Mannerheim
Harry, prionsa na Breataine Bige	Henry Mountbatten-Windsor
Isoroku Yamamoto	Yamamoto Isoroku
Folt rua	Rufaj haroj
Joan Miró	Joan Miró
Alfred Adler	Alfred Adler
Galar crúibe is béil	Afta febro
Lughaidh Gearmánach	Ludoviko la Germano
Rafael Trujillo	Rafael Trujillo
Seosamh I, An tImpire Naofa Rómhánach	Jozefo la 1-a (Sankta Romia Imperio)
Cogadh na Saoirse (An Spáinn)	Milito de Hispana Sendependiĝo
Dlí Saileach	Salfranka leĝo
Henry Wadsworth Longfellow	Henry Wadsworth Longfellow
Rínathair	Bazilisko (mitologio)
Robert Capa	Robert Capa
Armia Krajowa	Pola Enlanda Armeo
Alfredo Stroessner	Alfredo Stroessner
Macraitheanga	Makrolingvo
Maeve Binchy	Maeve Binchy
Susan Sontag	Susan Sontag
Briogáidire-ghinearál	Brigada generalo
Ríocht na Sacsaine	Reĝlando Saksio
Brícín	Briketo
Constantin Brâncuşi	Constantin Brâncuși
Polca	Polko
Monarcacht Hapsburgach	Habsburga monarkio
Joseph Louis Gay-Lussac	Louis Joseph Gay-Lussac
Edward Victor Appleton	Edward Victor Appleton
Andrey Nikolayevich Kolmogorov	Andrej Kolmogorov
Jean le Rond d'Alembert	Jean le Rond d'Alembert
Leo Szilard	Leó Szilárd
Tirpitz	Germana batalŝipo Tirpitz
Joseph Banks	Joseph Banks
Gebhard Leberecht von Blücher	Gebhard Leberecht von Blücher
Diderik Buxtehude	Dietrich Buxtehude
Primo Levi	Primo Levi
Albrecht Altdorfer	Albrecht Altdorfer
Georges Braque	Georges Braque
Maximilian Kolbe	Maksimiliano Kolbe
Túlairéime	Tularemio
Nikolaas Tinbergen	Nikolaas Tinbergen
Henry Clemens van de Velde	Henry Van de Velde
Cabáiste géaraithe	Acida brasiko
Teachtaireacht an Aingil	Anunciacio
Molás	Melaso
Ladhar	Piedfingro
Putóg dubh	Sangokolbaso
Siúinéir	Ĉarpentisto
Parthalán Ó hEachthairn	Bertie Ahern
Karlheinz Stockhausen	Karlheinz Stockhausen
Ada	ADA
Dlí Godwin	Leĝo de Godwin
Nana Mouskouri	Nana Mouskouri
Einceifileapaite spúinseach bhólachta	Bova Spongoforma Encefalopatio
Conradh Utrecht	Traktato de Utrecht
Cola (cathair)	Kola (urbo)
Verdun	Verduno
Nioclás as Kues	Nikolao de Kuzo
Arnold Schoenberg	Arnold Schönberg
Maximillian Ernst	Max Ernst
Iútlannaigh	Jutoj
Comórtas Amhránaíochta na hEoraifíse 1957	Eŭrovido-Kantokonkurso 1957
Ispíneachas	Botulismo
Fiabhras buí	Flava febro
Galar na Léigiúnach	Legiana malsano
Arnulf de Carinthia	Arnulf de Karintio
Shell	Royal Dutch Shell
Estádio do Maracanã	Stadiono Maracanã
NBA	National Basketball Association
Eric Richard Kandel	Eric Kandel
Fuinneamh poitéinsiúil	Potenciala energio
Igor Yevgenevich Tamm	Igor Tamm
Robert Brown	Robert Brown (botanikisto)
Masatoshi Koshiba	Koshiba Masatoshi
Hideki Yukawa	Yukawa Hideki
Dennis Gabor	Dennis Gabor
Eugene Paul Wigner	Eugene Paul Wigner
Hans Albrecht Bethe	Hans Albrecht Bethe
Dragan	Estragono
Cuilghaiste Véineas	Muŝkaptulo
Oiliandar	Oleandro
Cíb	Ciperacoj
Karel Čapek	Karel Čapek
Bruitíneach dhearg	Rubeolo
Caislín aitinn	Brungorĝulo
Liathchearc	Tetro
Acainít	Akonito
George Gabriel Stokes	George Gabriel Stokes
Seile	Salivo
Pápa Beinidict XIII	Benedikto la 13-a
Ríomhaire táibléid	Tabulkomputilo
Hiodrainsia	Hidrangeo
Féithleann	Lonicero
Belladonna	Beladono
Lus gile	Dianto
Gastaireintríteas	Gastroenterito
Alfalfa	Luzerno
Siúl na nÓglach	La Marŝo de la Volontuloj
Corcdhair	Korkokverko
Powys	Powys
Pinsean	Pensio
Capras	Kaporo
Rós gréine	Cistacoj
Katie Melua	Katie Melua
Amarantas	Amaranto
Universidade Estadual de Feira de Santana	Universidade Estadual de Feira de Santana
Bláthra	Floraro
Néaraiptéara	Neŭroptero
Aimiréal dearg	Admiral-papilio
Pótaintille	Potentilo
Bróiméileach	Bromeliacoj
Digeatálas	Digitalo
Hevea brasiliensis	Kaŭĉukarbo
Henri Cartier-Bresson	Henri Cartier-Bresson
Moncaí réasas	Rezuso
Back to Black	Back to Black
Eaglais Wies	Preĝejo de la Prato
Cochall	Skutelario
Macall	Geumo
Lúipíní	Lupenoj
Grafán na gcloch	Sedo
Faireog phiotútach	Hipofizo
Gormán	Cejano
Rós Ollannach	Opulo
Téac	Granda tektono
Seiceamar	Sikomora acero
Ciaróg Colorado	Terpoma skarabo
Tuiseal ochslaíoch	Ablativo
Trefynwy	Monmouth (Kimrio)
Bougainvillea	Bugenvilo
Magnóilia	Magnolio
Joseph Henry	Joseph Henry
Christian Friedrich Samuel Hahnemann	Samuel Hahnemann
Wir sind Helden	Wir sind Helden
Ríshliocht Ottonach	Liudolfidoj
Cíocáid	Cikaso
Hibisceas	Hibisko
CCFÓ	Kristana Asocio de Junaj Viroj
Freastalaí	Kelnero
Ryoji Noyori	Ryoji Noyori
Scil (planda)	Scilo
Harold Walter Kroto	Harold Walter Kroto
Copóg	Rumekso
Lus beatha	Betoniko
King's Lynn	King's Lynn
Seamsóg	Oksalido
Acaicia bréige	Ŝajnakacia robinio
Heydər Əliyev	Hejdar Alijev
Conamar	Tripaĵo
Garbhán creagach	Saponario
Bainne bó bleachtáin	Printempa primolo
Lus mór	Purpura digitalo
Grán arcáin	Fikario
Cleiméatas	Klematido
Antairíneam	Leonfaŭko
Sumach	Sumako
Gormfhéar (féar)	Poo
Coinneal oíche	Enotero
Crócas	Krokuso
Ilbhliantóg	Staŭdo
Caorthann	Sorpujo
Draganchrann	Draceno
Acantas	Akanto
Féar gortach	Brizo (botaniko)
951 Gaspra	951 Gaspro
Anamóine	Anemono
Beathnua	Trapunkta hiperiko
Briúlán	Multegpikila rozo
Svaeid	Napo
Luachair	Junko
An Ghaeltacht	Gaeltacht
Beagóinia	Begonio
Péacóg (féileacán)	Taga pavo
Reicteam	Rektumo
Bú	Hiacinto
Vincent Auriol	Vincent Auriol
Arócar	Ĉilia araŭkario
Piorra deilgneach	Opuntio
Spairtíneach	Spartina
Universidade Federal da Bahia	Federacia Universitato de Bahio
Centro Federal de Educação Tecnológica de Minas Gerais	Centro Federal de Educação Tecnológica de Minas Gerais
Aimplitiúid	Amplitudo
Ailcíní	Alkino
Innealtóireacht ghéiniteach	Gentekniko
Magairlín na mbeach	Abela ofriso
John Constable	John Constable
Múscán	Ŝimo
Steve McQueen	Steve McQueen
Geimhriú	Vintra dormo
Narbhal	Narvalo
Babún	Paviano
Arthur Cayley	Arthur Cayley
Idirnáisiúntas Sóisialach	Socialista Internacio
Faro	Faro (Portugalio)
Slabhra bia	Manĝoĉeno
Beiteal	Betelo
Piobar (glasra)	Pipro (genro)
An Eilvéis Shacsanach	Saksa Svislando
Jan Evangelista Purkyně	Jan Evangelista Purkyně
Salannlus	Salsolo
Conbhaiscne	Kornuso
Cóma	Komato
Hugues Capet na Fraince	Hugo Kapeto
John Napier	John Napier
Arald Godwinson	Harold la 2-a (Anglio)
Joseph Priestley	Joseph Priestley
Aigéad citreach	Citrata acido
Glácóma	Glaŭkomo
Barón	Bariono
Cúige Laighean	Leinster
J. M. W. Turner	Joseph Mallord William Turner
Michelle Pfeiffer	Michelle Pfeiffer
Anno Domini	A. D.
Pistacia lentiscus	Lentisko
Camp Nou	Camp Nou
Fia buí	Damao
Hioparcas	Hiparko
Srónbheannach bán	Larĝbuŝa rinocero
Cogadh na Rúise agus na Seapáine	Rusa-japana milito
Caildéara	Kaldero
Clóghrafaíocht	Tipografio
Cúpla (daoine)	Ĝemelo
Bratach na Siombáibe	Flago de Zimbabvo
Tonnmharcaíocht	Ondorajdado
Basún	Fagoto
Pink (Amhránaí)	Pink
Eacnaiméadracht	Ekonometrio
Buabhall Afracach	Afrika bubalo
Traein ardaithe go maighnéadach	Maglevo
Ruithéal rí	Robert-geranio
Bóchoinneal	Oficina aliario
Deilfiniam	Delfinio
Áine na Rúise	Anna Ivanovna
Broim	Furzo
Ole Christensen Rømer	Ole Rømer
Hugo de Vries	Hugo de Vries
Martin Heinrich Klaproth	Martin Heinrich Klaproth
Franz Mesmer	Franz Anton Mesmer
Hernán Crespo	Hernán Crespo
Reichstag	Reichstag (institucio)
Forógra Schuman	Deklaro de Schuman
Neue Sachlichkeit	Socia realismo
Peadar II na Rúise	Petro la 2-a (Rusio)
Telefónica	Telefónica
Éisteacht	Aŭdo
Ollscoil Dhún Éideann	Universitato de Edinburgo
Anraí III Shasana	Henriko la 3-a (Anglio)
Comhiompar	Konvekto
