Африка	Afriko
Хергенсвајлер	Hergensweiler
Кимерсбрук	Kümmersbruck
Оберзисбах	Obersüßbach
Мајрхефен	Maierhöfen
Пфефенхаузен	Pfeffenhausen
Репродуктивни циклус	Vivciklo (biologio)
Бартоломе	Bartholomä
Зехаузен (Алтмарк)	Seehausen (Altmark)
Нилотски језици	Nilota lingvaro
Всетин	Vsetín
Гшвенд	Gschwend
Исни им Алгој	Isny im Allgäu
Јагсцел	Jagstzell
Хергац	Hergatz
Штајнфелд (Шлесвиг)	Steinfeld (Schleswig)
Швабрук	Schwabbruck
Ебермансдорф	Ebermannsdorf
Сланске Нове Место	Slanské Nové Mesto
Ајтинг	Eitting
Лојтенбах (Горња Франконија)	Leutenbach (Supra Frankonio)
Аура им Зингрунд	Aura im Sinngrund
Ригзе (општина)	Riegsee
Игинген	Iggingen
Топољњица	Topoľnica
Георгенберг	Georgenberg (Supra Palatinato)
Боденмајс	Bodenmais
Реслау	Röslau
Бад Александерсбад	Bad Alexandersbad
Јенген	Jengen
Кипс	Küps
Нађбарачка	Nagybaracska
Хофштетен (Горњи Бајерн)	Hofstetten (Supra Bavario)
Крафтисрид	Kraftisried
Герисрид	Görisried
Бернбојрен	Bernbeuren
Обергинцбург	Obergünzburg
Вељкроп	Veľkrop
Дјачов	Ďačov
Бургебрах	Burgebrach
Никсар	Niksar
Округ Сењец	Distrikto Senec
Нојендорф-Захсенбанде	Neuendorf-Sachsenbande
NGC 7116	NGC 7116
Гајзелвинд	Geiselwind
Андрос (Бахами)	Andros (Bahamoj)
Емлиххајм	Emlichheim
Млињица	Mlynica
Јетенбах (Горњи Бајерн)	Jettenbach (Supra Bavario)
3169 Ostro	3169 Ostro
Нерсинген	Nersingen
Оберберкирхен	Oberbergkirchen
Нова Седлица	Nová Sedlica
Обертауфкирхен	Obertaufkirchen
Ратенкирхен	Rattenkirchen
Нидертауфкирхен	Niedertaufkirchen
Рајхертсхајм	Reichertsheim
Оберостендорф	Oberostendorf
Хоенфурх	Hohenfurch
Унтершнајдхајм	Unterschneidheim
Унтерплајхфелд	Unterpleichfeld
Курбан-бајрам	Eid ul-Adha
Јорданов	Jordanów
Мауерштетен	Mauerstetten
Лангенмосен	Langenmosen
Мистелбах (Горња Франконија)	Mistelbach (Supra Frankonio)
Халбле	Halblech
Остерцел	Osterzell
Отерндорф	Otterndorf
Ванг (Горња Баварска)	Wang (Bavario)
Гронау (Лајне)	Gronau (Leine)
Ингенрид	Ingenried
Хајнбокел	Heinbockel
Басдал	Basdahl
Исернхаген	Isernhagen
Нусе	Nusse
Келен	Köhlen
Дајнштет	Deinstedt
Бикен	Bücken
Холцдорф	Holzdorf (Schwansen)
Ресум	Reeßum
Мелингхаузен	Mellinghausen
2507 Bobone	2507 Bobone
Афонија	Afonio
Бредорф	Breddorf
Детесфелд	Döttesfeld
Хенгерсберг	Hengersberg
Пекинг (Немачка)	Pöcking
Брестовац (Румунија)	Brestovăț
Минстермајфелд	Münstermaifeld
Рајмерат	Reimerath
Алгона (Вашингтон)	Algona (Vaŝingtonio)
Контрапост	Kontraposto
Умендорф (Биберах)	Ummendorf (apud Biberach)
Хоисдорф	Hoisdorf
Блиндхајм	Blindheim
Банка (вишезначна одредница)	Banka
Лангведел (Везер)	Langwedel (Weser)
Билштет	Bülstedt
Беркирхен	Bergkirchen
Бергхајм (Горња Баварска)	Bergheim (Supra Bavario)
Ше (Приморски Шарант)	Le Chay
Еглфинг	Eglfing
Бајмерштетен	Beimerstetten
Отерсберг	Ottersberg
Шиторф	Schüttorf
Алфштет	Alfstedt
Брокел	Brockel
Шелклинген	Schelklingen
Балцхајм	Balzheim
Унтервахинген	Unterwachingen
Мундеркинген	Munderkingen
Вајденштетен	Weidenstetten
Бергхилен	Berghülen
NGC 5307	NGC 5307
Аселфинген	Asselfingen
Нгерулмуд	Ngerulmudo
Обердишинген	Oberdischingen
Унтермархтал	Untermarchtal
NGC 70	NGC 70
Вестерштетен	Westerstetten
Велхерат	Welcherath
Вајлхајм (Баден)	Weilheim (Badeno)
Графенхаузен	Grafenhausen
Хинтерцартен	Hinterzarten
Ерискирх	Eriskirch
Бисинген (Баварска)	Bissingen (Bavario)
NGC 2434	NGC 2434
Бад Валдзе	Bad Waldsee
Лајхинген	Laichingen
Детигхофен	Dettighofen
Опенау	Oppenau
Илериден	Illerrieden
Енген	Engen
Бургриден	Burgrieden
Штјеруси	Šterusy
Емеринген	Emeringen
Барведел	Barwedel
Менкебуде	Mönkebude
Валденбух	Waldenbuch
Анджеј Стасјук	Andrzej Stasiuk
Хехеншванд	Höchenschwand
Месштетен	Meßstetten
Рингсберг	Ringsberg
Хојсерн	Häusern
Оцвајлер	Otzweiler
Вајдхаус	Waidhaus
Вајсенбрун	Weißenbrunn
Маргетсхеххајм	Margetshöchheim
Ишасег	Isaszeg
Бергхауптен	Berghaupten
Зитенсен	Sittensen
Келминц ан дер Илер	Kellmünz an der Iller
Бебинг (Немачка)	Böbing
Рот (Округ Ландсберг)	Rott (distrikto Landsberg)
Ешах (Швебиш Гминд)	Eschach (apud Schwäbisch Gmünd)
Гегинген (Виртемберг)	Göggingen (Virtembergo)
Хуглфинг	Huglfing
Анджејки-Тишки	Andrzejki-Tyszki
Фрајхунг	Freihung
Вајсенштат	Weißenstadt
Тренделбург	Trendelburg
Келингхузен	Kellinghusen
Брокум	Brockum
Барвер	Barver
Шлиселфелд	Schlüsselfeld
Бухенбах	Buchenbach
Хорбен	Horben
Ерленмос	Erlenmoos
Алмендинген	Allmendingen (Virtembergo)
Мали Београд (Бачка Топола)	Mali Beograd
Биц	Bitz
Дерзау	Dersau
Грабау (Штормарн)	Grabau (Stormarn)
Голдбах (Доња Франконија)	Goldbach (Malsupra Frankonio)
Шалкхам	Schalkham
Кемнат	Kemnath
Аутозомно-рецесивно наслеђивање	Ceda heredo
Буксхајм (Горња Баварска)	Buxheim (Supra Bavario)
Егентал	Eggenthal
Менкофен	Mengkofen
Алетсхаузен	Aletshausen
Тундорф ин Унтерфранкен	Thundorf (Malsupra Frankonio)
Златно (Полтар)	Zlatno (distrikto Poltár)
Пфорцен	Pforzen
Офенхаузен (Средња Франконија)	Offenhausen (Meza Frankonio)
Меспелбрун	Mespelbrunn
Вилдштајг	Wildsteig
Рајнбек	Reinbek
Студјењец	Studenec (distrikto Levoča)
Бад Швартау	Bad Schwartau
Хајгер	Haiger
Томашиково	Tomášikovo
Бад Вилдунген	Bad Wildungen
Грос-Умштат	Groß-Umstadt
Фридберг (Хесен)	Friedberg (Hesio)
Пфунгштат	Pfungstadt
Михелштат	Michelstadt
Зелигенштат	Seligenstadt
Гросфанер	Großfahner
Хајлигенхафен	Heiligenhafen
Бабенхаузен (Хесен)	Babenhausen (Hesio)
Капелн	Kappeln
Кисуцке Нове Место	Kysucké Nové Mesto
Баунатал	Baunatal
Швалмштат	Schwalmstadt
Мајен (Рајна-Палатинат)	Mayen
Квикборн	Quickborn (distrikto Pinneberg)
Брунсбител	Brunsbüttel
Оберирзен	Oberirsen
Суљов-Храдна	Súľov-Hradná
Јаблонове (Малацки)	Jablonové (distrikto Malacky)
Ибигау-Варенбрик	Uebigau-Wahrenbrück
Фло-Зелигентал	Floh-Seligenthal
Друмски саобраћај	Aŭtotransporto
Фухстал	Fuchstal
Попенрихт	Poppenricht
4655 Marjoriika	4655 Marjoriko
Шмидмилен	Schmidmühlen
NGC 7232A	NGC 7232A
2325 Chernykh	2325 Chernykh
Бармштет	Barmstedt
Пален	Pahlen
NGC 3859	NGC 3859
Лицен (Саксонија-Анхалт)	Lützen
Велико плаветнило	Le Grand Bleu (filmo)
Ризигк	Riesigk
Ентерококе	Enterokokoj
Кенигсберг ин Бајерн	Königsberg (Bavario)
NGC 99	NGC 99
Блајхероде	Bleicherode
Похронска Полхора	Pohronská Polhora
Гревесмилен	Grevesmühlen
Шмацин	Schmatzin
Диленбург	Dillenburg
Зондерсхаузен	Sondershausen
Округ Нови Јичин	Distrikto Nový Jičín
Вакирхен	Waakirchen
Уједињени тим на олимпијским играма	Unia teamo
Хаг ан дер Ампер	Haag an der Amper
Беленберг	Bellenberg
Хинорани	Chynorany
Вистал	Wiesthal
Еглкофен	Egglkofen
Ноненхорн	Nonnenhorn
Краусник-Грос Вазербург	Krausnick-Groß Wasserburg
Вејарн	Weyarn
Голхофен	Gollhofen
Лаутерхофен	Lauterhofen
Витислинген	Wittislingen
Хинтертифенбах	Hintertiefenbach
Илинген (Сар)	Illingen (Saar)
Округ Трутнов	Distrikto Trutnov
Гајсмар	Geismar (Eichsfeld)
Г тачка	Punkto de Gräfenberg
Нојхаус ам Ин	Neuhaus am Inn
Кет	Keť
Тифенбах (Пасау)	Tiefenbach (apud Passau)
2767 Takenouchi	2767 Takenouchi
Брајтенберг (Доња Баварска)	Breitenberg (Malsupra Bavario)
Хајске	Hájske
Унтергрисбах	Untergriesbach
Рудертинг	Ruderting
Чичаровце	Čičarovce
Титлинг	Tittling
3490 Solc	3490 Šolc
Роталминстер	Rotthalmünster
Чакановце (Кошице-околина)	Čakanovce (distrikto Košice-ĉirkaŭaĵo)
Тингерсхајм	Thüngersheim
Нојнкирхен (Доња Франконија)	Neunkirchen (Malsupra Frankonio)
Едхајм	Oedheim
Зесхаупт	Seeshaupt
Хардтаузен ам Кохер	Hardthausen am Kocher
Вајденберг	Weidenberg
Пајтинг	Peiting
Хоендорф (Западна Померанија)	Hohendorf (Antaŭpomerio)
Ротенбух (Горња Баварска)	Rottenbuch
Вајсенохе	Weißenohe
Елхофен	Ellhofen
Егелн	Egeln
Кверфурт	Querfurt
Клинген	Clingen
Елрих	Ellrich
Гернроде	Gernrode
Верлиц	Wörlitz
Вихе	Wiehe
Свештеномученик Методије	Metodo el Olimpio
Темар	Themar
Мојзелвиц	Meuselwitz
Билина	Bílina
Бад Лангензалца	Bad Langensalza
Асцент	Malpendaĵo
Лауша (Тирингија)	Lauscha
Бад Диренберг	Bad Dürrenberg
Залбург-Еберсдорф	Saalburg-Ebersdorf
Кенерн	Könnern
Бад Бланкенбург	Bad Blankenburg
Лајнефелде-Ворбис	Leinefelde-Worbis
Веселбурен	Wesselburen
Купенхајм	Kuppenheim
Минделхајм	Mindelheim
Шонгау	Schongau (Supra Bavario)
Опенхајм	Oppenheim
Елце (Доња Саксонија)	Elze
Ред величине	Grandordo
Лишов (Крупина)	Lišov (distrikto Krupina)
Шарпвилски масакр	Masakro de Sharpeville
Беркот	Berkoth
Хоенбург	Hohenburg
Геминген	Gemmingen
Канцах	Kanzach
Балинген ам Кајзерштул	Bahlingen am Kaiserstuhl
Дирментинген	Dürmentingen
Алесхаузен	Alleshausen
Рот (Вестервалд)	Rott (Westerwald)
Детинген ан дер Илер	Dettingen an der Iller
Бецинген	Bötzingen
Дахсберг (Јужни Шварцвалд)	Dachsberg (Nigra Arbaro)
Вутах (општина)	Wutach
Инголдинген	Ingoldingen
Вил ам Кајзерштул	Wyhl am Kaiserstuhl
Алмансвајлер	Allmannsweiler
Бугинген	Buggingen
Ане сир Серен	Annay-sur-Serein
Утенвајлер	Uttenweiler
Нојкирхен бајм Хајлиген Блут	Neukirchen beim Heiligen Blut
Килан (Румунија)	Călan
Беценвајлер	Betzenweiler
Еролцхајм	Erolzheim
2813 Zappala	2813 Zappalà
NGC 5722	NGC 5722
Бела (Нове Замки)	Belá (distrikto Nové Zámky)
Геролцхофен	Gerolzhofen
Темплин	Templin
Понтијске планине	Ponta Montaro
Готенхајм	Gottenheim
Балрехтен-Дотинген	Ballrechten-Dottingen
2500 Alascattalo	2500 Alascattalo
Хермескајл	Hermeskeil
Сајан	Sajan (vilaĝo)
Погец	Pogeez
Орфизам (уметност)	Orfismo (arto)
Албанска гркокатоличка црква	Albana grek-katolika eklezio
Пача	Pacsa
Браунсбедра	Braunsbedra
NGC 6214	NGC 6214
Кешинг	Kösching
Вајсенхорн	Weißenhorn
Шпајхинген	Spaichingen
Хаслах им Кинцигтал	Haslach im Kinzigtal
Шампањак (Приморски Шарант)	Champagnac (Charente-Maritime)
Вајда	Weida
Унлинген	Unlingen
Хојвајлер	Heuweiler
NGC 7814	NGC 7814
Хаг ин Обербајерн	Haag (Supra Bavario)
Илсфелд	Ilsfeld
Бургхаун	Burghaun
Фриденвајлер	Friedenweiler
Итлинген	Ittlingen
Берзенбрик	Bersenbrück
Чепрег	Csepreg
Фридрихрода	Friedrichroda
Бутштет	Buttstädt
Јозеф Пецвал	Jozefo Petzval
Тенген	Tengen
Моринген	Moringen
NGC 7817	NGC 7817
Бад Зобернхајм	Bad Sobernheim
Штатрода	Stadtroda
Мајзенхајм	Meisenheim
Лухиња	Luhyňa
Гернсбах	Gernsbach
Рисвајлер	Riesweiler
NGC 3562	NGC 3562
Хердорф	Herdorf
Хајлигенграбе	Heiligengrabe
Ретенбах (Округ Рот)	Röttenbach (distrikto Roth)
Валсроде	Walsrode
Вајсах	Weissach
Талси	Talsi
Убштат-Вајхер	Ubstadt-Weiher
Вилдполдсрид	Wildpoldsried
Лотштетен	Lottstetten
Хамбрикен	Hambrücken
Геолог	Geologo
Егенштајн-Леополдсхафен	Eggenstein-Leopoldshafen
Рајнаштетен	Rheinstetten
Брдски бициклизам	Montbiciklado
Кирхберг на Илеру	Kirchberg an der Iller
NGC 1035	NGC 1035
Борнхевед	Bornhöved
Имендинген	Immendingen
Шелкрипен	Schöllkrippen
Ецелванг	Etzelwang
Моренвајс	Moorenweis
Хилтенфинген	Hiltenfingen
Белуша	Beluša
Гросајтинген	Großaitingen
Еделсфелд	Edelsfeld
Весобрун	Wessobrunn
Шнајтах	Schnaittach
Франсис Ливенворт	Frank Leavenworth
Лајдерсбах	Leidersbach
Тауберетерсхајм	Tauberrettersheim
Рундинг	Runding
Обермихелбах	Obermichelbach
Филсбибург	Vilsbiburg
Долнштајн	Dollnstein
Кирхзеон	Kirchseeon
Рехтмеринг	Rechtmehring
Думбравени	Dumbrăveni (Sibiu)
Хилполтштајн	Hilpoltstein
Бопард	Boppard
Римпар	Rimpar
Вајлбах (Баварска)	Weilbach (Bavario)
Пушендорф	Puschendorf
Ротендорф	Rottendorf
Ретенбах на Пегницу	Röthenbach an der Pegnitz
Фалкенштајн (Горњи Палатинат)	Falkenstein (Bavario)
Ленцкирх	Lenzkirch
Нојштетен	Neustetten
Длха на Кисуци	Dlhá nad Kysucou
Кирхентелинсфурт	Kirchentellinsfurt
Ротенакер	Rottenacker
NGC 6931	NGC 6931
Оберкохен	Oberkochen
Кустердинген	Kusterdingen
Дјетрик	Detrík
Ане (Север)	Anneux
Офтердинген	Ofterdingen
Шенефелд	Schönefeld
Вајлтинген	Weiltingen
Камјенка (Хумење)	Kamienka (distrikto Humenné)
Неселванг	Nesselwang
Валцбахтал	Walzbachtal
Пајсенберг	Peißenberg
Киндинг	Kinding
Гросхаберсдорф	Großhabersdorf
Ветринген (Средња Франконија)	Wettringen (Meza Frankonio)
2601 Bologna	2601 Bologna
Карлсберг (Палатинат)	Carlsberg (Palatinato)
Кухелмис	Kuchelmiß
Ростал	Roßtal
Ојрасбург (Швабија)	Eurasburg (Ŝvabio)
Љуково	Ljukovo
Плининг	Pliening
Похрањице	Pohranice
Кошицка Нова Вес	Košická Nová Ves
Ежо	Eyjeaux
Варадка	Varadka
Portulacaceae	Portulakacoj
Ебрах	Ebrach
4711 Kathy	4711 Katio
Лајнгартен	Leingarten
Кадолцбург	Cadolzburg
Штајн (Средња Франконија)	Stein (Meza Frankonio)
Условно настајање	Patiĉĉa samuppada
Маленте	Malente
Дисен ам Тојтобургер Валд	Dissen am Teutoburger Wald
Мадон	Madon
Хемингштет	Hemmingstedt
Бечка арбитража	Vienaj arbitracioj
Верт на Рајни	Wörth am Rhein
2069 Hubble	2069 Hubble
Венделштајн (Средња Франконија)	Wendelstein (Meza Frankonio)
Васербург (Бодензе)	Wasserburg (Bodenlago)
Манхаген	Manhagen
Кирхдорф ан дер Илер	Kirchdorf an der Iller
Бад Штебен	Bad Steben
Арншванг	Arnschwang
NGC 3665	NGC 3665
Атенвајлер	Attenweiler
Бад Либенцел	Bad Liebenzell
Бад Зекинген	Bad Säckingen
Анцинг	Anzing
Опава (Вељки Кртиш)	Opava (distrikto Veľký Krtíš)
Хоенмелзен	Hohenmölsen
Албрук	Albbruck
Апфелдорф	Apfeldorf
Бад Фајлнбах	Bad Feilnbach
Арезинг	Aresing
Бад Харцбург	Bad Harzburg
Гринберг (Хесен)	Grünberg
Левенштајн	Löwenstein
Либихава	Libichava
Арнис (Њемачка)	Arnis (urbo)
Бад Шусенрид	Bad Schussenried
Охзенхаузен	Ochsenhausen
Цигла (Свидњик)	Cigla
Бад Швалбах	Bad Schwalbach
Бад Шмидеберг	Bad Schmiedeberg
Бад Хинделанг	Bad Hindelang
Ашау ам Ин	Aschau am Inn
Родевалд	Rodewald
Бад Бибра	Bad Bibra
Бад Нојенар-Арвајлер	Bad Neuenahr-Ahrweiler
Пфрајмд	Pfreimd
Марктбрајт	Marktbreit
Назенфелс	Nassenfels
Нојнбург ворм Валд	Neunburg vorm Wald
Бабенберзи	Babenbergoj
Шеневалде	Schönewalde
Сењаковце	Seniakovce
Брамштетлунд	Bramstedtlund
Ладелунд	Ladelund
NGC 66	NGC 66
Кланксбил	Klanxbüll
Окхолм	Ockholm
Карлум	Karlum
Атанасов-Беријев рачунар	Atanasoff-Berry Komputilo
Јолделунд	Joldelund
Фронхофен (Кузел)	Frohnhofen
Енге-Занде	Enge-Sande
Браунлаге	Braunlage
Кирсбах	Kirsbach
Хегел (место)	Högel
Margarita Tjudor	Margaret Tudor
Зимертал	Simmertal
Кавкаски поход	Militkampanjo en Kaŭkazio
3059 Pryor	3059 Pryor
Бокхорст (Доња Саксонија)	Bockhorst
Шлухзе (општина)	Schluchsee (komunumo)
Грос Берсен	Groß Berßen
Бахарах	Bacharach
Тшћел	Trzciel
NGC 5271	NGC 5271
NGC 808	NGC 808
Тухрина	Tuhrina
Даме (Димер)	Damme (Germanio)
Маријанске Лазње	Mariánské Lázně
Терезин	Terezín
Бинц	Binz (Rügen)
Нова Келча	Nová Kelča
Јарабина	Jarabina
Бад Белциг	Belzig
Мала Фатра	Malgranda Fatro
Блискастел	Blieskastel
Усник (лимени дувачки инструменти)	Buŝaĵo
Брадеруп	Braderup
Литјенхолм	Lütjenholm
Тодендорф	Todendorf
Гремерсдорф	Gremersdorf (Holstinio)
2597 Arthur	2597 Arthur
Зенебил	Sönnebüll
Лексгард	Lexgaard
Штадум	Stadum
Атенкирхен	Attenkirchen
Ау у Халертауу	Au in der Hallertau
Ауербах ин дер Оберпфалц	Auerbach (Supra Palatinato)
Бад Лаухштет	Bad Lauchstädt
Бад Брамштет	Bad Bramstedt
Тумби	Thumby
Нојкирхен (Северна Фризија)	Neukirchen (Norda Frislando)
Битка за Ерзурум	Batalo de Erzurum
Зулцемос	Sulzemoos
Фајтсброн	Veitsbronn
Хилгертсхаузен-Тандерн	Hilgertshausen-Tandern
Бубсхајм	Bubsheim
Друштвена географија	Socia geografio
Рекендорф	Reckendorf
Смижани	Smižany
Хефен ан дер Енц	Höfen an der Enz
Вимерсдорф	Wiemersdorf
Хоенлинден	Hohenlinden
Хенфенфелд	Henfenfeld
Хоенфелс (Горњи Палатинат)	Hohenfels (Supra Palatinato)
Винкелхајд	Winkelhaid
Лангвајд	Langquaid
Спишке Влахи	Spišské Vlachy
Хепенхајм (Бергштрасе)	Heppenheim
Ниндорф (Мелдорф)	Nindorf (apud Meldorf)
Веделброк	Weddelbrook
Артнак	Arthenac
Нојнкирхен ам Занд	Neunkirchen am Sand
NGC 2371	NGC 2371
Бадра	Badra
Хајдграбен	Heidgraben
Вестерборстел	Westerborstel
Нордерверден	Norderwöhrden
Енгелтал	Engelthal
Гелхсхајм	Gelchsheim
Грабен (Лехфелд)	Graben (distrikto Augsburg)
Отенсос	Ottensoos
Балдершванг	Balderschwang
Крумштет	Krumstedt
Обераудорф	Oberaudorf
Острохе	Ostrohe
Лангеринген	Langerringen
Радимов	Radimov
Фаренкруг	Fahrenkrug
Травентал	Traventhal
Веселбуренер Дајххаузен	Wesselburener Deichhausen
Хенцлова	Henclová
Минхајм	Minheim
Хеведе	Hövede
Криштановец	Krištanovec
NGC 6355	NGC 6355
Ренау	Rennau
Лорш	Lorsch
Бирштат	Bürstadt
Лоринчик	Lorinčík
Частков	Častkov
Петровице (Битча)	Petrovice (distrikto Bytča)
NGC 3239	NGC 3239
Мозах	Moosach
Мала Трња	Malá Tŕňa
Хилгровен	Hillgroven
Фаналока	Fossa fossana
Землов	Semlow
Долни Бар	Dolný Bar
Некаргерах	Neckargerach
Нојнкхаузен	Neunkhausen
NGC 6492	NGC 6492
Ошерслебен (Боде)	Oschersleben (Bode)
Брухаузен (Округ Нојвид)	Bruchhausen (Siebengebirge)
Штасфурт	Staßfurt
Ратенов	Rathenow
Борјад	Borjád
2259 Sofievka	2259 Sofievka
Олимпијски парк (Лондон)	Olimpika Parko de Londono
Дибург	Dieburg
3031 Хјустон	3031 Houston
Вандлиц	Wandlitz
Месинген (Баден-Виртемберг)	Mössingen
Браунфелс	Braunfels
Президенте Пруденте	Presidente Prudente
Бург (Магдебург)	Burg (Saksio-Anhalto)
Идштајн	Idstein
Вердер (Хафел)	Werder (Havel)
Лауфен на Некару	Lauffen am Neckar
Оберајхенбах (Шварцвалд)	Oberreichenbach (Nigra Arbaro)
3444 Stepanian	3444 Stepanian
Вајберсбрун	Weibersbrunn
Лентинг	Lenting
Хаузен (Ашафенбург)	Hausen (apud Aschaffenburg)
Хенералифе	Ĝeneralifo
Ротенбух (Доња Франконија)	Rothenbuch
Штамхам (Инголштат)	Stammham (apud Ingolstadt)
Тајленхофен	Theilenhofen
Хетинген (Баварска)	Höttingen
Хаундорф	Haundorf
Вестхајм (Средња Франконија)	Westheim (Meza Frankonio)
Золанд ам Ротштајн	Sohland am Rotstein
Мајнхајм	Meinheim
Рупертсхофен (Рајна-Лан-Крајс)	Ruppertshofen (distrikto Rhein-Lahn)
3368 Duncombe	3368 Duncombe
Брунен (Баварска)	Brunnen (Bavario)
Бургсалах	Burgsalach
Пфофелд	Pfofeld
Бланкенбург (Харц)	Blankenburg (Harco)
Вафенбрун	Waffenbrunn
Валдербах	Walderbach
2941 Alden	2941 Alden
Оберот (Баварска)	Oberroth
Ненслинген	Nennslingen
Лаугна	Laugna
Lena Pejsa	Leena Peisa
Глајсенберг	Gleißenberg
Глет	Glött
Рохов (Сењица)	Rohov (distrikto Senica)
Оберхаузен (Нојбург)	Oberhausen (apud Neuburg/Danubo)
Енсдорф (Горњи Палатинат)	Ensdorf (Bavario)
Егенхаузен	Egenhausen
Љештјани	Liešťany
Кестхељ	Keszthely
Бисмарк (Алтмарк)	Bismark (Altmark)
Егеј	Egeo
Харцгероде	Harzgerode
Минхенбернсдорф	Münchenbernsdorf
Шкопау	Schkopau
Калферде	Calvörde
Хоенлојбен	Hohenleuben
Ој-Мителберг	Oy-Mittelberg
Зицендорф (Тирингија)	Sitzendorf (Turingio)
Куценхаузен	Kutzenhausen
Вертзе (општина)	Wörthsee (komunumo)
Филсхајм	Vilsheim
Бух ам Бухрајн	Buch am Buchrain
Фиркирхен (Горња Баварска)	Vierkirchen (Supra Bavario)
Кирхберг (Горњи Бајерн)	Kirchberg (Supra Bavario)
Бибербах (Швабија)	Biberbach (Ŝvabio)
Њижна (Пјештјани)	Nižná (distrikto Piešťany)
Фрауенојхартинг	Frauenneuharting
Вернек	Werneck
Долротфелд	Dollrottfeld
Нордербраруп	Norderbrarup
Кронсгард	Kronsgaard
Панкер	Panker
Хусби	Husby
Аланија	Alanio (apartigilo)
Вангелс	Wangels
Мурзук	Murzuk
Хелсе	Helse
Вимерштет	Wiemerstedt
Велмбител	Welmbüttel
Ханкова	Hanková
2356 Hirons	2356 Hirons
Парзау	Parsau
Тирадентес	Tiradentes
Чижатице	Čižatice
4971 Hoshinohiroba	4971 Hoŝinohirobo
Кагвас (Порторико)	Caguas
Бихенбах	Büchenbach
Биберерен	Bieberehren
Гласхитен (Горња Франконија)	Glashütten (Supra Frankonio)
Гаукенигсхофен	Gaukönigshofen
Талмесинг	Thalmässing
3326 Agafonikov	3326 Agafonikov
Кирххајм (Доња Франконија)	Kirchheim (Malsupra Frankonio)
Геролдсхаузен	Geroldshausen
Камерштајн	Kammerstein
Гројзенхајм	Greußenheim
Холцкирхен (Доња Франконија)	Holzkirchen (Malsupra Frankonio)
Обермајзелштајн	Obermaiselstein
Бајндт	Baindt
Капел-Графенхаузен	Kappel-Grafenhausen
Глотертал	Glottertal
Лефинген	Löffingen
Дорметинген	Dormettingen
Холографија	Holografio
Улдинген-Милхофен	Uhldingen-Mühlhofen
Оберефлинген	Oberöfflingen
Вајл им Шенбух	Weil im Schönbuch
3968 Koptelov	3968 Koptelov
Ферштетен	Vörstetten
Апенвајер	Appenweier
Торнау (Дибенер Хајде)	Tornau (Dübener Heide)
Маркт Ретенбах	Markt Rettenbach
Штилинген	Stühlingen
2872 Gentelec	2872 Gentelec
Лауринген	Lauchringen
Ебринген	Ebringen
Корм Роајал	Corme-Royal
Холцгерлинген	Holzgerlingen
Кипенхајм	Kippenheim
Мекенбојрен	Meckenbeuren
Вер (Баден)	Wehr (Badeno)
Рецов	Retzow
Бад Петерстал-Грисбах	Bad Peterstal-Griesbach
Еренкирхен	Ehrenkirchen
Умкирх	Umkirch
3319 Kibi	3319 Kibi
Рот ан дер Рот	Rot an der Rot
Вартаузен	Warthausen
Именстад ам Бодензе	Immenstaad am Bodensee
Далмација	Dalmatio
Гутенцел-Хирбел	Gutenzell-Hürbel
Штауфен им Брајсгау	Staufen (Breisgau)
Детенхаузен	Dettenhausen
Кирхцартен	Kirchzarten
Спишки Штјавњик	Spišský Štiavnik
Унтрасрид	Untrasried
Тирштајн (Фихтелгебирге)	Thierstein (Fichtelgebirge)
Рајхенбах (Горња Франкофонија)	Reichenbach (Supra Frankonio)
Вајмил	Weihmichl
Шпигелау	Spiegelau
Klijent (informatika)	Kliento (komputiko)
Еглинг ан дер Пар	Egling an der Paar
Валдштетен (Гинц)	Waldstetten (Ŝvabio)
Ленгдорф	Lengdorf
Валпертскирхен	Walpertskirchen
3 кума	3 Godfathers (filmo)
Лауденбах (Доња Франконија)	Laudenbach (Malsupra Frankonio)
Фронтенхаузен	Frontenhausen
Варверорт	Warwerort
Чанад	Magyarcsanád
Нордхаштет	Nordhastedt
Красна Вес	Krásna Ves
Дитмансрид	Dietmannsried
Бихенбојрен	Büchenbeuren
Нојфелдерког	Neufelderkoog
Треневурт	Trennewurth
Верт (Округ Ердинг)	Wörth (distrikto Erding)
Вишна Шебастова	Vyšná Šebastová
Веселн	Wesseln
Станислав Лешњевски	Stanisław Leśniewski
Санкт Михаелисдон	Sankt Michaelisdonn
Андјелска Хора (Карлове Вари)	Andělská Hora (distrikto Karlovy Vary)
Нордермелдорф	Nordermeldorf
Одераде	Odderade
Холцхајм (Ној-Улм)	Holzheim (apud Neu-Ulm)
Бургберг им Алгој	Burgberg (Algovio)
Усамљеник са Родригеза	Rodrigesa ermitkolombo
Верт ан дер Изар	Wörth an der Isar
Тиленхеме	Tielenhemme
Фихтелберг (Горња Франконија)	Fichtelberg (Supra Frankonio)
Плејаде (песници)	Plejado (Francaj poetoj)
Лангенпрајсинг	Langenpreising
Кронпринценког	Kronprinzenkoog
Гајмерсхајм	Gaimersheim
Нојфарн ин Нидербајерн	Neufahrn in Niederbayern
Јаблонове (Битча)	Jablonové (distrikto Bytča)
Вајденбах (Средња Франконија)	Weidenbach (Meza Frankonio)
Лангенфелд (Средња Франконија)	Langenfeld (Meza Frankonio)
Зилфелд	Sülfeld
Голделунд	Goldelund
Јарделунд	Jardelund
