Àfrica	Afriko
Odeon Records	Odeon Records
Anhalt-Zerbst	Anhalt-Zerbst (princlando)
Héctor Rossetto	Héctor Rossetto
Fernando Vallejo	Fernando Vallejo
Giovanni Maria Nanino	Giovanni Maria Nanino
José Moscardó e Ituarte	José Moscardó
Comtat de Niça	Graflando de Nico
Partit de la Raó	Partio de la racio
Bosc del Palatinat	Palatinata Arbaro
Joventut Obrera Cristiana	Kristana laborista junularo
José María Velasco Ibarra	José María Velasco Ibarra
Conferència d'Évian	Konferenco de Évian
Manuel Cardoso	Manuel Cardoso
Bursitis infecciosa aviària	Sakomalsano
Euryanthe	Euryanthe
Fructuós, Auguri i Eulogi de Tarragona	Fructuosus
Robert Filmer	Robert Filmer
Pier Andrea Saccardo	Pier Andrea Saccardo
Giovanni Girolamo Kapsberger	Giovanni Girolamo Kapsperger
Jean-Jules-Antoine Lecomte du Nouy	Jean-Jules-Antoine Lecomte du Nouy
Jean-Antoine Chaptal	Jean-Antoine Chaptal
Ós de Plata	Arĝenta Urso
Crisi de Berlín de 1961	Ultimato de Ĥruŝĉov
Europa Democràcia Esperanto	Eŭropo - Demokratio - Esperanto
Camp de Gurs	Koncentrejo de Gurso
Associació caritativa	Karitata organizaĵo
Sébastien Érard	Sébastien Érard
Qüestió jueva	Juda problemo
Pere Casaldàliga i Pla	Pedro Casaldáliga
Manuel Chaves González	Manuel Chaves González
Arquebisbat de Trèveris	Episkopujo Treviro
Art preromànic	Praromaniko
Boris Izaguirre	Boris Izaguirre
Bernhard Crusell	Bernhard Henrik Crusell
Theodor de Bry	Teodoro de Bry
Tabaristan	Tabaristano
Jenő Hubay	Jenő Hubay
Man (Unix)	Man (programo)
Bāng Chhun-hong	Bāng Chhun-hong
Lierneux	Lierneux
Marchin	Marchin
Modave	Modave
Nandrin	Nandrin
Neupré	Neupré
Olne	Olne
Oreye	Oreye
Pepinster	Pepinster
Plombières	Plombières
Remicourt (Lieja)	Remicourt
Saint-Georges-sur-Meuse	Saint-Georges-sur-Meuse
Gottfried Heinrich Bach	Gottfried Heinrich Bach
Stoumont	Stoumont
Theux	Theux
Thimister-Clermont	Thimister-Clermont
Tinlot	Tinlot
Francesco Giovanni Anerio	Giovanni Francesco Anerio
Trois-Ponts	Trois-Ponts
Fats Navarro	Fats Navarro
Trooz	Trooz
Verlaine (Lieja)	Verlaine
Villers-le-Bouillet	Villers-le-Bouillet
Wanze	Wanze
Waremme	Waremme
Wasseiges	Wasseiges
Félix Savart	Félix Savart
Mateu II Visconti	Mateo la 2-a Visconti
Albert Gleizes	Albert Gleizes
Hans van den Broek	Hans van den Broek
De facto	De facto
Quilòmetre quadrat	Kvadrata kilometro
Llista d'estats per població	Listo de landoj laŭ loĝantaro
Glàndula suprarenal	Surrena glando
Panamá la Vieja	Malnova Panamurbo
Òrgan (anatomia)	Organo
Vuitanta	80 (nombro)
Vint-i-u	21 (nombro)
Vint-i-dos	22 (nombro)
Setanta	70 (nombro)
Cinquanta	50 (nombro)
Albus Dumbledore	Albus Dumbledore
František Tomášek	František Tomášek
Quaranta-u	41 (nombro)
Trenta-quatre	34 (nombro)
Trenta-tres	33 (nombro)
Quaranta-set	47 (nombro)
Trenta-u	31 (nombro)
Trenta-dos	32 (nombro)
Quaranta-quatre	44 (nombro)
Les set noves meravelles del món	Novaj sep mirindaĵoj de la mondo
Quaranta-sis	46 (nombro)
Quaranta-nou	49 (nombro)
Quaranta-vuit	48 (nombro)
Trenta-set	37 (nombro)
Trenta-nou	39 (nombro)
Trenta-sis	36 (nombro)
Cinquanta-tres	53 (nombro)
Chris Martin	Chris Martin
Vuitanta-u	81 (nombro)
Seixanta-sis	66 (nombro)
Seixanta-tres	63 (nombro)
Cinquanta-dos	52 (nombro)
Seixanta-nou	69 (nombro)
Aubange	Aubange
Pelvis	Pelvo
0,999...	0,999...
Bertogne	Bertogne
Setanta-tres	73 (nombro)
Natura Artis Magistra	Artis
Santa Cruz (Galápagos)	Insulo Santa Cruz (Galapagoj)
Cinquanta-set	57 (nombro)
Bertrix	Bertrix
Setanta-quatre	74 (nombro)
Setanta-nou	79 (nombro)
Seixanta-set	67 (nombro)
Setanta-set	77 (nombro)
Chiny	Chiny
Vuitanta-tres	83 (nombro)
Daverdisse	Daverdisse
Vuitanta-dos	82 (nombro)
Vuitanta-sis	86 (nombro)
Alexandre Deulofeu i Torres	Alexandre Deulofeu
Setanta-vuit	78 (nombro)
Giovanni Andrea Dragoni	Giovanni Andrea Dragoni
Noranta-vuit	98 (nombro)
Víctor Balaguer i Cirera	Víctor Balaguer
Jan Kiepura	Jan Kiepura
Francesco Maria Veracini	Francesco Maria Veracini
Fauvillers	Fauvillers
René Crevel	René Crevel
Michel Sapin	Michel Sapin
Florenville	Florenville
Gouvy	Gouvy
Habay	Habay
Herbeumont	Herbeumont
Mafia	Mafia (Tanzanio)
Léglise	Léglise
Història de Corea	Historio de Koreio
Libin	Libin (Belgio)
Salomone Rossi	Salomone Rossi
Port de Kaohsiung	Haveno de Kaohsiung
Franz Lachner	Franz Lachner
Manhay	Manhay
Martelange	Martelange
Federico Fernández	Federico Fernández (futbalisto)
Musson	Musson
Wickie, el víking	Vicke Viking
Rendeux	Rendeux
Clade	Klado
Rouvroy (Bèlgica)	Rouvroy (Belgio)
Sainte-Ode	Sainte-Ode
Saint-Hubert (Bèlgica)	Saint-Hubert
Nombre 200	200 (nombro)
Alemanya Occidental	Okcidenta Germanio
Saint-Léger-en-Gaume	Saint-Léger-en-Gaume
Tellin	Tellin
Macaco de Taiwan	Tajvana makako
Tintigny	Tintigny
Vaux-sur-Sûre	Vaux-sur-Sûre
Wellin	Wellin
Narcís Monturiol i Estarriol	Narcís Monturiol i Estarriol
Pierre-Paul Riquet	Pierre-Paul Riquet
Mare de Déu de la Candela	Virgulino de la Kandeloj
Residents vietnamites a Taiwan	Vjetnamoj en Tajvano
Terratrèmol de Chichi del 1999	Tertremo en Ĉiĉio
Giorgi IV de Geòrgia	Georgo la 4-a (Kartvelio)
Període predinàstic d'Egipte	Egipta antaŭdinastia periodo
Teatre Nacional de Miskolc	Nacia Teatro (Miskolc)
Nagamichi Kuroda	Nagamiĉi Kuroda
Elliott Coues	Elliott Coues
Mòdul de descens Huygens	Huygens (sondilo)
Viquipèdia:Llista de Viquipèdies/Volapük	Volapuklingva Vikipedio
Ulric d'Augsburg	Udalriko el Augsburg
Marc Okrand	Marc Okrand
Ángel González Muñiz	Ángel González
Parc Nacional del Teide	Nacia Parko de Teide
Neocreacionisme	Novkreismo
Volin	Volin
Metro de Haifa	Metroo de Ĥajfo
Mateu I Visconti	Mateo la 1-a Visconti
Gaig de Lidth	Japana garolo
Faisà de Swinhoe	Blua fazano
Assesse	Assesse
Operació Antropoide	Atenco kontraŭ Reinhard Heydrich
Faisà mikado	Nigra longovosta fazano
Pedra Negra	Haĝar Al-Aswad
Acetil-CoA	Acetila A-koenzimo
Gonçalo Coelho	Gonçalo Coelho
Limfòcit	Limfocito
Oposat (matemàtiques)	Kontraŭegalo
Bièvre	Bièvre
Gàl·lia Aquitània	Aquitania
Primer Triumvirat	Unua triumviraro
Física de l'estat sòlid	Solid-stata fiziko
La Bruyère (Bèlgica)	La Bruyère
Cerfontaine (Bèlgica)	Cerfontaine (Belgio)
ISO 639-1	ISO 639-1
Arturo Soria Mata	Arturo Soria
Llei marcial	Militjuro
Vegadan	Bégadan
Esparver shikra	Ŝikro
Daisy Duck	Dezi Anaso
Prototeri	Ovonaskuloj
Minà crestat	Kresta akridotero
Ernest Duchesne	Ernest Duchesne
Serau de Taiwan	Tajvana serovo
Vermicelli d'arròs	Riznudeloj
Macaco d'Arunachal	Arunaĉala makako
English As She Is Spoke	English As She Is Spoke
Marcelino Menéndez Pelayo	Marcelino Menéndez Pelayo
Theodor Aman	Theodor Aman
Ricardo Costa Santos	Ricardo Alex Santos
Takeru Kobayashi	Kobayashi Takeru
Leonardo Torres Quevedo	Leonardo Torres Quevedo
Guatlla japonesa	Japana koturno
Equilibri mecànic	Mekanika ekvilibro
Pontault-Combault	Pontault-Combault
Philippe Busquin	Philippe Busquin
Pintada de pit blanc	Blankbrusta numido
.ss	.ss
Brach	Brach
Nový Ruskov	Nový Ruskov
Nicolas Theodore Gobley	Nicolas-Théodore Gobley
Artsakh	Arcaĥo
Emilio Castelar y Ripoll	Emilio Castelar
Altzniq	Aghdzink
Nicolau Eimeric	Nicolaus Eymerich
Filtre de Txebixev	Filtrilo de Ĉebiŝev
Lleó VI d'Armènia Menor	Leono la 5-a (Armenio)
Flota Estel·lar	Stelŝiparo
Psicologia positiva	Pozitiva psikologio
MathWorld	MathWorld
Ichigo Kurosaki	Kurosaki Ichigo
Pehr Kalm	Pehr Kalm
Radiat	Radiuloj
Desinència	Finaĵo
La bemoll major	A♭-maĵoro
Cotoner	Kotonujo
Claude Nougaro	Claude Nougaro
Història d'Andorra	Historio de Andoro
Hirohiko Araki	Hirohiko Araki
Parus	Parus
Cometa periòdic	Perioda kometo
Col·lectivitat d'ultramar	Transmaraj kolektivoj (Francio)
Efecte Auger	Efiko de Auger
Àguila de Nova Guinea	Novgvinea harpio
Okoč	Okoč
Jasov	Jasov
Municipis de Malta	Teritoria organizado de Malto
Gairebé amenaçada	Preskaŭ minacata
Wilfrid de York	Wilfrid (Jorko)
Saccharomyces cerevisiae	Saccharomyces cerevisiae
Auguste Vaillant	Auguste Vaillant
As (diari)	As (ĵurnalo)
Constitució d'Itàlia	Konstitucio de la Itala Respubliko
Províncies de l'Equador	Provincoj de Ekvadoro
Concili del Laterà IV	Kvara Laterana koncilio
Temperatura de Planck	Temperaturo de Planck
Rotlle (manuscrit)	Volvolibro
Lo Pòrge	Le Porge
Bukit Timah	Bukit Timah
Cantó d'Echternach	Kantono Echternach
Doische	Doische
Silvicultura	Arbaristiko
Enfornat	Bakado
Florennes	Florennes
Fosses-la-Ville	Fosses-la-Ville
Canó de neu	Neĝokanono
Mosquiter boreal	Norda filoskopo
Asahi Shimbun	Asahi Shimbun
Tigranocerta	Tigranakerto
Bob Lazar	Bob Lazar
ASALA	ASALA
Quentin Jackson	Quentin Jackson
Havelange	Havelange
Pelobàtid	Eŭropaj ŝpatokruraj ranoj
Jemeppe-sur-Sambre	Jemeppe-sur-Sambre
Teodot de Bizanci	Teodoto el Bizancio
Hajtovka	Hajtovka
Grigórios Varfis	Grigoris Varfis
Orde del Card	Ordeno de la Kardo
Ohey	Ohey
Nomograma	Abako (grafikaĵo)
Azazel	Azazelo
Roma, ciutat oberta	Roma, città aperta
Pont del 25 d'Abril	Ponto 25-a de aprilo
Les Choristes	Les Choristes
Port esportiu	Jaĥt-haveno
Kenny Drew	Kenny Drew la pli maljuna
Supervivència del més apte	Supervivo de la plej taŭgaj
Somme-Leuze	Somme-Leuze
Llista d'organitzacions de l'activisme pedòfil	Listo de organizaĵoj de la pedofilia aktivismo
Al-Balqa	Balkao
Governació d'Irbid	Irbido (gubernio)
Governació de Zarqa	Zarkao
Miami Gardens (comtat de Miami-Dade)	Miami Gardens
Telegrafia	Telegrafo
Ària da capo	Triparta ario
Caldera de Gundestrup	Kaldrono de Gundestrup
Basílica de Sant Vidal de Ravenna	Preĝejo Sankta Vitalo de Raveno
Endocardi	Endokardio
Geta (calçat)	Getaoj
Viquipèdia en hindi	Hindilingva Vikipedio
Leone Leoni	Leone Leoni
Marcelino Oreja Aguirre	Marcelino Oreja
Comissió Warren	Komisiono Warren
Ioannis Paleokrassas	Ioanis Paleokrasas
Quiche	Kiŝo
Reliquiari	Relikvujo
Carlo Ripa di Meana	Carlo Ripa di Meana
João de Deus Pinheiro	João de Deus Pinheiro
Tomás Bretón	Tomás Bretón
Litomyšl	Litomyšl
Pantògraf	Pantografo (desegnilo)
Becplaner reial	Reĝa plataleo
Mickaël Buffaz	Mickaël Buffaz
Picot garser	Dendrokopoj
Gavina d'ivori	Eburmevo
Juan Donoso Cortés	Juan Donoso Cortés
Santa Tecla (El Salvador)	Santa Tecla
Giuseppe Benedetto Cottolengo	Jozefo Benedikto Cottolengo
Salomé (Strauss)	Salomeo (opero)
Cúmbia	Cumbia
Asc (micologia)	Asko
Temperament igual	Egalŝtupa agordo
Efecte Mpemba	Mpemba-efiko
Runer Jonsson	Runer Jonsson
Giovanni Bernardino Nanino	Giovanni Bernardino Nanino
Elàfode	Hartufa cervo
Septimània	Septimanio
Guerres dàcies	Dakiaj militoj
Balen	Balen
Gastròlit	Gastrolito
Star Trek VII: Generations	Star Trek: Generations
Cocodril de Morelet	Meksika krokodilo
Calendari holocè	Holocena kalendaro
Guqin	Guĉino
Beerse	Beerse
Confluència	Kunfluejo
Berlaar	Berlaar
Orfeu i Eurídice (Gluck)	Orfeo ed Euridice
Boechout	Boechout
Organismes ediacarians	Faŭno de Ediacara
Pensament complex	Komplikeco
Gambúsia	Gambusia affinis
Boom	Boom
Bornem	Bornem
Borsbeek	Borsbeek
Brecht (Bèlgica)	Brecht (Belgio)
Edegem	Edegem
Cinema àzeri	Kino de Azerbajĝano
Jan Frederik Gronovius	Johano Frederiko Gronovo la Juna
Essen (Bèlgica)	Essen (Belgio)
Asexualitat	Neniuseksemo
El dormitori de Van Gogh a Arle	La dormoĉambro en Arles
Marmagne (Costa d'Or)	Marmagne (Côte-d'Or)
Grobbendonk	Grobbendonk
Poros	Poros
Legió del Mèrit	Legion of Merit
Medaller dels Jocs Olímpics d'hivern de 1994	Medaltabelo de la Vintra Olimpiko 1994
Hemiksem	Hemiksem
Coral	Ĥoralo
Herenthout	Herenthout
Hoogstraten	Hoogstraten
Kalmthout	Kalmthout
Ducat d'Alba de Tormes	Duko de Alba
Danaides	Danaidinoj
IRAS	IRAS (kosma observatorio)
Comitè de Salvació Pública	Komitato por publika savado
Kapellen	Kapellen
Estela de Moab	Meŝa-steleo
Implant coclear	Koĥlea enplanto
Enter de Gauss	Gaŭsa entjero
Cotorreta de pit gris	Monaĥa psitako
Kasterlee	Kasterlee
Kontich	Kontich
OpenTTD	OpenTTD
Laakdal	Laakdal
Medaller dels Jocs Olímpics d'estiu de 1956	Medaltabelo de la Somera Olimpiko 1956
Lille (Bèlgica)	Lille (Belgio)
Lint	Lint
Carrau (ocell)	Aramo
Corb marí de doble cresta	Dukresta kormorano
Montigny-Montfort	Montigny-Montfort
Charles-Émile-Callande de Champmartin	Charles-Émile-Callande de Champmartin
Cràcid	Kracedoj
Atacama Large Millimeter Array	ALMA (radioteleskopo)
Alan II Barbitorte	Alano la 2-a (Bretonio)
Moutiers-Saint-Jean	Moutiers-Saint-Jean
François-Jean Lefebvre de La Barre	Jean-François de la Barre
Prelat	Prelato
Melanisme	Melanismo
Peristil	Peristilo
Mussolina	Muslino
NGC 752	NGC 752
Marsopa de Califòrnia	Vakito
Escales curta i llarga	Vortoj por grandegaj nombroj
Calcant	Kalĥaso
Nunc dimittis	Nunc dimittis
Marinar	Marinado
Josep Oller i Roca	Joseph Oller
Mapes de teclats	Klavarfasono
Vittorino da Feltre	Vittorino da Feltre
Eugène Demarçay	Eugène-Anatole Demarçay
Tulum	Tulum
Tubs de Malpighi	Malpiga tubo
Senailly	Senailly
Selecció de futbol de Rússia	Rusia nacia teamo de futbalo
Kōdansha	Kodansha
Quoca	Kvokao
David Smith	David Smith
Conjunt fitat	Barita aro
Lector de llibres electrònics	Elektronika librolegilo
Lluç europeu	Merluĉo
Tòdid	Todedoj
Àguila saltimbanqui	Senvosta serpentaglo
Awake!	Vekiĝu!
Baltasar Hidalgo de Cisneros	Baltasar Hidalgo de Cisneros
Enrique Jardiel Poncela	Enrique Jardiel Poncela
Cabezuela del Valle	Cabezuela del Valle
Ouham	Ouham
Plutó	Pluto
Suecs de Finlàndia	Svedlingvaj finnlandanoj
Assevent	Assevent
Villers-Sire-Nicole	Villers-Sire-Nicole
Base64	64-uma kodoprezento
Piula de Hodgson	Hinda pipio
Uhliská	Uhliská
Otakar Ševčík	Otakar Ševčík
Matriu unitària	Unita matrico
Asociación Madres de Plaza de Mayo	Patrinoj de Plaza de Mayo
Kecskeméti Testedző Egyesület	Kecskeméti TE
Enric Prat de la Riba i Sarrà	Enric Prat de la Riba
Corb marí japonès	Teminka kormorano
Carlinhos Brown	Carlinhos Brown
Romilly-sur-Seine	Romilly-sur-Seine
Cabazita	Ĥabazito
Oscar honorífic	Listo de Honoraj Oskar-premiitoj
Isòtops del níquel	Izotopoj de nikelo
Rigveda	Rigvedo
Pols asiàtica	Flava polvo
Xurro	Churro
Paul Nash	Paul Nash
Llibre d'hores	Riĉegaj horoj
Partit Comunista de Txecoslovàquia	Komunista partio de Ĉeĥoslovakio
Francisco Ascaso Abadía	Francisco Ascaso
Música llatinoamericana	Latin-Amerika muziko
Rudňany	Rudňany
Petr Pravec	Petr Pravec
Hypocolius ampelinus	Hipokoliedoj
Radnovce	Radnovce
Derivació lingüística	Derivaĵo (lingvoscienco)
Departament d'Estelí	Estelio
Departament de Nueva Segovia	Nova Segovio (departemento)
Syntagma musicum	Syntagma musicum
Departament de Madriz	Madriz (departemento)
Altarejos	Altarejos
Departament de Matagalpa	Matagalpo (departemento)
Departament de Jinotega	Jinotega (departemento)
Departament de Rivas	Rivas (departemento)
Gaspésie–Îles-de-la-Madeleine	Gaspegio - Magdalena Insularo
Departaments d’Hondures	Departementoj de Honduro
Conan III el Gros	Conan la 3-a (Bretonio)
Departament de Río San Juan	Río San Juan (departemento)
Gérard Jugnot	Gérard Jugnot
The Monster Show	The Monster Show
Otero (Toledo)	Otero (Toledo)
Creuer (arquitectura)	Navokruciĝo
Gramàtica universal	Universala gramatiko
Església tipus sala	Halopreĝejo
Zemplínske Jastrabie	Zemplínske Jastrabie
Waifré	Vaifro de Akvitanio
Illots de Langerhans	Insuletoj de Langerhans
Marcantonio Raimondi	Marcantonio Raimondi
Juan José de Elhúyar	Juan José Elhuyar
Àngel de la guarda	Gardanĝelo
Terra de Coats	Lando de Coats
La Pesga	La Pesga
Georges Eekhoud	Georges Eekhoud
Panteisme	Panteismo
Rakovnica	Rakovnica
La jungla d'asfalt	The Asphalt Jungle
Esnob	Snobo
Carta nàutica	Mara mapo
Valdeverdeja	Valdeverdeja
Percival	Parsifalo
Dimont	Dimont
Cabezarrubias del Puerto	Cabezarrubias del Puerto
Uzel	Uzel
Cérvol de Thorold	Blanklipa cervo
Somorgollaire de Brünnich	Dikbeka urio
Laïcisme	Laikismo
Noir Désir	Noir Désir
Mór Than	Mór Than
Rukia Kuchiki	Kuchiki Rukia
Pribeník	Pribeník
Terrerola rogenca	Malgranda alaŭdo
Carles de Valois, duc de Berry	Karlo Valois de Berry
Anàstom	Malfermbekuloj
Ili (os)	Ilio
Bradornis mariquensis	Marikva bradorno
Parc natural	Natura parko
Lučenec	Lučenec
Pablo Bruna	Pablo Bruna
Mitjana ponderada	Laŭpeza aritmetika meznombro
Exèrcit de l'Imperi Otomà	Otomana armeo
Bari (Somàlia)	Bari (Somalio)
Argument teleològic	Argumento teleologia
Calcidi	Kalcidio
Mascaró de proa	Prufiguro
Carta 77	Ĉarto 77
Rellotge Astronòmic de Praga	Astronomia horloĝo de Prago
Universitat d'Extremadura	Universitato de Ekstremaduro
Integració econòmica	Ekonomia integriĝo
Diagonalització de Cantor	Diagonala argumento de Cantor
Bràctea	Brakteo
Yumen	Jumen
Panthera pardus ciscaucasica	Persa leopardo
Medaller dels Jocs Olímpics d'estiu de 1912	Medaltabelo de la Somera Olimpiko 1912
FidoNet	FidoReto
Congregació per a l'Educació Catòlica	Kongregacio por la katolika edukado
Bierbeek	Bierbeek
Llac Utah	Utaha Lago
Kožuchovce	Kožuchovce
Oni	Onio
Kiwi tacat gros	Haasta kivio
Aní gros	Granda anio
Magny-la-Ville	Magny-la-Ville
Le Latet	Le Latet
Toei Animation	Toei
Robledollano	Robledollano
Vàlvula de seguretat	Sekurecvalvo
Laeken	Laken
Cunard Line	Cunard Line
Hamuliakovo	Hamuliakovo
Laarne	Laarne
Districte de Nové Zámky	Distrikto Nové Zámky
Hrašné	Hrašné
Ritu romà	Roma rito
Oponice	Oponice
Dendrocygna guttata	Flankapunkta arbanaso
Wichelen	Wichelen
Saqueig de Roma	Disrabado de Romo
Jardin des plantes	Ĝardeno de la Plantoj (Parizo)
Miková	Miková
Rykynčice	Rykynčice
David Broza	David Broza
Capsigrany emmascarat	Maskolanio
Diakovce	Diakovce
Sea Shepherd Conservation Society	Sea Shepherd
Medaller dels Jocs Olímpics d'hivern de 1972	Medaltabelo de la Vintra Olimpiko 1972
Medaller dels Jocs Olímpics d'hivern de 1988	Medaltabelo de la Vintra Olimpiko 1988
(647) Adelgunde	647 Aldegundo
Tàntal malai	Griza mikterio
Podbrezová	Podbrezová
Peso convertible	Konvertebla kuba peso
Pinsà borroner bru	Bruna pirolo
Kuurne	Kuurne
Uzovské Pekľany	Uzovské Pekľany
Gobius	Gobiuso
Ďanová	Ďanová
Cabra del Santo Cristo	Cabra del Santo Cristo
Syrmaticus soemmerringii	Kuprofazano
Províncies marítimes del Canadà	Marprovincoj
Veľký Lapáš	Veľký Lapáš
Medaller dels Jocs Olímpics d'hivern de 1998	Medaltabelo de la Vintra Olimpiko 1998
Medaller dels Jocs Olímpics d'hivern de 1952	Medaltabelo de la Vintra Olimpiko 1952
Medaller dels Jocs Olímpics d'hivern de 1924	Medaltabelo de la Vintra Olimpiko 1924
Llista d'asteroides (1-1000)	Listo de asteroidoj (1–1000)
Medaller dels Jocs Olímpics d'hivern de 1968	Medaltabelo de la Vintra Olimpiko 1968
Medaller dels Jocs Olímpics d'hivern de 1960	Medaltabelo de la Vintra Olimpiko 1960
Medaller dels Jocs Olímpics d'hivern de 1980	Medaltabelo de la Vintra Olimpiko 1980
Medaller dels Jocs Olímpics d'hivern de 1932	Medaltabelo de la Vintra Olimpiko 1932
Hipocaust	Hipokaŭsto
Jawor	Jawor
Congregació per als Bisbes	Kongregacio por la Episkopoj
Châtenois (Jura)	Châtenois (Jura)
Alció gegant africà	Giganta alciono
Ogre (Letònia)	Ogre
Loulle	Loulle
Elektra (Strauss)	Elektra (Strauss)
Cetonia aurata	Ora cetonio
Mode (música)	Modalo (muziko)
Xassís	Ĉasio
Tequila	Tequila
Estola	Stolo (liturgio)
Creont (fill de Meneci)	Kreono (Tebo)
Llenguatge de programació Eiffel	Eiffel (programlingvo)
Malá Čausa	Malá Čausa
Montserrat	Montserrat (monto)
Ĉ	Ĉ
Espiral hiperbòlica	Hiperbola spiralo
Göksu	Göksu
Bloop	Bloop
Cantó de Chastél Ponçac	Kantono de Châteauponsac
Gobelins	Manufakturo Gobelin
Ewes	Eveoj
Gall nival de l'Himàlaia	Himalaja neĝokoko
Punxsutawney	Punxsutawney
Parròquia de Sant Jaume Apòstol de Tequixquiac	Paroko de Santiago Tequixquiac
Zarza de Montánchez	Zarza de Montánchez
Parc Històric Nacional de la Cultura Chaco	Nacia Historia Parko de la Ĉako-kulturo
Pòssum comú	Vulpoposumo
Châtillon-Coligny	Châtillon-Coligny
Perdix	Perdix
Baptisteri de Sant Joan	Baptejo Sankta Johano (Florenco)
Voltor de palmerar	Palmogipo
Mangosta groga	Vulpa cinikto
Tierno Monénembo	Tierno Monénembo
Zoarces	Zoarco
Bajany	Bajany
Noyers (Yonne)	Noyers (Yonne)
Veselé	Veselé (distrikto Piešťany)
Teatre Nacional de Praga	Nacia teatro (Prago)
Monuments paleocristians i bizantins de Tessalònica	Prakristanaj kaj bizancaj monumentoj de Tesaloniko
Burlata	Burlada
Maine (França)	Mansio
Anhima cornuta	Korna kriulo
Wanderer-Fantasie	Wanderer-Fantasie
Decisió	Decido (Eŭropa Unio)
Campefàgid	Kampefagedoj
Valerià Weyler i Nicolau	Valeriano Weyler
Viamão	Viamão
Hermòpolis Magna	Ĥmun
Societat de vida apostòlica	Societo de apostola vivo
Cançons sense paraules	Lieder ohne Worte
Jean Grave	Jean Grave
Gestor de fitxers	Dosieradministrilo
Peter Benoit	Peter Benoit
Monestir de Horezu	Monaĥejo de Horezu
Besain	Besain
Mascaret	Tajda kurondo
Nyandú de la Patagònia	Malgranda reao
Bonnefontaine (Jura)	Bonnefontaine (Jura)
Châtelneuf (Jura)	Châtelneuf (Jura)
Mecanisme de tipus de canvi	Eŭropa Valutoŝanĝa Mekanismo II
El desertor	Le Déserteur (kanzono)
Districte de Myjava	Distrikto Myjava
Chamole	Chamole
Rabčice	Rabčice
Cigne trompeta	Trumpetocigno
Guatlla de Nova Zelanda	Novzelanda koturno
La Groise	La Groise
Hautecour (Jura)	Hautecour (Jura)
Bitarová	Bitarová
Tinamú d'ales vermelloses	Ruĝflugila tinamo
Còdex de Leningrad	Kodekso de Leningrado
La Châtelaine	La Châtelaine
Barretaine	Barretaine
Ipeľské Úľany	Ipeľské Úľany
Monesterio	Monesterio
A Place in the Sun	A Place in the Sun
Cantó de Valença-1	Kantono Valence-1
Sazan	Insulo Sazano
Orde de Santa Clara	Klaraninaj monaĥinoj
Cargol de Pascal	Heliko de Pascal
Terratrèmol d'Alep de 1138	Tertremo de Alepo (1138)
Filadèlfia (Paraguai)	Filadelfio (Paragvajo)
Saint-Clément-des-Baleines	Saint-Clément-des-Baleines
Le Bois-Plage-en-Ré	Le Bois-Plage-en-Ré
Arborophila orientalis	Blankavizaĝa perdriko
Baume-les-Dames	Baume-les-Dames
Monjo	Monaĥo
Hethum I	Hetumo la 1-a
NGC 98	NGC 98
Hrubý Šúr	Hrubý Šúr
Yankee Doodle	Yankee Doodle
Malá Čalomija	Malá Čalomija
Brestovec (Trenčín)	Brestovec (distrikto Myjava)
L'Île-Saint-Denis	L'Île-Saint-Denis
Hemó	Hemono
La Puebla de los Infantes	La Puebla de los Infantes
Veľké Borové	Veľké Borové
Gener Negre	Nigra Januaro
K-Meleon	K-Meleon
Robledo de Chavela	Robledo de Chavela
Châtel-Censoir	Châtel-Censoir
Brunch	Frutagmanĝo
Fossa comuna	Amastombo
Poloma	Poloma
Civeta petita de l'Índia	Malgranda hindia zibeto
Ramón J. Sender	Ramón J. Sender
Mauritània Cesariense	Mauretania Caesariensis
Petxina (arquitectura)	Pendentivo
Amanitàcia	Amanitacoj
Colom antàrtic	Ĥionidedoj
Batalla d'Avarayr	Batalo de Avarajr
Motmot	Momotedoj
Partit Demòcrata Europeu	Eŭropa Demokratia Partio
Podbiel	Podbiel
Kiwi de l'illa del Nord	Nordinsula bruna kivio
L'adoració de l'Anyell Místic	Genta altaro
Capelle aan den IJssel	Capelle aan den IJssel
Prusy (Eslovàquia)	Prusy
Secretari de Defensa dels Estats Units	Usona ministro pri defendo
Cabo Frio	Cabo Frio
Políedre regular	Regula pluredro
Cuvat	Cuvat
Territ semipalmat	Pigmea kalidro
Kėdainiai	Kėdainiai
Alció d'Esmirna	Blankgorĝa arbalciono
Pelicà blanc americà	Amerika blanka pelikano
Governació de Karak	Karako (gubernio)
Spline	Splajno
Paisatge cultural de Lednice i Valtice	Lednice-Valtice
Albatros de les Galápagos	Galapaga albatroso
Protestes d'Espanya de 2011–2012	Protestoj de majo 2011 en Hispanio
Chapois	Chapois
Conducte deferent	Spermodukto
Trstín	Trstín
Hein Simons	Heintje
Metro de Milà	Metroo de Milano
President del Consell Europeu	Prezidanto de la Eŭropa Konsilio
Realisme (filosofia)	Realismo
Lincoln Near-Earth Asteroid Research	Lincoln Near-Earth Asteroid Research
Masaniello	Masaniello
Ínac	Inaĥo
Atar (Mauritània)	Atar
Sistema d'equacions	Sistemo de ekvacioj
Veľké Hoste	Veľké Hoste
2M1207 b	2M1207b
Colquitt	Colquitt (Georgio)
Collado Villalba	Collado Villalba
Wingene	Wingene
Vleteren	Vleteren
Lochristi	Lochristi
Sent Victòr	Saint-Victor-en-Marche
Ledegem	Ledegem
Stekene	Stekene
