აფრიკა	Afriko
კუფშტაინი	Kufstein
ჩუის ოლქი	Provinco Ĉuj
ნარინის ოლქი	Provinco Narin
სიმფონიური მეტალი	Simfonia metalroko
ბადენი (ქვემო ავსტრია)	Baden (Malsupra Aŭstrio)
ტარაზი	Taraz
ჟამბილის ოლქი	Provinco Ĵambilo
გალაპაგოსის კუ	Galapaga testudo
ტრანსვესტიზმი	Transvestulo
პიანისტი	Pianisto
ანტიკური ხანა	Grek-romia antikvo
ხვარაზმი	Ĥorazma Imperio
დესაუ	Dessau
ვიქტორ ცოი	Viktor Coj
ნოტო	Noto (Italio)
ლებაპის ველაიათი	Lebap
დაშოგუზის ველაიათი	Provinco Daşoguz
მარის ველაიათი	Provinco Mary
ისიქ-ქოლის ოლქი	Provinco Isik-Köl
კლოსტერნოიბურგი	Klosterneuburg
სურხანდარიის ოლქი	Provinco Surĥandarjo
ჩაღათა-ხანი	Ĉagataj-Ĥano
ბატკენის ოლქი	Provinco Batken
ჯალალაბადის ოლქი	Provinco Ĵalalabat
.ni	.ni
ანდიჟანი	Andiĝono
საფრანგეთის საპრეზიდენტო არჩევნები (2012)	Prezidanta baloto de 2012 en Francio
დაშოგუზი	Daşoguz (urbo)
თურქმენაბადი	Türkmenabat
ჩაღათას ულუსი	Ĉagataja Ĥanlando
დემის რუსოსი	Demis Roussos
მილაცო	Milazzo
კოლუმბიის ქალაქების სია	Listo de urboj de Kolombio
თოვლის პაპა	Avo Frosto
მომღერალი და კომპოზიტორი	Kantaŭtoro
იამალის ნახევარკუნძული	Duoninsulo Jamalo
ნატალი იმბრულია	Natalie Imbruglia
რორშახის ტესტი	Rorŝaĥ-testo
ბაესა	Baeza
ალი ბაბა	Ali Babo kaj kvardek rabistoj
თურქმენბაში (ქალაქი)	Türkmenbaşy
კოსტანაი	Kostanaj
ჰარი ჰარისონი	Harry Harrison
პალაცოლო-აკრეიდე	Palazzolo Acreide
ფანატიზმი	Fanatikismo
მსოფლიოს შვიდი საოცრება	Sep mirindaĵoj de la antikva mondo
ანტანანარივუს პროვინცია	Antananarivo (provinco)
რაინის ბრაიზახი	Breisach (Rejno)
ანდარაი	Andaraí
NGC 891	NGC 891
პირდაპირი უცხოური ინვესტიცია	Rekta eksterlanda investado
ხივის სახანო	Ĥanlando de Ĥiva
კიტეე	Kitee
კირილური რიცხვები	Cirilaj ciferoj
ტაშკენტის მეტროპოლიტენი	Metroo de Taŝkento
ეთიოპიის ქალაქები	Listo de urboj de Etiopio
ბურუნდის ქალაქები	Listo de urboj de Burundo
მადაგასკარის ქალაქების სია	Listo de urboj de Madagaskaro
ნიგერიის ქალაქები	Listo de urboj de Niĝerio
ტალასის ბრძოლა	Batalo de Talas
რიკარდუ პერეირა	Ricardo Soares Pereira
კაკაბი	Rokperdriko
ვენესუელის ფედერალური ოლქი	Ĉefurba distrikto de Venezuelo
კრიოსფერო	Kriosfero
.nl	.nl
ნიდაო	Postkolo
ძვ. წ. 753	-753
ძვ. წ. 750	-750
ბლუდენცი	Bludenz
გლიუკსბურგი	Glücksburg
კნიტელფელდი	Knittelfeld
ბაჰაიზმის მსოფლიო ცენტრი	Bahaa Mondcentro
სუდანის ქალაქების სია	Listo de urboj de Sudano
ჯენიფერ ტილი	Jennifer Tilly
კენიის ქალაქები	Listo de urboj de Kenjo
აიდაჰო-ფოლსი	Idaho Falls
ლიპარი	Lipari
მისავა	Misaŭa
კუროისი	Kuroiŝi
ალკინოოსი	Alkinoo
გოსიოგავარა	Goŝogaŭara
ბენინის ქალაქები	Listo de urboj de Benino
მოზამბიკის ქალაქები	Listo de urboj de Mozambiko
ბუენოს-აირესის მეტროპოლიტენი	Metroo de Bonaero
ლინოზა	Linosa
ლევანცო	Levanzo
ესპანეთის პირველი რესპუბლიკა	Unua Hispana Respubliko
მარმარაი	Marmaray
ალექსანდრე ბელიაევი	Aleksander Belajev
რა? სად? როდის?	Kio? Kie? Kiam?
პემბა	Pemba (Mozambiko)
Guerrillero Heroico	Che Guevara (foto)
სევილიის ალკასარი	Alkazaro de Sevilo
ნაუელუაპის ტბა	Lago Nahuel Huapi
ალისფერი ღორი	Porco Rosso
პოლიეთილენის პარკი	Plasta saketo
ჩონტალესის დეპარტამენტი	Ĉontales (departemento)
ჩრდილოეთ ატლანტიკის ავტონომიური რეგიონი	Aŭtonoma Regiono Norda Atlantiko
მარიბის მუჰაფაზა	Provinco Ma'rib
ბჰუტანის ქალაქების სია	Listo de urboj de Butano
ლაპუტა: ციური კოშკი	Ĉiela kastelo Laputa
ულფილას ბიბლია	Gota Biblio
ეპსლი ჩერი-გარარდი	Apsley Cherry-Garrard
პანამის არხის ზონა	Zono de la Kanalo de Panamo
ფინეთის სოციალ-დემოკრატიული პარტია	Finnlanda socialdemokratia partio
გეღარდის მონასტერი	Monaĥejo Geghard
პრიენაი	Prienai
სიყვარული ჟამიანობის დროს	Amo en la tempoj de ĥolero
სუკუმბიოსის პროვინცია	Sucumbíos
ორელიანას პროვინცია	Orellana (Ekvadoro)
შალიმარის ბაღები	Ĝardenoj de Ŝalimar
ფეიხოა	Acca sellowiana
ნათუ-ლა	Nathula
ბრაზილიის მუნიციპალიტეტები	Municipoj de Brazilo
პორტუ-სეგურუ	Porto Seguro
პინიაო	Pingyao
უგანდის რკინიგზა	Uganda Fervojo
ძვ. წ. 529	-529
მრგვალპირიანები	Rondbuŝuloj
სამნიტები	Samnitoj
ნიგერიის პრეზიდენტი	Prezidento de Niĝerio
ყალა-ბენი-ჰამადი	Beni Hammad
შკოციანის მღვიმეები	Kavoj de Škocjan
ბვინდის ეროვნული პარკი	Nacia Parko Buindi-Ĝanĝalo
დაფნის მონასტერი	Monaĥejo Dafni
კეკროპ I	Kekropo
ახალქალაქი	Aĥalkalako
ენის წარმოშობა	Deveno de lingvo
უდიები	Udioj
ელექტრული ნაკადი	Elektra flukso
თავისუფალი ქალაქი კრაკოვი	Respubliko Krakovo
შირაკამი-სანჩი	Ŝirakami (montaro)
კარანტანია	Karantanio
ო, ძმაო, სად ხარ?	O Brother, Where Art Thou?
კოაცაკოალკოსი (ქალაქი)	Coatzacoalcos
სეროლოგია	Serologio
ნეორენესანსი	Novrenesanco
პუნტარენასის პროვინცია	Puntarenas
ხანჯოუს დასავლეთის ტბის კულტურული ლანდშაფტი	Okcidenta Lago (Hangĝoŭo)
იბარაკი (ქალაქი)	Ibaraki (urbo)
კონცი	Konz
იოკაი	Jokajo
ჯულიარდის სკოლა	Lernejo Juilliard
წყალქვეშა მთა	Submara monto
მაშრიყი	Maŝreko
სოლტონ-სი	Lago Saltono
კროითი	Kreuth
ადელა ნორიეგა	Adela Noriega
ანტიპოდის კუნძულები	Antipodaj Insuloj
ენდრიუ ბერდი	Andrew Bird
ასკიას საფლავი	Tombo de Askia
სან-მიგელ-დას-მისიონი	Sankta Mikaelo de la Misioj
მანოვო-გუნდა-სენ-ფლორის ეროვნული პარკი	Manovo-Gounda St. Floris
ბუენოს-აირესი (ტბა)	Lago de Bonaero
ვილა-რეალი	Vila Real
დელტის შტატი	Delta Ŝtato
ბაუჩის შტატი	Bauĉi-Ŝtato
გამბიეს კუნძულები	Insuloj Gambier
შავი პოლკოვნიკები	Diktaturo de la koloneloj
აიაკუჩო	Ajakuĉo
ლოხის პროვინცია	Loja
მიმოზისებრნი	Mimozedoj
ტუნგურაუის პროვინცია	Tungurahua (provinco)
ლოს-რიოსის პროვინცია	Los Ríos (Ekvadoro)
სიმენის ეროვნული პარკი	Nacia Parko Simien
უანუკო	Ŭanuko
მვერუ	Mŭero
ჩილოე	Insulo Ĉiloe
ჯეკ ტიგარდენი	Jack Teagarden
არნშტაინი	Arnstein (Malsupra Frankonio)
შავიში	Chaves (Portugalio)
ირლანდიის დროებითი რესპუბლიკური არმია	Provizora irlanda respublika armeo
ალტა-ვერაპასის დეპარტამენტი	Alta Verapaco
ბახა-ვერაპასის დეპარტამენტი	Malalta Verapaco
მანაბის პროვინცია	Manabí
ზვართნოცი	Zvartnoco
უანკაველიკის რეგიონი	Departemento Huankavelika
ანიკშჩიაი	Anykščiai
ვილა კაპრა	Villa Almerico Capra @@@u0026La Rotonda"
ვილა-დელ-კაზალე	Villa Romana del Casale
ლაიუვერსი	Lauwers
ვულკანიზმი	Vulkanismo
გოფი (კუნძული)	Insulo Gough
ბრიუსელის მეტროპოლიტენი	Metroo de Bruselo
ეპინგენი	Eppingen
სენეგალის ქალაქები	Listo de urboj de Senegalo
ფეხბურთის წესები	Reguloj de futbalo
ებონიის შტატი	Ebonyi
ლიტორალი	Marbordo
არპეჯო	Arpeĝo
სიუდად-გუაიანა	Ciudad Guayana
სანტ-პაუს ჰოსპიტალი	Hospitalo de Sant Pau
კლემენტს მარკჰემი	Clements Markham
მარკოს როხო	Marcos Rojo
კუტამაკუ	Kutamakuo
აიზენჰაიმი	Eisenheim
ნესტორი (გვარი)	Nestor (genro)
აეროპე	Aeropo
კორანტეინი	Korantino (rivero)
საკატეპეკესის დეპარტამენტი	Sakatepekezo
აუქშტაიტია	Aŭkŝtajtio
კონსანსანი	Cansanção
იტაეტე	Itaeté
ნევრასთენია	Neŭrastenio
სულიანა	Sullana
ძუკია	Dzukio
NGC 83	NGC 83
ჯიბუტის ქალაქები	Listo de urboj de Ĝibutio
გალუს ანონიმუსი	Gallus Anonymus
ვალენსიის მეტროპოლიტენი (ესპანეთი)	Metroo de Valencio
NGC 7716	NGC 7716
იეკულსაურლოუნი	Jökulsárlón
OpenOffice.org	OpenOffice
გოქტა	Akvofalo Gocta
სენ-პიერ დე ბოვეს ტაძარი	Katedralo de Beauvais
სასიცოცხლო ციკლი (ბიოლოგია)	Vivciklo (biologio)
მცირე ლიტვა	Eta Litovio
რუანდის ქალაქები	Listo de urboj de Ruando
ერმიტაჟი	Ermitejo (loko)
აურელინუ-ლეალი	Aurelino Leal
სენეცის რაიონი	Distrikto Senec
ქვაქვეშიასებრნი	Kotedoj
ეკვატორული გვინეის ქალაქები	Listo de urboj de Ekvatora Gvineo
აფონია (დაავადება)	Afonio
კონტრაპოსტი	Kontraposto
ნგერულმუდი	Ngerulmudo
პრეფექტურა	Prefektejo
ტაიგეტი	Tajgeto
ყვინთია იხვები	Merganasoj
ურელსო ტრანსპორტი	Aŭtotransporto
ასტრა	Astero
ნოვი-იიჩინის რაიონი	Distrikto Nový Jičín
უარინი	Uarini
ტრუტნოვის რაიონი	Distrikto Trutnov
ქერი	Hordeum
ჩიმბოტე	Ĉimboto
მინდელჰაიმი	Mindelheim
პონტოს მთები	Ponta Montaro
ჰერმესკაილი	Hermeskeil
ტორე კახა მადრიდი	Turo Ŝparkaso Madrido
NGC 7814	NGC 7814
NGC 7817	NGC 7817
ბელი-გოროდი	Blanka urbo (Moskvo)
ფეირა-გრანდი	Feira Grande
იზიდორ ჟოფრუა სენტ-ილერი	Isidore Geoffroy Saint-Hilaire
ბარდენას-რეალესი	Bardenas Reales
ვენის არბიტრაჟები	Vienaj arbitracioj
ჩალატენანგოს დეპარტამენტი	Departemento Chalatenango
არნშვაგი	Arnschwang
კიტალე	Kitale
IMSLP	International Music Score Library Project
პატარა ფატრა	Malgranda Fatro
კამი	Kamio
ბოშების დროშა	Cigana flago
მაშიშე	Maxixe
ლაიუვერსმერი	Lauwersmeer
ხენერალიფე	Ĝeneralifo
კალჩაკის ხეობა	Kalĉakiaj Valoj
გეორგიევსკის ტრაქტატი	Traktato de Georgijevsk
სან-პედროს დეპარტამენტი	Departemento San Pedro (Paragvajo)
ოროსი (ბრაზილია)	Orós (Cearao)
იპუპიარა	Ipupiara
მარზუკი	Murzuk
კვორუმი	Kvorumo
ფიანარანცუა	Fianarantsoa
დალმაცია	Dalmatio
ანეიტიუმი	Aneityum
რონალდო	Ronaldo
ჟან ბატისტ პიგალი	Jean-Baptiste Pigalle
ძვ. წ. 704	-704
მაროკოს ქალაქების სია	Listo de urboj de Maroko
არანხუესის სამეფო სასახლე	Reĝa Palaco de Aranjuez
ტრირის ღვთისმშობლის ეკლესია	Nia Kara Sinjorino (Treviro)
რიუ-ლარგუ	Rio Largo
ალიგატორი	Aligatoro
ჟიუ	Jiu
ბურგუნდიის სამეფო	Reĝlando Burgonjo
აუგუსტო სანდინოს საერთაშორისო აეროპორტი	Flughaveno Augusto C. Sandino
კაკა	Kaká
აიზენბერგი (ალგოი)	Eisenberg (Algovio)
დეტვის რაიონი	Distrikto Detva
ბაიელსის შტატი	Bayelsa
მარიკიტა (ტოლიმა)	Mariquita
გიორგი ტრაპიზუნტელი	Georgo de Trebizondo
ცისლეიტანია	Cislajtio
სტამბოლის პროვინცია	Provinco İstanbul
ჩინური ენა (HSK)	Hanban
ფიჭური კავშირი	Movtelefonio
ტლინკიტები	Tlingitoj
ვატიკანის საიდუმლო არქივი	Sekreta vatikana arĥivo
ზიგფრიდი	Sigfrido la drakmortiginto
ბანქსის კუნძულები	Banks-insularo
კასპარუს ბართოლინუსი	Caspar Bartholin, la Juna
ჩესკა-ლიპის რაიონი	Distrikto Česká Lípa
კარლოს დიდის ცხოვრება	Vita Karoli Magni
Mozilla Application Suite	Mozilla Application Suite
ტერევაკა	Maʻunga Terevaka
ბერძნები	Grekoj
დალიდა	Dalida
ბანკ-დ'არგენის ეროვნული პარკი	Nacia parko Banc d'Arguin
ბრატისლავა II-ის რაიონი	Distrikto Bratislavo 2
ბანსკა-ბისტრიცის რაიონი	Distrikto Banská Bystrica
კოშიცე-პერიფერიის რაიონი	Distrikto Košice-ĉirkaŭaĵo
იონას სტაუგატისი	Jonas Staugaitis
ევროკავშირის დევიზი	Eŭropa devizo
ჰარლეკის ციხესიმაგრე	Kastelo Harlech
ფილიპსბურგი	Philippsburg
ანგლო-ეგვიპტური სუდანი	Angl-Egipta Sudano
უესტ-კოსტის რეგიონი	Okcidentmarborda Regiono
ლეონიდ უტიოსოვი	Leonido Utjosov
ბირკენფელდი	Birkenfeld (Nahe)
გიორგი III (საქართველოს მეფე)	Georgo la 3-a (Kartvelio)
კოლომბანგარა	Kolombangara
ანგორული თხა	Angura kapro
აიზინგენი (ბავარია)	Eisingen (Bavario)
ომი ლატვიის დამოუკიდებლობისათვის	Latva milito de sendependeco
ბურბონი	Burbono (viskio)
ველიუვემერი	Veluwemeer
იგელი	Igel (setlejo)
პოტიომკინის სოფლები	Potjomkina vilaĝo
NGC 182	NGC 182
მეტლახი	Mettlach
ზაარბურგი	Saarburg
რატუშა	Urbodomo
სამხრეთ კორეის ეროვნული საფეხბურთო ნაკრები	Sudkorea nacia teamo de futbalo
იოტოკო	Jotoko
NGC 199	NGC 199
ტიტირიბი	Titiribí
რეი ჩარლზი	Ray Charles
კეთი ბეიტსი	Kathy Bates
მატერია (ფილოსოფია)	Materio (filozofio)
ლაკადივის ზღვა	Lakediva Maro
წმინდა მარინუსი	Marino (diakono)
აიზელფინგი	Eiselfing
ამიერკავკასიის სოციალისტური ფედერაციული საბჭოთა რესპუბლიკა	Transkaŭkaza Federacia Soveta Socialisma Respubliko
ლიპტოვსკი-მიკულაშის რაიონი	Distrikto Liptovský Mikuláš
ლომბარდიის რკინის გვირგვინი	Fera Krono
ანისი	Anio (urbo)
კაროი ჰუსარი	Károly Huszár
ნათების ორგანოები	Fotoforo
ძვლის ტვინი	Osta medolo
ჩიკლაიოს პროვინცია	Provinco Chiclayo
ტერმიტები	Termito
ანიკეტუსი (პაპი)	Aniceto
ველკი-კრტიშის რაიონი	Distrikto Veľký Krtíš
მაორის მითოლოგია	Maoria mitologio
კროზიეს კონცხი	Kabo Crozier
უნიანგის ტბები	Lagoj de Unianga
დუნაკესი	Dunakeszi
ნუი	Nui
Patrologia Latina	Patrologia Latina
ვიშეგრადი (უნგრეთი)	Visegrád
ტურჩიანსკე-ტეპლიცეს რაიონი	Distrikto Turčianske Teplice
კოშიცე III-ის რაიონი	Distrikto Košice 3
კაბო-დე-გატის ბუნების პარკი	Natura Parko Cabo de Gata-Níjar
მორონა-სანტიაგოს პროვინცია	Morona-Santiago
მულჩირება	Mulĉo
ბანოვცე-ნად-ბებრავოუ	Bánovce nad Bebravou
ბრეზენჰემის ალგორითმი	Algoritmo de Bresenham
NGC 7539	NGC 7539
ნორა ჯოუნსი	Norah Jones
სომხური დიასპორა	Armena diasporo
ჰლოჰოვეცის რაიონი	Distrikto Hlohovec
ფაფი	Fafe
დრონტისებრნი	Rafedoj
ვიზელა	Vizela
ეშპოზენდი	Esposende
კორდელი (აიფელი)	Kordel (Eifel)
ფრანცენჰაიმი	Franzenheim
ხოსე მიგელ გომესი	José Miguel Gómez
ანტონიო მასეო	Antonio Maceo
რია	Rio (geografio)
ტათევი	Monaĥejo Tatev
სულტარტანგალოუნი	Sultartangalón
ბრაუნშვაიგ-ლიუნებურგი	Duklando Brunsvigo-Luneburgo
გაუმატა	Gaumata
Decca Records	Decca Records
ვიქტორ ბრაუნერი	Victor Brauner
გეენა	Geheno
კატეგორია:ხელოვნური ინტელექტი	Kategorio:Artefarita inteligenteco
დავით II (ეთიოპია)	Dawit la 2-a
მუჰამედ ალიმ ხანი	Alim Ĥan
დაბალი ტატრები	Malaltaj Tatroj
შვაიხის სათემო კავშირი	Verbandsgemeinde Schweich an der Römischen Weinstraße
კონცის სათემო კავშირი	Verbandsgemeinde Konz
ეკერ-რანდოვის რაიონი	Distrikto Uecker-Randow
ჩრდილოეთ წინა პომერანიის რაიონი	Distrikto Norda Antaŭpomerio
ვიტლიხი	Wittlich
დემინის რაიონი	Distrikto Demmin
მეკლენბურგ-შტრელიცის რაიონი	Distrikto Mecklenburg-Strelitz
აღმოსავლეთ წინა პომერანიის რაიონი	Distrikto Orienta Antaŭpomerio
გიუსტროვის რაიონი	Distrikto Güstrow
წითელფრთიანი კოჭობურა	Rozflugila fringo
გიორგი I (საქართველოს მეფე)	Georgo la 1-a (Kartvelio)
ნაირი	Nairi
აიკარა	Aiquara
NGC 510	NGC 510
გერმანიის კავკასიური ექსპედიცია	Germana Kaŭkaza Ekspedicio
ჟაკ პერენი	Jacques Perrin
ანანის გეგმა	Annan-plano
კუინზ-ჰაუსი	Queen’s House
ტაი ვიკიპედია	Tajlingva Vikipedio
რანი	Ran
ოქროს ბულა (1356)	Ora buleo
მეფე ბელას ნოტარიუსი	Anonymus (hungara kronikisto)
მაიაპანი	Mayapan
PEST-ანალიზი	Analizo PEST
ნობატია	Nobatia
NGC 233	NGC 233
გუტვაილერი	Gutweiler
ჰოკვაილერი	Hockweiler
ლონგუიხი	Longuich
კორლინგენი	Korlingen
შაჰრისაბზი	Ŝahrisabz
ტორე-ჩივიკა	Turo Ghirlandina
ვალდრახი	Waldrach
გრიგოლ ფერაძე	Georgo Peradze
ახალი რომანი	Nova Romano
მასაიის დეპარტამენტი	Masajo (departemento)
ვიშკოვის რაიონი	Distrikto Vyškov
რიკარდუ კარვალიუ	Ricardo Carvalho
NGC 94-2	NGC 94-2
ანტანას მერკისი	Antanas Merkys
ბაუცენის რაიონი	Distrikto Bautzen
ქსელი (ფილმი)	Network
NGC 7833	NGC 7833
მედვიე	Miedwie
აუაჩაპანის დეპარტამენტი	Departemento Ahuachapán
NGC 109	NGC 109
დამპალი დაბები	Rotten borough
სექტემბერი 2012	Septembro de 2012
ბრჭყალებიანი მაიმუნები	Kalitriksedoj
ახალი საგნობრიობა (არქიტექტურა)	Nova objektivismo (arĥitekturo)
დაშლის მუდმივა	Eksponenta malkresko
კონსო	Konso
ალაოტრა	Lago Alaotra
მომოტომბო	Momotombo
ალბაისინი	Albayzín
სლოვაკეთის კარსტი	Slovaka karsto
ბელინი	Bellini
ტაფეა	Tafea
NGC 7770	NGC 7770
ანესის ტბა	Lago de Annecy
მარაბუ	Marabuoj
მანუელ მაჩადო ი რუისი	Manuel Machado
აუგსბურგის ლიგა	Ligo de Augsburg
ღორისქადა	Laktuko
კრიზოპოლისი	Crisópolis
სან-მარკოს ბიბლიოთეკა	Librejo Marciana
მირი (მრავალმნიშვნელოვანი)	MIR
ტოს სასახლე	Palaco de Tau
ლარისა (ნომი)	Lariso (provinco)
ჩინჩეროსის პროვინცია	Ĉinĉeros Provinco
ალბერტო გრიმალდი	Alberto Grimaldi
NGC 498	NGC 498
ჟძიარ-ნად-საზავოუს რაიონი	Distrikto Žďár nad Sázavou
ხათუსილი II	Ĥattusili la 2-a
ვატ-ფხუ	Vat Phu
ოულუიარვი	Oulujärvi
ვენსესლაუ-გიმარაინსი	Wenceslau Guimarães
სელაია	Celaya
ლინკოლნის ცენტრი	Lincoln Center
პრასლინი	Praslin
კიჩო (გემი)	Kilo (ŝipo)
ბრჟეცლავის რაიონი	Distrikto Břeclav
არნსტორფი	Arnstorf
NGC 898	NGC 898
რიუ-დუ-პირისი	Rio do Pires
პაპალოაპანი	Papaloapano
იტაპიტანგა	Itapitanga
ოტუსკოს პროვინცია	Provinco Otuzco
გაუა	Gaua
შვაცი	Schwaz
ბერური	Beruri
აგლავროსი	Aglaŭro
რამპის ჩირაღდნები (ფილმი)	Limelight (filmo de 1952)
კეთილშობილი ლითონები	Nobla metalo
NGC 392	NGC 392
კერა	Fajrejo
NGC 7615	NGC 7615
NGC 7448	NGC 7448
კომარნოს რაიონი	Distrikto Komárno
ამაპა (ქალაქი)	Amapá (municipo)
მორვანი	Morvan
რიჩე	Ricse
ლეონის დეპარტამენტი	Leono (departemento)
რიო-დე-ჟანეიროს ფედერალური უნივერსიტეტი	Federala Universitato de Rio de Janeiro
ხორასან-რეზავის ოსტანი	Provinco Razavi-Ĥorasano
NGC 7146	NGC 7146
კალათა	Pseŭdantio
NGC 7398	NGC 7398
ლევ ჩორნი	Lev Ĉjornij
აფონსუ I (პორტუგალია)	Afonso la 1-a (Portugalio)
ლონხა-დე-ლა-სედა	Varborso de la Silko
NGC 126	NGC 126
მაგნოლია (ფილმი)	Magnolio (filmo)
არდეშენი	Ardesen
ბუტკო	Karpelaro
ფიშერის მყინვარი	Fiescher-Glaĉero
თიკა (კენია)	Thika
ინიამბუპი	Inhambupe
ლა-ვიქტორია (ვენესუელა)	La Victoria (Venezuelo)
ედუარდ VIII	Eduardo la 8-a (Britio)
ფონტანკა	Fontanka
მალაცკის რაიონი	Distrikto Malacky
თეირანის ოსტანი	Provinco Teherano
უაირარაპა	Lago Wairarapa
სამეცნიერო ლიტერატურა	Scienca literaturo
პანეგირიკი	Panegiro
ალკმეონი (მითოლოგია)	Alkmeono (mitologio)
სანტა-ბარბარას დეპარტამენტი	Santa Bárbara
მისიონესის დეპარტამენტი	Departemento Misiones
NGC 532	NGC 532
ჯაზის სტანდარტი	Ĵaza normkanto
ბერესტეჩკოს ბრძოლა	Batalo de Beresteĉko
ვერაგუასის პროვინცია	Veragŭo
ალკობასის მონასტერი	Monaĥejo de Alcobaça
შვეიცარიის მყინვარების სია	Listo de la glaĉeroj en Svislando
NGC 213	NGC 213
ტრინიდადი (მრავალმნიშვნელოვანი)	Trinidad (apartigilo)
სურჩინის მუნიციპალიტეტი	Surĉin
რუსთავი 2	Rustavi 2
პისეკის რაიონი	Distrikto Písek
სიმღერის რევოლუცია	Kantanta Revolucio
სელის უღელტეხილი	Montpasejo Sella
რაკოცის ომი დამოუკიდებლობისთვის	Liberecbatalo de Rákóczi
პორტუგალიის სოციალ-დემოკრატიული პარტია	Socialdemokrata Partio (Portugalio)
პლანტენ-მორეტუსის მუზეუმი	Muzeo Plantin-Moretus
ტემპერლეი	Temperley
ვანდერლეი	Wanderley (Bahio)
კონდეუბა	Condeúba
მატაგალპა	Matagalpo
დემოკრატიის ქალღმერთი	Diino de demokratio
ძვ. წ. IX ათასწლეული	-8000
დრისვიატი	Drūkšiai
კანდიდუ-სალისი	Cândido Sales
ტუკანუ (ბაია)	Tucano (Bahio)
ტაშირი (ქალაქი)	Taŝir
კალდასი (ანტიოკია)	Caldas (Antjokio)
მაღალი ჭაობი	Altaj Marĉoj
ტოპოლჩანის რაიონი	Distrikto Topoľčany
სინოპი	Sinop (Turkio)
სიმბუ	Simbu
რომანსი	Romantika
სიმპლონის გვირაბი	Tunelo de Simplono
ზოოგეოგრაფია	Zoogeografio
ძერა (გვარი)	Milvus
ოკინავა	Okinava insulo
NGC 7816	NGC 7816
გიდანის ნახევარკუნძული	Duoninsulo Gidan
მზეყანჩასებრნი	Sunbirdo
კომერცია	Komerco
ვიქტორია რუფო	Victoria Ruffo
ზაინის ციხესიმაგრე	Burgo Sayn
ბარბალია	Barbalha
NGC 679	NGC 679
გლაციალი	Glacialo
NGC 203	NGC 203
ყაზანის კრემლი	Kremlo de Kazano
არნულფო არიასი	Arnulfo Arias
NGC 542	NGC 542
კოფს-ჰარბური	Coffs Harbour
ოშოშა	Glekomo
ამერიკული ტრაგედია	Usona Tragedio
ფენოსკანდინავია	Finnoskandinavujo
NGC 2492	NGC 2492
მარიამის სახარება	Evangelio laŭ Maria
გოსფორდი	Gosford
ჩესკი-კრუმლოვის რაიონი	Distrikto Český Krumlov
გოულბერნი (ავსტრალია)	Goulburn
შპლიუგენის უღელტეხილი	Splugopasejo
ბონამპაკი	Bonampak
ანტონიო დე ტრუება	Antonio Trueba
კორდილიერები	Amerika Kordilero
ლოლანი	Lolland
იპეკაეტა	Ipecaetá
NGC 7320	NGC 7320
ჰიკარუ სულუ	Hikaru Sulu
ფრიმანტლი	Fremantle
ბუქანი	Bukan
როზმარის ბავშვი (ფილმი)	Bebo de Roza-Maria
NGC 906	NGC 906
მონტგომერი სკოტი	Montgomery Scott
ირაციონალური რიცხვი	Neracionala nombro
ლუპენ III: კალიოსტროს სასახლე	Lupeno la 3-a: la kastelo de Kaljostro
თალინი	Talin
NGC 512	NGC 512
ანჩისხატი	Baziliko Anĉisĥati
ნოვუ-ორიზონტი (ბაია)	Novo Horizonte (Bahio)
იტირუსუ	Itiruçu
NGC 7458	NGC 7458
ხამუნის ტბა	Hamun-lago
ჰააპაის კუნძულები	Haapai
ჰიმბა	Himboj
სერჟ სარქისიანი	Serĵ Sargsjan
კონიდიუმი	Konidio
რობერტ ქოჩარიანი	Robert Koĉarjan
კალასტე	Kallaste
ლაჰორის ციხესიმაგრე	Fortikaĵo de Lahore
NGC 67A	NGC 67A
პრიევიძის რაიონი	Distrikto Prievidza
ახტალა (სომხეთი)	Aĥtala
ფარმაცია	Farmacio
კაიშიადორისი	Kaišiadorys
იტუსაინგო (ბუენოს-აირესი)	Ituzaingó (Bonaero)
ძროხისებრი ანტილოპები	Alcelafenoj
ბროიკელენი	Breukelen (Utrecht)
კურუცები	Kuruco
NGC 7760	NGC 7760
გაერთიანება საფრანგეთისათვის	Rassemblement pour la France et l'indépendance de l'Europe
ნიოტა უჰურა	Nyota Uhura
იუნგფრაუ-ალეჩის დაცული ტერიტორია	Jungfrau-Aleĉ-Bieĉhorno
ელექტრომატარებელი EN57	Elektra trajnkompleto EN57
ჰიროსიმის პრეფექტურა	Gubernio Hiroŝima
მაგარი ხორბალი	Durum-tritiko
მალეკულა	Malekula
გალი ასტერიქსი	Asteriks la Gaŭlo
თეატრი აპოლო	Apollo Theater
არაპა	Lago Arapa
კათოლიკოსი	Katolikoso
სხივების ტყორცნა	Radiopaŭsado
ვიკიპედია:მალსახმობი	Vikipedio:Simbola ligilo
დეიზმი	Diismo
გლიცინი	Glicino
რუსეთ-საქართველოს ომი (2008)	Milito en Sud-Osetio (2008)
თუნჯელის პროვინცია	Provinco Tunceli
ლიდია	Lidio
თეიზმი	Teismo
აპენდექტომია	Apendicektomio
18 ბრიუმერის გადატრიალება	18a de Brumero
ოჩამჩირის მუნიციპალიტეტი	Municipo Oĉamĉire
ჩიტბატონა	Ruĝfrunta kanario
აპრილი 2012	Aprilo de 2012
აპუანის ალპები	Alpi Apuane
პტოზი	Ptozo
