Naakaii Łizhiní Bikéyah	Afriko
Tʼááłáhági átʼéego:Béésh bichʼahníí bikéyah	Kategorio:Eŭropaj landoj
Tʼááłáhági átʼéego:Choyoołʼįįhí Bizaad	Kategorio:Vikipediistoj laŭ lingvo
Anáʼálwoʼ:Wikiibíídiiya beehazʼą́ąnii	Vikipedio:Regularo
Bee álnééhí:Softredirect	Ŝablono:Intervikia plusendilo
Chʼosh chʼééh digháhii	Gastropodoj
Tʼááłáhági átʼéego:Saad	Kategorio:Lingvoj
Wikiibíídiiya:General disclaimer	Vikipedio:Malgarantio
Tʼááłáhági átʼéego:Noindexed pages	Kategorio:Neindeksitaj paĝoj
Wikiibíídiiya:Statistics	Vikipedio:Statistiko
Nahatʼeʼiitsoh	Kanguruo
Tʼááłáhági átʼéego:Living people	Kategorio:Vivantaj homoj
Tʼááłáhági átʼéego:Béésh bee akʼeʼelchíhí tʼáá bí nitsékeesígíí	Kategorio:Aplikata komputiko
Bee álnééhí:!	Ŝablono:!
Bee álnééhí:Bots	Ŝablono:Bots
Tʼááłáhági átʼéego:Naaltsoos	Kategorio:Libroj
Bee álnééhí:Wikisource	Ŝablono:Vikifontaro
Bee álnééhí:Babel	Ŝablono:Babelejo
Bee álnééhí:Commons	Ŝablono:Commons
Bee álnééhí:Reflist	Ŝablono:Referencoj
Bee álnééhí:Stub	Ŝablono:Ĝermo
Bee álnééhí:User af-1	Ŝablono:Vikipediisto af-1
Bee álnééhí:User ar-1	Ŝablono:Vikipediisto ar-1
Bee álnééhí:User bar-1	Ŝablono:Vikipediisto bar-1
Bee álnééhí:User eo-1	Ŝablono:Vikipediisto eo-1
Bee álnééhí:See also	Ŝablono:Vidu ankaŭ
Bee álnééhí:User da-2	Ŝablono:Vikipediisto da-2
Bee álnééhí:User da	Ŝablono:Vikipediisto da
Bee álnééhí:User ca-1	Ŝablono:Vikipediisto ca-1
Bee álnééhí:User ca-4	Ŝablono:Vikipediisto ca-4
Bee álnééhí:User be-2	Ŝablono:Vikipediisto be-2
Bee álnééhí:User da-1	Ŝablono:Vikipediisto da-1
Bee álnééhí:User cs-1	Ŝablono:Vikipediisto cs-1
Bee álnééhí:User bg-1	Ŝablono:Vikipediisto bg-1
Bee álnééhí:User eo-3	Ŝablono:Vikipediisto eo-3
Bee álnééhí:User de	Ŝablono:Vikipediisto de
Bee álnééhí:User de-1	Ŝablono:Vikipediisto de-1
Bee álnééhí:User eu-4	Ŝablono:Vikipediisto eu-4
Bee álnééhí:User el	Ŝablono:Vikipediisto el
Bee álnééhí:User es	Ŝablono:Vikipediisto es
Bee álnééhí:User de-3	Ŝablono:Vikipediisto de-3
Bee álnééhí:User en-3	Ŝablono:Vikipediisto en-3
Bee álnééhí:User el-1	Ŝablono:Vikipediisto el-1
Bee álnééhí:User en-1	Ŝablono:Vikipediisto en-1
Bee álnééhí:User en-2	Ŝablono:Vikipediisto en-2
Bee álnééhí:User fa-1	Ŝablono:Vikipediisto fa-1
Bee álnééhí:User eo-2	Ŝablono:Vikipediisto eo-2
Bee álnééhí:User en-4	Ŝablono:Vikipediisto en-4
Bee álnééhí:User fi	Ŝablono:Vikipediisto fi-D
Bee álnééhí:User en-0	Ŝablono:Vikipediisto en-0
Bee álnééhí:User es-4	Ŝablono:Vikipediisto es-4
Bee álnééhí:User en	Ŝablono:Vikipediisto en
Bee álnééhí:User de-2	Ŝablono:Vikipediisto de-2
Bee álnééhí:User es-1	Ŝablono:Vikipediisto es-1
Bee álnééhí:User fa	Ŝablono:Vikipediisto fa
Bee álnééhí:User fi-1	Ŝablono:Vikipediisto fi-1
Bee álnééhí:User fr-1	Ŝablono:Vikipediisto fr-1
Bee álnééhí:User ia-2	Ŝablono:Vikipediisto ia-2
Bee álnééhí:User hr	Ŝablono:Vikipediisto hr
Bee álnééhí:User he-2	Ŝablono:Vikipediisto he-2
Bee álnééhí:User he-1	Ŝablono:Vikipediisto he-1
Bee álnééhí:User id-3	Ŝablono:Vikipediisto id-3
Bee álnééhí:User io-3	Ŝablono:Vikipediisto io-3
Bee álnééhí:User it-3	Ŝablono:Vikipediisto it-3
Bee álnééhí:User grc-1	Ŝablono:Vikipediisto grc-1
Bee álnééhí:User ja-4	Ŝablono:Vikipediisto ja-4
Bee álnééhí:User sk	Ŝablono:Vikipediisto sk
Bee álnééhí:User tr-2	Ŝablono:Vikipediisto tr-2
Bee álnééhí:User ja	Ŝablono:Vikipediisto ja
Bee álnééhí:User ja-1	Ŝablono:Vikipediisto ja-1
Bee álnééhí:User it-1	Ŝablono:Vikipediisto it-1
Bee álnééhí:User hr-1	Ŝablono:Vikipediisto hr-1
Bee álnééhí:User fr	Ŝablono:Vikipediisto fr
Bee álnééhí:User gsw-1	Ŝablono:Vikipediisto gsw-1
Bee álnééhí:User he	Ŝablono:Vikipediisto he
Tʼááłáhági átʼéego:Chʼosh bijáád hastánígíí	Kategorio:Insektoj
Tʼááłáhági átʼéego:Choyoołʼįįhí uk	Kategorio:Vikipediisto uk
Tʼááłáhági átʼéego:Choyoołʼįįhí uk-N	Kategorio:Vikipediisto uk-D
Tʼááłáhági átʼéego:Chʼiyáán	Kategorio:Manĝaĵoj
Bee álnééhí:SIL	Ŝablono:ISO639-3 ligilo
Bee álnééhí:User it	Ŝablono:Vikipediisto it
Bee álnééhí:User uk	Ŝablono:Vikipediisto uk
Bee álnééhí:User es-2	Ŝablono:Vikipediisto es-2
Tʼááłáhági átʼéego:Choyoołʼįįhí fr-1	Kategorio:Vikipediisto fr-1
Bee álnééhí:Image label	Ŝablono:Marko sur bildo
Tʼááłáhági átʼéego:Atsá dóó Giní Ndahalinígíí	Kategorio:Falkoformaj
Tʼááłáhági átʼéego:Choyoołʼįįhí en-4	Kategorio:Vikipediisto en-4
Tʼááłáhági átʼéego:Choyoołʼįįhí en	Kategorio:Vikipediisto en
Tʼááłáhági átʼéego:Choyoołʼįįhí zh	Kategorio:Vikipediisto zh
Tʼááłáhági átʼéego:Choyoołʼįįhí zh-N	Kategorio:Vikipediisto zh-D
Tʼááłáhági átʼéego:Choyoołʼįįhí en-2	Kategorio:Vikipediisto en-2
Bee álnééhí:User eo	Ŝablono:Vikipediisto eo
Bee álnééhí:User zh	Ŝablono:Vikipediisto zh
Bee álnééhí:User ru-4	Ŝablono:Vikipediisto ru-4
Bee álnééhí:User sr	Ŝablono:Vikipediisto sr
Bee álnééhí:GeoTemplate	Ŝablono:GeoTemplate
Bee álnééhí:User nl-1	Ŝablono:Vikipediisto nl-1
Bee álnééhí:User nl-2	Ŝablono:Vikipediisto nl-2
Tʼááłáhági átʼéego:Dził	Kategorio:Montoj
Bee álnééhí:User ru	Ŝablono:Vikipediisto ru
Tʼááłáhági átʼéego:Kéyah yádiłhił biiʼ dahólónígíí	Kategorio:Sunsistemaj planedoj
Tʼááłáhági átʼéego:Kéyah dah siʼánígíí	Kategorio:Ameriko
Tʼááłáhági átʼéego:Choyoołʼįįhí bizaad-Templates	Kategorio:Babelaj ŝablonoj
Bee álnééhí:Archive	Ŝablono:Arkivo
Bee álnééhí:User eo-4	Ŝablono:Vikipediisto eo-4
Bee álnééhí:PD-US-gov	Ŝablono:PD-Usono-registaro
Tʼááłáhági átʼéego:Siláołtsooí	Kategorio:Armitaj fortoj
Tʼááłáhági átʼéego:Naʼashǫ́ʼii	Kategorio:Lacertuloj
Bee álnééhí:User pt-1	Ŝablono:Vikipediisto pt-1
Bee álnééhí:Tb	Ŝablono:Respondo
Bee álnééhí:User oc-4	Ŝablono:Vikipediisto oc-4
Bee álnééhí:User pl	Ŝablono:Vikipediisto pl
Bee álnééhí:User nl	Ŝablono:Vikipediisto nl
Bee álnééhí:User no-2	Ŝablono:Vikipediisto no-2
Bee álnééhí:Image label end	Ŝablono:Marko sur bildo fino
Bee álnééhí:Userpage	Ŝablono:Uzula paĝo
Bee álnééhí:Emergency-bot-shutoff	Ŝablono:Butono por forbari robotojn
Bee álnééhí:User pl-1	Ŝablono:Vikipediisto pl-1
Bee álnééhí:Image label small	Ŝablono:Marko sur bildo malgranda
Bee álnééhí:User fr-3	Ŝablono:Vikipediisto fr-3
Tʼááłáhági átʼéego:Choyoołʼįįhí gsw-4	Kategorio:Vikipediisto gsw-4
Bee álnééhí:User lt	Ŝablono:Vikipediisto lt
Bee álnééhí:User nds-1	Ŝablono:Vikipediisto nds-1
Tʼááłáhági átʼéego:Hosh	Kategorio:Kaktoj
Díłdánii (Ałtsʼáʼáztiin)	Koturno
Bee álnééhí:User tr-4	Ŝablono:Vikipediisto tr-4
Bee álnééhí:User is-1	Ŝablono:Vikipediisto is-1
Bee álnééhí:User is-2	Ŝablono:Vikipediisto is-2
Bee álnééhí:User ce	Ŝablono:Vikipediisto ce
Bee álnééhí:User ar-2	Ŝablono:Vikipediisto ar-2
Bee álnééhí:User ar-3	Ŝablono:Vikipediisto ar-3
Bee álnééhí:User is	Ŝablono:Vikipediisto is
Bee álnééhí:User en-5	Ŝablono:Vikipediisto en-5
Tʼááłáhági átʼéego:Choyoołʼįįhí ja-N	Kategorio:Vikipediisto ja-D
Tʼááłáhági átʼéego:Tłʼoh	Kategorio:Poacoj
Bee álnééhí:Ałtsʼáʼáztiin	Ŝablono:Apartigilo
Bee álnééhí:User no-3	Ŝablono:Vikipediisto no-3
Bee álnééhí:User ksh	Ŝablono:Vikipediisto ksh
Bee álnééhí:User no	Ŝablono:Vikipediisto no
Bee álnééhí:Chʼiyáánbiiʼ	Ŝablono:Nutravaloro
Bee álnééhí:Naʼalkaah	Ŝablono:Scienco
Bee álnééhí:User sv-2	Ŝablono:Vikipediisto sv-2
Tʼááłáhági átʼéego:Choyoołʼįįhí gsw-1	Kategorio:Vikipediisto gsw-1
Bee álnééhí:User it-2	Ŝablono:Vikipediisto it-2
Tʼááłáhági átʼéego:Ásáí Bikéyah	Kategorio:Membroj de la Ligo de Arabaj Ŝtatoj
Tʼááłáhági átʼéego:Kǫʼ naʼałbąąsii	Kategorio:Fervojo
Tʼááłáhági átʼéego:Choyoołʼįįhí gsw-2	Kategorio:Vikipediisto gsw-2
Bee álnééhí:User pt-3	Ŝablono:Vikipediisto pt-3
Bee álnééhí:User pt-2	Ŝablono:Vikipediisto pt-2
Bee álnééhí:User lb-1	Ŝablono:Vikipediisto lb-1
Bee álnééhí:User ro-4	Ŝablono:Vikipediisto ro-4
Bee álnééhí:User fr-4	Ŝablono:Vikipediisto fr-4
Bee álnééhí:User bg	Ŝablono:Vikipediisto bg
Bee álnééhí:User la-1	Ŝablono:Vikipediisto la-1
Tʼááłáhági átʼéego:Templates/doc	Kategorio:Ŝablono:Dokumentado
Tʼááłáhági átʼéego:Choyoołʼįįhí yue	Kategorio:Vikipediisto zh-yue
Tʼááłáhági átʼéego:Choyoołʼįįhí az	Kategorio:Vikipediisto az
Tʼááłáhági átʼéego:Choyoołʼįįhí be	Kategorio:Vikipediisto be
Tʼááłáhági átʼéego:Choyoołʼįįhí ce	Kategorio:Vikipediisto ce
Tʼááłáhági átʼéego:Choyoołʼįįhí hr	Kategorio:Vikipediisto hr
Tʼááłáhági átʼéego:Choyoołʼįįhí sk	Kategorio:Vikipediisto sk
Tʼááłáhági átʼéego:Choyoołʼįįhí sl	Kategorio:Vikipediisto sl
Tʼááłáhági átʼéego:Choyoołʼįįhí eo	Kategorio:Vikipediisto eo
Tʼááłáhági átʼéego:Choyoołʼįįhí et	Kategorio:Vikipediisto et
Tʼááłáhági átʼéego:Choyoołʼįįhí fr	Kategorio:Vikipediisto fr
Tʼááłáhági átʼéego:Choyoołʼįįhí gl	Kategorio:Vikipediisto gl
Tʼááłáhági átʼéego:Choyoołʼįįhí cy	Kategorio:Vikipediisto cy
Tʼááłáhági átʼéego:Choyoołʼįįhí gn	Kategorio:Vikipediisto gn
Tʼááłáhági átʼéego:Choyoołʼįįhí hu-N	Kategorio:Vikipediisto hu-D
Tʼááłáhági átʼéego:Choyoołʼįįhí id	Kategorio:Vikipediisto id
Tʼááłáhági átʼéego:Choyoołʼįįhí ia	Kategorio:Vikipediisto ia
Tʼááłáhági átʼéego:Choyoołʼįįhí ga	Kategorio:Vikipediisto ga
Tʼááłáhági átʼéego:Choyoołʼįįhí ja	Kategorio:Vikipediisto ja
Tʼááłáhági átʼéego:Choyoołʼįįhí la	Kategorio:Vikipediisto la
Tʼááłáhági átʼéego:Choyoołʼįįhí li	Kategorio:Vikipediisto li
Tʼááłáhági átʼéego:Choyoołʼįįhí lt	Kategorio:Vikipediisto lt
Tʼááłáhági átʼéego:Choyoołʼįįhí mk	Kategorio:Vikipediisto mk
Tʼááłáhági átʼéego:Choyoołʼįįhí mg	Kategorio:Vikipediisto mg
Tʼááłáhági átʼéego:Choyoołʼįįhí mn	Kategorio:Vikipediisto mn
Tʼááłáhági átʼéego:Choyoołʼįįhí nn	Kategorio:Vikipediisto nn
Tʼááłáhági átʼéego:Choyoołʼįįhí oc	Kategorio:Vikipediisto oc
Tʼááłáhági átʼéego:Choyoołʼįįhí pt	Kategorio:Vikipediisto pt
Tʼááłáhági átʼéego:Choyoołʼįįhí ro	Kategorio:Vikipediisto ro
Tʼááłáhági átʼéego:Choyoołʼįįhí sc	Kategorio:Vikipediisto sc
Tʼááłáhági átʼéego:Choyoołʼįįhí sh	Kategorio:Vikipediisto sh
Tʼááłáhági átʼéego:Choyoołʼįįhí sv	Kategorio:Vikipediisto sv
Tʼááłáhági átʼéego:Choyoołʼįįhí sw	Kategorio:Vikipediisto sw
Tʼááłáhági átʼéego:Choyoołʼįįhí th	Kategorio:Vikipediisto th
Tʼááłáhági átʼéego:Choyoołʼįįhí vo	Kategorio:Vikipediisto vo
Tʼááłáhági átʼéego:Choyoołʼįįhí be-3	Kategorio:Vikipediisto be-3
Tʼááłáhági átʼéego:Choyoołʼįįhí cs-3	Kategorio:Vikipediisto cs-3
Tʼááłáhági átʼéego:Choyoołʼįįhí sl-3	Kategorio:Vikipediisto sl-3
Tʼááłáhági átʼéego:Choyoołʼįįhí et-3	Kategorio:Vikipediisto et-3
Tʼááłáhági átʼéego:Choyoołʼįįhí fr-3	Kategorio:Vikipediisto fr-3
Tʼááłáhági átʼéego:Choyoołʼįįhí ia-3	Kategorio:Vikipediisto ia-3
Tʼááłáhági átʼéego:Choyoołʼįįhí it-3	Kategorio:Vikipediisto it-3
Tʼááłáhági átʼéego:Choyoołʼįįhí ja-3	Kategorio:Vikipediisto ja-3
Tʼááłáhági átʼéego:Choyoołʼįįhí lt-3	Kategorio:Vikipediisto lt-3
Tʼááłáhági átʼéego:Choyoołʼįįhí nl-3	Kategorio:Vikipediisto nl-3
Tʼááłáhági átʼéego:Choyoołʼįįhí no-3	Kategorio:Vikipediisto no-3
Tʼááłáhági átʼéego:Choyoołʼįįhí oc-3	Kategorio:Vikipediisto oc-3
Tʼááłáhági átʼéego:Choyoołʼįįhí pl-3	Kategorio:Vikipediisto pl-3
Tʼááłáhági átʼéego:Choyoołʼįįhí sw-3	Kategorio:Vikipediisto sw-3
Tʼááłáhági átʼéego:Choyoołʼįįhí tr-3	Kategorio:Vikipediisto tr-3
Tʼááłáhági átʼéego:Choyoołʼįįhí ar-3	Kategorio:Vikipediisto ar-3
Tʼááłáhági átʼéego:Choyoołʼįįhí an-1	Kategorio:Vikipediisto an-1
Tʼááłáhági átʼéego:Choyoołʼįįhí be-1	Kategorio:Vikipediisto be-1
Tʼááłáhági átʼéego:Choyoołʼįįhí cs-1	Kategorio:Vikipediisto cs-1
Tʼááłáhági átʼéego:Choyoołʼįįhí da-1	Kategorio:Vikipediisto da-1
Tʼááłáhági átʼéego:Choyoołʼįįhí sl-1	Kategorio:Vikipediisto sl-1
Tʼááłáhági átʼéego:Choyoołʼįįhí et-1	Kategorio:Vikipediisto et-1
Tʼááłáhági átʼéego:Choyoołʼįįhí fi-1	Kategorio:Vikipediisto fi-1
Tʼááłáhági átʼéego:Choyoołʼįįhí cy-1	Kategorio:Vikipediisto cy-1
Tʼááłáhági átʼéego:Choyoołʼįįhí ia-1	Kategorio:Vikipediisto ia-1
Tʼááłáhági átʼéego:Choyoołʼįįhí ga-1	Kategorio:Vikipediisto ga-1
Tʼááłáhági átʼéego:Choyoołʼįįhí lt-1	Kategorio:Vikipediisto lt-1
Tʼááłáhági átʼéego:Choyoołʼįįhí mk-1	Kategorio:Vikipediisto mk-1
Tʼááłáhági átʼéego:Choyoołʼįįhí nl-1	Kategorio:Vikipediisto nl-1
Tʼááłáhági átʼéego:Choyoołʼįįhí oc-1	Kategorio:Vikipediisto oc-1
Tʼááłáhági átʼéego:Choyoołʼįįhí pl-1	Kategorio:Vikipediisto pl-1
Tʼááłáhági átʼéego:Choyoołʼįįhí ro-1	Kategorio:Vikipediisto ro-1
Tʼááłáhági átʼéego:Choyoołʼįįhí sc-1	Kategorio:Vikipediisto sc-1
Tʼááłáhági átʼéego:Choyoołʼįįhí sh-1	Kategorio:Vikipediisto sh-1
Tʼááłáhági átʼéego:Choyoołʼįįhí sw-1	Kategorio:Vikipediisto sw-1
Tʼááłáhági átʼéego:Choyoołʼįįhí tr-1	Kategorio:Vikipediisto tr-1
Tʼááłáhági átʼéego:Choyoołʼįįhí vo-1	Kategorio:Vikipediisto vo-1
Tʼááłáhági átʼéego:Choyoołʼįįhí ar-1	Kategorio:Vikipediisto ar-1
Tʼááłáhági átʼéego:Choyoołʼįįhí ko-4	Kategorio:Vikipediisto ko-4
Tʼááłáhági átʼéego:Choyoołʼįįhí sl-4	Kategorio:Vikipediisto sl-4
Tʼááłáhági átʼéego:Choyoołʼįįhí et-4	Kategorio:Vikipediisto et-4
Tʼááłáhági átʼéego:Choyoołʼįįhí fr-4	Kategorio:Vikipediisto fr-4
Tʼááłáhági átʼéego:Choyoołʼįįhí hu-4	Kategorio:Vikipediisto hu-4
Tʼááłáhági átʼéego:Choyoołʼįįhí id-4	Kategorio:Vikipediisto id-4
Tʼááłáhági átʼéego:Choyoołʼįįhí ia-4	Kategorio:Vikipediisto ia-4
Tʼááłáhági átʼéego:Choyoołʼįįhí it-4	Kategorio:Vikipediisto it-4
Tʼááłáhági átʼéego:Choyoołʼįįhí lt-4	Kategorio:Vikipediisto lt-4
Tʼááłáhági átʼéego:Choyoołʼįįhí oc-4	Kategorio:Vikipediisto oc-4
Tʼááłáhági átʼéego:Choyoołʼįįhí pl-4	Kategorio:Vikipediisto pl-4
Tʼááłáhági átʼéego:Choyoołʼįįhí sh-4	Kategorio:Vikipediisto sh-4
Tʼááłáhági átʼéego:Choyoołʼįįhí ar-4	Kategorio:Vikipediisto ar-4
Tʼááłáhági átʼéego:Choyoołʼįįhí be-2	Kategorio:Vikipediisto be-2
Tʼááłáhági átʼéego:Choyoołʼįįhí ce-2	Kategorio:Vikipediisto ce-2
Tʼááłáhági átʼéego:Choyoołʼįįhí cs-2	Kategorio:Vikipediisto cs-2
Tʼááłáhági átʼéego:Choyoołʼįįhí da-2	Kategorio:Vikipediisto da-2
Tʼááłáhági átʼéego:Choyoołʼįįhí sk-2	Kategorio:Vikipediisto sk-2
Tʼááłáhági átʼéego:Choyoołʼįįhí sl-2	Kategorio:Vikipediisto sl-2
Tʼááłáhági átʼéego:Choyoołʼįįhí et-2	Kategorio:Vikipediisto et-2
Tʼááłáhági átʼéego:Choyoołʼįįhí fr-2	Kategorio:Vikipediisto fr-2
Tʼááłáhági átʼéego:Choyoołʼįįhí gn-2	Kategorio:Vikipediisto gn-2
Tʼááłáhági átʼéego:Choyoołʼįįhí hu-2	Kategorio:Vikipediisto hu-2
Tʼááłáhági átʼéego:Choyoołʼįįhí ia-2	Kategorio:Vikipediisto ia-2
Tʼááłáhági átʼéego:Choyoołʼįįhí it-2	Kategorio:Vikipediisto it-2
Tʼááłáhági átʼéego:Choyoołʼįįhí ja-2	Kategorio:Vikipediisto ja-2
Tʼááłáhági átʼéego:Choyoołʼįįhí la-2	Kategorio:Vikipediisto la-2
Tʼááłáhági átʼéego:Choyoołʼįįhí lt-2	Kategorio:Vikipediisto lt-2
Tʼááłáhági átʼéego:Choyoołʼįįhí mk-2	Kategorio:Vikipediisto mk-2
Tʼááłáhági átʼéego:Choyoołʼįįhí nl-2	Kategorio:Vikipediisto nl-2
Tʼááłáhági átʼéego:Choyoołʼįįhí oc-2	Kategorio:Vikipediisto oc-2
Tʼááłáhági átʼéego:Choyoołʼįįhí pl-2	Kategorio:Vikipediisto pl-2
Tʼááłáhági átʼéego:Choyoołʼįįhí sh-2	Kategorio:Vikipediisto sh-2
Tʼááłáhági átʼéego:Choyoołʼįįhí sv-2	Kategorio:Vikipediisto sv-2
Tʼááłáhági átʼéego:Choyoołʼįįhí sw-2	Kategorio:Vikipediisto sw-2
Tʼááłáhági átʼéego:Choyoołʼįįhí tr-2	Kategorio:Vikipediisto tr-2
Tʼááłáhági átʼéego:Choyoołʼįįhí vo-2	Kategorio:Vikipediisto vo-2
Tʼááłáhági átʼéego:Choyoołʼįįhí ar-2	Kategorio:Vikipediisto ar-2
Tʼááłáhági átʼéego:Choyoołʼįįhí ast-N	Kategorio:Vikipediisto ast-D
Tʼááłáhági átʼéego:Choyoołʼįįhí cs-N	Kategorio:Vikipediisto cs-D
Tʼááłáhági átʼéego:Choyoołʼįįhí ko-N	Kategorio:Vikipediisto ko-D
Tʼááłáhági átʼéego:Choyoołʼįįhí sl-N	Kategorio:Vikipediisto sl-D
Tʼááłáhági átʼéego:Choyoołʼįįhí et-N	Kategorio:Vikipediisto et-D
Tʼááłáhági átʼéego:Choyoołʼįįhí fr-N	Kategorio:Vikipediisto fr-D
Tʼááłáhági átʼéego:Choyoołʼįįhí id-N	Kategorio:Vikipediisto id-D
Tʼááłáhági átʼéego:Choyoołʼįįhí ia-N	Kategorio:Vikipediisto ia-D
Tʼááłáhági átʼéego:Choyoołʼįįhí it-N	Kategorio:Vikipediisto it-D
Tʼááłáhági átʼéego:Choyoołʼįįhí lv-N	Kategorio:Vikipediisto lv-D
Tʼááłáhági átʼéego:Choyoołʼįįhí lt-N	Kategorio:Vikipediisto lt-D
Tʼááłáhági átʼéego:Choyoołʼįįhí mg-N	Kategorio:Vikipediisto mg-D
Tʼááłáhági átʼéego:Choyoołʼįįhí nl-N	Kategorio:Vikipediisto nl-D
Tʼááłáhági átʼéego:Choyoołʼįįhí no-N	Kategorio:Vikipediisto no-D
Tʼááłáhági átʼéego:Choyoołʼįįhí nn-N	Kategorio:Vikipediisto nn-D
Tʼááłáhági átʼéego:Choyoołʼįįhí ru-N	Kategorio:Vikipediisto ru-D
Tʼááłáhági átʼéego:Choyoołʼįįhí sh-N	Kategorio:Vikipediisto sh-D
Tʼááłáhági átʼéego:Choyoołʼįįhí ar-N	Kategorio:Vikipediisto ar-D
Tʼááłáhági átʼéego:Choyoołʼįįhí eu-N	Kategorio:Vikipediisto eu-D
Tʼááłáhági átʼéego:Choyoołʼįįhí af	Kategorio:Vikipediisto af
Tʼááłáhági átʼéego:Choyoołʼįįhí af-1	Kategorio:Vikipediisto af-1
Tʼááłáhági átʼéego:Choyoołʼįįhí af-N	Kategorio:Vikipediisto af-D
Tʼááłáhági átʼéego:Choyoołʼįįhí an	Kategorio:Vikipediisto an
Tʼááłáhági átʼéego:Choyoołʼįįhí ar	Kategorio:Vikipediisto ar
Tʼááłáhági átʼéego:Choyoołʼįįhí ast	Kategorio:Vikipediisto ast
Tʼááłáhági átʼéego:Choyoołʼįįhí ba	Kategorio:Vikipediisto ba
Tʼááłáhági átʼéego:Choyoołʼįįhí bar	Kategorio:Vikipediisto bar
Tʼááłáhági átʼéego:Choyoołʼįįhí bar-N	Kategorio:Vikipediisto bar-D
Tʼááłáhági átʼéego:Choyoołʼįįhí bg	Kategorio:Vikipediisto bg
Tʼááłáhági átʼéego:Choyoołʼįįhí bg-1	Kategorio:Vikipediisto bg-1
Tʼááłáhági átʼéego:Choyoołʼįįhí bg-2	Kategorio:Vikipediisto bg-2
Tʼááłáhági átʼéego:Choyoołʼįįhí bg-3	Kategorio:Vikipediisto bg-3
Tʼááłáhági átʼéego:Choyoołʼįįhí bg-4	Kategorio:Vikipediisto bg-4
Tʼááłáhági átʼéego:Choyoołʼįįhí bg-N	Kategorio:Vikipediisto bg-D
Tʼááłáhági átʼéego:Choyoołʼįįhí ca	Kategorio:Vikipediisto ca
Tʼááłáhági átʼéego:Choyoołʼįįhí ca-1	Kategorio:Vikipediisto ca-1
Tʼááłáhági átʼéego:Choyoołʼįįhí ca-2	Kategorio:Vikipediisto ca-2
Tʼááłáhági átʼéego:Tádídíín deiyání	Kategorio:Foliskaraboj
Tʼááłáhági átʼéego:Choyoołʼįįhí ca-3	Kategorio:Vikipediisto ca-3
Tʼááłáhági átʼéego:Choyoołʼįįhí ca-4	Kategorio:Vikipediisto ca-4
Tʼááłáhági átʼéego:Choyoołʼįįhí ca-N	Kategorio:Vikipediisto ca-D
Tʼááłáhági átʼéego:Choyoołʼįįhí ce-N	Kategorio:Vikipediisto ce-D
Tʼááłáhági átʼéego:Choyoołʼįįhí cs	Kategorio:Vikipediisto cs
Tʼááłáhági átʼéego:Choyoołʼįįhí csb	Kategorio:Vikipediisto csb
Tʼááłáhági átʼéego:Choyoołʼįįhí csb-1	Kategorio:Vikipediisto csb-1
Tʼááłáhági átʼéego:Choyoołʼįįhí da	Kategorio:Vikipediisto da
Tʼááłáhági átʼéego:Choyoołʼįįhí sk-N	Kategorio:Vikipediisto sk-D
Tʼááłáhági átʼéego:Choyoołʼįįhí da-3	Kategorio:Vikipediisto da-3
Tʼááłáhági átʼéego:Choyoołʼįįhí da-4	Kategorio:Vikipediisto da-4
Tʼááłáhági átʼéego:Choyoołʼįįhí de	Kategorio:Vikipediisto de
Tʼááłáhági átʼéego:Choyoołʼįįhí de-2	Kategorio:Vikipediisto de-2
Tʼááłáhági átʼéego:Choyoołʼįįhí de-3	Kategorio:Vikipediisto de-3
Tʼááłáhági átʼéego:Choyoołʼįįhí de-4	Kategorio:Vikipediisto de-4
Tʼááłáhági átʼéego:Choyoołʼįįhí de-N	Kategorio:Vikipediisto de-D
Tʼááłáhági átʼéego:Choyoołʼįįhí dsb	Kategorio:Vikipediisto dsb
Tʼááłáhági átʼéego:Choyoołʼįįhí dsb-1	Kategorio:Vikipediisto dsb-1
Tʼááłáhági átʼéego:Choyoołʼįįhí dsb-2	Kategorio:Vikipediisto dsb-2
Tʼááłáhági átʼéego:Choyoołʼįįhí dsb-N	Kategorio:Vikipediisto dsb-D
Tʼááłáhági átʼéego:Choyoołʼįįhí el	Kategorio:Vikipediisto el
Tʼááłáhági átʼéego:Choyoołʼįįhí el-1	Kategorio:Vikipediisto el-1
Tʼááłáhági átʼéego:Choyoołʼįįhí el-2	Kategorio:Vikipediisto el-2
Tʼááłáhági átʼéego:Choyoołʼįįhí el-3	Kategorio:Vikipediisto el-3
Tʼááłáhági átʼéego:Choyoołʼįįhí el-N	Kategorio:Vikipediisto el-D
Tʼááłáhági átʼéego:Choyoołʼįįhí en-0	Kategorio:Vikipediisto en-0
Tʼááłáhági átʼéego:Choyoołʼįįhí en-3	Kategorio:Vikipediisto en-3
Tʼááłáhági átʼéego:Choyoołʼįįhí en-5	Kategorio:Vikipediisto en-5
Tʼááłáhági átʼéego:Choyoołʼįįhí en-N	Kategorio:Vikipediisto en-D
Tʼááłáhági átʼéego:Choyoołʼįįhí eo-1	Kategorio:Vikipediisto eo-1
Tʼááłáhági átʼéego:Choyoołʼįįhí eo-2	Kategorio:Vikipediisto eo-2
Tʼááłáhági átʼéego:Choyoołʼįįhí eo-3	Kategorio:Vikipediisto eo-3
Tʼááłáhági átʼéego:Choyoołʼįįhí eo-4	Kategorio:Vikipediisto eo-4
Tʼááłáhági átʼéego:Choyoołʼįįhí eo-N	Kategorio:Vikipediisto eo-D
