Afraga	Afriko
José María Aznar López	José María Aznar
Peter Ustinov	Peter Ustinov
Katharine Hepburn	Katharine Hepburn
Grottammare	Grottammare
Lise Meitner	Lise Meitner
Sàmais	Samea lingvo
Otto Hahn	Otto Hahn
Nelly Sachs	Nelly Sachs
Fritz Haber	Fritz Haber
Johann Friedrich Wilhelm Adolf von Baeyer	Adolf von Baeyer
Pàpa Hadrianus VI	Hadriano la 6-a
Paul Ehrlich	Paul Ehrlich
Walther Hermann Nernst	Walther Nernst
Anna Cleves	Anna de Kleve
Otto Wallach	Otto Wallach
Georgi Parvanov	Georgi Parvanov
Traian Băsescu	Traian Basescu
Jacob Zuma	Jacob Zuma
Ólafur Ragnar Grímsson	Ólafur Ragnar Grímsson
Toomas Hendrik Ilves	Toomas Hendrik Ilves
Ivan Gašparovič	Ivan Gašparovič
Juan Manuel Santos Calderón	Juan Manuel Santos
Václav Klaus	Václav Klaus
Hans-Adam II	Hans Adam la 2-a
Mark Rutte	Mark Rutte
Èideard I Shasainn	Eduardo la 1-a (Anglio)
Éanna Ó Coinnigh	Enda Kenny
Duran Duran	Duran Duran
Punjabi (cànan)	Panĝaba lingvo
Torc fiadhach	Apro
Cogadh a' Chaidreachais Thrìpilte	Milito de la Trilanda Alianco
Dà-theangachas	Diglosio
Artur Balder	Artur Balder
Robert Redford	Robert Redford
Northland Region	Nordia Regiono
Breatainn Nuadh	Nova Britio
Wicca	Viko
Albertus Magnus	Alberto la Granda
Gerhard Ertl	Gerhard Ertl
1150an	1150-aj jaroj
1030an	1030-aj jaroj
1050an	1050-aj jaroj
Peacadh	Peko
Meppel	Meppel
Earball	Vosto
Montgomery County, Arkansas	Kantono Montgomery (Arkansaso)
Mion-chànanan	Minoritata lingvo
Starnberg	Starnberg
Barranquilla	Barankilo
Delémont	Delemonto
Glarus	Glaruso (komunumo)
Vernier	Vernier
Stans	Stans
Sarnen	Sarno (Obvaldo)
Herisau	Herisau
Uster	Uster
Bellinzona	Belinzono
Köniz	Köniz
Aarberg	Aarberg
Teòirim	Teoremo
Bloigh (matamataig)	Frakcio (matematiko)
Niccolò Paganini	Niccolò Paganini
Abhlan coisrigte	Komunio
Tavau	Davos
Frauenfeld	Frauenfeld
La Chaux-de-Fonds	La Chaux-de-Fonds
Sion	Siono
Zug	Zugo (komunumo)
Altdorf	Altdorf (Urio)
Schwyz	Ŝvico (komunumo)
Vevey	Vevey
Hawaii (eilean)	Hawaii (insulo)
Einsiedeln	Einsiedeln
Solothurn	Soloturno
Liestal	Liestal
Thun	Thun
Ciura	Koiro
Genolier	Genolier
Neuchâtel	Neŭŝatelo
Tolochenaz	Tolochenaz
Mammern	Mammern
Muralto	Muralto
Hermann Emil Fischer	Hermann Emil Fischer
Robert Bunsen	Robert Bunsen
Salamanca (provincia)	Provinco Salamanko
Valladolid (provincia)	Provinco Valadolido
Clark Gable	Clark Gable
Dromadair	Dromedaro
Hollywood Walk of Fame	Trotuaro de famo en Holivudo
An Oriant	Lorient
1370an	1370-aj jaroj
Toni Morrison	Toni Morrison
Blonag	Ŝmalco
Cingoli	Cingoli
The Hobbit	La Hobito
Hobbit	Hobito
Àrd-thìr	Altebenaĵo
Miguel Ángel Asturias	Miguel Ángel Asturias
Isaac Bashevis Singer	Isaac Bashevis Singer
Dietrich Bonhoeffer	Dietrich Bonhoeffer
Rainer Maria Rilke	Rainer Maria Rilke
Paul Johann Ludwig von Heyse	Paul Heyse
Hans Fallada	Hans Fallada
Kurt Alder	Kurt Alder
Richard August Carl Emil Erlenmeyer	Emil Erlenmeyer
Georg Ludwig Carius	Georg Ludwig Carius
Hans Fischer	Hans Fischer
Carl Bosch	Carl Bosch
Friedrich Bergius	Friedrich Bergius
Adolph Wilhelm Hermann Kolbe	Hermann Kolbe
Viktor Meyer	Viktor Meyer
Robert Huber	Robert Huber
Robert Havemann	Robert Havemann
Theodor Fontane	Theodor Fontane
Lèine	Ĉemizo
Friedrich August Kekulé von Stradonitz	August Kekulé
George de Hevesy	George de Hevesy
Arthur Koestler	Arthur Koestler
Walter Scott	Walter Scott
Waldron, Arkansas	Waldron (Arkansaso)
Fairbanks, Alasca	Fairbanks (Alasko)
1230an	1230-aj jaroj
Nogales, Arizona	Nogales (Arizono)
930an	930-aj jaroj
Gearra-mhuc	Kobajo
Sitka, Alasca	Sitka
Mulhouse	Mulhouse
Canaib	Kanabo
1390an	1390-aj jaroj
Bogsa-ciùil	Akordiono
Huntsville, Alabama	Huntsville (Alabamo)
Birmingham, Alabama	Birmingham (Alabamo)
Braille	Brajlo
1130an	1130-aj jaroj
Poilean	Poleno
Selma, Alabama	Selma (Alabamo)
Seumas VI na h-Alba is Seumas I Shasainn	Jakobo la 1-a (Anglio)
1360an	1360-aj jaroj
1270an	1270-aj jaroj
Christchurch, Sealainn Nuadh	Kristkirko
Petersburg, Alasca	Peterburgo (Alasko)
Rut	Libro de Rut
Seic	Ĉeko
Duais Nobel ann an Leigheas	Nobel-premio pri fiziologio aŭ medicino
Elias Canetti	Elias Canetti
Babsk	Babsk
Kenzaburo Oe	Oe Kenzaburo
Daniel	Libro de Danielo
Emily Brontë	Emily Brontë
Ad	Ĉapelo
Siompansaidhe	Ĉimpanza genro
Botal	Botelo
Ailt	Aldviolono
Halldór Laxness	Halldór Kiljan Laxness
Mongùs	Mungotedoj
Gavrilo Princip	Gavrilo Princip
Gondwana	Gondvano
Charlton Heston	Charlton Heston
960an	960-aj jaroj
990an	990-aj jaroj
890an	890-aj jaroj
1190an	1190-aj jaroj
1180an	1180-aj jaroj
Uaireadair-grèine	Sunhorloĝo
Gabriela Mistral	Gabriela Mistral
Sigrid Undset	Sigrid Undset
Pearl S. Buck	Pearl S. Buck
Robert Lefkowitz	Robert Lefkowitz
John Travolta	John Travolta
Svante Arrhenius	August Svante Arrhenius
Na h-Eileanan Siar	Foraj Hebridoj
Biadh-maidne	Matenmanĝo
Prionnsa Philip, Diùc Dhùn Èideann	Princo Filipo, Duko de Edinburgo
Inbheach	Plenkreskeco
Ite	Plumo
Na h-Eileanan a-staigh	Proksimaj Hebridoj
Innleadair	Inĝeniero
950an	950-aj jaroj
Seòlaid an Iar-thuath	Nordokcidenta pasejo
Eilean Bhaffin	Bafina Insulo
1020an	1020-aj jaroj
1060an	1060-aj jaroj
Moirfin	Morfino
Britheamhan	Juĝistoj (libro)
1210an	1210-aj jaroj
1350an	1350-aj jaroj
Acair (talamh)	Akreo (mezurunuo)
Harrison Ford	Harrison Ford
1310an	1310-aj jaroj
1260an	1260-aj jaroj
1220an	1220-aj jaroj
1010an	1010-aj jaroj
Bloinigean-gàrraidh	Legoma spinaco
Teàrlach I	Karlo la 1-a (Anglio)
Alpaca	Alpako
970an	970-aj jaroj
François Mauriac	François Mauriac
1420an	1420-aj jaroj
Almería (provincia)	Provinco Almerio
Badajoz (provincia)	Provinco Badaĥozo
Burras	Raŭpo
Barcelona (provincia)	Provinco Barcelono
Raibeart Burns	Robert Burns
Córdoba (provincia)	Provinco Kordovo
Cáceres (provincia)	Provinco Kacereso
Cádiz (provincia)	Provinco Kadizo
Cruit-chòrda	Klaviceno
Benjamin Disraeli	Benjamin Disraeli
Adharc	Korno (anatomio)
Steven Seagal	Steven Seagal
A Coruña (provincia)	Provinco Korunjo
Granada (provincia)	Granado (provinco)
Mata Hari	Mata Hari
John Galsworthy	John Galsworthy
920an	920-aj jaroj
1170an	1170-aj jaroj
980an	980-aj jaroj
1080an	1080-aj jaroj
1000an	1000-aj jaroj
1300an	1300-aj jaroj
1330an	1330-aj jaroj
Uilleam Uallas	William Wallace
Clach ghrùideach	Sedimenta rokaĵo
The Sex Pistols	Sex Pistols
1090an	1090-aj jaroj
Leslie Nielsen	Leslie Nielsen
Ainm	Nomo
Druim an t-saoghail	Zenito
1380an	1380-aj jaroj
Sigmaringen	Sigmaringen
An Carghas	Karesmo
1240an	1240-aj jaroj
1290an	1290-aj jaroj
Aidmheint	Advento
1450an	1450-aj jaroj
Pàpa Griogair XIII	Gregorio la 13-a
Bad Urach	Bad Urach
Clisgear	Interjekcio
Salvatore Quasimodo	Salvatore Quasimodo
1110an	1110-aj jaroj
1160an	1160-aj jaroj
940an	940-aj jaroj
1250an	1250-aj jaroj
Saul Bellow	Saul Bellow
Ailbhinn	Siliko
Jacques-Louis David	Jacques-Louis David
Charlotte's Web 2: Wilbur's Great Adventure	Charlotte's Web 2: Wilbur's Great Adventure
Eugenio Montale	Eugenio Montale
Almere	Almere
Jacinto Benavente	Jacinto Benavente
Eideard VI	Eduardo la 6-a (Anglio)
Selena Gomez	Selena Gomez
870an	870-aj jaroj
1340an	1340-aj jaroj
880an	880-aj jaroj
860an	860-aj jaroj
1320an	1320-aj jaroj
1070an	1070-aj jaroj
1200an	1200-aj jaroj
1280an	1280-aj jaroj
Òrdag	Dikfingro
1140an	1140-aj jaroj
Factoraidh	Fabriko
Cary Grant	Cary Grant
Paracelsus	Paracelsus
Tuath-Cheòl	Kontreo
1440an	1440-aj jaroj
Fliùiteag	Fluteto
Buabhall	Bubalo
Gearastan	Garnizono
Teamplaid:Cite book	Ŝablono:Citaĵo el libro
Pär Fabian Lagerkvist	Pär Lagerkvist
Eugene O'Neill	Eugene O'Neill
Baisteach	Baptismo
Còigeamh Uladh	Ulster
Lesser Antilles	Malgrandaj Antiloj
Tairbeart (feart tìre)	Istmo
Inneal-siubhail	Lokomotivo
Chrzanów	Chrzanów
Seamus Heaney	Seamus Heaney
Ò Canada	O Canada
Jack Lemmon	Jack Lemmon
Gipuzkoa	Provinco Gipusko
Lugo (provincia)	Provinco Lugo
Málaga (provincia)	Malago (provinco)
Ourense (provincia)	Provinco Oŭrenso
Pontevedra (provincia)	Provinco Pontevedro
Sevilla (provincia)	Provinco Sevilo
Dùthaich nam Basgach a Tuath	Nord-Eŭskio
Ourense	Oŭrenso
Santa Cruz de Tenerife (provincia)	Provinco Sankta Kruco de Tenerifo
Arcaibh	Orkadoj
Casnewydd	Newport (Monmouthshire)
Pàpa Innocentius X	Inocento la 10-a
Pàpa Innocentius XI	Inocento la 11-a
Pàpa Alasdair VIII	Aleksandro la 8-a
Lillehammer	Lillehammer
Lobamba	Lobambo
Rastafarachd	Rastafaria movado
Thabo Mbeki	Thabo Mbeki
Sotto il Monte Giovanni XXIII	Sotto il Monte Giovanni XXIII
Cromleac	Dolmeno
Altair	Altaro
Ainu	Ajnuoj
Iar-leasachan	Sufikso
Narva	Narva
Peter Agre	Peter Agre
Pärnu	Pärnu
Paul Samuelson	Paul Samuelson
James Stewart	James Stewart
Apa	Homoideoj
Jaroslav Seifert	Jaroslav Seifert
Parraist	Paroĥo
Dà-fhoghar	Diftongo
Ernest Borgnine	Ernest Borgnine
Giorrachadh	Mallongigo
Henri Moissan	Henri Moissan
Jacobus Henricus van't Hoff	Jacobus Henricus van 't Hoff
Na Cruithnich	Piktoj
An Òlaind	Holando
Kurt Russell	Kurt Russell
Feamainn dearg	Ruĝalgoj
Alt (gràmar)	Artikolo (gramatiko)
Donald Sutherland	Donald Sutherland
Peter Debye	Peter Debye
Peadar Ó Tuathail	Peter O’Toole
Alec Guinness	Alec Guinness
Judea	Judeo
Concesio	Concesio
Singilte	Gramatika nombro
Deborah Kerr	Deborah Kerr
Robert Walpole	Robert Walpole
Chorzów	Chorzów
Paul Sabatier	Paul Sabatier
Victor Grignard	Victor Grignard
Beinn Nibheis	Ben Nevis
Los Angeles County, Calafòrnia	Kantono Los-Anĝeleso
El Callao	Kajao
Dearc-luachrach (dà-bheathach)	Tritono
Biorabhaig	Peruko
Ei-ichi Negishi	Ei-ichi Negishi
Brachadh (craiceann)	Puso
Rangachadh Élő	Elo-nombro
Maurice Allais	Maurice Allais
La Gomera	La Gomera
Crìosdaidh	Kristano
Blàthach	Buterlakto
Ahmed H. Zewail	Ahmed H. Zewail
Mestizos	Mestizo
Richard Smalley	Richard E. Smalley
Ísafjörður	Ísafjörður
Arlington County, Virginia	Arlington
Alameda County, Calafòrnia	Kantono Alameda
An t-Eilean Sgitheanach	Skye
Contae Liatroma	Graflando Leitrim
Eisir	Ostro
Contra Costa County, Calafòrnia	Kantono Contra Costa
Sonoma County, Calafòrnia	Kantono Sonoma
Solano County, Calafòrnia	Kantono Solano
San Mateo County, Calafòrnia	Kantono San Mateo
Santa Barbara County, Calafòrnia	Kantono Santa Barbara (Kalifornio)
Riverside County, Calafòrnia	Kantono Riverside
Marin County, Calafòrnia	Kantono Marin
San Diego County, Calafòrnia	Kantono San-Diego
Caibeal	Kapelo
Culberson County, Texas	Kantono Culberson (Teksaso)
Spèil	Sketilo
King County, Washington	Kantono King (Vaŝingtonio)
Diùcachd Mhecklenburg-Güstrow	Meklenburgo
Hudspeth County, Texas	Kantono Hudspeth (Teksaso)
Snohomish County, Washington	Kantono Snohomish (Vaŝingtonio)
Travis County, Texas	Kantono Travis (Teksaso)
Santa Clara County, Calafòrnia	Kantono Santa Clara
Rusk County, Texas	Kantono Rusk (Teksaso)
Dail Riata	Dalriada
Kittitas County, Washington	Kantono Kittitas
Mason County, Washington	Kantono Mason (Vaŝingtonio)
Santarcangelo di Romagna	Santarcangelo di Romagna
Warren County, Iowa	Kantono Warren (Iovao)
Bergen County, Jersey Nuadh	Kantono Bergen (Nov-Ĵerzejo)
Jasper County, Carolina a Deas	Kantono Jasper (Suda Karolino)
Kossuth County, Iowa	Kantono Kossuth (Iovao)
Thurston County, Washington	Kantono Thurston (Vaŝingtonio)
Wayne County, Illinois	Kantono Wayne (Ilinojo)
Skagit County, Washington	Kantono Skagit (Vaŝingtonio)
Sìol-lann	Grenejo
Macon County, Illinois	Kantono Makona (Ilinojo)
Madison County, Iowa	Kantono Madison (Iovao)
4mh mìle-bliadhna RC	4-a jarmilo a.K.
Sgarbh an sgùmain	Tufkormorano
5mh mìle-bliadhna RC	5-a jarmilo a.K.
Clàs (gràmar)	Propozicio
Błędów	Błędów Dezerto
Galar ana-chaidreamhach na pearsantachd	Kontraŭsocia karaktero
Franklin County, Washington	Kantono Franklin (Vaŝingtonio)
Tucker County, Virginia an Iar	Kantono Tucker (Okcidenta Virginio)
Eilean a Tuath, Sealainn Nuadh	Norda Insulo (Nov-Zelando)
Na h-Eileanan Aleutianach	Aleutaj Insuloj
Tama County, Iowa	Kantono Tama (Iovao)
Anna, Bànrigh Shasainn, Alba is Èireann	Anna (Britio)
Eilean a Deas, Sealainn Nuadh	Suda Insulo (Nov-Zelando)
Władysław Reymont	Władysław Stanisław Reymont
Boyacá (Roinn)	Bojakao
Tosgair	Ambasadoro
Teàrlach II	Karlo la 2-a (Anglio)
Dziecinów	Dziecinów (poviato Otwock)
Alfred Werner	Alfred Werner
Fang (eun)	Vulturo
Òr-iasg	Orfiŝo (fiŝo)
Antioquia (Roinn)	Antjokio
Na h-Innse Gall	Hebridaj Insuloj
Sinclair Lewis	Sinclair Lewis
Al-Andalus	Al-Andalus
Dùn Dèagh	Dundee
La Genga	Genga
Gunna	Fusilo
Bauhaus	Bauhaus
Pàpa Pius VII	Pio la 7-a
Blas	Gusto
Mindanao	Mindanao
Senigallia	Senigallia
Gàirnealachd	Ĝardenado
Luzon	Luzono
Parmenides	Parmenido
Rìgh Seumas VII Alba is II Shasainn	Jakobo la 2-a (Anglio)
Ceannsaichean	Konkistadoro
Comhairle Dhùn Phris is Gall-Ghaidhealaibh	Dumfries kaj Galloway
An Àirc	Arkeo de Noa
Pàpa Beinidict XIV	Benedikto la 14-a
Bùth	Podetala komerco
Chippewa County, Wisconsin	Kantono Chippewa (Viskonsino)
Boma	Bombo
Jackson County, Missouri	Kantono Jackson (Misurio)
Pàpa Alasdair VII	Aleksandro la 7-a
Seòras III	Georgo la 3-a (Britio)
Frank Zappa	Frank Zappa
Charlotte Brontë	Charlotte Brontë
José Echegaray y Eizaguirre	José Echegaray
Lord of the Rings ( film )	La Mastro de l' Ringoj: La Kunularo de l' Ringo (filmo)
Maimonides	Maimonido
Taunton, Massachusetts	Taunton (Masaĉuseco)
Aghann	Pato
Beverley Hills	Beverly Hills
Greater Antilles	Grandaj Antiloj
Pàpa Pius VI	Pio la 6-a
Syracuse, Eabhraig Nuadh	Sirakuso
Essex County, Jersey Nuadh	Kantono Essex (Nov-Ĵerzejo)
Yonkers, Eabhraig Nuadh	Yonkers
Mick Jagger	Mick Jagger
Cunnart nan arm-tilgidh ann an Cùba	Kariba krizo
Trianaid (eilean)	Trinidado
Paul Martin	Paul Martin
Jean Chrétien	Jean Chrétien
Iain MacDhòmhnaill	John A. Macdonald
John Nash	John Nash
William Pitt Beag	William Pitt
Arailt MacUilleim	Harold Wilson
Arailt MacMhaolain	Harold Macmillan
Anthony Eden	Anthony Eden
Clement Attlee	Clement Attlee
Àirne	Prunelo
Capall-coille	Urogalo
Paul Verhoeven	Paul Verhoeven
Roger Martin du Gard	Roger Martin du Gard
Carl Gustaf Verner von Heidenstam	Verner von Heidenstam
Patrick White	Patrick White
Fau	Digamo
Qoppa	Kuoppo
Gaillimh	Galivo
Pàpa Clemens XI	Klemento la 11-a
Uilleam III Shasainn is II Alba	Vilhelmo la 3-a (Anglio)
Hieronymus Bosch	Hieronymus Bosch
Seòras IV	Georgo la 4-a (Britio)
Corra-bhàn	Granda egretardeo
Papeete	Papeeto
Deòrsa I Bhreatainn is Èireann	Georgo la 1-a (Britio)
Màiri II Shasainn is Alba	Maria la 2-a (Anglio)
Uilleam IV	Vilhelmo la 4-a (Britio)
1 Rìghrean	1-a libro de la Reĝoj
Eclesiastes	Kohelet
Draoidh	Druido
An tuiseal ainmneach	Nominativo
Paul Krugman	Paul Krugman
Ailm	Ulmo
Braunau am Inn	Braunau am Inn
Cion-faireachdain	Anestezo
Henry David Thoreau	Henry David Thoreau
Tiùba	Tubjo
South Tarawa	Bairikio
Oilthigh Bhologna	Universitato de Bolonjo
Cultar mòr-thaitneach	Popola kulturo
Uicipeid:Book sources	Vikipedio:Libroservoj
Juan Ramón Jiménez	Juan Ramón Jiménez
Eyvind Johnson	Eyvind Johnson
Fàsach Namib	Namibo
Cèileafaid	Kalifujo
Màiri I, Bànrigh na h-Alba	Maria Stuart
Sampi	Sampio
Còigeamh Mumhan	Munster (Irlando)
Isaiah	Libro de Jesaja
Karl Adolph Gjellerup	Karl Gjellerup
Easotaireachd	Esoterismo
Claude Simon	Claude Simon
Pàpa Urbain VIII	Urbano la 8-a
Pàpa Clemens XIV	Klemento la 14-a
Ieremiah	Libro de Jeremia
San	Sano (litero)
Esra	Libro de Ezra
Ioel	Libro de Joel
Bonn-cuimhne	Medalo
Arthur Wellesley, 1st Duke of Wellington	Duko de Wellington
Henry Cavendish	Henry Cavendish
Fuath-bìdh	Anoreksio
Humphry Davy	Humphry Davy
Deugaire	Adolesko
Mèirneal	Kolombfalko
Pàpa Pius V	Pio la 5-a
Deòrsa II, Rìgh Bhreatainn is Èireann	Georgo la 2-a (Britio)
Laurasia	Laŭrazio
Universidade Federal de Minas Gerais	Universidade Federal de Minas Gerais
Theravada	Teravado
Meatailt Dhubh	Nigra metalroko
Jorge Eliecer Gaitán	Jorge Eliécer Gaitán
Amartya Sen	Amartya Sen
Paidirean	Rozario
Sgitheach	Kratago
Aepyceros melampus	Impalo
Camilo José Cela	Camilo José Cela
Aifreann	Meso (diservo)
Dealbh-sgrìobhadh	Hieroglifoj
Saint-John Perse	Saint-John Perse
Pàpa Griogair XV	Gregorio la 15-a
Harry Martinson	Harry Martinson
Derek Walcott	Derek Walcott
Pàpa Innocentius XII	Inocento la 12-a
Pàpa Pòl V	Paŭlo la 5-a
Pàpa Leo XI	Leono la 11-a
Frans Eemil Sillanpää	Frans Eemil Sillanpää
Cur fo chràdh	Torturo
Àrd-mharaiche	Admiralo
Finding Nemo	Finding Nemo
Àrdaichear	Lifto
Taklamakan	Taklamakano
Shmuel Yosef Agnon	Samuel Josef Agnon
Bealach	Montpasejo
Dùn Eidinn	Dunedin
Pàpa Innocentius XIII	Inocento la 13-a
Cas	Kruro
Pàpa Clemens XII	Klemento la 12-a
Pàpa Clemens XIII	Klemento la 13-a
Sonar	Sonaro
Luimneach	Limerick
Pàpa Sixtus V	Siksto la 5-a
An Tuil (fionn-sgeul)	Tutmonda diluvo
Pop-ealain	Poparto
Bruis-fhiaclan	Dentobroso
Polo	Poloo
Poilisacaraid	Polisakarido
Roger Moore	Roger Moore
Pàpa Urbain VII	Urbano la 7-a
Meidheadair	Pesilo (mezurilo)
Erik Axel Karlfeldt	Erik Axel Karlfeldt
Vicente Aleixandre	Vicente Aleixandre
Šiauliai	Šiauliai
Ro-leasachan	Prefikso
David Lloyd George	David Lloyd George
Crolaidh	Glitŝtonludo
Seumas V Alba	Jakobo la 5-a (Skotlando)
Germinal (nobhail)	Germinal
Seumas IV Alba	Jakobo la 4-a (Skotlando)
Alexis de Tocqueville	Alexis de Tocqueville
Danakil	Danakila dezerto
Allentown, Pennsylvania	Allentown (Pensilvanio)
Fàsach Mhòr Bhictòria	Granda Viktoria-Dezerto
An tuiseal tabhartach	Dativo
Calltainn	Avelujo
Buidheag an t-samhraidh	Ranunkolo
An tuiseal ginideach	Genitivo
Krzeszowice	Krzeszowice
Cathair-thalmhainn	Akileo
Cuibhle-uisge	Akvorado
Iolra	Pluralo
Lingua Franca Nova	Nova Lingvafrankao
Craobh-bhròin	Cipreso
Fìorachas druidheil	Magia realismo
Saidheans “Cognitive”	Kognoscienco
Saint Helier	Saint Helier
Sgìre	Distrikto
Biolar	Akvokreso
Buinneag Bhruisealach	Burĝonbrasiko
Gene Hackman	Gene Hackman
Frédéric Joliot-Curie	Frédéric Joliot-Curie
Vidkun Quisling	Vidkun Quisling
Creag nam Bathais	Roko Bass
Oilthigh Heidelberg	Universitato de Hajdelbergo
Nis, Leòdhas	Ness (Lewis)
Sùlaisgeir	Sula Sgeir
Boraraigh, Hiort	Borerajo
Piet Mondriaan	Piet Mondriaan
Jöns Jacob Berzelius	Jöns Jacob Berzelius
Fèileadh	Kilto
Braich	Malto (bierfarejo)
Sant-Nazer	Saint-Nazaire
Lorem ipsum	Ŝtopteksto
Luath	Cindro
Oilthigh Humboldt Berlin	Humboldt-Universitato en Berlino
Ballan	Banujo
László Sólyom	László Sólyom
Falt ruadh	Rufaj haroj
Amar-mùin	Noktovazo
Alfredo Stroessner	Alfredo Stroessner
Blobhsa	Bluzo
Rìoghachd Shagsainn	Reĝlando Saksio
Primo Levi	Primo Levi
Kislovodsk	Kislovodsk
Rìoghachd Westphalen	Reĝlando Vestfalio
Oilthigh Tübingen	Universitato de Tubingeno
Bòla	Bovlo
Melekeok	Melekeoko
Rìoghachd Bayern	Reĝlando Bavario
Meur-coise	Piedfingro
Saor	Ĉarpentisto
Bertie Ahern	Bertie Ahern
Oilthigh Leipzig	Universitato de Lepsiko
Coileach dubh	Tetro
Pàpa Clemens X	Klemento la 10-a
Pàpa Clemens IX	Klemento la 9-a
Pàpa Beinidict XIII	Benedikto la 13-a
Iadh-shlat	Lonicero
Craobh-àirc	Korkokverko
Powys	Powys
Benton County, Washington	Kantono Benton (Vaŝingtonio)
Douglas County, Washington	Kantono Douglas (Vaŝingtonio)
Clamhan-gobhlach	Ruĝa milvo
Columbia County, Washington	Kantono Columbia (Vaŝingtonio)
Adams County, Washington	Kantono Adams (Vaŝingtonio)
Cowlitz County, Washington	Kantono Cowlitz (Vaŝingtonio)
Clark County, Washington	Kantono Clark (Vaŝingtonio)
Asotin County, Washington	Kantono Asotin (Vaŝingtonio)
Clallam County, Washington	Kantono Clallam (Vaŝingtonio)
Universidade Estadual de Feira de Santana	Universidade Estadual de Feira de Santana
Pierce County, Washington	Kantono Pierce (Vaŝingtonio)
Whatcom County, Washington	Kantono Whatcom (Vaŝingtonio)
Yakima County, Washington	Kantono Yakima (Vaŝingtonio)
Sac County, Iowa	Kantono Sac (Iovao)
Ida County, Iowa	Kantono Ida (Iovao)
Howard County, Iowa	Kantono Howard (Iovao)
Felipe González Márquez	Felipe González
Beith-airgid	Penda betulo
Uinnseann	Ordinara frakseno
Trefynwy	Monmouth (Kimrio)
Prionnsalachd Hohenzollern-Sigmaringen	Hohenzollern-Sigmaringen
Zittau	Zittau
British Midland International	British Midland International
Ryoji Noyori	Ryoji Noyori
Taigh Rìoghail Hanòbhair	Hanovro (dinastio)
Frauenkirche	Frauenkirche (Dresdeno)
Harold Kroto	Harold Walter Kroto
Leonid Hurwicz	Leonid Hurwicz
Sàirdseant	Serĝento
Jaroslav Heyrovský	Jaroslav Heyrovský
Diùcachd Sagsainn-Meiningen	Saksio-Meiningen
Diùcachd Sachsen-Altenburg	Saksio-Altenburg
Eala bhuidhe	Trapunkta hiperiko
Cees Nooteboom	Cees Nooteboom
Darach neo-ghasagach	Tigfolia kverko
Bucas (craobh)	Bukso
Universidade Federal da Bahia	Federacia Universitato de Bahio
Centro Federal de Educação Tecnológica de Minas Gerais	Centro Federal de Educação Tecnológica de Minas Gerais
Santa Cruz, Calafòrnia	Santa Cruz (Kalifornio)
Santa Clara, Calafòrnia	Santa Clara (Kalifornio)
Arequipa	Arekipo
Santa Barbara, Calafòrnia	Santa Barbara (Kalifornio)
Àrd-sgoil	Mezlernejo
Steve McQueen	Steve McQueen
Muc-mhara adharcach	Narvalo
Faro	Faro (Portugalio)
Ravensbruck	Koncentrejo Ravensbrück
Johannes Vilhelm Jensen	Johannes V. Jensen
Diùcachd Württemberg	Virtembergo
Joseph Priestley	Joseph Priestley
Leas-abhainn	Alfluanto
Stèisean cumhachd	Elektrejo
Còigeamh Laighean	Leinster
J. M. W. Turner	Joseph Mallord William Turner
AC	A. D.
Eaconomaidh	Ekonomio
Coirce a' Mhadadh-Ruaidh	Arrhenatherum elatius
Oilthigh Rostock	Universitato Rostock
Augusto Roa Bastos	Augusto Roa Bastos
Leth-aon	Ĝemelo
Lus-an-eallain	Robert-geranio
Rousse	Ruse
Cherbourg-Octeville	Cherbourg-Octeville
Hernán Crespo	Hernán Crespo
Oilthigh Dhùn Èideann	Universitato de Edinburgo
Odysseas Elytis	Odysseas Elytis
Inbhir Nis	Inverness
Heraklion	Iraklio (urbo)
Alfred Russel Wallace	Alfred Russel Wallace
Amhrán na bhFiann	Amhrán na bhFiann
Colann	Torso
Abaid	Abatejo
William Gladstone	William Ewart Gladstone
Sgiath (bith-eòlas)	Flugilo
Campaichean Gulag	Gulago
Vojna i mir	Milito kaj paco
T.A.T.u.	T.A.T.u.
Pàpa Pius IV	Pio la 4-a
Samoa	Samoa Insularo
Gaisgeach	Heroo
Tony Curtis	Tony Curtis
Earrach Phràg	Praga printempo 1968
Sirte	Sirto
Contae Chorcaí	Graflando Cork
Roinnean na Spàinne	Provinco de Hispanio
Acadamh	Akademio
Nua-libearalas	Novliberalismo
Atlas	Atlaso (maparo)
Negev	Negevo
Seula	Sigelo
Sant-Maloù	Saint-Malo
Akron, Ohio	Akron (Ohio)
Leigiun	Legio
Brat-ùrlair	Tapiŝo
Doire	Derry
Bàislig	Baziliko
Còrn Sasannach	Korno (muzikinstrumento)
St Peter's College, Auckland	St Peter's College, Auckland
Dearbhair-litreachaidh	Literumilo
Obrachadh càraideach	Operacio (matematiko)
Corpse Bride	Corpse Bride (filmo)
Còigeamh Chonnacht	Connacht
Func	Funko
Curraidh	Kareaĵo
Jean Baptiste Dumas	Jean-Baptiste Dumas
Beach-lann	Abelujo
100an	100-aj jaroj
Maywood, Illinois	Maywood (Ilinojo)
Lope de Vega	Lope de Vega
Peann	Plumo (skribilo)
Co-iomlaideachd	Komuteco
Naomh Pàdraig	Sankta Patriko
Leucippus	Leŭkipo (filozofo)
Prionnsalachd Waldeck-Prymont	Waldeck
Giorgos Seferis	Giorgos Seferis
Fort Lauderdale, Florida	Fort Lauderdale
Lelystad	Lelystad
Gneiss	Gnejso
