Áfríkà	Afriko
6072 Hooghoudt	6072 Hooghoudt
Ray Charles	Ray Charles
Kathy Bates	Kathy Bates
9821 Gitakresáková	9821 Gitakresáková
3005 Pervictoralex	3005 Pervictoralex
3655 Eupraksia	3655 Eupraksia
2246 Bowell	2246 Bowell
3207 Spinrad	3207 Spinrad
8737 Takehiro	8737 Takehiro
4526 Konko	4526 Konko
2926 Caldeira	2926 Caldeira
12873 Clausewitz	12873 Clausewitz
8688 Delaunay	8688 Delaunay
2892 Filipenko	2892 Filipenko
3375 Amy	3375 Amy
7742 Altamira	7742 Altamira
9409 Kanpuzan	9409 Kanpuzan
4900 Maymelou	4900 Mejmelo
2173 Maresjev	2173 Maresjev
8203 Jogolehmann	8203 Jogolehmann
2024 McLaughlin	2024 McLaughlin
3687 Dzus	3687 Dzus
3903 Kliment Ohridski	3903 Kliment Ohridski
12787 Abetadashi	12787 Abetadashi
Pópù Anicetus	Aniceto
6913 Yukawa	6913 Yukawa
5644 Maureenbell	5644 Maureenbell
8752 Flammeus	8752 Flammeus
9665 Inastronoviny	9665 Inastronoviny
3608 Kataev	3608 Kataev
5991 Ivavladis	5991 Ivavladiso
12911 Goodhue	12911 Goodhue
9994 Grotius	9994 Grotius
7421 Kusaka	7421 Kusaka
6947 Andrewdavis	6947 Andrewdavis
2619 Skalnaté Pleso	2619 Skalnaté Pleso
5922 Shouichi	5922 Ŝoiĉio
6496 Kazuko	6496 Kazuko
6809 Sakuma	6809 Sakuma
9479 Madresplazamayo	9479 Madresplazamayo
6074 Bechtereva	6074 Bechtereva
9618 Johncleese	9618 Johncleese
5468 Hamatonbetsu	5468 Hamatonbeco
9220 Yoshidayama	9220 Yoshidayama
6148 Ignazgünther	6148 Ignazgünther
5071 Schoenmaker	5071 Schoenmaker
1996 Adams	1996 Adams
2735 Ellen	2735 Ellen
6308 Ebisuzaki	6308 Ebisuzaki
7385 Aktsynovia	7385 Aktsynovia
5565 Ukyounodaibu	5565 Ukyounodaibu
6516 Gruss	6516 Gruss
3618 Kuprin	3618 Kuprin
Juho Sunila	Juho Sunila
3160 Angerhofer	3160 Angerhofer
6078 Burt	6078 Burto
9668 Tianyahaijiao	9668 Tianyahaijiao
Arsenio Martínez-Campos y Antón	Arsenio Martínez Campos
(7374) 1980 DL	(7374) 1980 DL
6294 Czerny	6294 Czerny
6920 Esaki	6920 Esaki
5141 Tachibana	5141 Taĉibano
9498 Westerbork	9498 Westerbork
8667 Fontane	8667 Fontane
1152 Pawona	1152 Pavono
12373 Lancearmstrong	12373 Lancearmstrong
8171 Stauffenberg	8171 Stauffenberg
3888 Hoyt	3888 Hoyt
2697 Albina	2697 Albina
8702 Nakanishi	8702 Nakanishi
8735 Yoshiosakai	8735 Yoshiosakai
9563 Kitty	9563 Kitty
5086 Demin	5086 Demin
5539 Limporyen	5539 Limporyen
7813 Anderserikson	7813 Anderserikson
6428 Barlach	6428 Barlach
5122 Mucha	5122 Mucha
7554 Johnspencer	7554 Johnspencer
7062 Meslier	7062 Meslier
6123 Aristoteles	6123 Aristotelo
2377 Shcheglov	2377 Shcheglov
3465 Trevires	3465 Trevero
6978 Hironaka	6978 Hironaka
8544 Sigenori	8544 Sigenori
8596 Alchata	8596 Alchata
8553 Bradsmith	8553 Bradsmith
8585 Purpurea	8585 Purpurea
6597 Kreil	6597 Kreil
9599 Onotomoko	9599 Onotomoko
3469 Bulgakov	3469 Bulgakov
6216 San Jose	6216 San Ĵoseo
7353 Kazuya	7353 Kazuya
6079 Gerokurat	6079 Gerokurat
6080 Lugmair	6080 Lugmair
6081 Cloutis	6081 Cloutis
6082 Timiryazev	6082 Timiryazev
6083 Janeirabloom	6083 Janeirabloom
6084 Bascom	6084 Bascom
6085 Fraethi	6085 Fraetio
(6086) 1987 VU	(6086) 1987 VU
6087 Lupo	6087 Lupo
6088 Hoshigakubo	6088 Hoŝigakubo
6089 Izumi	6089 Izumio
6091 Mitsuru	6091 Mitsuro
6092 Johnmason	6092 Johnmason
6093 Makoto	6093 Makoto
6094 Hisako	6094 Hisako
(6095) 1991 UU	(6095) 1991 UU
(6096) 1991 UB2	(6096) 1991 UB2
6098 Mutojunkyu	6098 Mutojunkyu
6099 Saarland	6099 Sarlando
6101 Tomoki	6101 Tomokio
6102 Visby	6102 Visbuo
6104 Takao	6104 Takao
(6103) 1993 HV	(6103) 1993 HV
6106 Stoss	6106 Stoss
6108 Glebov	6108 Glebov
6110 Kazak	6110 Kazak
6111 Davemckay	6111 Davemckay
6112 Ludolfschultz	6112 Ludolfschultz
6113 Tsap	6113 Tsap
6114 Dalla-Degregori	6114 Dalla-Degregori
6116 Still	6116 Still
(6117) 1985 CZ1	(6117) 1985 CZ1
6120 Anhalt	6120 Anhalto
6121 Plachinda	6121 Plachinda
Estanislau Figueras	Estanislao Figueras
6122 Henrard	6122 Henrard
(6125) 1989 CN	(6125) 1989 CN
(6126) 1989 EW1	(6126) 1989 EW1
6127 Hetherington	6127 Hetherington
6128 Lasorda	6128 Lasorda
6131 Towen	6131 Towen
6132 Danielson	6132 Danielson
(6133) 1990 RC3	(6133) 1990 RC3
(6134) 1990 RA5	(6134) 1990 RA5
6137 Johnfletcher	6137 Johnfletcher
(6138) 1991 JH1	(6138) 1991 JH1
6139 Naomi	6139 Naomio
6140 Kubokawa	6140 Kubokawa
(6142) 1993 FP	(6142) 1993 FP
6143 Pythagoras	6143 Pitagoro
6145 Riemenschneider	6145 Riemenschneider
6147 Straub	6147 Straub
6149 Pelčák	6149 Pelčák
6150 Neukum	6150 Neukum
6152 Empedocles	6152 Empedoklo
6153 Hershey	6153 Hershey
6156 Dall	6156 Dall
6158 Shosanbetsu	6158 Ŝosanbeco
6160 Minakata	6160 Minakata
(6159) 1991 YH	(6159) 1991 YH
6161 Vojno-Yasenetsky	6161 Vojno-Yasenetsky
6162 Prokhorov	6162 Prokhorov
6163 Reimers	6163 Reimers
6166 Univsima	6166 Univsimo
6167 Narmanskij	6167 Narmanskij
6171 Uttorp	6171 Utorpo
6173 Jimwestphal	6173 Jimwestphal
6174 Polybius	6174 Polibio
6175 Cori	6175 Cori
(6177) 1986 CE2	(6177) 1986 CE2
6179 Brett	6179 Brett
6180 Bystritskaya	6180 Bystritskaya
6182 Katygord	6182 Katygord
José Miguel Gómez	José Miguel Gómez
6183 Viscome	6183 Viscome
6184 Nordlund	6184 Nordlund
(6185) 1987 YD	6185 Mitsuma
6186 Zenon	6186 Zenono
6188 Robertpepin	6188 Robertpepin
(6187) 1988 RD5	(6187) 1988 RD5
6189 Völk	6189 Völk
6191 Eades	6191 Eades
6193 Manabe	6193 Manabe
6194 Denali	6194 Denalio
6195 Nukariya	6195 Nukariya
6197 Taracho	6197 Taraĉo
6199 Yoshiokayayoi	6199 Yoshiokayayoi
6200 Hachinohe	6200 Hachinohe
6202 Georgemiley	6202 Georgemiley
6203 Lyubamoroz	6203 Lyubamoroz
6204 MacKenzie	6204 MacKenzie
6205 Menottigalli	6205 Menottigalli
6206 Corradolamberti	6206 Corradolamberti
6207 Bourvil	6207 Bourvil
6210 Hyunseop	6210 Hyunseop
6211 Tsubame	6211 Cubamo
(6212) 1993 MS1	(6212) 1993 MS1
6213 Zwiers	6213 Zwiers
6214 Mikhailgrinev	6214 Mikhailgrinev
(6215) 1973 EK	(6215) 1973 EK
6218 Mizushima	6218 Mizuŝimo
6219 Demalia	6219 Demalio
6221 Ducentesima	6221 Ducentesimo
(6222) 1980 PB3	(6222) 1980 PB3
Juan José Flores	Juan José Flores
6223 Dahl	6223 Dahl
6224 El Goresy	6224 El Goresy
6226 Paulwarren	6226 Paulwarren
6227 Alanrubin	6227 Alanrubin
6228 Yonezawa	6228 Jonezavo
6229 Tursachan	6229 Tursaĥano
6231 Hundertwasser	6231 Hundertwasser
6232 Zubitskia	6232 Zubickio
6233 Kimura	6233 Kimura
6236 Mallard	6236 Malardo
(6238) 1989 NM	(6238) 1989 NM
6241 Galante	6241 Galante
(6242) 1990 OJ2	(6242) 1990 OJ2
6243 Yoder	6243 Yoder
6244 Okamoto	6244 Okamoto
6246 Komurotoru	6246 Komurotoru
(6250) 1991 VX1	6250 Saekohayashi
6251 Setsuko	6251 Setsuko
6252 Montevideo	6252 Montevideo
(6253) 1992 FJ	(6253) 1992 FJ
(6254) 1993 UM3	(6254) 1993 UM3
6255 Kuma	6255 Kumao
6256 Canova	6256 Canova
6257 Thorvaldsen	6257 Thorvaldsen
6258 Rodin	6258 Rodin
ISO 3166-2:GR	ISO 3166-2:GR
6262 Javid	6262 Javid
(6263) 1980 PX	(6263) 1980 PX
(6264) 1980 SQ	(6264) 1980 SQ
6266 Letzel	6266 Letzel
6267 Rozhen	6267 Roĵeno
6268 Versailles	6268 Versajlo
6269 Kawasaki	6269 Kawasaki
6270 Kabukuri	6270 Kabukuro
6273 Kiruna	6273 Kiruno
6274 Taizaburo	6274 Taizaburo
6275 Kiryu	6275 Kirjo
6278 Ametkhan	6278 Ametkhan
6280 Sicardy	6280 Sicardy
6281 Strnad	6281 Strnad
6284 Borisivanov	6284 Borisivanov
6287 Lenham	6287 Lenham
6291 Renzetti	6291 Renzetti
6293 Oberpfalz	6293 Oberpfalco
6295 Schmoll	6295 Schmoll
6296 Cleveland	6296 Klevlando
6299 Reizoutoyoko	6299 Reizoutoyoko
6300 Hosamu	6300 Hosamo
6302 Tengukogen	6302 Tengukogeno
6304 Josephus Flavius	6304 Josefo Flavio
6305 Helgoland	6305 Helgolando
6306 Nishimura	6306 Nishimura
6307 Maiztegui	6307 Maiztegui
6309 Elsschot	6309 Elsschot
6310 Jankonke	6310 Jankonke
6311 Porubčan	6311 Porubčan
6312 Robheinlein	6312 Robheinlein
6317 Dreyfus	6317 Dreyfus
6319 Beregovoj	6319 Beregovoj
6321 Namuratakao	6321 Namuratakao
6324 Kejonuma	6324 Keĵonumo
6326 Idamiyoshi	6326 Idamiyoshi
6329 Hikonejyo	6329 Hikoneĵjo
6330 Koen	6330 Koeno
6333 Helenejacq	6333 Helenĝako
6335 Nicolerappaport	6335 Nicolerappaport
6337 Shiota	6337 Shiota
6338 Isaosato	6338 Isaosato
6339 Giliberti	6339 Giliberti
6345 Hideo	6345 Hideo
6346 Syukumeguri	6346 Sjukumeguro
6350 Schlüter	6350 Schlüter
6351 Neumann	6351 Neumann
6352 Schlaun	6352 Schlaun
6353 Semper	6353 Semper
6356 Tairov	6356 Tairov
6357 Glushko	6357 Glushko
6358 Chertok	6358 Chertok
6359 Dubinin	6359 Dubinin
6362 Tunis	6362 Tunizo
6363 Doggett	6363 Doggett
Agbègbè Dar es Salaam	Regiono Daresalamo
6364 Casarini	6364 Casarini
6365 Nickschneider	6365 Nickschneider
6366 Rainerwieler	6366 Rainerwieler
Benjamin Banneker	Benjamin Banneker
6370 Malpais	6370 Malpaiso
6371 Heinlein	6371 Heinlein
6372 Walker	6372 Walker
6373 Stern	6373 Stern
6374 Beslan	6374 Beslano
6375 Fredharris	6375 Fredharris
6376 Schamp	6376 Schamp
6377 Cagney	6377 Cagney
6379 Vrba	6379 Vrba
6380 Gardel	6380 Gardel
6381 Toyama	6381 Toyama
6383 Tokushima	6383 Tokuŝimo
6389 Ogawa	6389 Ogawa
6391 Africano	6391 Africano
6392 Takashimizuno	6392 Takashimizuno
6395 Hilliard	6395 Hilliard
6396 Schleswig	6396 Ŝlesvigo
6398 Timhunter	6398 Timhunter
6399 Harada	6399 Harada
6400 Georgealexander	6400 Georgealexander
Manuel Amador Guerrero	Manuel Amador Guerrero
(6217) 1975 XH	(6217) 1975 XH
(6298) 1988 XC	6298 Sawaoka
(6297) 1988 VZ1	(6297) 1988 VZ1
(6290) 1985 CA2	(6290) 1985 CA2
(6289) 1984 HP1	6289 Lanusejo
(6288) 1984 ER1	(6288) 1984 ER1
(6286) 1983 EU	(6286) 1983 EU
(6283) 1980 VX1	(6283) 1980 VX1
(6303) 1989 EL2	(6303) 1989 EL2
(6313) 1990 RC8	(6313) 1990 RC8
(6314) 1990 SQ16	(6314) 1990 SQ16
(6315) 1990 TS	(6315) 1990 TS
(6316) 1990 TL6	(6316) 1990 TL6
Moses Blah	Moses Blah
Dámaso Berenguer, 1st Count of Xauen	Dámaso Berenguer
3325 TARDIS	3325 TARDIS
4568 Menkaure	4568 Menkaŭro
2308 Schilt	2308 Schilt
9389 Condillac	9389 Condillac
1956 Artek	1956 Arteko
10028 Bonus	10028 Bonus
3656 Hemingway	3656 Hemingway
8416 Okada	8416 Okada
3829 Gunma	3829 Gunmo
9291 Alanburdick	9291 Alanburdick
5871 Bobbell	5871 Bobbell
4644 Oumu	4644 Oumo
8543 Tsunemi	8543 Tsunemi
8386 Vanvinckenroye	8386 Vanvinckenroye
7075 Sadovnichij	7075 Sadovnichij
5924 Teruo	5924 Teruo
6765 Fibonacci	6765 Fibonacci
4517 Ralpharvey	4517 Ralpharvey
9258 Johnpauljones	9258 Johnpauljones
5401 Minamioda	5401 Minamiodo
16078 Carolhersh	16078 Carolhersh
5097 Axford	5097 Axford
5463 Danwelcher	5463 Danwelcher
5399 Awa	5399 Aŭao
(9729) 1981 RQ	(9729) 1981 RQ
5111 Jacliff	5111 Ĝaklifo
2496 Fernandus	2496 Fernandus
9988 Erictemplebell	9988 Erictemplebell
9822 Hajduková	9822 Hajduková
7257 Yoshiya	7257 Yoshiya
11763 Deslandres	11763 Deslandres
8450 Egorov	8450 Egorov
5265 Schadow	5265 Schadow
5031 Švejcar	5031 Švejcar
5318 Dientzenhofer	5318 Dientzenhofer
10965 van Leverink	10965 van Leverink
6044 Hammer-Purgstall	6044 Hammer-Purgstall
2450 Ioannisiani	2450 Ioannisiani
7558 Yurlov	7558 Yurlov
3993 Šorm	3993 Šorm
4598 Coradini	4598 Coradini
7334 Sciurus	7334 Sciuro
13121 Tisza	13121 Tiso
14571 Caralexander	14571 Caralexander
7143 Haramura	7143 Haramura
8062 Okhotsymskij	8062 Okhotsymskij
2762 Fowler	2762 Fowler
9277 Togashi	9277 Togashi
6508 Rolčík	6508 Rolčík
7387 Malbil	7387 Malbil
6902 Hideoasada	6902 Hideoasada
5668 Foucault	5668 Foucault
13279 Gutman	13279 Gutman
9392 Cavaillon	9392 Cavaillon
7932 Plimpton	7932 Plimpton
Kánúrí	Kanuroj
10372 Moran	10372 Moran
3762 Amaravella	3762 Amaravelo
9254 Shunkai	9254 Shunkai
2966 Korsunia	2966 Korsunia
5129 Groom	5129 Groom
10136 Gauguin	10136 Gauguin
(6325) 1991 EA1	(6325) 1991 EA1
(6327) 1991 GP1	(6327) 1991 GP1
Warri	Warri
5234 Sechenov	5234 Sechenov
(9283) 1981 EY17	9283 Martinelvis
8081 Leopardi	8081 Leopardi
5113 Kohno	5113 Kohno
4737 Kiladze	4737 Kiladze
4594 Dashkova	4594 Dashkova
12426 Racquetball	12426 Racquetball
14164 Hennigar	14164 Hennigar
5811 Keck	5811 Keck
13272 Ericadavid	13272 Ericadavid
5343 Ryzhov	5343 Ryzhov
4564 Clayton	4564 Clayton
5553 Chodas	5553 Chodas
13118 La Harpe	13118 La Harpe
5279 Arthuradel	5279 Arthuradel
5266 Rauch	5266 Rauch
5314 Wilkickia	5314 Vilkickio
5950 Leukippos	5950 Leŭkipo
3276 Porta Coeli	3276 Porta Coeli
Europe (orin-ìyìn)	Eŭropo (himno)
8787 Ignatenko	8787 Ignatenko
2375 Radek	2375 Radek
(6872) 1993 CN1	(6872) 1993 CN1
(6503) 1994 CP	(6503) 1994 CP
11856 Nicolabonev	11856 Nicolabonev
5623 Iwamori	5623 Iwamori
8425 Zirankexuejijin	8425 Zirankexuejijin
7692 Edhenderson	7692 Edhenderson
5748 Davebrin	5748 Davebrin
7464 Vipera	7464 Vipero
(5429) 1988 BZ1	(5429) 1988 BZ1
2559 Svoboda	2559 Svoboda
14060 Patersonewen	14060 Patersonewen
2936 Nechvíle	2936 Nechvíle
14157 Pamelasobey	14157 Pamelasobey
9331 Fannyhensel	9331 Fannyhensel
2349 Kurchenko	2349 Kurchenko
9722 Levi-Montalcini	9722 Levi-Montalcini
7164 Babadzhanov	7164 Babadzhanov
9136 Lalande	9136 Lalande
13001 Woodney	13001 Woodney
(7221) 1981 SJ	(7221) 1981 SJ
3000 Leonardo	3000 Leonardo
2763 Jeans	2763 Jeans
2755 Avicenna	2755 Aviceno
2056 Nancy	2056 Nancy
2221 Chilton	2221 Chilton
7887 Bratfest	7887 Bratfest
7507 Israel	7507 Israel
6914 Becquerel	6914 Becquerel
7367 Giotto	7367 Giotto
5912 Oyatoshiyuki	5912 Oyatoshiyuki
12275 Marcelgoffin	12275 Marcelgoffin
9178 Momoyo	9178 Momoyo
7208 Ashurbanipal	7208 Ashurbanipal
12759 Joule	12759 Joule
8291 Bingham	8291 Bingham
8128 Nicomachus	8128 Nikomako
7117 Claudius	7117 Claudius
9446 Cicero	9446 Cicerono
6661 Ikemura	6661 Ikemura
5182 Bray	5182 Bray
3638 Davis	3638 Davis
3550 Link	3550 Link
6039 Parmenides	6039 Parmenido
2974 Holden	2974 Holden
2589 Daniel	2589 Daniel
2918 Salazar	2918 Salazar
5792 Unstrut	5792 Unŝtruto
11758 Sargent	11758 Sargent
2418 Voskovec-Werich	2418 Voskovec-Werich
(8247) 1979 SP14	8247 Cherylhall
2933 Amber	2933 Amber
4180 Anaxagoras	4180 Anaksagoro
12606 Apuleius	12606 Apuleo
6469 Armstrong	6469 Armstrong
359 Georgia	359 Georgio
2140 Kemerovo	2140 Kemerovo
14511 Nickel	14511 Nickel
Owerri	Owerri
16068 Citron	16068 Citron
3634 Iwan	3634 Iwan
3866 Langley	3866 Langley
3153 Lincoln	3153 Lincoln
4583 Lugo	4583 Lugo
6032 Nobel	6032 Nobel
2633 Bishop	2633 Bishop
2389 Dibaj	2389 Dibaj
2314 Field	2314 Field
9908 Aue	9908 Aue
2622 Bolzano	2622 Bolzano
7210 Darius	7210 Dario
5560 Amytis	5560 Amitiso
7586 Bismarck	7586 Bismarck
7853 Confucius	7853 Konfuceo
5029 Ireland	5029 Irlando
3665 Fitzgerald	3665 Fitzgerald
8331 Dawkins	8331 Dawkins
15264 Delbrück	15264 Delbrück
12016 Green	12016 Green
15342 Assisi	15342 Asizo
11965 Catullus	11965 Katulo
12224 Jimcornell	12224 Jimcornell
9897 Malerba	9897 Malerba
4500 Pascal	4500 Pascal
12608 Aesop	12608 Ezopo
4344 Buxtehude	4344 Buxtehude
4721 Atahualpa	4721 Atahualpa
12727 Cavendish	12727 Cavendish
2761 Eddington	2761 Eddington
10667 van Marxveldt	10667 van Marxveldt
13610 Lilienthal	13610 Lilienthal
2519 Annagerman	2519 Annagerman
3862 Agekian	3862 Agekian
7280 Bergengruen	7280 Bergengruen
8685 Fauré	8685 Fauré
3081 Martinůboh	3081 Martinůboh
12595 Amandashaw	12595 Amandashaw
3399 Kobzon	3399 Kobzon
12861 Wacker	12861 Wacker
2739 Taguacipa	2739 Taguacipo
8020 Erzgebirge	8020 Erzgebirge
2526 Alisary	2526 Alisary
3813 Fortov	3813 Fortov
5658 Clausbaader	5658 Clausbaader
8000 Isaac Newton	8000 Isaac Newton
14576 Jefholley	14576 Jefholley
2494 Inge	2494 Inge
6862 Virgiliomarcon	6862 Virgiliomarcon
12310 Londontario	12310 Londontario
Ilorin	Ilorin
15107 Toepperwein	15107 Toepperwein
5394 Jurgens	5394 Jurgens
7153 Vladzakharov	7153 Vladzakharov
6876 Beppeforti	6876 Beppeforti
4626 Plisetskaya	4626 Plisetskaya
2958 Arpetito	2958 Arpetito
12760 Maxwell	12760 Maxwell
(9286) 1981 ED35	9286 Patricktaylor
12288 Verdun	12288 Verduno
3796 Lene	3796 Leneo
4589 McDowell	4589 McDowell
3338 Richter	3338 Richter
3123 Dunham	3123 Dunham
2544 Gubarev	2544 Gubarev
3680 Sasha	3680 Sasha
8428 Okiko	8428 Okiko
8236 Gainsborough	8236 Gainsborough
6449 Kudara	6449 Kudara
5026 Martes	5026 Marteso
13777 Cielobuio	13777 Cielobuio
5835 Mainfranken	5835 Majnfrankeno
8603 Senator	8603 Senator
6789 Milkey	6789 Milkey
9703 Sussenbach	9703 Sussenbach
8775 Cristata	8775 Cristata
6595 Munizbarreto	6595 Munizbarreto
9531 Jean-Luc	9531 Jean-Luc
9299 Vinceteri	9299 Vinceteri
15861 Ispahan	15861 Ispahan
10365 Kurokawa	10365 Kurokawa
9968 Serpe	9968 Serpe
9594 Garstang	9594 Garstang
10262 Samoilov	10262 Samoilov
3382 Cassidy	3382 Cassidy
5881 Akashi	5881 Akaŝio
11020 Orwell	11020 Orwell
5833 Peterson	5833 Peterson
7749 Jackschmitt	7749 Jackschmitt
2996 Bowman	2996 Bowman
3094 Chukokkala	3094 Chukokkala
(7053) 1989 FA	(7053) 1989 FA
12089 Maichin	12089 Maichin
Gòmbè	Gombe
6865 Dunkerley	6865 Dunkerley
2489 Suvorov	2489 Suvorov
10256 Vredevoogd	10256 Vredevoogd
3436 Ibadinov	3436 Ibadinov
8610 Goldhaber	8610 Goldhaber
3742 Sunshine	3742 Sunshine
7268 Chigorin	7268 Chigorin
15632 Magee-Sauer	15632 Magee-Sauer
6867 Kuwano	6867 Kuwano
3120 Dangrania	3120 Dangrania
5065 Johnstone	5065 Johnstone
5181 SURF	5181 SURF
ISO 3166-2:SE	ISO 3166-2:SE
9102 Foglar	9102 Foglar
10185 Gaudi	10185 Gaudi
4780 Polina	4780 Polino
3478 Fanale	3478 Fanale
10089 Turgot	10089 Turgot
3523 Arina	3523 Arina
13732 Woodall	13732 Woodall
(5346) 1981 QE3	(5346) 1981 QE3
12286 Poiseuille	12286 Poiseuille
8303 Miyaji	8303 Miyaji
4658 Gavrilov	4658 Gavrilov
4571 Grumiaux	4571 Grumiaux
2610 Tuva	2610 Tuva
9574 Taku	9574 Taku
4645 Tentaikojo	4645 Tentajkoĝo
13743 Rivkin	13743 Rivkin
5981 Kresilas	5981 Kresilo
2252 CERGA	2252 CERGA
2248 Kanda	2248 Kanda
2250 Stalingrad	2250 Stalingrado
5225 Loral	5225 Loralo
5330 Senrikyu	5330 Senrikyu
3588 Kirik	3588 Kirik
8693 Matsuki	8693 Matsuki
5982 Polykletus	5982 Polikleto
4916 Brumberg	4916 Brumberg
4628 Laplace	4628 Laplace
8683 Sjölander	8683 Sjölander
3448 Narbut	3448 Narbut
3777 McCauley	3777 McCauley
3013 Dobrovoleva	3013 Dobrovoleva
9697 Louwman	9697 Louwman
9316 Rhamnus	9316 Rhamnus
7905 Juzoitami	7905 Juzoitami
3077 Henderson	3077 Henderson
2422 Perovskaya	2422 Perovskaya
9885 Linux	9885 Linux
7211 Xerxes	7211 Kserkso
3313 Mendel	3313 Mendel
7672 Hawking	7672 Hawking
12621 Alsufi	12621 Alsufi
14551 Itagaki	14551 Itagaki
9965 GNU	9965 GNU
13149 Heisenberg	13149 Heisenberg
6568 Serendip	6568 Serendipo
2938 Hopi	2938 Hopio
(9942) 1989 TM1	(9942) 1989 TM1
10060 Amymilne	10060 Amymilne
13615 Manulis	13615 Manulis
11091 Thelonious	11091 Thelonious
7212 Artaxerxes	7212 Artakserkso
7083 Kant	7083 Kant
4000 Hipparchus	4000 Hiparko
10974 Carolalbert	10974 Carolalbert
(8068) 1981 EQ28	8068 Vishnureddy
6023 Tsuyashima	6023 Tsuyashima
3580 Avery	3580 Avery
4607 Seilandfarm	4607 Sejlandfarmo
10374 Etampes	10374 Etampes
8946 Yoshimitsu	8946 Yoshimitsu
7017 Uradowan	7017 Uradowan
11907 Näränen	11907 Näränen
9378 Nancy-Lorraine	9378 Nancy-Lorraine
5840 Raybrown	5840 Raybrown
10963 van der Brugge	10963 van der Brugge
Gusau	Gusau
Ilẹ̀ Kálìfù Sókótó	Sokoto Kaliflando
7372 Emimar	7372 Emimar
15624 Lamberton	15624 Lamberton
(7218) 1979 SK	(7218) 1979 SK
10182 Junkobiwaki	10182 Junkobiwaki
9825 Oetken	9825 Oetken
2952 Lilliputia	2952 Liliputo
15058 Billcooke	15058 Billcooke
3054 Strugatskia	3054 Strugatskia
6763 Kochiny	6763 Kochiny
(6853) 1986 CD2	(6853) 1986 CD2
6767 Shirvindt	6767 Shirvindt
6821 Ranevskaya	6821 Ranevskaya
6773 Kellaway	6773 Kellaway
6766 Kharms	6766 Kharms
(6852) 1985 CN2	(6852) 1985 CN2
(6772) 1988 BG4	(6772) 1988 BG4
3439 Lebofsky	3439 Lebofsky
(6781) 1990 OD	(6781) 1990 OD
8730 Iidesan	8730 Iidesan
8657 Cedrus	8657 Cedrus
842 Kerstin	842 Kerstino
6043 Aurochs	6043 Aŭrokso
8983 Rayakazakova	8983 Rayakazakova
2220 Hicks	2220 Hicks
14372 Paulgerhardt	14372 Paulgerhardt
5846 Hessen	5846 Hessen
5873 Archilochos	5873 Arkiloko
(8468) 1981 EA40	8468 Rhondastroud
6952 Niccolò	6952 Niccolò
15057 Whitson	15057 Whitson
8189 Naruke	8189 Naruke
4631 Yabu	4631 Yabu
10068 Dodoens	10068 Dodoens
10326 Kuragano	10326 Kuragano
3501 Olegiya	3501 Olegiya
10515 Old Joe	10515 Old Joe
8009 Béguin	8009 Béguin
9196 Sukagawa	9196 Sukagawa
12070 Kilkis	12070 Kilkis
5080 Oja	5080 Oja
1942 Jablunka	1942 Jablunka
7116 Mentall	7116 Mentall
14466 Hodge	14466 Hodge
7979 Pozharskij	7979 Pozharskij
7690 Sackler	7690 Sackler
Arnulfo Arias	Arnulfo Arias
6587 Brassens	6587 Brassens
12617 Angelusilesius	12617 Angelusilesius
10090 Sikorsky	10090 Sikorsky
9745 Shinkenwada	9745 Shinkenwada
5052 Nancyruth	5052 Nanciruso
9232 Miretti	9232 Miretti
9578 Klyazma	9578 Klyazma
9824 Marylea	9824 Marylea
2935 Naerum	2935 Naerum
11014 Svätopluk	11014 Svätopluk
12618 Cellarius	12618 Cellarius
9774 Annjudge	9774 Annjudge
(7055) 1989 KB	(7055) 1989 KB
8167 Ishii	8167 Ishii
Daniel Ouezzin Coulibaly	Daniel Ouezzin Coulibaly
11930 Osamu	11930 Osamu
(9976) 1993 TQ	(9976) 1993 TQ
10011 Avidzba	10011 Avidzba
5841 Stone	5841 Stone
15921 Kintaikyo	15921 Kintaikyo
2770 Tsvet	2770 Tsvet
(5854) 1992 UP	(5854) 1992 UP
Búkan	Bukan
8634 Neubauer	8634 Neubauer
3504 Kholshevnikov	3504 Kholshevnikov
3639 Weidenschilling	3639 Weidenschilling
(6494) 1992 NM	(6494) 1992 NM
6557 Yokonomura	6557 Yokonomura
Nọ́mbà aláìníìpín	Neracionala nombro
8681 Burs	8681 Burs
5593 Jonsujatha	5593 Ĝonsuĝato
5832 Martaprincipe	5832 Martaprincipo
14504 Tsujimura	14504 Tsujimura
11770 Rudominkowski	11770 Rudominkowski
3299 Hall	3299 Hall
5960 Wakkanai	5960 Wakkanai
4718 Araki	4718 Araki
7331 Balindblad	7331 Balindblad
5597 Warren	5597 Warren
7621 Sweelinck	7621 Sweelinck
3506 French	3506 French
9884 Příbram	9884 Příbram
Antti Hackzell	Antti Hackzell
2367 Praha	2367 Prago
Antti Tulenheimo	Antti Tulenheimo
2784 Domeyko	2784 Domeyko
15093 Lestermackey	15093 Lestermackey
8072 Yojikondo	8072 Yojikondo
5937 Lodén	5937 Lodén
4573 Piešťany	4573 Pieŝtjanjo
7176 Kuniji	7176 Kuniji
10088 Digne	10088 Digne
5532 Ichinohe	5532 Ichinohe
3706 Sinnott	3706 Sinnott
13351 Zibeline	13351 Zibelo
8885 Sette	8885 Sette
3130 Hillary	3130 Hillary
8345 Ulmerspatz	8345 Ulmerspatz
12609 Apollodoros	12609 Apolodoro
Serzh Sargsyan	Serĵ Sargsjan
