આફ્રિકા	Afriko
ઇટાનગર	Itanagaro
રશિયાનાં ગણતંત્રો	Respubliko (Rusio)
વેગમાન સંરક્ષણનો નિયમ	Movokvanto
નાઈટ્સ ટેમ્પ્લર	Templanoj
તરંગલંબાઇ	Ondolongo
સ્ટેનફોર્ડ યુનિવર્સિટી	Universitato Stanford
ફ્રેન્ક લેમ્પાર્ડ	Frank Lampard
કોથમીર	Kultiva koriandro
મનોવિષ્લેષણ	Psikoanalizo
રમઝાન	Ramadano
ભારતનો રાષ્ટ્રધ્વજ	Flago de Barato
વંશીય જૂથ	Etno
એડનની ખાડી	Adena Golfo
મનમોહન સિંહ	Manmohan Singh
રાતો પાંડા	Malgranda pando
સુરખાબ	Flamengo
સાર્વભૌમત્વ	Suvereneco
બકિંગહામ પેલેસ	Palaco Buckingham
યુનિફોર્મ રિસોર્સ લોકેટર	URL
ગૂગલ અર્થ	Google Earth
ફાઇલ ટ્રાન્સ્ફર પ્રોટોકોલ	Dosiero-Transiga Protokolo
ઊન	Lano
પીડીએફ	Portebla dokumentformo
નિહારિકા	Nebulozo
યુનિવર્સલ સીરિયલ બસ	Universala Seria Buso
તાલિબાન	Talibano
પર્લ	Perl
ઈંધણ (બળતણ)	Brulaĵo
હળદર	Kurkumo
એમપીથ્રી	MP3
જંગલી બિલાડી	Ĝangala kato
ભેંસ	Akvobubalo
દાઢી	Barbo
સૈગોન એરપોર્ટ	Flughaveno Long Thanh
કૃષ્ણ	Kriŝno
નિર્વાણ	Nirvano
આગ્રા	Agra
ચોમાસુ	Musono
એલર્જી	Alergio
સંક્ષિપ્ત સંદેશ સેવા	Servo de mallongaj mesaĝoj
દુકાળ	Trosekeco
કાળા મરી	Nigra pipro
કાશ્મીર	Kaŝmiro
વિકિપીડિયા:જાણીતા પ્રશ્નો	Helpo:Oftaj demandoj
સ્વર્ગીય ગુફા	Kaverno Thien Duong
હરિતદ્રવ્ય	Klorofilo
વીમો	Asekuro
ફ્રાન્સનો રાષ્ટ્રધ્વજ	Flago de Francio
સંસ્થા	Organizaĵo
ગેસ્ટાપો	Gestapo
પ્રિન્સ ચાર્લ્સ	Karlo, princo de Kimrujo
ટાઇમ (સામયિક)	Time
કાગડો	Korvo
ડિસ્કવરી ચેનલ	Discovery Channel
ચંડીગઢ	Ĉandigaro
વરિયાળી	Ordinara fenkolo
સ્ફટિક	Kristalo
મમી	Mumio
હાઇડ્રોકાર્બન	Hidrokarbido
એપોલો ૧૧	Apollo 11
બર્મુડા ત્રિકોણ	Bermuda triangulo
રણદ્વીપ	Oazo
ટર્કી	Meleagro
બ્રેમ્પ્ટન, ઓન્ટારીયો	Bramptono
નાગોર્નો-કરબાખ ગણરાજ્ય	Montara Karabaĥo
ધ અંડરટેકર	Mark Calaway
જિહાદ	Ĝihado
ઉષ્મા	Varmo
મંદિર	Templo
કલકલિયો	Alcededoj
અળસી	Ordinara lino
કોલ્ડપ્લે	Coldplay
સ્વસ્તિક	Svastiko
કંદહાર	Kandaharo
નીલગિરી	Eŭkalipto
ફણસ	Jakvo
માછલીઘર	Akvario
રાજા આર્થર	Reĝo Arturo
લાલ કિલ્લો	Ruĝa fortikaĵo
દાદરા અને નગરહવેલી	Dadro kaj Nagar-Havelio
વિદ્યુત ક્ષેત્ર	Elektra kampo
ચાર્લ્સ બૅબેજ	Charles Babbage
ફીજી હિન્દી	Fiĝa hinda lingvo
હેરી પોટર એન્ડ ધ ડેથલી હેલોઝ	Hari Poter kaj la Sanktaĵoj de la Morto
શ્રીમદ્ ભગવદ્ ગીતા	Bagavadgito
ઑસ્ટ્રિયાનો રાષ્ટ્રધ્વજ	Flago de Aŭstrio
અખરોટ	Reĝa juglando
ઐશ્વર્યા રાય	Aishwarya Rai
કુ ક્લક્સ ક્લાન	Ku-Kluks-Klano
બ્રાહ્મણ	Brahmo
વોરન બફેટ	Warren Buffett
કામસૂત્ર	Kamasutro
સ્વામી વિવેકાનંદ	Vivekananda
એકમ	Mezurunuo
ફિબોનાકિ	Fibonaĉi-nombro
રક્તના પ્રકાર	Sangogrupo
કેથરિન ઝેટા-જોન્સ	Catherine Zeta-Jones
બ્લેક સબાથ	Black Sabbath
પ્રમબનન	Prambanano
મુસલમાન	Islamano
પ્રતિભા પાટીલ	Pratibha Patil
પત્તા	Ludkarto
ફીનલેંડનો રાષ્ટ્રધ્વજ	Flago de Finnlando
લખનૌ	Laknaŭo
ઢાંચો:Commons category	Ŝablono:Commonscat
જર્મનીનો રાષ્ટ્રધ્વજ	Flago de Germanio
યુરિયા	Ureo
અમૃતસર	Amritsar
આલ્બેનિયાનો રાષ્ટ્રધ્વજ	Flago de Albanio
ઓર્લાન્ડો, ફ્લોરિડા	Orlando
પર્યટન	Turismo
માન્ચેસ્ટર સિટી ફૂટબૉલ ક્લબ	Manchester City F.C.
ચલ	Variablo
અવયવ	Divizoro
ઢાંચો:Chembox	Ŝablono:Informkesto kemia substanco
ઢાંચો:Taxobox	Ŝablono:Taksonomio
ઈથેન	Etano
ઢાંચો:Infobox legislature	Ŝablono:Informkesto parlamento
હોલો	Turka turto
શ્રેણી:ચલચિત્ર	Kategorio:Filmo
પંજાબી ભાષા	Panĝaba lingvo
આદમ અને હવા	Adamo kaj Evo
અરબી સમુદ્ર	Araba Maro
પ્રદૂષણ	Poluo
સરસ્વતી દેવી	Sarasvati
ઉંબરો (વૃક્ષ)	Fikuso
હેઇદી ક્લુમ	Heidi Klum
ડેનમાર્કનો રાષ્ટ્રધ્વજ	Dannebrog
સી. વી. રામન	Chandrasekhara Venkata Raman
નવી મુંબઈ	Novmumbajo
ટાવર ઓફ લંડન	Turo de Londono
આરમીન વન બ્યુરન	Armin van Buuren
મૌર્ય વંશ	Maŭrja imperio
પિત્તાશય	Gala veziko
વિદ્યુત વિચ્છેદન-વિશ્લેષણ (ઇલેક્ટ્રોલિસિસ)	Elektrolizo
વિનિમય દર	Kurzo
જયપુર	Ĝajpuro
કાનપુર	Kanpur
ઈંદોર	Indaur
દમણ અને દીવ	Damano kaj Diuo
પૉંડિચેરી	Pondiĉero
અસ્થિભંગ	Frakturo
હેલ-બોપ ધૂમકેતુ	Kometo Hale-Bopp
ટેટ્રીસ (રમત)	Tetriso
નાનો જળ કાગડો	Eta kormorano
મખમલી થડચડ	Velurfrunta sito
ડેલ્ફી	Delfo
સેમ્યુઅલ મોર્સ	Samuel Morse
બોરિસ બેકર	Boris Becker
એમિથિસ્ટ	Ametisto
ચક્રવાત	Ciklono
બેરોમીટર	Barometro
ગિનિ પિગ	Kobajo
અફઘાનિસ્તાનનો રાષ્ટ્રધ્વજ	Flago de Afganio
મોર્સ કોડ	Morsa kodo
વિકિપીડિયા:ચકાસણીયોગ્યતા	Vikipedio:Kontrolebleco
ક્રાઇસ્ટ ધ રિડીમર	Statuo de Kristo Savinto (Rio de Janeiro)
વારાણસી	Varanasio
ઇથરનેટ	Eterreto
ઓઝોન સ્તર	Ozona tavolo
કુંવારપાઠું	Aloo vera
કેનેડાનો રાષ્ટ્રધ્વજ	Flago de Kanado
ખાટી આમલી	Tamarindo (arbo)
પટના	Patnao
ભારતીય રૂપિયો	Barata rupio
ભીંડા	Gombo
એપ્રિલ ફૂલ્સ ડે	Ŝercotago
પશુપાલન	Bredado
ભોપાલ	Bhopalo
વાકછટા	Retoriko
જળ ચક્ર	Akvocirkulado
હોમિયોપેથી	Homeopatio
સ્વચાલિત ગણક યંત્ર (ATM)	Bankaŭtomato
હેરિસન ફોર્ડ	Harrison Ford
ચણા	Kikero
ઈન્ટરનેટ પ્રોટોકોલ સ્યુટ	TCP-IP
પાલક (ભાજી)	Legoma spinaco
ઈસ્ટોનિયાનો રાષ્ટ્રધ્વજ	Flago de Estonio
એન્ડોરાનો રાષ્ટ્રધ્વજ	Flago de Andoro
ઑસ્ટ્રેલિયાનો રાષ્ટ્રધ્વજ	Flago de Aŭstralio
ફાસ્ટ ફૂડ	Rapidmanĝejo
કાતરા (ઈયળ)	Raŭpo
હંગેરીનો રાષ્ટ્રધ્વજ	Flago de Hungario
કાંચનજંઘા	Kangchenjunga
અઝેરબીજાનનો રાષ્ટ્રધ્વજ	Flago de Azerbajĝano
વિરામચિહ્નો	Interpunkcio
પર્યાવરણ સંરક્ષણ સ્થિતિ	Konserva statuso
ઇમેજ સ્કેનર	Skanilo
ચીનનો ઇતિહાસ	Historio de Ĉinio
પેટ્રોનાસ જોડિયા ટાવર	Petronas-turoj
જન ગણ મન	Ĝana Gana Mana
શ્રીનિવાસ રામાનુજન	Srinivasa Aiyangar Ramanujan
જાયફળ	Muskato
ઘર ઉંદર	Hejma muso
ગુરુનાનક	Guru Nanak
લિક્વિડ ક્રિસ્ટલ ડિસ્પ્લે	Likvokristala ekrano
અંગુષ્ઠ	Dikfingro
શાકાહારી	Vegetarismo
અલ્જીરીયાનો રાષ્ટ્રધ્વજ	Flago de Alĝerio
પર્યાયોક્તિ	Eŭfemismo
જુડાસ પ્રિસ્ટ	Judas Priest
સુસાન બોયલ	Susan Boyle
શાહજહાં	Ŝaho Jahano
શિમલા	Ŝimla
કાર્લ લેન્ડસ્ટેઇનર	Karl Landsteiner
પોલેંડબોલ	Pollandpilko
ઢાંચો:Cite book	Ŝablono:Citaĵo el libro
એલિસેઝ એડવેન્ચર્સ ઇન વન્ડરલેન્ડ	La aventuroj de Alicio en Mirlando
સુભાષ કાક	Subhash Kak
ટ્યૂલિપ	Tulipo
ઇમુ	Emuo
આઈસલેંડનો રાષ્ટ્રધ્વજ	Flago de Islando
સ્વાઈન ફલૂ	Gripa pandemio de 2009
ઈંડોનેશિયાનો રાષ્ટ્રધ્વજ	Flago de Indonezio
ગાબોનનો રાષ્ટ્રધ્વજ	Flago de Gabono
જિબુટીનો રાષ્ટ્રધ્વજ	Flago de Ĝibutio
બાઇનૉક્યુલર	Binoklo
સંક્ષિપ્ત શબ્દ	Mallongigo
હોન્ડુરાસનો રાષ્ટ્રધ્વજ	Flago de Honduro
કેપ વર્દુનો રાષ્ટ્રધ્વજ	Flago de Kaboverdo
ગિની-બિસ્સાઉનો રાષ્ટ્રધ્વજ	Flago de Gvineo Bisaŭa
હૈતીનો રાષ્ટ્રધ્વજ	Flago de Haitia Respubliko
ગ્રેનેડાનો રાષ્ટ્રધ્વજ	Flago de Grenado
બહામાનો રાષ્ટ્રધ્વજ	Flago de la Bahamoj
રવિ શંકર	Ravi Shankar
પલ્‍પ ફિક્શન (ફિલ્‍મ)	Pulp Fiction
બાર્બાડોસનો રાષ્ટ્રધ્વજ	Flago de Barbado
અર્ધ વિરામ	Punktokomo
હુક્કો	Nargileo
છાશ	Buterlakto
માર્કની લખેલી સુવાર્તા	Evangelio laŭ Marko
રાજ્ય	Subŝtato
કીટલી	Bolkruĉo
ગિરનારી કાગડો	Grandbeka korvo
રાધા	Radhao
કાબર	Ordinara minao
મોર બાજ	Kresta akcipitraglo
લેધરબેક કાચબો	Leddorsa martestudo
અલિસિયા કીઝ	Alicia Keys
ગર્ભનિરોધ	Kontraŭkoncipilo
સીસમ	Palisandro
ગીધ	Vulturo
ગોલ્ડફિશ	Orfiŝo (fiŝo)
વિલુપ્ત જાતિ	Formorto
અવાજની ઝડપ	Rapido de sono
નીલ્સ હેન્રીક અબૅલ	Niels Henrik Abel
સ્કોર્પિયન્સ (બેન્ડ)	Scorpions
અંગોલાનો રાષ્ટ્રધ્વજ	Flago de Angolo
મીણ	Vakso
સ્લમડોગ મિલિયોનેર	Slumdog Millionaire
અવાક	Noktardeo
ઈરાનનો રાષ્ટ્રધ્વજ	Flago de Irano
આંગણવાડી	Infanĝardeno
ઍરોસ્મિથ	Aerosmith
મેંગલોર	Mangaloro
ઝેક ગણરાજ્યનો રાષ્ટ્રધ્વજ	Flago de Ĉeĥio
બાંગ્લાદેશનો રાષ્ટ્રધ્વજ	Flago de Bangladeŝo
સમઘટકતા	Izomero
ચરબી	Graso
ઇન્દ્ર	Indro
ભારતના ભાગલા	Dispartigo de Hindio
ગ્રીસનો રાષ્ટ્રધ્વજ	Flago de Grekio
હ્યુજ જેકમેન	Hugh Jackman
યતી (હિમ માનવ)	Jetio
૧૮૫૭નો ભારતીય વિપ્લવ	Ribelo de sipajoj
જ્યોર્જ માઇકલ	George Michael
જાપાનનો ઇતિહાસ	Historio de Japanio
ઇજિપ્તનો રાષ્ટ્રધ્વજ	Flago de Egiptio
બહેરીનનો રાષ્ટ્રધ્વજ	Flago de Barejno
આર્જેન્ટીનાનો રાષ્ટ્રધ્વજ	Flago de Argentino
અન્ના કુર્નિકોવા	Anna Kurnikova
વાયુનું પ્રદૂષણ	Aera poluado
ચીનનો રાષ્ટ્રધ્વજ	Flago de Ĉinio
શરીર વજન અનુક્રમ	Korpomasa indico
અક્ષય વિકાસ	Daŭripova disvolviĝo
સૌંદર્ય પ્રસાધનો	Kosmetiko
મસુર	Lento
વિદ્યુતજનીન	Generatoro
એસોટેરિક (અમુક વ્યક્તિઓ જ સમજી શકે તેવું)	Esoterismo
મંત્ર	Mantro
બૂમરેંગ	Bumerango
ભારતનાં રાજ્યો અને કેન્દ્રશાસિત પ્રદેશો	Ŝtatoj de Barato
ઉચિત વપરાશ	Justa uzo
વાડી	Bieno
જંતુનાશક	Pesticido
રબર	Gumo
કાલિ	Kalio (diino)
ઉત્સવ	Festivalo
આયુર્વેદ	Ajurvedo
અમર્ત્ય સેન	Amartya Sen
રિસાયક્લિંગ	Recikligo
જંગલી કૂતરો	Montara kuono
જીરું	Kumino
બેલારુસનો રાષ્ટ્રધ્વજ	Flago de Belorusio
યમુના	Jamuna
ડિસ્લેક્સીયા	Disleksio
ક્રોએશિયાનો રાષ્ટ્રધ્વજ	Flago de Kroatio
પગ	Kruro
ભારતનો ઇતિહાસ	Historio de Barato
અંધવિશ્વાસ	Superstiĉo
મેથી	Fenugreko
કસિનો	Kazino
કમળો	Iktero
મરકી	Pesto
પ્રાથમિક સારવાર	Sukuro
લિંગ ઉત્થાન	Erektiĝo
હીમોફીલિયા	Hemofilio
તાઓ તે ચીંગ	Daŭdeĝingo
ગેમ્બિયાનો રાષ્ટ્રધ્વજ	Flago de Gambio
એન્ટિગુઆ એન્ડ બાર્બુડાનો રાષ્ટ્રધ્વજ	Flago de Antigvo-Barbudo
ભારતની ભાષાઓની સૂચી	Lingvoj de Barato
ગૂગલ અનુવાદ	Google-Tradukilo
અંકશાસ્ત્ર	Numerologio
દાંતનું ચોકઠું	Dentproteziko
વિકિપીડિયા:સ્ટબ	Reta topologio
સાર્ક	Sud-Azia Unuiĝo por Regiona Kunlaboro
કઠોળ	Guŝo
હાઉ આઇ મેટ યોર મધર	How I Met Your Mother
હોર્નેડ ગુઆન	Kornomutuo
કાજોલ	Kajol
સુબ્રમણ્યન ચંદ્રશેખર	Subrahmanyan Chandrasekhar
જિલ્લો	Distrikto
મદદ:સંપાદન	Helpo:Redakti
પાન્ડુ શામા	Blua rokturdo
કરેણ	Oleandro
રજકો	Luzerno
પેન્શન	Pensio
ડૉ. સર્વપલ્લી રાધાકૃષ્ણન	Sarvepalli Radhakrishnan
માંકડું	Rezuso
કફોત્પાદક ગ્રંથિ	Hipofizo
સાગ	Granda tektono
ચાર્લ્સ લુસિઅન બોનાપાર્ટ	Charles Lucien Bonaparte
રૂખડો (વનસ્પતિ)	Baobabo
ડેઝા વુ	Déjà vu
ગ્વાલિયર	Gvalior
પ્રિયંકા ચોપરા	Prijanka Ĉopra
માધ્યમિક શાળા	Mezlernejo
ડચ ઇસ્ટ ઇંડિયા કંપની	Nederlanda Orient-hinda Kompanio
કેમરૂનનો રાષ્ટ્રધ્વજ	Flago de Kameruno
સંયુક્ત રાષ્ટ્રસંઘના સભ્ય દેશોની યાદી	Membroŝtatoj de Unuiĝintaj Nacioj
બોલપેન	Globkrajono
કોલમ્બિયાનો રાષ્ટ્રધ્વજ	Flago de Kolombio
મહમદ અલી ઝીણા	Muhammad Ali Jinnah
લંડન આઇ (વિરાટ ચકડોળ)	Londona Okulo
ચિત્તભ્રમણા	Deliro
ચીલીનો રાષ્ટ્રધ્વજ	Flago de Ĉilio
પેચીયું (સ્ક્રૂ ડ્રાઇવર)	Ŝraŭboturnilo
શહેરીકરણ	Urbanizado
ક્રમચય	Permutaĵo
અલ્પ વિરામ	Komo
ઇથોપિયાનો રાષ્ટ્રધ્વજ	Flago de Etiopio
સ્વચ્છતા	Higieno
સ્ટેથોસ્કોપ	Stetoskopo
અલ્હાબાદ	Allahabad
ધિરાણનું જોખમ	Kreditrisko
કમ્બોડીયાનો રાષ્ટ્રધ્વજ	Flago de Kamboĝo
ક્યુબાનો રાષ્ટ્રધ્વજ	Flago de Kubo
સોનિયા ગાંધી	Sonia Gandhi
કોંગોનું ગણતંત્રનો રાષ્ટ્રધ્વજ	Flago de Kongo Brazavila
વોલ્વો	Volvo (firmao)
સિલિકૉન વૅલી	Silicon Valley
કોંગોનું લોકતંત્રીય ગણતંત્રનો રાષ્ટ્રધ્વજ	Flago de la Demokratia Respubliko Kongo
કરી (મસાલેદાર રસાવાળી વાની)	Kareaĵo
મરચું	Kapsiketo
પીરોજ	Turkiso
કાર્બ્યુરેટર	Karburilo
ગિનિનો રાષ્ટ્રધ્વજ	Flago de Gvineo
ઈક્વેડોરનો રાષ્ટ્રધ્વજ	Flago de Ekvadoro
મધ્ય આફ્રીકી ગણતંત્રનો રાષ્ટ્રધ્વજ	Flago de la Centr-Afrika Respubliko
ચૅડનો રાષ્ટ્રધ્વજ	Flago de Ĉado
પોલેંડ રાષ્ટ્રીય ફૂટબોલ ટીમ	Pola nacia teamo de futbalo
સાત ઘોર પાપ (ખ્રિસ્તી ધર્મ)	Sep gravegaj pekoj
ઉદ્‌ગારચિહ્ન	Krisigno
કોર્પોરેશન	Entrepreno
મધ્યમા	Mezfingro
તિરુવનંતપુરમ્	Thiruvananthapuram
ભૂસ્ખલન	Terglito
બાષ્પોત્સર્જન	Planta transpirado
તાઈ ચી ચુઆન	Tajĝiĉuano
માયોપીઆ	Miopio
કોમોરોસનો રાષ્ટ્રધ્વજ	Flago de la Komoroj
જામીનગીરીઓ	Valorpapero
વનનાબૂદી	Senarbarigo
કેટ હડસન	Kate Hudson
દાર્જિલિંગ	Darĝiling
શ્રીનગર	Srinagaro
યાટ	Jaĥto
કોસ્ટારિકાનો રાષ્ટ્રધ્વજ	Flago de Kostariko
તાલ	Ritmo (muziko)
વિશ્વ આર્થિક મંચ	Monda Ekonomia Forumo
સ્ક્રેબલ	Skrablo
લીમડો	Hinda azadiraĥto
ફેંગ શુઇ	Fengŝuo
ઈક્વેટોરીયલ ગીનીનો રાષ્ટ્રધ્વજ	Flago de Ekvatora Gvineo
એરિટ્રિયાનો રાષ્ટ્રધ્વજ	Flago de Eritreo
લસિકા ગાંઠ	Limfaj ganglioj
ગયાનાનો રાષ્ટ્રધ્વજ	Flago de Gujano
દાનીયેલ	Danielo (profeto)
ભુવનેશ્વર	Bhubanesvar
આગ્રાનો કિલ્લો	Fortikaĵo Agra
ફ્રેન્ચાઇઝીંગ	Franĉizo
પૂર્ણ વિરામ	Punkto (interpunkcio)
વળગાડ મુક્તિ	Ekzorcismo
સાડી	Sario
કૃષિવિજ્ઞાન	Agronomio
માર્વલ કૉમિક્સ	Marvel Comics
સુવર્ણ માનક	Orbazo
ખાદ્ય પદાર્થની સાચવણી	Konservado
અલ સાલ્વાડોરનો રાષ્ટ્રધ્વજ	Flago de Salvadoro
યરૂશાલેમના હિબ્રુ યુનિવર્સિટી	Hebrea Universitato de Jerusalemo
સિવિલ એવિએશન રાષ્ટ્રીય શાળા	École nationale de l'aviation civile
રાંચી	Ranĉi
કૌંસ	Krampo (interpunkcio)
એગોરાફોબિયા	Agorafobio
વિકિપીડિયા:અવરોધન નીતિ	Vikipedio:Regularo pri forbaro
હિન્દુ-અરેબીક અંકો	Eŭropaj ciferoj
મંગળના ચંદ્રો	Naturaj satelitoj de Marso
સરસ્વતી નદી	Sarasvati (rivero)
મહાવિરામ	Dupunkto
ફુલરિન (Fullerene)	Fulereno
ગ્વાટેમાલાનો રાષ્ટ્રધ્વજ	Flago de Gvatemalo
નિંદામણનાશક	Herbicido
તર્ક	Racio
સોનેરી પીઠવાળું લક્કડખોદ	Nigrapuga fajrdorsulo
કબજિયાત	Konstipo
કાંડા ઘડિયાળ	Brakhorloĝo
ખજુરાહો	Khaĝuraho
ઍલ્કેમિસ્ટ	La alkemiisto
ફતેહપૂર સિક્રી	Fatehpur Sikri
ડોમિનિકાનો રાષ્ટ્રધ્વજ	Flago de Dominiko
શિયાળુ મોટી ડુબકી	Grizvanga grebo
અવકાશ સંશોધન	Kosmoesploro
રૂપેરી પેણ	Makulbeka pelikano
કચરાનો પ્રબંધ	Rubmastrumado
સુવર્ણ મંદિર, અમૃતસર	Harmandir Sahib
એના નિકોલ સ્મિથ	Anna Nicole Smith
મેલાટોનિન	Melatonino
એપોલો ૧૭	Apollo 17
સાંચીનો સ્તુપ	Sanĉi
કપૂર	Kamforo
ફીજીનો રાષ્ટ્રધ્વજ	Flago de la Fiĝioj
રેકી	Rejkio
રામકૃષ્ણ પરમહંસ	Ramakriŝna
પાણીનું પ્રદૂષણ	Akvopoluado
વિગતવાર વિજ્ઞાન પોલીટેકનિક ઇન્સ્ટિટ્યુટ	Institut polytechnique des sciences avancées
કો-ઍક્સિયલ કેબલ	Samaksa kablo
હલવો	Halvao
લાલી (લિપસ્ટીક)	Lipoŝminko
ડોમિનિકન ગણતંત્રનો રાષ્ટ્રધ્વજ	Flago de Domingo
ગૉડફ્રે હારૉલ્ડ હાર્ડિ	Godfrey Harold Hardy
અજંતાની ગુફાઓ	Aĝanto
રૂઢિપ્રયોગ	Idiotismo
તર્જની	Montrofingro
સિકલસેલ એનીમિયા રોગ	Serpoĉela anemio
શિયાળુ નાની ડુબકી	Nigrakola grebo
શ્રેણી:મેના-કાબર કુટુંબ	Sturnedoj
કાંડુ (શરીર)	Pojno
અર્જુન	Arĵuno
વૈશ્ય	Vaiŝjo
ફિઝિયોથેરાપી	Fizioterapio
અયોધ્યા	Ajodhjo
ગંગટોક	Gangtok
ધર્મશાલા	Dharamsala
મેડમ તુસાદ સંગ્રહાલય	Madame Tussauds
અભિષેક બચ્ચન	Abhishek Bachchan
વિકીમેપિયા	WikiMapia
મોનોરેલ	Unurelvojo
પોલિએસ્ટર	Poliestero
કુદરતી સંપત્તિ	Krudmaterialo
હનુમાન	Hanumano
ઝરખ	Hieno
પ્રીટિ ઝિન્ટા	Preity Zinta
સહી (હસ્તાક્ષર)	Subskribo
ખેતર	Kampo (agrikulturo)
શિક્ષક દિન	Tago de instruisto
મત્સ્યઉછેર	Akvokulturo
ઇલોરાની ગુફાઓ	Ellora
હુમાયુનો મકબરો	Tombo de Humajun
અષ્ટાધ્યાયી	Panini
મતદાન	Voĉdonado
શક સંવત	Hinda kalendaro
વિલવણીકરણ	Sensaligo
લૌહ અયસ્ક	Fererco
કરકરો	Fraŭlingruo
નાણાકીય વર્ષ	Financa jaro
ભારતીય વાનગીઓ	Barata kuirarto
અનામિકા	Ringofingro
વ્યાપાર ચક્ર	Konjunkturo
બાળ કામદાર	Infanlaboro
વ્યવસાય	Verko
રાજગીધ	Reĝa katarto
કાઝીરંગા રાષ્ટ્રીય ઉદ્યાન	Nacia Parko Kaziranga
ઋતુ-પ્રવાસ	Bestomigrado
ક્રોપ સર્કલ	Agroglifoj
ખંજરી (વાદ્ય)	Tamburino
બંજી જમ્પિંગ	Saltado sur ŝnuro
રાજેન્દ્ર પ્રસાદ	Rajendra Prasad
લીલો દરીયાઈ કાચબો	Kelonio
દેહરાદૂન	Dehradun
ગુવાહાટી	Guvahati
લેસર પ્રિન્ટર	Lasera presilo
વિશાખાપટનમ	Visakhapatnam
વિજયવાડા	Vijajaŭada
જોધપુર	Ĝodhpur
અજમેર	Aĝmer
લુધિયાણા	Ludhiana
નાસિક	Nasiko
મેરઠ	Merath
પારસી	Parsioj
મથુરા	Mathura
ઉદયપુર	Udaipur
ફરીદાબાદ	Faridabado
લડાખ	Ladako
ઔરંગાબાદ	Aŭrangabado (Maharaŝtro)
જબલપુર	Ĝabalpur
વાર્ટા નદી (યુરોપ)	Varto
અલીગઢ	Aligarh
વાટાઘાટ	Traktado
બ્રહ્મગુપ્ત	Brahmagupta
વામકુક્ષિ	Siesto
કાળી ચા	Nigra teo
ખાદ્ય અને ઔષધ વહીવટીતંત્ર	Usona Manĝo kaj Drogo Servo
હાવડા	Haora
જેટ વિમાન	Reagaviadilo
ગાઝિયાબાદ	Gaziabad
રીવર રાફ્ટિંગ	Flosado
કટક	Kataka
યુરોપ દિન	Eŭropa tago
મહાબલીપુરમ	Mahabalipuram
સૂડો	Kolumpapago
૧૯૬૨નું ભારત-ચીન યુદ્ધ	Ĉin-barata Milito
ઉંચાઇ	Alto
કોલ્હાપૂર	Kolhapur
ઓછી ચિંતાજનક જાતિ	Malplej zorgiga
ઘાસચારો	Furaĝo
સુગરી	Ploceedoj
બરેલી	Barejli
વારંગલ	Warangal
નિસર્ગોપચાર	Naturkuracado
ગાંધાર	Gandhara
યાયાવર પક્ષીઓ	Birdomigrado
એમપી	Mp
ગુર્જીય્ફ	Georgij Gurĝijev
મોરારજી દેસાઈ	Morarji Desai
સાબુદાણા	Saguo
વુઝૂ	Vozuo
દલિત	Dalito
ગટરવ્યવસ્થા	Akvopurigejo
બપૈયો	Akcipitra kukolo
કાચબો	Testuduloj
ઓલ ઈન્ડિયા મુસ્લિમ લીગ	Tuthindia Islama Ligo
અળવી (વનસ્પતિ)	Taro (planto)
કનીષ્ઠિકા	Etfingro
તાળું	Seruro
મદુરાઇ	Maduraj
કળિયુગ	Kali Juga
કેથોલિક યુનિવર્સિટી ઓફ સેકર્ડ હર્ટ	Università Cattolica del Sacro Cuore
રાષ્ટ્રીય પંચાંગ	Barata nacia kalendaro
ઇસરો	Barata Organizo pri Kosmo Esplorado
લોક સભા	Lok Sabha
ઉજળી પટ્ટાઇ	Stepcirkuo
અણ્ણા હઝારે	Anna Hazare
ઓરકુટ	Orkut
ડૉ. ભીમરાવ રામજી આંબેડકર	Bhimrao Ramji Ambedkar
સમાંતર કમ્પ્યુટિંગ	Paralela komputado
અટલ બિહારી વાજપેયી	Atal Bihari Vajpayee
માન સરોવર	Lago Manasarovar
જામા મસ્જિદ, દિલ્હી	Moskeo de la Vendredoj
ક્વિંગઝાંગ રેલ્વે	Ĉinghaj-Tibeta fervojo
નર્મદા નદી	Narmado
કોહિમા	Kohima
બીલી	Aegle marmelos
નમાજ઼	Salat
એ.સી. ભક્તિવેદાંત સ્વામી પ્રભુપાદ	A.C. Bhaktivedanta Svami Prabhupada
સુકો મેવો	Seka frukto
સોનોગ્રાફી પરીક્ષણ	Sonografio
હજ	Haĝo
પરંપરાગત સંગીત	Popola muziko
કેવલાદેવ રાષ્ટ્રીય ઉદ્યાન	Nacia Parko Keoladeo
છત્રપતિ શિવાજી ટર્મિનસ	Chhatrapati Shivaji
ગોખરુ (વનસ્પતિ)	Tera tribuluso
સોલાપૂર	Solapur
દાંડી સત્યાગ્રહ	Salomarŝo
શિવાજી	Ŝivaĝi
મધ્યમ વર્ગ	Meza klaso
સહરાનપુર	Saharanpur
જેસલમેર	Jaisalmer
બોરડી	Jujubarbo
ભાવનગર	Bhavnagar
મખમલ	Veluro
ગોરખપુર	Gorakhpur
હેલોવીન	Halloween
ફિફા	FIFA
પેટન્ટ	Patento
જુવાર	Milio
ક્ષેત્રફળ પ્રમાણે વિશ્વના દેશોની યાદી	Listo de landoj laŭ areo
સાંઇબાબા	Sai Baba de Shirdi
કોયલ કુટુંબ	Koeloj
માયાવતી	Mayawati Kumari
દૈયડ	Orienta pigonajtingalo
