ఆఫ్రికా	Afriko
వ్యాసుడు	Vjaso
టాటా గ్రూప్	Tata (firmao)
సరస్సు కొంగ	Ruĝkola gruo
రవాణా విధానం	Veturilo
దేవమాత	Patrino Tero
అక్టోబర్ 2005	Oktobro de 2005
ఖాజీ నజ్రుల్ ఇస్లాం	Kazi Nazrul Islam
అబూబక్ర్	Abu Bakr
మసనోబు ఫుకుఒక	Fukuoka Masanobu
గడ్డివాము	Fojno
గిర్ అభయారణ్యం	Gir-arbara Nacia Parko
టాంగో (నృత్యం)	Tango
రోసిడ్స్	Rozedoj (klado)
హిప్పీ	Hipio
షట్టరు వేగం	Eksponperiodo (fotado)
ద్రవీకృత పెట్రోలియం వాయువు	LPG
లీ డి ఫారెస్ట్	Lee De Forest
చిణువు	Rastrumero
నికొనార్‌ పారా	Nicanor Parra
డేవిడ్ ఎడ్వర్డ్ హ్యుస్	David E. Hughes
ఇంటి శతపాదులు	Hejma centpiedulo
ఆంగ్లో ఇండియన్	Anglo-Hinda
క్షవరం	Razado
విక్టర్ కేసినోలు	Victor Kozin
నవంబర్ 2005	Novembro de 2005
రాయ్‌పుర్	Rajpuro
చిట్టగాంగ్	Ĉitagongo
కొత్తగా పారిశ్రామికీకరణ చెందుతున్న దేశం	Sojlolando
సీనాయి పర్వతం	Monto Sinajo
ఉస్తాద్ బిస్మిల్లాఖాన్	Bismillah Ĥan
బీజకోశం	Ovolo (plantoscienco)
వృత్తి చికిత్స	Okup-terapio
మోతీలాల్ నెహ్రూ	Motilal Nehru
సేంద్రీయ ఆహారం	Ekologia manĝaĵo
ప్రతిజ్ఞ	Ĵuro
జల్లెడ	Kribrilo
సెమోలినా	Semolo
నిర్మాణము	Konstruado
కురుక్షేత్ర సంగ్రామం	Milito de Kurukŝetro
బుల్లెట్‌ప్రూఫ్ జాకెట్	Kuglorezista veŝto
దుప్పటి	Litotuko
ఆగా ఖాన్	Aga Ĥan
పొలుసు	Skalo
అగ్ని (దేవుడు)	Agni
తొట్టి	TUB
దుంపరాష్ట్రము	Galango
బంగారు పతకం	Ormedalo
థియోఫిలిన్	Teofilino
లారిక్ ఆమ్లం	Laŭra acido
నీలిమందు	Indigo (farbo)
రిసినోలిక్ ఆమ్లం	Ricinoleata acido
అల్ అక్సా మస్జిద్	Moskeo Al-Aksa
కంప్యూటర్ ఇంజనీరింగ్	Komputada inĝenierarto
మస్జిదుల్ హరామ్	Masĝid al-Haram
సాంగ్లీ	Sangli
లక్క	Ŝelako
నల్లపాముల గద్ద	Kresta serpentaglo
అమర్నాథ్	Amarnath
హస్తినాపురం	Hastinapuro
స్కేల	Scala (programlingvo)
డార్జిలింగ్ హిమాలయన్ రైల్వే	Darĝilinga Himalaja Fervojo
అంతర్జాతీయ జీవవైవిధ్య దినోత్సవం	Monda Biodiverseca Tago
డిసెంబర్ 2005	Decembro de 2005
అనీ బిసెంట్	Annie Besant
ఈద్-ఉల్-ఫితర్	Eid ul-Fitr
విజయలక్ష్మి పండిట్	Vijaya Lakshmi Pandit
తూర్పు కనుమలు	Orientaj Ghatoj
మాతా అమృతానందమయి	Mata Amritanandamayi
మర్రి	Banjano
ప్రతిభ	Alta intelekto
మీర్ ఉస్మాన్ అలీ ఖాన్	Asaf Jah la 7-a
శివ లింగము	Lingamo
గుడ్లగూబ కోతి	Noktosimio
మొగిలి	Pandano
సీతాఫలం	Reteta anono
ఉల్బం	Amnio
సంతులిత ఆహారం (పోషకాహారం)	Dieto (nutrado)
నౌకానిర్మాణం	Ŝipkonstruado
పల్లకి	Portilo
భారత రాజ్యాంగం	Konstitucio de Barato
చిత్రము	Bildo
ఏమీ ఆడమ్స్	Amy Adams
షరియా	Ŝario
గజము (పొడవు)	Jardo (mezurunuo)
పారాచూట్	Paraŝuto
వెన్నెముక	Vertebraro
బ్రయాన్ ఆడమ్స్	Bryan Adams
విండోస్ 98	Windows 98
వికీమానియా	Vikimanio
కళా ప్రక్రియ	Ĝenro
ది క్రానికల్స్ ఆఫ్ నార్నియా	Kronikoj de Narnio
కళాకారుడు	Artisto
వాల్-మార్ట్	Walmart
క్లౌడ్ కంప్యూటింగ్	Nuba komputado
సున్నీ ఇస్లాం	Sunaismo
సత్య సాయి బాబా	Sai Baba
షిండ్లర్స్ లిస్ట్	Schindler's List
పేపాల్	PayPal
ముహమ్మద్ ఇక్బాల్	Muhammad Ikbal
ఫిఖహ్	Fikho
గురువు	Guruo
ఉపరితలం	Surfaco
కులం	Kasto
పెసలు	Mungfabo
బమియాన్ బుద్ధ విగ్రహాలు	Budhoj el Bamijan
ఇ-కామర్స్	Elektronika komerco
వాసన	Odoro
ఔరంగజేబు	Aŭrangzebo
రెడ్ హ్యాట్	Red Hat
క్షారం	Alkalo
చికెన్ పులావ్	Pilafo
మస్జిదె నబవి	Moskeo de la Profeto
హుమాయూన్	Humajun
ఇస్లామోఫోబియా	Islamofobio
పార్లమెంటు సభ్యుడు	Parlamentano
ఏడు పురాతన ప్రపంచ అద్భుతాలు	Sep mirindaĵoj de la antikva mondo
ఇజ్రాయీల్	Azraelo
సమోసా	Samoso (manĝaĵo)
పశ్చాత్తాపం	Pentofaro
దాగలి	Inkudo
కర్ణాంతరాస్థి	Piedingo (anatomio)
సైక్లోస్టొమేటా	Rondbuŝuloj
సార్కాప్టిస్ స్కేబీ	Sarcoptes scabiei
మృదులాస్థి	Kartilago
ది కామెడీ ఆఫ్ ఎర్రర్స్	La komedio de eraroj
అపాచే టాంక్యాట్	Apache Tomcat
ఔషధ తయారీ సంస్థలు	Farmacia industrio
అర్హీనియస్ ఆమ్ల క్షార సిద్ధాంతము	Ekvacio de Arrhenius
నెస్టోరిని	Nestor (genro)
ఓపెన్ ఆఫీస్	OpenOffice
ఈదుల్ అజ్ హా	Eid ul-Adha
బ్రహ్మచారి	Fraŭlo
జి స్పాట్	Punkto de Gräfenberg
షార్ప్‌విల్లే మారణకాండ	Masakro de Sharpeville
ముడి	Nodo (kunigo)
రొనాల్డో	Ronaldo
ఆసనాస్థి	Iskio
దక్షిణ భారతదేశము	Suda Barato
చెదలు	Termito
మల్చింగ్‌	Mulĉo
తీగ	Drato
SAP AG	SAP AG
క్రైస్తవులపై అకృత్యాలు	Persekutado de kristanoj
బి. కె. ఎస్. అయ్యంగార్	B.K.S. Iyengar
బిక్సేసి	Biksaceoj
సయాటికా	Iskiatalgio
క్రైస్తవ ఛాందసవాదం	Radikala kristanismo
డిప్టెరోకార్పేసి	Dipterokarpacoj
వరిబీజం	Hidrocelo
ఆరోవిల్	Aŭrorurbo
సినిమాటోగ్రఫీ	Kino
వాణిజ్యం	Komerco
ఉపన్యాసం	Lekcio
సుడిగుండం	Kirlo
అనిష్ప సంఖ్య	Neracionala nombro
తల్లివేరు	Pivotradiko
జనమేజయుడు	Ĝanameĝaja
ప్రతిపక్ష నాయకుడు	Gvidanto de opozicio
గ్లైసీన్	Glicino
ఆస్తికవాదం	Teismo
ప్రియుడు	Koramiko
నైట్‌ క్లబ్	Noktoklubo
కకా	Kako (birdo)
దీవెన	Beno
ఆరావళీ పర్వత శ్రేణులు	Aravali-Montaro
అవశేషావయవము	Vestiĝieco
కార్టూన్	Kartuno
శ్రామిక చట్టం	Labora juro
నాణేల సేకరణ శాస్త్రం	Numismatiko
భారత పురాతత్వ శాఖ	Arkeologia Enketo de Barato
హోమినిడే	Homedoj
ప్రపంచ పర్యాటక దినోత్సవం	Monda Tago de Turismo
అరాచిస్	Arakido
సైకిల్ పంపు	Bicikla pumpilo
పాడి పరిశ్రమ	Laktouzino
పరిరక్షణ జీవశాస్త్రం	Konserva biologio
పారాథైరాయిడ్ గ్రంధి	Paratiroido
దేశాల జాబితా – ఎత్తైన స్థలం క్రమంలో	Listo de la plej altaj montoj de ĉiu lando
భారత్ పాకిస్తాన్ యుద్ధం 1947	Unua Kaŝmira Milito
కాథెటర్	Katetero
డెనిమ్	Ĝinzoŝtofo
లోటస్ 1-2-3	Lotus 1-2-3
వర్ణపటం	Spektro
పుట్టగొడుగుల పెంపకం	Manĝeblaj fungoj
ఇస్లామీయ లిపీ కళాకృతులు	Arabskriba kaligrafio
ధూమపానం	Fumado
ఐజాక్	Isaak
మాచు పిచ్చు	Maĉupikĉuo
విపాసన	Vipassano
తెలంగాణ	Telangano
వాస్తవ ఆస్తి	Nemoveblaĵo
హెయిర్ ట్రాన్స్‌ప్లాంటేషన్‌	Harara enplantado
ఒలింపస్ కార్పొరేషన్	Olympus
అంతర్జాతీయ వృక్ష నామీకరణ నియమావళి	Internacia Kodo de Nomenklaturo por algoj, fungoj kaj plantoj
సిపాయి	Sipajo
దేశాల జాబితా – జనసంఖ్య క్రమంలో	Listo de landoj laŭ loĝantaro
అధివృక్క గ్రంధి	Surrena glando
ప్రపంచంలోని కొత్త ఏడు అద్భుతాలు	Novaj sep mirindaĵoj de la mondo
క్రిస్ మార్టిన్	Chris Martin
శ్రోణి మేఖల	Pelvo
టెయిడ్ నేషనల్ పార్క్	Nacia Parko de Teide
వాల్మీకి	Valmikio
బొంబాక్స్	Bombako
గాసిపియమ్	Kotonujo
హిస్సాప్	Hisopo
యు.ఆర్.అనంతమూర్తి	U R Ananthamurthy
ఋగ్వేదం	Rigvedo
బ్రంచ్	Frutagmanĝo
మాంసకృత్తుల ఆకృతి	Proteina strukturo
శుక్రవాహిక	Spermodukto
సోలార్ ఇంపల్స్	Solar impulse
మృదంగం	Mridangamo
ఇస్లామీయ స్వర్ణయుగం	Islama Orepoko
బిందు సేద్యం	Gutiga irigacio
పలుగుపార	Trulo
కోణార్క్	Konarako
స్క్రీన్ సేవర్	Ekrankurteno
సరుగుడు	Kasuarino
రమ్మీ	Rumio
క్రిమియా	Aŭtonoma Respubliko Krimeo
జలరాట్నం	Norio
సీస్తాన్	Sistano
భాగల్పూర్	Bagalpur
జెముడుకాకి	Granda centropo
కటకము (వస్తువు)	Lenso (optiko)
స్ప్రింగ్ త్రాసు	Risortopesilo
ఛాందోగ్యోపనిషత్తు	Ĉandogja upaniŝado
కోరిక	Avido
నాటడం	Semado
ముస్లిం ప్రపంచం	Islama mondo
తెలుగు సినిమా	Tollywood
గ్రాఫికల్ యూజర్ ఇంటర్ ఫేస్	Grafika uzantinterfaco
విషయ వ్యక్తీకరణ	Dokumentaro
అడవి నల్ల గద్ద	Nigra aglo (birdo)
పుట్ట	Formikejo
షాపింగ్ బండి	Aĉetĉareto
బాబర్	Babur
షింటో మతము	Ŝintoismo
42 (సంఖ్య)	42 (nombro)
వక్ఫ్	Ŭakfo
భాషా అభ్యాసన	Akirado de lingvaĵo
ప్రథమ చికిత్స వస్తు సామగ్రి	Sukurkesto
జాగింగ్	Sanfortiga trotado
బెంగాల్ సాంస్కృతిక పునరుజ్జీవనము	Bengalia Renesanco
అవిసె నూనె	Linoleo
సల్వార్ కమీజ్	Ŝaravaro
కిలోమీటరు	Kilometro
బాబ్	BOB
బైట్ కోడ్	Bajtkodo
గుండు సూది	Pinglo
ఇరిటబుల్ బవెల్ సిండ్రోమ్	Agaciĝa intesta sindromo
కల్లు	Palmovino
ఎండోమెట్రియమ్	Endometrio
చాతక పక్షి	Makulkukolo
లాంప్రే	Petromizo
కార్బన్-14	Karbono-14
కలరిపయట్టు	Kalarippayattu
కొబ్బరిపాలు	Kokoslakto
పురుష జననేంద్రియ వ్యవస్థ	Viraj seksorganoj
నెమరువేయు జంతువులు	Remaĉuloj
మాగాణి	Rizkampo
స్త్రీ జననేంద్రియ వ్యవస్థ	Virinaj seksorganoj
కుంతీదేవి	Kunti
మహా జనపదాలు	Mahajanapado
బఫే	Bufedo
పటిక బెల్లం	Kando
దేశాల జాబితా – అక్షరాస్యత క్రమంలో	Listo de ŝtatoj laŭ procento de homoj, kiuj kapablas legi
విద్యుదయస్కాంతత్వం	Elektromagneta forto
హిరా గుహ	Hira
ఎర్ర లోరీ	Skarlata lorio
విజేత (ఛాంపియన్)	Ĉampiono
రూఫస్ ఆర్నెరో	Ruĝa furnario
తోలుబొమ్మలాట	Ombroludo
దొంగనోటు	Monfalsado
బీడీ	Bidio
పాండురాజు	Panduo
ఘటం (వాయిద్యం)	Gatamo
లాంతరు	Lanterno
బైనరీ కోడ్	Duuma kodo
బట్టమేక పిట్ట	Hindia otido
ప్రపంచ ఉపాధ్యాయుల దినోత్సవము	Internacia tago de instruistoj
నోబెల్ బహుమతి పొందిన మహిళల జాబితా	Nobel-premiitinoj
ఈసప్ కథలు	Fabloj de Ezopo
బాలభటులు	Skoltismo
యోనిశీర్షం	Klitoro
కర్ర పెండలము	Tapioko
విలుప్తమైన జంతువుల జాబితా	Formortintaj bestoj
పండు నిర్మాణ శాస్త్రం	Ĉirkaŭfrukto
ఆధునిక వాదం	Modernismo
2007–2009 ఆర్థిక సంక్షోభం	Financa krizo de 2008
సోలార్ కుక్కర్ (సౌర వంటపాత్ర)	Sunkaldrono
మత మార్పిడి	Konverto (religio)
డాక్టర్ చేప	Kuracistofiŝo
ద్రవాభిసరణ క్రమత	Osmoregado
గుగ్గిలం కలప చెట్టు	Fortika ŝoreo
నక్సలైటు	Naksalitoj
అమృతము	Eliksiro
డాక్టర్ ఆఫ్ మెడిసిన్	MUDr.
సహాయం:సూచిక	Helpo:Enhavo
లేఖకుడు	Skribisto
జ్ఞానపీఠ పురస్కారం	Gjanpith
పాదులు	Rebo
అప్పడాలు	Papadamo
ధృతరాష్ట్రుడు	Dritaraŝtro
కాచు	Kateĉuo
కామా-సపరేటెడ్-వేల్యూస్	CSV
కశేరు నాడులు	Spina nervo
నెమలి సింహాసనం	Pavotrono
నల్లి	Cimo (insekto)
రాచ ఉసిరి	Phyllanthus acidus
మోదుగ	Butea monosperma
నైమిశారణ్యం	Naimiŝo
తెల్ల జిల్లేడు	Sodoma pomo
నంద వంశం	Nanda dinastio
విలియం రామ్సే	William Ramsay
అల్లుడు	Boparenco
డీఫైబ్రిలేషన్	Defibrilatoro
పచ్చి రొట్ట ఎరువు	Verda sterkado
కర్ణాటక సంగీతము	Karnatika muziko
వెయిస్ట్ కోట్	Veŝto
గరిక	Cinodonto
సెప్టెంబర్ 2006	Septembro de 2006
క్షిపణి	Misilo
ప్రాథమిక విద్య	Elementa lernejo
ధర్మరాజు	Judiŝtiro
షేక్ అబ్దుల్లా	Mohammed Abdullah
లైఫ్ సపోర్ట్ సిస్టం	Vivtena sistemo
రాజ్‌కుమార్	Rajkumar
రక్తనాళాలు	Sanga vaskulo
ఎక్జిమా	Ekzemo
సౌభ్రాతృత్వం	Fratrio
ఫ్లైట్ రికార్డర్	Nigra skatolo (aviadilo)
బాష్పీభవన స్థానం	Bolpunkto
మండ్య	Mandya
శాంతినికేతన్	Shantiniketan
దినారా సఫీనా	Dinara Safina
జీర్ణకోశం	Stomako
హాలీ బెర్రీ	Halle Berry
ఎండ్రకాయ	Omaro
ఫీలే ల్యాండర్	Philae (alterigilo)
వాట్స్‌యాప్	WhatsApp
పూస	Artefarita perlo
ద్రౌపది	Draŭpadi
ఉత్తర భారతదేశము	Norda Hindio
స్వర్ణ దీర్ఘచతురస్రం	Ora ortangulo
లాక్టోబాసిల్లస్	Laktobacilo
వార్షికోత్సవం	Datreveno
కచ్	Kutĉ-Distrikto
కురు వంశం	Kuruoj
కారము	Ĉilia pulvoro
నిర్విషీకరణ	Sentoksigo
ఛాయాచిత్ర కళాకారుల జాబితా	Listo de fotistoj
జ్యోతి	Ner Tamid
లాంటానా	Lentano
ఉద్యానవనం	Ĝardeno
శకునం	Omeno
సుజుకి హయబుస	Suzuki Hayabusa
భారతదేశంలో జాతీయ వనాలు	Naciaj parkoj de Hindujo
కుమ్మరి చక్రం	Potista rado
టప్పర్‌వేర్	Tupperware
ఓపెన్ సోర్సు సాఫ్ట్​వేర్	Malfermkoda programaro
తెప్ప	Koraklo
నస్తలీఖ్ లిపి	Persa belskribo
వివాహ వార్షికోత్సవం	Nuptaj jubileoj
కషాయం	Dekoktado
పక్షిగూడు	Birdonesto
దీపం	Lampo
పప్పు	Dal
భారత గణతంత్ర దినోత్సవం	Tago de Respubliko en Barato
పూరీ	Purio (manĝaĵo)
పైకప్పు పంఖా	Plafona ventumilo
మెట్రిక్యులేషన్	Enmatrikuligo
వికీపీడియా:దౌత్య కార్యాలయము	Vikipedio:Ambasadorejo
డిసెంబర్ 2006	Decembro de 2006
జరాయువు	Placento
ముళ్ళపంది	Histriko
భాగహారం	Divido
ఖురిత జంతువు	Hufuloj
ఫెలోపియన్ నాళాలు	Ovodukto
విమానాశ్రయం	Flughaveno
కలివికోడి	Bildokapa kurulo
సొర కాయ	Lagenario
కుటుంబ నియంత్రణ	Familiplanado
కంప్యూటర్ నెట్వర్క్	Komputila reto
రాళ్లమొక్క	Rokplanto
సంచి	Sako
చారిత్రక దినములు	Listo de historiaj eventoj
నిర్ణయం తీసుకోవటం	Decido
డిస్క్ స్టోరేజ్	Disko (komputiko)
ఎరిత్రినా	Eritrino
వర్గం:కంప్యూటర్ ఇంజనీరింగ్	Kategorio:Komputika inĝenierarto
పరీక్ష	Ekzameno
క్యాండీలు (బ్యాండ్)	Candies
యుకే పోస్ట్ కోడులు	Poŝtkodoj en Britio
పలక	Skribardezo
చెట్టు ఎక్కుట	Arbogrimpado
పటకారు	Forcepso
వికీపీడియా:పదకోశం	Helpo:Vikipedia terminaro
గోరా	Goparaju Ramachandra Rao
సంశయవాదం	Metodologia Dubo
ఏనిమల్ ఫార్మ్	La Besto-Farmo
దుర్యోధనుడు	Durjodano
వర్గం:జర్మనీ	Kategorio:Germanio
వర్గం:ఇటలీ	Kategorio:Italio
వర్గం:అమెరికా	Kategorio:Usono
వర్గం:రష్యా	Kategorio:Rusio
వర్గం:స్పెయిన్	Kategorio:Hispanio
వర్గం:చైనా	Kategorio:Ĉinio
వర్గం:భారత దేశము	Kategorio:Barato
వర్గం:సౌదీ అరేబియా	Kategorio:Sauda Arabio
వర్గం:టర్కీ	Kategorio:Turkio
వర్గం:ఈజిప్టు	Kategorio:Egiptio
వర్గం:ఇరాన్	Kategorio:Irano
భారత ఆర్థిక మంత్రి	Ministro de Financoj (Barato)
అంతర్జాతీయ సత్యాగ్రహ దినోత్సవం	Internacia tago de senperforto
పొట్టు	Glumo
జమ్ము గడ్డి	Schoenoplectus
సాహసకృత్యం	Aventuro
శెలవు	Festaj kaj feriaj tagoj
వర్గం:ఆస్ట్రియా	Kategorio:Aŭstrio
వర్గం:బంగ్లాదేశ్	Kategorio:Bangladeŝo
వర్గం:ఇండోనేసియా	Kategorio:Indonezio
వర్గం:ఇరాక్	Kategorio:Irako
వర్గం:పాకిస్తాన్	Kategorio:Pakistano
వర్గం:క్షీరదాలు	Kategorio:Mamuloj
వర్గం:సరీసృపాలు	Kategorio:Reptilioj
వర్గం:ఉభయచరాలు	Kategorio:Amfibioj
వర్గం:పక్షులు	Kategorio:Birdoj
వర్గం:శిలీంధ్రాలు	Kategorio:Fungoj
వర్గం:బాక్టీరియా	Kategorio:Bakterioj
వర్గం:మొక్కలు	Kategorio:Plantoj
వర్గం:భౌతిక శాస్త్రము	Kategorio:Fiziko
వర్గం:విజ్ఞాన శాస్త్రము	Kategorio:Naturscienco
వర్గం:జీవ శాస్త్రము	Kategorio:Biologio
వర్గం:రసాయన శాస్త్రము	Kategorio:Kemio
వర్గం:చరిత్ర	Kategorio:Historio
వర్గం:భూగోళ శాస్త్రము	Kategorio:Geografio
వర్గం:సినిమా	Kategorio:Kino
వర్గం:సమాచార సాధనాలు	Kategorio:Komunikado
వర్గం:భూమి	Kategorio:Tero
వర్గం:సమాచారం	Kategorio:Informado
టెర్మినేలియా	Terminalio
నాగర్‌హోల్ జాతీయవనము	Nacia Parko Nagarhole
ఆమ్ల దాడి	Acida atenco
వేడి గాలి బెలూన్	Varmaerbalono
నక్షత్ర ఆపిల్	Stelpomo
హాకీ	Hokeo
కన్నెపొర	Himeno
యాత్ర	Pilgrimado
కొమ్మిఫోరా	Komiforo
ఒలింపిక్	Olympic
జనవరి 2007	Januaro de 2007
లాప్‌కాట్	LAPCAT
అమృతా ప్రీతం	Amrita Pritam
వర్గం:2012 మరణాలు	Kategorio:Mortintoj en 2012
పురాతన రోమ్	Romio
కార్బన్ పేపర్	Karbopapero
పునుగు పిల్లి	Vivero
మాద్రి	Madri
గోండీ	Gonda lingvo
కార్మోరాంట్ ఫిషింగ్	Kormorana fiŝkaptado
వక్క	Betelaĵo
శ్రీహరికోట	Sriharikoto
తిమింగలము	Baleno
నిద్రలేమి	Sendormeco
పెండలం	Ube-ignamo
ప్రతిభా రాయ్	Pratibha Ray
ఇండియన్ ఎక్స్‌ప్రెస్	The Indian Express
అదృష్టం	Bonŝanco
శంతనుడు	Ŝantano
పురుషవాదం	Virismo
వర్గం:అయోమయ నివృత్తి	Kategorio:Apartigiloj
వర్గం:తత్వశాస్త్రం	Kategorio:Filozofio
వర్గం:మానసిక శాస్త్రము	Kategorio:Psikologio
వర్గం:బౌద్ధ మతము	Kategorio:Budhismo
వర్గం:క్రైస్తవ మతము	Kategorio:Kristanismo
విచిత్రవీర్యుడు	Viĉitravirjo
దిష్టిబొమ్మ	Birdotimigilo
చిత్రాంగదుడు	Ĉitrangado
అక్టోబర్ 2006	Oktobro de 2006
విదురుడు	Viduro
కొలత పరికరం	Mezurilo
సత్యవతి (మహాభారతం)	Satjavati
పరీక్షిత్తు	Parikŝito
చిల్కా సరస్సు	Ĉiliko
గద్ద	Aglo
సగం	Duono
జోహాన్స్	Johano (nomo)
మార్స్ ఆర్బిటర్ మిషన్	Mangaljano
స్కర్టు	Jupo
వెట్టి చాకిరి	Kvazaŭsklavigo pro ŝuldoj
పారో తక్త్సంగ్	Taktŝango
ఇందిరా గోస్వామి	Indira Goswami
సెప్టెంబర్ 2007	Septembro de 2007
స్పైడర్ మాన్ ఫిలిం సిరీస్	Spider-Man (filma serio)
రాజ పనస	Durio
నైఋతి	Sudokcidento
గొలుసు	Ĉeno
ఇస్లామిక్ స్టేట్ ఇన్ ఇరాక్ అండ్ ది లెవంట్	Islama Ŝtato de Irako kaj Sirio
తలపాగా	Turbano
కాంగ్రెసు	Kongreso
వేదాంతము	Vedanto
అడుగు జాడలు	Piedsigno
బోర్డు గేమ్‌ల జాబితా	Listo de tabulludoj laŭ ĝenro
నందమూరి తారక రామారావు	N. T. Rama Rao
పరువు హత్యలు	Honormurdo
తారక్ మెహతా కా ఉల్టా ఛష్మా	Taarak Mehta Ka Ooltah Chashmah
దొంగతనం	Ŝtelo
మేళకర్త రాగాలు	Melakarto
నువ్వులు	Hindia sezamo
రైల్‌రోడ్ ఇంజనీర్	Lokomotivestro
మధ్యమం	Meznombro
విగ్రహారాధన	Idolo
మూస:Location map USA2	Ŝablono:Situo sur mapo Usono2
కొమ్మ	Branĉo
వర్గం:సంస్కృతి	Kategorio:Kulturo
వర్గం:సంవత్సరాలు	Kategorio:Jaroj
జి. శంకర కురుప్	G Sankara Kurup
ఎండ్మండ్ డెబోమర్చే	Edmond Debeaumarché
ముఖం (జ్యామితి)	Edro
యుద్ధనౌక	Militŝipo
గుంటూరు	Guntur
డి.జయకాంతన్	Dandapani Jayakanthan
మోర్మన్ మతం	Mormonoj
మూస:సౌరకుటుంబం	Ŝablono:Sunsistemo
శకుంతలా దేవి	Shakuntala Devi
వికీపీడియా:వికీపీడియనులు	Vikipedio:Vikipediistoj
ద్రవ్యరాశి మరియు భారం	Maso kaj pezo
గూటం	Maleo
సరళదేవదారు	Roksburg-pino
జాతీయ జంతువు	Simbolaj bestoj de ŝtatoj
అయస్కాంతత్వం	Magnetismo
హెన్రీ డెరోజియో	Henry Louis Vivian Derozio
ఆశాపూర్ణా దేవి	Ashapurna Devi
సురేంద్రనాథ్ బెనర్జీ	Surendranath Banerjee
ఉగాది	Ugadi
శాలువా	Ŝalo
చదరంగ నియమాలు	Bazaj reguloj de ŝako
వికీపీడియా:హాట్‌కేట్	Vikipedio:VarmaKato
కైలాశ్ సత్యార్థి	Kailash Satyarthi
నిష్పత్తి	Rilatumo
చెమట	Ŝvito
కంప్యూటర్ భద్రత	Komputila sekureco
వికీపీడియా:లాగిన్‌ అవడం ఎలా	Helpo:Registriĝo
పుట్టుమచ్చ	Naskomarko
గిరీష్ కర్నాడ్	Girish Karnad
నేషనల్ ఇన్‌స్టిట్యూట్ ఆఫ్ టెక్నాలజీ	Nacia Instituto de Teknologio Nagaland
రెడ్డి	Reddy
పీస్ టీవీ	Peace TV
చంద్రశేఖర కంబార	Ĉandraŝeĥara Kambara
నిమ్మకాయ బ్యాటరీ	Citrona baterio
వికీపీడియా:వికీ సాంప్రదాయం	Vikipedio:Etiko de Vikipedio
గాఢత	Koncentriteco
పక్షి పేను	Birdopediko
బీదలపాట్లు (1950 సినిమా)	Beedala Patlu
కొల్లేటి సరస్సు	Kolleru
మిర్జా హాది రుస్వా	Mirza Hadi Ruswa
వికీపీడియా:రచ్చబండ (ఇతరత్రా)	Vikipedio:Diskutejo/Diversejo
వికీపీడియా:సంప్రదింపుల కేంద్రం	Vikipedio:Informo
వికీపీడియా:చొరవ తీసుకుని దిద్దుబాట్లు చెయ్యండి	Vikipedio:Redaktu kun kuraĝo
భారతీయ మామిడి	Mangarbo
వర్గం:అమెరికాలో ప్రసిద్దులు	Kategorio:Usonanoj
వర్గం:నటులు	Kategorio:Aktoroj
మూస:Chess diagram	Ŝablono:Ŝakdiagramo
మూస:Border-radius	Ŝablono:Bordera radiuso
వర్గం:గూగుల్	Kategorio:Google
మూస:Location map England	Ŝablono:Situo sur mapo Anglio
వర్గం:న్యాయ శాస్త్రము	Kategorio:Juro
వర్గం:ఆర్థిక శాస్త్రము	Kategorio:Ekonomiko
సుక్రోజ్	Sakarozo
వికీపీడియా:నిర్వాహకులు	Vikipedio:Administrantoj
వర్గం:ప్రజలు	Kategorio:Personoj
వికీపీడియా:నిర్వాహక హోదా కొరకు విజ్ఞప్తి	Vikipedio:Administrantoj/kandidatoj
వికీపీడియా:బాటు	Vikipedio:Roboto
వర్గం:కాలము	Kategorio:Tempo
వర్గం:ఇంటర్నెట్	Kategorio:Interreto
వర్గం:ధనం	Kategorio:Mono
వర్గం:వృక్ష శాస్త్రము	Kategorio:Botaniko
వర్గం:ఇంజనీరింగ్	Kategorio:Inĝenierarto
వికీపీడియా:Volunteer Response Team	Vikipedio:OTRS
వర్గం:శరీర నిర్మాణ శాస్త్రము	Kategorio:Anatomio
వికీపీడియా:భాషాంతర లింకులు	Helpo:Interlingva ligilo
వర్గం:రాజకీయం	Kategorio:Politiko
వర్గం:కళలు	Kategorio:Arto
వర్గం:సాఫ్ట్‌వేర్లు	Kategorio:Programaro
ఈజిప్టు	Egiptujo
వికీపీడియా:తోలుబొమ్మ	Vikipedio:Gantopupo
సహాయం:మూస	Helpo:Ŝablono
వర్గం:2013	Kategorio:2013
వికీపీడియా:వికీప్రాజెక్టు	Vikipedio:Projektoj
వర్గం:తత్వవేత్తలు	Kategorio:Filozofoj
మూస:Bot	Ŝablono:Bot
రహదారి నియమాలు	Trafiko
వైబ్రేటర్	Vibratoro
వికీపీడియా:ఏది వికీపీడియా కాదు	Vikipedio:Kio Vikipedio ne estas
కెనడా	Kanado
వికీపీడియా:కాపీహక్కులు	Vikipedio:Aŭtorrajto
సహాయం:దిద్దుబాటు సారాంశం	Vikipedio:Resumo
వికీపీడియా:నిర్వాహకుల నోటీసు బోర్డు	Vikipedio:Diskutejo/Administrejo
వికీపీడియా:రచ్చబండ (సాంకేతికము)	Vikipedio:Diskutejo/Teknikejo
మూస:Flagicon	Ŝablono:Flagikono
వర్గం:యూరప్ దేశాలు	Kategorio:Eŭropaj landoj
వర్గం:ఐరోపా	Kategorio:Eŭropo
వికీపీడియా:సభ్యుని పేజీ	Vikipedio:Uzantopaĝo
